Punjabi,Gujarati
ਪਰੇਸ਼ਾਨੀ,ખર્ચ
ਸੰਖੇਪ,સંક્ષેપ
ਅਗਵਾ,અપહરણ
ਧਾਰਨਾ,સ્થગ
ਯੋਗਤਾ,ક્ષમતા
ਏਬੀ ਦੀ ਸ਼ੁਰੂਆਤ,આરંભ
ਯੋਗ,કઠોર
ਅਸਧਾਰਨ,અસામાન્ય
ਖਤਮ,નાબૂદી
ਅਬੋਲੋਜੀਫ ਪੋਸਟ,નાબૂદી પોસ્ટ
ਉੱਪਰ ਦੱਸਿਆ ਗਿਆ,ઉપર ઉલ્લેખ કર્યો છે
ਉੱਪਰ ਹਵਾਲਾ ਦਿੱਤਾ,ઉપર જણાવેલ
ਉਪਰੋਕਤ ਕਿਹਾ,ઉપર જણાવ્યું હતું કે
ਗੈਰਹਾਜ਼ਰੀ,ગેરહાજરી
ਗੈਰਹਾਜ਼ਰ,ગેરહાજર
ਗੈਰਹਾਜ਼ਰ,ગેરહાજરી
ਗੈਰਹਾਜ਼ਰ ਬਿਆਨ,અનુપસ્થિત નિવેદનો
ਅਸੀਮ,અબાધિત
ਪੂਰੀ ਏਕਾਅਧਿਕਾਰ,અબાધિત ઈજારો
ਸੰਪੂਰਨ ਮਾਲਕੀ,અબાધિત માલિકી
ਸਮਾਈ,સમાવેશ
ਸਾਰ,નિષ્ક્રિય
ਸੰਖੇਪ,અખબારો
ਬੇਹੂਦਾ,વાહિયાત
ਬਹੁਤਾਤ,વિપુલતા
ਸ਼ਕਤੀ ਦੀ ਦੁਰਵਰਤੋਂ,સત્તાનો દુરુપયોગ
ਗਾਲਾਂ ਕੱ .ਣ ਵਾਲੀ ਭਾਸ਼ਾ,અપશબ્દો
ਅਕਾਦਮਿਕ,શૈક્ષણિક
ਅਕਾਦਮਿਕ ਵਿਚਾਰ ਵਟਾਂਦਰੇ,શૈક્ષણિક ચર્ચા
ਅਕਾਦਮਿਕ ਛੁੱਟੀ,શૈક્ષણિક રજા
ਅਕਾਦਮਿਕ ਯੋਗਤਾ,શૈક્ષણિક લાયકાત
ਅਕਾਦਮਿਕ ਰਿਕਾਰਡ,વિદ્યા
ਐੱਸ,સહયોગ કરવો
ਸਵੀਕਾਰ ਕਰੋ,સ્વીકારવું
ਮਨਜ਼ੂਰ,સ્વીકૃતિ
ਦਫਤਰ ਦੀ ਪ੍ਰਵਾਨਗੀ,પદની સ્વીકૃતિ
ਟੈਂਡਰ ਦੀ ਪ੍ਰਵਾਨਗੀ,પ્રતિજ્ ofા
ਪਹੁੰਚ,પ્રવેશ
ਐਕਸੈਸਿੰਗ,સંચાર
ਸਹਾਇਕ,સહાયક
ਹਾਦਸਾ,અકસ્માત
ਅਨੁਕੂਲਤਾ,સ્વાર્થીકરણ
ਰਿਹਾਇਸ਼,આવાસ
ਦੇ ਨਾਲ,સંલગ્ન
ਸਮਝੌਤਾ,સંલગ્ન
ਦੇ ਅਨੁਸਾਰ,અનુસાર
ਇਸ ਅਨੁਸਾਰ,તદનુસાર
ਖਾਤਾ,હિસાબ
ਜਵਾਬਦੇਹੀ,જવાબદારી
ਜਵਾਬਦੇਹ,જવાબદાર
ਖਾਤੇ ਦੀ,હિસાબની સંખ્યા
ਲੇਖਾਕਾਰ,હિસાબ રાખનાર
ਲਈ ਖਾਤਾ,માટે એકાઉન્ટ
ਖਾਤਾ ਸਿਰ,હિસાબનું માથું
ਇਕੱਠਾ ਕੀਤਾ ਲਾਭ,ઉપાર્જિત લાભ
ਇਕੱਠੀ ਕੀਤੀ ਪੈਨਸ਼ਨ,ઉપાર્જિત પેન્શન
ਇਕੱਠਾ,સંચય
ਸ਼ੁੱਧਤਾ,ચોકસાઈ
ਸਹੀ,ચોક્કસ
ਦੋਸ਼ ਲਾਉਂਦਾ ਹੈ,આક્ષેપ કરવો
ਦੋਸ਼ੀ,આરોપી
ਪ੍ਰਾਪਤੀ,સિદ્ધિ
ਪ੍ਰਵਾਨਗੀ,સ્વીકૃતિ
ਬਣ ਰਹੇ,સ્વીકૃતિ
ਜਾਣ-ਪਛਾਣ,પરિચય
ਗ੍ਰਹਿਣ,સંપાદન
ਬਰੀ,મુક્તિ
ਐਕਟ,કૃત્ય
ਅਦਾਕਾਰੀ ਭੱਤਾ,કાર્યકારી ભથ્થું
ਕਾਰਵਾਈ,ક્રિયા
ਕਾਰਵਾਈ ਜੁਗਤ,કાર્ય યોજના
ਕਿਰਿਆਸ਼ੀਲ,સક્રિય
ਸਰਗਰਮੀ ਨਾਲ,સક્રિયપણે
ਕਾਰਜਕਰਤਾ,સક્રિયકાર્ય
ਰੱਬ ਦਾ ਕੰਮ,ભગવાનનો કૃત્ય
ਦੁਰਵਿਵਹਾਰ ਦਾ ਕੰਮ,ગેરવર્તન
ਕਮਿਸ਼ਨ ਅਤੇ ਗਲਤੀ ਦਾ ਕੰਮ,કમિશન અને કમિશન અને બાદબાકી
ਅਸਲ,વાસ્તવિક
ਅਸਲ,વાસ્તવિક
ਅਨੁਕੂਲਤਾ,અનુકૂલન
ਜੋੜ,વધારા
ਅਤਿਰਿਕਤ ਚਾਰਜ,વધારાનો ખર્ચ
ਵਾਧੂ ਫੰਡ,વધારાના નિધિ
ਅਤਿਰਿਕਤ ਗ੍ਰਾਂਟ,વધારાની અનુદાન
ਵਧੀਕ ਜਾਣਕਾਰੀ,વધારાની માહિતી
ਵਾਧੂ ਤਨਖਾਹ,વધારાનો પગાર
ਜੋੜ ਅਤੇ ਤਬਦੀਲੀ,ઉમેરો અને ફેરફાર
ਪਤਾ,સંબોધન
ਐਡਰੈਸਸ,સંબોધન કરનાર
ਸਵਾਗਤ ਦਾ ਪਤਾ,સ્વાગતનું સરનામું
ਕਾਫ਼ੀ,પૂરતું
ਦਾ ਪਾਲਣ ਕਰੋ,ને અનુરૂપ બનાવવું
ਐਡ ਹੋਕ,તદર્થ
ਐਡਹਕ ਕਲੇਮ,તદર્થપત્ર
ਐਡਹੌਕ ਕਮੇਟੀ,તદર્થ સમિતિ
ਐਡਹੌਕ ਵਾਧਾ,તદર્થ વધારો
