Odiya,English
ଆବାକସ୍ |,abacus
ଅସ୍ୱାଭାବିକ ସମାପ୍ତି |,abnormal termination
ପରିତ୍ୟାଗ,abort
ସଂପୂର୍ଣ୍ଣ,absolute
ସଂପୂର୍ଣ୍ଣ ଠିକଣା,absolute address
ସଂପୂର୍ଣ୍ଣ ଠିକଣା,absolute addressing
ସଂପୂର୍ଣ୍ଣ ସମାବେଶକାରୀ |,absolute assembler
ସଂପୂର୍ଣ୍ଣ କୋଡ୍,absolute code
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ |,absolute command
ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |,absolute data
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ,absolute instruction
ସଂପୂର୍ଣ୍ଣ ମୋଡ୍ |,absolute mode
ସଂପୂର୍ଣ୍ଣ ପଥ,absolute path
ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |,absolute programming
ବିସ୍ତୃତ ଶ୍ରେଣୀ |,abstract class
ବିସ୍ତୃତ ତଥ୍ୟ ପ୍ରକାର |,abstract data type
ବିସ୍ତୃତ ମେସିନ୍ |,abstract machine
ବିସ୍ତୃତ ପ୍ରତୀକ |,abstract symbol
ବିସ୍ତୃତ ବାକ୍ୟବିନ୍ୟାସ |,abstract syntax
ଗ୍ରହଣ ପରୀକ୍ଷା,acceptance testing
ପ୍ରାମାଣିକିକରଣକୁ ପ୍ରବେଶ କରନ୍ତୁ |,access authentication
ପ୍ରବେଶ କୋଡ୍,access code
ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ,access control
ଆକ୍ସେସ୍ ସ୍କାନ୍ |,access scan
ଆନୁଷଙ୍ଗିକ,accessory
ଖାତା,account
ଖାତା ID,account ID
ଜମାକାରୀ,accumulator
ସଠିକତା,accuracy
acess,acess
ଏସିସ୍ ନିୟନ୍ତ୍ରଣ ବାଇଟ୍ |,acess control byte
acess index,acess index
acess କି,acess key
acess matrix,acess matrix
acess ମୋଡ୍ |,acess mode
acess ଅଧିକାର,acess privilege
acess ସୁରକ୍ଷା |,acess security
acess ସର୍ଭର |,acess server
ଆକସେସ୍ ସମୟ |,acess time
ସ୍ୱୀକୃତି,acknowledgement
ଆକାଶବାଣୀ,acoustics
ସଂକ୍ଷିପ୍ତ ଶବ୍ଦ,acronym
କାର୍ଯ୍ୟ ବାର୍ତ୍ତା |,action message
ସକ୍ରିୟ,activation
ସକ୍ରିୟ ସର୍ଭର ପୃଷ୍ଠା (ASP),active server page (ASP)
ସକ୍ରିୟ ସଂସ୍କରଣ |,active version
acyclic,acyclic
acyclic ଗ୍ରାଫ୍ |,acyclic graph
ଅଦା ଭାଷା |,Ada language
ଆଡାପ୍ଟର,adapter
ଯୋଡନ୍ତୁ |,add
ଫାଇଲ୍ ଯୋଡନ୍ତୁ |,add file
ଅପରେସନ୍ ଯୋଡନ୍ତୁ |,add operation
ଆଡର୍,adder
ଠିକଣା,address
ଠିକଣା ବସ୍,address bus
ଠିକଣା ଫାଇଲ୍ |,address file
ଠିକଣା ଫର୍ମାଟ୍,address format
ଠିକଣା ଜେନେରେଟର,address generator
ଠିକଣା ରେଖା,address line
ଠିକଣା ମ୍ୟାପିଂ,address mapping
ଠିକଣା ସୂଚକ,address pointer
ଠିକଣା ରେଜିଷ୍ଟର,address register
ଠିକଣା ରେଜୋଲୁସନ,address resolution
ଠିକଣା ଅନୁବାଦ,address translation
ଠିକଣା ସ୍ମୃତି,addressed memory
ଠିକଣା,addressing
ପର୍ଯ୍ୟାପ୍ତ ମାନଦଣ୍ଡ,adequacy criteria
ଯୋଗ,adjoint
ପ୍ରଶାସନ,administration
ପ୍ରଶାସକ,administrator
ଆଡୋବ ଆକ୍ରୋବାଟ୍ |,adobe acrobat
ଆଡୋବ ଫଟୋଶପ୍ |,adobe photoshop
ଆଡଭାନ୍ସ ବ୍ୟବସାୟ ଆବେଦନ ପ୍ରୋଗ୍ରାମିଂ (ABAP),Advance Business Application Programming (ABAP)
ଉନ୍ନତ ତଥ୍ୟ,advanced data
ଉନ୍ନତ ସୂଚନା ପ୍ରଣାଳୀ |,advanced information system
ଉନ୍ନତ ଜ୍ଞାନକ technology ଶଳ (AT),advanced technology (AT)
ଏଜେଣ୍ଟ,agent
ଏକୀକରଣ,aggregation
ବାୟୁବାହୀ କମ୍ପ୍ୟୁଟର ସିଷ୍ଟମ୍ |,airborne computer system
aldus ପୃଷ୍ଠା ନିର୍ମାତା |,aldus page maker
ଆଲର୍ଟ ବାକ୍ସ,alert box
ଆଲଗୋଲ୍,algol
ଆଲଗୋରିଦମ |,algorithm
ଆଲଗୋରିଦମ ବିଶ୍ଳେଷଣ |,algorithm analysis
