Hindi,Bengali
अजीवात् जनन,অ্যাবায়োটিক প্রজনন
अपसामान्य,প্যারানরমাল
1. चतुर्थ आमाशय 2. ऐवोमैसम,1. চতুর্থ পেট 2. Evomasome
रुद्ध-वृद्धि अंग,স্টোমাটাল বৃদ্ধি অঙ্গ
रुद्ध वृद्धि बीज,স্তব্ধ বৃদ্ধি বীজ
1. गर्भपात 2. गर्भस्राव 3. वृद्धि विरोध,1. গর্ভপাত 2. গর্ভপাত 3. বৃদ্ধি প্রতিরোধ
1. अवांछित अपतृण 2. पूर्ण खरपतवार,1. অবাঞ্ছিত আগাছা 2. সম্পূর্ণ আগাছা
अवशोषित धनायन,শোষিত ক্যাটান
अवशोषण,শোষণ
ऐबिसिनी सरसों,আবিসিনিয়ান সরিষা
1.एकेरेसनाशी 2. चिचड़ीनाशी,1. অ্যাক্যারিসাইড
अकेंद्री,কেন্দ্রমুখী
प्रवर्धन (कोशिका),পরিবর্ধন (কোষ)
स्वीकृत सह्यता,অনুমোদিত সহনশীলতা
1.अतिरिक्त 2. सहायक 3. गौण,1.অতিরিক্ত 2.আনুষঙ্গিক 3.আনুষঙ্গিক
पर्यनुकूलन,অভিযোজন
संचय,সঞ্চয়
1.vयथार्थता 2. परिशुद्धता,1. শূন্যতা 2. নির্ভুলতা
1. एसर्वुलस 2. बीजाणुपात्र,1. অ্যাসারভাউলাস 2. স্পোরোফাইট
1. ऐसीटीकरण 2. सिरका बनाना 3. ऐसीटीलन,1. অ্যাসিটাইজেশন 2. ভিনেগার তৈরি করা 3. অ্যাসিটিলেন
1. अम्लीकरण 2. अम्लन,1. অ্যাসিডিফিকেশন 2. অ্যাসিডিফিকেশন
1.अम्लतामापी 2. एसिडीमीटर,1. অ্যাসিডোমিটার 2. অ্যাসিডিমিটার
अम्लता,অম্লতা
अम्लरागी,অ্যাসিডোফাইল
अम्लीकृत रॉक फॉस्फेट,অম্লীয় রক ফসফেট
अम्लसह,অ্যাসিডযুক্ত
जलभृत,aquifer
अधिग्रहण,অধিগ্রহণ
एकड़,একর
1.क्षेत्रफल 2. रकबा,1. এলাকা 2. এলাকা
उपांत बिंदु क्रोमोसोम,শেষ বিন্দু ক্রোমোজোম
अग्राभिसारी,দূরদর্শী
ऐक्रोसोम,acrosome
