Assamese,Kannada
abacus,ಅಬ್ಯಾಕಸ್
অস্বাভাৱিক সমাপ্তি,ಅಸಹಜ ಮುಕ್ತಾಯ
abort,ಸ್ಥಗಿತಗೊಳಿಸು
নিৰপেক্ষ,ಸಂಪೂರ್ಣ
নিৰপেক্ষ ঠিকনা,ಸಂಪೂರ್ಣ ವಿಳಾಸ
নিৰপেক্ষ সম্বোধন,ಸಂಪೂರ್ಣ ವಿಳಾಸ
নিৰপেক্ষ এছেম্বলাৰ,ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್
নিৰপেক্ষ ক&#39;ড,ಸಂಪೂರ್ಣ ಕೋಡ್
নিৰপেক্ষ আদেশ,ಸಂಪೂರ್ಣ ಆಜ್ಞೆ
নিৰপেক্ষ তথ্য,ಸಂಪೂರ್ಣ ಡೇಟಾ
নিৰপেক্ষ নিৰ্দেশনা,ಸಂಪೂರ್ಣ ಸೂಚನೆ
নিৰপেক্ষ ধৰণ,ಸಂಪೂರ್ಣ ಮೋಡ್
নিৰপেক্ষ পথ,ಸಂಪೂರ್ಣ ಮಾರ್ಗ
নিৰপেক্ষ প্ৰগ্ৰেমিং,ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್
বিমূৰ্ত শ্ৰেণী,ಅಮೂರ್ತ ವರ್ಗ
বিমূৰ্ত তথ্যৰ ধৰণ,ಅಮೂರ್ತ ಡೇಟಾ ಪ್ರಕಾರ
বিমূৰ্ত মেচিন,ಅಮೂರ್ತ ಯಂತ್ರ
বিমূৰ্ত চিহ্ন,ಅಮೂರ್ತ ಚಿಹ್ನೆ
বিমূৰ্ত বাক্যবিন্যাস,ಅಮೂರ್ತ ಸಿಂಟ್ಯಾಕ್ಸ್
গ্ৰহণযোগ্যতা পৰীক্ষা,ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ
প্ৰৱেশ প্ৰমাণীকৰণ,ಪ್ರವೇಶ ದೃಢೀಕರಣ
প্ৰৱেশ ক&#39;ড,ಪ್ರವೇಶ ಕೋಡ್
প্ৰৱেশ নিয়ন্ত্ৰণ,ಪ್ರವೇಶ ನಿಯಂತ್ರಣ
এক্সেছ স্কেন,ಪ್ರವೇಶ ಸ್ಕ್ಯಾನ್
আনুষংগিক বস্তু,ಪರಿಕರ
একাউণ্ট,ಖಾತೆ
একাউণ্ট আইডি,ಖಾತೆ ID
এক্যুলেটৰ,ಸಂಚಯಕ
শুদ্ধতা,ನಿಖರತೆ
acess,ಪ್ರವೇಶ
প্ৰৱেশ নিয়ন্ত্ৰণ বাইট,ಪ್ರವೇಶ ನಿಯಂತ್ರಣ ಬೈಟ್
acess index,ಪ್ರವೇಶ ಸೂಚ್ಯಂಕ
acess key,ಪ್ರವೇಶ ಕೀ
acess মেট্ৰিক্স,ಪ್ರವೇಶ ಮ್ಯಾಟ್ರಿಕ್ಸ್
প্ৰৱেশ ধৰণ,ಪ್ರವೇಶ ಮೋಡ್
acess বিশেষাধিকাৰ,ಪ್ರವೇಶ ಸವಲತ್ತು
acess security,ಪ್ರವೇಶ ಭದ್ರತೆ
এচেছ চাৰ্ভাৰ,ಪ್ರವೇಶ ಸರ್ವರ್
acess সময়,ಪ್ರವೇಶ ಸಮಯ
স্বীকৃতি,ಸ್ವೀಕೃತಿ
শব্দবিজ্ঞান,ಅಕೌಸ್ಟಿಕ್ಸ್
সংক্ষিপ্ত ৰূপ,ಸಂಕ್ಷಿಪ್ತ ರೂಪ
কাৰ্য্য বাৰ্তা,ಕ್ರಿಯೆಯ ಸಂದೇಶ
সক্ৰিয়কৰণ,ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ
সক্ৰিয় চাৰ্ভাৰ পৃষ্ঠা (ASP),ಸಕ್ರಿಯ ಸರ್ವರ್ ಪುಟ (ASP)
সক্ৰিয় সংস্কৰণ,ಸಕ್ರಿಯ ಆವೃತ್ತಿ
অচক্ৰীয়,ಅಸೈಕ್ಲಿಕ್
অচক্ৰীয় গ্ৰাফ,ಅಸಿಕ್ಲಿಕ್ ಗ್ರಾಫ್
আদা ভাষা,ಅದಾ ಭಾಷೆ
এডাপ্টাৰ,ಅಡಾಪ್ಟರ್
যোগ কৰা,ಸೇರಿಸಿ
ফাইল যোগ কৰক,ಕಡತವನ್ನು ಸೇರಿಸು
অপাৰেচন যোগ কৰক,ಕಾರ್ಯಾಚರಣೆಯನ್ನು ಸೇರಿಸಿ
adder,ಸೇರಿಸುವವನು
ঠিকনা,ವಿಳಾಸ
ঠিকনা বাছ,ವಿಳಾಸ ಬಸ್
ঠিকনা নথিপত্ৰ,ವಿಳಾಸ ಫೈಲ್
ঠিকনা বিন্যাস,ವಿಳಾಸ ಸ್ವರೂಪ
ঠিকনা উৎপাদক,ವಿಳಾಸ ಜನರೇಟರ್
ঠিকনা ৰেখা,ವಿಳಾಸ ಸಾಲು
ঠিকনা মেপিং,ವಿಳಾಸ ಮ್ಯಾಪಿಂಗ್
ঠিকনা পইণ্টাৰ,ವಿಳಾಸ ಪಾಯಿಂಟರ್
ঠিকনা পঞ্জীয়ন,ವಿಳಾಸ ನೋಂದಣಿ
ঠিকনা সমাধান,ವಿಳಾಸ ನಿರ್ಣಯ
ঠিকনা অনুবাদ,ವಿಳಾಸ ಅನುವಾದ
ঠিকনাযুক্ত মেমৰি,ಸ್ಮರಣೆಯನ್ನು ಉದ್ದೇಶಿಸಿ
সম্বোধন কৰা,ಉದ್ದೇಶಿಸಿ
পৰ্যাপ্ততাৰ মাপকাঠী,ಸಮರ್ಪಕತೆಯ ಮಾನದಂಡಗಳು
সংযুক্ত,ಪಕ್ಕದ
প্ৰশাসন,ಆಡಳಿತ
প্ৰশাসক,ನಿರ್ವಾಹಕ
এডোব এক্ৰ&#39;বেট,ಅಡೋಬ್ ಅಕ್ರೋಬ್ಯಾಟ್
এডোব ফটোশ্বপ,ಅಡೋಬ್ ಫೋಟೋಶಾಪ್
উন্নত ব্যৱসায়িক প্ৰয়োগ প্ৰগ্ৰেমিং (ABAP),ಅಡ್ವಾನ್ಸ್ ಬಿಸಿನೆಸ್ ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್ (ABAP)
উন্নত তথ্য,ಸುಧಾರಿತ ಡೇಟಾ
উন্নত তথ্য ব্যৱস্থা,ಸುಧಾರಿತ ಮಾಹಿತಿ ವ್ಯವಸ್ಥೆ
উন্নত প্ৰযুক্তি (AT),ಸುಧಾರಿತ ತಂತ್ರಜ್ಞಾನ (AT)
এজেণ্ট,ಏಜೆಂಟ್
একত্ৰীকৰণ,ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ
বায়ুমণ্ডলীয় কম্পিউটাৰ ব্যৱস্থা,ವಾಯುಗಾಮಿ ಕಂಪ್ಯೂಟರ್ ವ್ಯವಸ್ಥೆ
aldus পৃষ্ঠা নিৰ্মাতা,ಅಲ್ಡಸ್ ಪೇಜ್ ಮೇಕರ್
সতৰ্কবাণী বাকচ,ಎಚ್ಚರಿಕೆ ಪೆಟ್ಟಿಗೆ
এলগোল,ಆಲ್ಗೋಲ್
এলগৰিদম,ಅಲ್ಗಾರಿದಮ್
এলগৰিদম বিশ্লেষণ,ಅಲ್ಗಾರಿದಮ್ ವಿಶ್ಲೇಷಣೆ
এলগৰিদম দক্ষতা,ಅಲ್ಗಾರಿದಮ್ ದಕ್ಷತೆ
alias,ಅಲಿಯಾಸ್
প্ৰান্তিককৰণ,ಜೋಡಣೆ
আবণ্টন,ಹಂಚಿಕೆ
বৰ্ণানুক্ৰমিক,ವರ್ಣಮಾಲೆಯ
আলফানিউমেৰিক,ಆಲ್ಫಾನ್ಯೂಮರಿಕ್
আলফানিউমেৰিক কি বৰ্ড,ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕೀ ಬೋರ್ಡ್
আলফা-পৰীক্ষা,ಆಲ್ಫಾ-ಪರೀಕ್ಷೆ
আলফা-সংস্কৰণ,ಆಲ್ಫಾ-ಆವೃತ್ತಿ
alt কি&#39;,ಆಲ್ಟ್ ಕೀ
আলতাভিস্তা,ಅಲ್ಟಾವಿಸ್ತಾ
অস্পষ্টতা,ಅಸ್ಪಷ್ಟತೆ
অস্পষ্ট ব্যাকৰণ,ಅಸ್ಪಷ್ಟ ವ್ಯಾಕರಣ
আমেৰিকান নেচনেল ষ্টেণ্ডাৰ্ডছ ইনষ্টিটিউট (ANSI),ಅಮೇರಿಕನ್ ನ್ಯಾಷನಲ್ ಸ್ಟ್ಯಾಂಡರ್ಡ್ಸ್ ಇನ್ಸ್ಟಿಟ್ಯೂಟ್ (ANSI)
তথ্য বিনিময়ৰ বাবে আমেৰিকান মানক ক&#39;ড (ASCII),ಮಾಹಿತಿ ವಿನಿಮಯಕ್ಕಾಗಿ ಅಮೇರಿಕನ್ ಸ್ಟ್ಯಾಂಡರ್ಡ್ ಕೋಡ್ (ASCII)
এনালগ,ಅನಲಾಗ್
এনালগ কম্পিউটাৰ,ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್
এনালগ ডিভাইচ,ಅನಲಾಗ್ ಸಾಧನ
এনালগ মডেম,ಅನಲಾಗ್ ಮೋಡೆಮ್
এনালগ টু ডিজিটেল কনভাৰ্টাৰ (ADC),ಅನಲಾಗ್ ಟು ಡಿಜಿಟಲ್ ಪರಿವರ್ತಕ (ADC)
আৰু,ಮತ್ತು
AND বৰ্তনী,ಮತ್ತು ಸರ್ಕ್ಯೂಟ್
AND গেট,ಮತ್ತು ಗೇಟ್
AND অপাৰেচন নহয় (বৰ্জন),ಮತ್ತು ಕಾರ್ಯಾಚರಣೆಯಲ್ಲ (ಹೊರಗಿಡುವಿಕೆ)
এনিমেচন,ಅನಿಮೇಷನ್
টীকাকৰণ,ಟಿಪ್ಪಣಿ
বিজুতি,ಅಸಂಗತತೆ
পূৰ্বসূৰী,ಪೂರ್ವಭಾವಿ
প্ৰত্যাশিত পেজিং,ನಿರೀಕ್ಷಿತ ಪೇಜಿಂಗ್
এন্টি-চিমেট্ৰিক,ವಿರೋಧಿ ಸಮ್ಮಿತೀಯ
এন্টিভাইৰাছ প্ৰগ্ৰেম,ಆಂಟಿವೈರಸ್ ಪ್ರೋಗ್ರಾಂ
applet,ಆಪ್ಲೆಟ್
এপ্লিকেচন ডেভেলপাৰ,ಅಪ್ಲಿಕೇಶನ್ ಡೆವಲಪರ್
এপ্লিকেচন প্ৰগ্ৰেমিং,ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್
এপ্লিকেচন প্ৰগ্ৰেমিং আন্তঃপৃষ্ঠ (API),ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್ ಇಂಟರ್ಫೇಸ್ (API)
এপ্লিকেচন চফ্টৱেৰ,ಅಪ್ಲಿಕೇಶನ್ ಸಾಫ್ಟ್ವೇರ್
প্ৰয়োগমূলক ভাষা,ಅನ್ವಯಿಕ ಭಾಷೆ
আনুমানিক তত্ত্ব,ಅಂದಾಜು ಸಿದ್ಧಾಂತ
স্থাপত্য,ವಾಸ್ತುಶಿಲ್ಪ
এলেকা হস্তান্তৰ,ಪ್ರದೇಶ ವರ್ಗಾವಣೆ
তৰ্কাতৰ্কি,ವಾದ
গাণিতিক আৰু যুক্তিৰ একক,ಅಂಕಗಣಿತ ಮತ್ತು ತರ್ಕ ಘಟಕ
গাণিতিক পৰীক্ষা,ಅಂಕಗಣಿತದ ಪರಿಶೀಲನೆ
গাণিতিক ধ্ৰুৱক,ಅಂಕಗಣಿತ ಸ್ಥಿರ
গাণিতিক তথ্য,ಅಂಕಗಣಿತದ ಡೇಟಾ
গাণিতিক নিৰ্দেশনা,ಅಂಕಗಣಿತದ ಸೂಚನೆ
গাণিতিক আৰু যুক্তি একক (ALU),ಅಂಕಗಣಿತ ಮತ್ತು ತರ್ಕ ಘಟಕ (ALU)
ARPANET,ಅರ್ಪಾನೆಟ್
এৰে,ಶ್ರೇಣಿ
এৰে কেচ,ರಚನೆಯ ಸಂಗ್ರಹ
এৰে কম্পিউটাৰ,ಅರೇ ಕಂಪ್ಯೂಟರ್
এৰে উপাদান,ರಚನೆಯ ಅಂಶ
এৰেৰ নাম,ರಚನೆಯ ಹೆಸರು
এৰে প্ৰচেছৰ,ರಚನೆಯ ಪ್ರೊಸೆಸರ್
কাঁড় চিহ্নসমূহ,ಬಾಣದ ಕೀಲಿಗಳು
আৰ্টিকুলেচন,ಉಚ್ಚಾರಣೆ
আৰ্টিকুলেচন পইণ্ট,ಉಚ್ಚಾರಣಾ ಬಿಂದು
কৃত্ৰিম সংকোচন,ಕೃತಕ ಸಂಕೋಚನ
কৃত্ৰিম নিয়ন্ত্ৰণ,ಕೃತಕ ನಿಯಂತ್ರಣ
কৃত্ৰিম বুদ্ধিমত্তা,ಕೃತಕ ಬುದ್ಧಿವಂತಿಕೆ
আৰোহী,ಆರೋಹಣ
আৰোহী সজাই পৰাই তোলা,ಆರೋಹಣ ರೀತಿಯ
ASCII betical ক্ৰম,ASCII ಬೆಟಿಕಲ್ ಆರ್ಡರ್
ASCII নিয়ন্ত্ৰণ আখৰ,ASCII ನಿಯಂತ್ರಣ ಪಾತ್ರ
ASCII নথিপত্ৰ,ASCII ಫೈಲ್
ASCII ফন্ট,ASCII ಫಾಂಟ್
ASCII স্থানান্তৰ,ASCII ವರ್ಗಾವಣೆ
এস্পেক্ট ৰেচিঅ&#39;,ಆಕಾರ ಅನುಪಾತ
এ এছ পি আই,ASPI
ASR টাইমাৰ,ASR ಟೈಮರ್
একত্ৰিত কৰা,ಜೋಡಿಸು
এছেম্বলাৰ,ಅಸೆಂಬ್ಲರ್
সভা,ಸಭೆ
সমাবেশ ভাষা,ಅಸೆಂಬ್ಲಿ ಭಾಷೆ
assertion,ಪ್ರತಿಪಾದನೆ
আবণ্টন কৰা কাৰ্য,ನಿಯೋಜನೆ
সংস্থা,ಸಂಘ
সহযোগী ঠিকনা,ಸಹಾಯಕ ವಿಳಾಸ
সহযোগী স্মৃতিশক্তি,ಸಹಾಯಕ ಸ್ಮರಣೆ
এস্টেৰিক,ಆಸ್ಟರಿಕ್
অসমতাপূৰ্ণ,ಅಸಮ್ಮಿತ
এচিনক্ৰ&#39;নাছ,ಅಸಮಕಾಲಿಕ
ডিজিটেল গ্রাহক লাইন (ADSL),ಅಸಮಕಾಲಿಕ ಡಿಜಿಟಲ್ ಚಂದಾದಾರರ ಸಾಲು (ADSL)
asynchronous সময় বিভাজন মাল্টিপ্লেক্সিং (ATDM),ಅಸಮಕಾಲಿಕ ಸಮಯ ವಿಭಾಗ ಮಲ್ಟಿಪ್ಲೆಕ್ಸಿಂಗ್ (ATDM)
