Gujarati,Kannada
ખર્ચ,ದಾಟುವುದು
સંક્ષેપ,ಸಂಕ್ಷಿಪ್ತ ರೂಪ
અપહરણ,ಅಪಹರಣ
સ્થગ,ನಿರುತ್ಸಾಹಗೊಳಿಸುವಿಕೆ
ક્ષમતા,ಸಾಮರ್ಥ್ಯ
આરંભ,ಎಬಿ ಇನಿಶಿಯೋ
કઠોર,ಸಮರ್ಥ
અસામાન્ય,ಅಸಹಜ
નાબૂદી,ನಿರ್ಮೂಲನ
નાબૂદી પોસ્ટ,ರದ್ದುಮಾಡುವಿಕೆ
ઉપર ઉલ્લેખ કર્યો છે,ಮೇಲೆ ತಿಳಿಸಿದ
ઉપર જણાવેલ,ಮೇಲೆ ಉಲ್ಲೇಖಿಸಲಾಗಿದೆ
ઉપર જણાવ્યું હતું કે,ಮೇಲೆ ಹೇಳಿದರು
ગેરહાજરી,ಅನುಪಸ್ಥಿತಿ
ગેરહાજર,ಗೈರುಹಾಜರಿ
ગેરહાજરી,ಗೈರುಹಾಜರಿ
અનુપસ્થિત નિવેદનો,ಗೈರುಹಾಜರಿ ಹೇಳಿಕೆ
અબાધિત,ಸಂಪೂರ್ಣ
અબાધિત ઈજારો,ಸಂಪೂರ್ಣ ಏಕಸ್ವಾಮ್ಯ
અબાધિત માલિકી,ಸಂಪೂರ್ಣ ಮಾಲೀಕತ್ವ
સમાવેશ,ಹೀರುವಿಕೆ
નિષ્ક્રિય,ಅಮೂರ್ತ
અખબારો,ಅಮೂರ್ತತೆ
વાહિયાત,ಅಸಂಬದ್ಧ
વિપુલતા,ಹೇರಳವಾಗಿರುವುದು
સત્તાનો દુરુપયોગ,ಅಧಿಕಾರದ ದುರುಪಯೋಗ
અપશબ્દો,ನಿಂದಕ ಭಾಷೆ
શૈક્ષણિક,ಶೈಕ್ಷಣಿಕ
શૈક્ષણિક ચર્ચા,ಶೈಕ್ಷಣಿಕ ಚರ್ಚೆ
શૈક્ષણિક રજા,ಶೈಕ್ಷಣಿಕ ರಜೆ
શૈક્ષણિક લાયકાત,ಶೈಕ್ಷಣಿಕ ಅರ್ಹತೆ
વિદ્યા,ಶೈಕ್ಷಣಿಕ ದಾಖಲೆ
સહયોગ કરવો,ತಪ್ಪೊಟ್ಟು
સ્વીકારવું,ಒಪ್ಪಿಕೊಳ್ಳಿ
સ્વીકૃતિ,ಸ್ವೀಕಾರಾರ್ಹತೆ
પદની સ્વીકૃતિ,ಕಚೇರಿಯ ಸ್ವೀಕಾರ
પ્રતિજ્ ofા,ಟೆಂಡರ್ ಸ್ವೀಕಾರ
પ્રવેશ,ಪ್ರವೇಶ
સંચાર,ಪ್ರವೇಶ
સહાયક,ಪರಿಕರ
અકસ્માત,ಅಪಘಾತ
સ્વાર્થીકરણ,ಒಗ್ಗೂಡಿಸುವಿಕೆ
આવાસ,ಸೌಕರ್ಯ
સંલગ્ન,ಜೊತೆಗಾರ
સંલગ્ન,ಸ ೦ ಗೀತ
અનુસાર,ಪ್ರೇಕ್ಷಕ
તદનુસાર,ಹಾಗೆಯೇ
હિસાબ,ಖಾತೆ
જવાબદારી,ಹೊಣೆಗಾರಿಕೆ
જવાબદાર,ಹೊಣೆಗಾರ
હિસાબની સંખ્યા,ಹೊಣೆ
હિસાબ રાખનાર,ಲೆಕ್ಕಪರಿಶೋಧಕ
માટે એકાઉન્ટ,ಇದಕ್ಕೆ ಖಾತೆ
હિસાબનું માથું,ಖಾತೆ
ઉપાર્જિત લાભ,ಸಂಚಿತ ಲಾಭ
ઉપાર્જિત પેન્શન,ಸಂಚಿತ ಪಿಂಚಣಿ
સંચય,ಸಂಗ್ರಹಣೆ
ચોકસાઈ,ನಿಖರತೆ
ચોક્કસ,ನಿಖರವಾದ
આક્ષેપ કરવો,ಆರೋಪಿಸು
આરોપી,ಆರೋಪಿ
સિદ્ધિ,ಸಾಧನೆ
સ્વીકૃતિ,ಸ್ವೀಕೃತಿ
સ્વીકૃતિ,ಸ್ವೀಕೃತಿ ಕಾರಣ
પરિચય,ಪರಿಚಯ
સંપાદન,ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು
મુક્તિ,ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು
કૃત્ય,ಕಯ
કાર્યકારી ભથ્થું,ನಟನಾ ಭತ್ಯೆ
ક્રિયા,ಕ್ರಿಯಾಶೀಲತೆ
કાર્ય યોજના,ಕಾರ್ಯ ತಂತ್ರ
સક્રિય,ಸಕ್ರಿಯ
સક્રિયપણે,ಸಕ್ರಿಯವಾಗಿ
સક્રિયકાર્ય,ಕಾರ್ಯಕರ್ತ
ભગવાનનો કૃત્ય,ಭಗವಂತನ ಆಟ
ગેરવર્તન,ದುಷ್ಕೃತ್ಯದ ಕ್ರಿಯೆ
કમિશન અને કમિશન અને બાદબાકી,ಆಯೋಗ ಮತ್ತು ಲೋಪದ ಕ್ರಿಯೆ
વાસ્તવિક,ನಿಜವಾದ
