Malayalam,Telugu
ഉപേക്ഷിക്കുക,అబార్ట్
ടൈമർ നിർത്തുക,అబార్ట్ టైమర్
കേവല വിലാസം,సంపూర్ణ చిరునామా
കേവല വിലാസം,సంపూర్ణ చిరునామా
കേവല അസംബന്ധം,సంపూర్ణ సమీకరించేవాడు
കേവല കോഡ്,సంపూర్ణ కోడ్
കേവല കോഡിംഗ്,సంపూర్ణ కోడింగ్
കേവല കമാൻഡ്,సంపూర్ణ ఆదేశం
കേവല കോർഡിനേറ്റ്,సంపూర్ణ కోఆర్డినేట్
കേവല ഡാറ്റ,సంపూర్ణ డేటా
കേവല പിശക്,సంపూర్ణ లోపం
കേവല പദപ്രയോഗം,సంపూర్ణ వ్యక్తీకరణ
കേവല പ്രബോധനം,సంపూర్ణ సూచన
കേവല ലോഡർ,సంపూర్ణ లోడర్
കേവല ക്രമം,సంపూర్ణ క్రమం
കേവല പ്രോഗ്രാമിംഗ്,సంపూర్ణ ప్రోగ్రామింగ్
കേവല പദം,సంపూర్ణ పదం
യഥാർത്ഥ മൂല്യം,సంపూర్ణ విలువ
കേവല വെക്റ്റർ,సంపూర్ణ వెక్టర్
വേര്പെട്ടുനില്ക്കുന്ന,నైరూప్య
അമൃതിയുള്ള,సంగ్రహించడం
അമൂർത്ത ചിഹ്നം,నైరూప్య చిహ్నం
ത്വരിതപ്പെടുത്തൽ കാലയളവ്,త్వరణం కాలం
ത്വരണം സമയം,త్వరణం సమయం
സരഭാരം,యాస
സ്വീകാര്യത പരിശോധന,అంగీకార పరీక్ష
പ്രവേശനം,యాక్సెస్
കൈ,యాక్సెస్ ఆర్మ్
ആക്സസ് ക്രമീകരണം,యాక్సెస్ అమరిక
അതോറിറ്റി ആക്സസ് ചെയ്യുക,యాక్సెస్ అథారిటీ
ആക്സസ് ചാർജ്,యాక్సెస్ ఛార్జ్
ആക്സസ് ക്ലാസ്,యాక్సెస్ క్లాస్
ഡാറ്റ ബേസ് മാനേജുമെന്റ് ആക്സസ് ചെയ്യുക,డేటా బేస్ మేనేజ్‌మెంట్ యాక్సెస్
പ്രവേശന അന്തരീക്ഷം,యాక్సెస్ ఎన్విరాన్మెంట్
വിടവ് ആക്സസ് ചെയ്യുക,యాక్సెస్ గ్యాప్
ആക്സസ് സൂചിക,ప్రాప్యత సూచిక
ആക്സസ് ലൈൻ,యాక్సెస్ లైన్
ആക്സസ് സംവിധാനം,యాక్సెస్ మెకానిజం
ആക്സസ് രീതി,యాక్సెస్ పద్ధతి
ആക്സസ് രീതി പതിവ്,యాక్సెస్ పద్ధతి దినచర్య
ആക്സസ് മോഡ്,యాక్సెస్ మోడ్
വലത് ആക്സസ്,హక్కును యాక్సెస్ చేయండి
ആക്സസ് സ്കാൻ,యాక్సెస్ స్కాన్
ആക്സസ് സമയം,ప్రాప్యత సమయం
അക്കൌണ്ടിംഗ്,అకౌంటింగ్
അക്ക ing ണ്ടിംഗ് ധനകാര്യ സംവിധാനം,అకౌంటింగ్ ఫైనాన్స్ సిస్టమ్
അക്ക ing ണ്ടിംഗ് മെഷീൻ,అకౌంటింగ్ మెషిన్
അക്കൗണ്ട് നമ്പർ,ఖాతా సంఖ్య
അടിഞ്ഞുകൂടുന്നത് പുനരുൽപാദനം,పునరుత్పత్తిదారుని కూడబెట్టుకోవడం
സഞ്ചിതം,సంచితం
സഞ്ചിത രജിസ്റ്റർ,సంచిత రిజిస్టర్
സഞ്ചിത ഷിഫ്റ്റ് നിർദ്ദേശം,సంచిత షిఫ్ట్ సూచన
കൃതത,ఖచ్చితత్వం
കൃത്യത നിയന്ത്രണ പ്രതീകം,ఖచ్చితత్వ నియంత్రణ పాత్ర
കൃത്യത നിയന്ത്രണ സംവിധാനം,ఖచ్చితత్వ నియంత్రణ వ్యవస్థ
എയ്സ് പൈലറ്റ്,ఏస్ పైలట్
പ്രതീകം അംഗീകരിക്കുക,పాత్రను గుర్తించండి
അക്കോസ്റ്റിക് കപ്ലർ,ఎకౌస్టిక్ కప్లర్
അക്കോസ്റ്റിക് കപ്ലിംഗ്,శబ్ద కలపడం
അക്ക ou സ്റ്റിക് കാലതാമസം,శబ్ద ఆలస్యం రేఖ
അക്കോസ്റ്റിക് മെമ്മറി,శబ్ద జ్ఞాపకశక్తి
അക്കോസ്റ്റിക് മോഡം,ఎకౌస్టిక్ మోడెమ్
അക്കോസ്റ്റിക് സിഗ്നൽ,శబ్ద సిగ్నల్
അക്ക ou സ്റ്റിക് സ്റ്റോറേജ്,శబ్ద నిల్వ
സംക്ഷേപം,ఎక్రోనిం
പവര്ത്തി,చర్య
പ്രവർത്തന ചക്രം,చర్య చక్రం
ആക്ഷൻ ലൈൻ,యాక్షన్ లైన్
ആക്ഷൻ സന്ദേശം,చర్య సందేశం
പ്രവർത്തന സവിശേഷത,చర్య స్పెసిఫికేషన్
സജീവമാക്കല്,క్రియాశీలత
സജീവമായ,క్రియాశీల
സജീവ ഫയൽ,యాక్టివ్ ఫైల్
സജീവ ലൈൻ,యాక్టివ్ లైన్
സജീവ ലിങ്ക്,క్రియాశీల లింక్
സജീവ മാസ്റ്റർ ഫയൽ,యాక్టివ్ మాస్టర్ ఫైల్
സജീവ മാസ്റ്റർ ഇനം,యాక్టివ్ మాస్టర్ ఐటెమ్
സജീവ ഉപഗ്രഹം,క్రియాశీల ఉపగ్రహం
സജീവ സ്റ്റേഷൻ,యాక్టివ్ స్టేషన్
സജീവ സംഭരണം,క్రియాశీల నిల్వ
പ്രവർത്തനം,కార్యాచరణ
പ്രവർത്തന നില,కార్యాచరణ స్థాయి
പ്രവർത്തന ലോഡിംഗ്,కార్యాచరణ లోడింగ్
പ്രവർത്തന അനുപാതം,కార్యాచరణ నిష్పత్తి
യഥാർത്ഥ വിലാസം (= കേവല വിലാസം),వాస్తవ చిరునామా (= సంపూర్ణ చిరునామా)
യഥാർത്ഥ കോഡ് (= കേവല കോഡ്),వాస్తవ కోడ్ (= సంపూర్ణ కోడ్)
യഥാർത്ഥ ഡാറ്റ കൈമാറ്റ നിരക്ക്,వాస్తవ డేటా బదిలీ రేటు
യഥാർത്ഥ ദശാംശസ്ഥാനം,వాస్తవ దశాంశ బిందువు
യഥാർത്ഥ നിർദ്ദേശം (= ഫലപ്രദമായ നിർദ്ദേശം),వాస్తవ సూచన (= ప్రభావవంతమైన సూచన)
യഥാർത്ഥ കീ,అసలు కీ
യഥാർത്ഥ സമയം,అసలు సమయం
യഥാർത്ഥ ജോലി സമയം,వాస్తవ పని సమయం
ആരംഭിക്കുന്ന സിഗ്നൽ,సిగ్నల్ యాక్చువేటింగ్
പൊരുത്തപ്പെടലി,అనుకూలత
അഡാപ്റ്റർ,అడాప్టర్
അഡാപ്റ്റീവ് ചാനൽ അനുവദിക്കൽ,అడాప్టివ్ ఛానల్ కేటాయింపు
അഡാപ്റ്റീവ് ഇന്റഗ്രേഷൻ,అడాప్టివ్ ఇంటిగ్రేషన్
