Assamese,Odiya
অজৈৱিক প্ৰজনন,ଆବିୟୋଟିକ୍ ପ୍ରଜନନ |
অস্বাভাৱিক,ପରମାନନ୍ଦ
১/ চতুৰ্থ পেট ২) ইভ’মাজম,1. ଚତୁର୍ଥ ପେଟ 2. ଇଭୋମାସୋମ୍ |
ষ্টোমেটাল বৃদ্ধিৰ অংগ,ଷ୍ଟୋମାଟାଲ୍ ବୃଦ୍ଧି ଅଙ୍ଗ |
স্তব্ধ বৃদ্ধিৰ বীজ,ଷ୍ଟଣ୍ଟେଡ୍ ଅଭିବୃଦ୍ଧି ମଞ୍ଜି |
১/ গৰ্ভপাত ২/ গৰ্ভপাত ৩/ বৃদ্ধি প্ৰতিৰোধ ক্ষমতা,1. ଗର୍ଭପାତ 2. ଗର୍ଭଧାରଣ 3. ଅଭିବୃଦ୍ଧି ପ୍ରତିରୋଧ |
১/ অবাঞ্চিত অপতৃণ ২/ সম্পূৰ্ণ অপতৃণ,1. ଅବାଞ୍ଛିତ ତୃଣକ 2. ସଂପୂର୍ଣ୍ଣ ତୃଣକ |
শোষিত কেটিয়ন,ଅବଶୋଷିତ କ୍ୟାସନ୍ |
শোষণ,ଅବଶୋଷଣ
এবিচিনিয়ান সৰিয়হ,ଅବିଶ୍ୱାସୀ ସୋରିଷ |
১.একেৰিচাইড,1. ଆକାରିସାଇଡ୍ |
centripetal,ସେଣ୍ଟ୍ରିପେଟାଲ୍ |
বৃদ্ধি (কোষ),ବୃଦ୍ଧି (କକ୍ଷ)
অনুমোদিত সহনশীলতা,ଅନୁମୋଦିତ ସହନଶୀଳତା |
1.অতিৰিক্ত 2. আনুষংগিক 3. আনুষংগিক,1. ଅତିରିକ୍ତ 2.accessory 3.accessory
অভিযোজন,ଆଡାପ୍ଟେସନ୍
সঞ্চয়,ଜମା
1.vaccuracy 2. নিখুঁততা,1. ସଠିକତା 2. ସଠିକତା |
১.এচাৰভুলাছ ২.স্প’ৰ’ফাইট,1. ଆକର୍ଭୁଲସ୍ 2. ସ୍ପୋରୋଫାଇଟ୍ |
১/ এচিটাইজেচন ২.ভিনেগাৰ বনোৱা ৩.এচিটাইলেন,1. ଏସିଟାଇଜେସନ୍ 2. ଭିନେଗାର ତିଆରି କରିବା 3. ଆସେଟିଲିନ୍ |
১.এচিডিকৰণ ২.এচিডিকৰণ,1. ଅମ୍ଳକରଣ 2. ଅମ୍ଳକରଣ |
১.এচিডমিটাৰ ২.এচিডিমিটাৰ,1. ଏସିଡୋମିଟର 2. ଏସିଡିମିଟର |
এচিডিটি,ଅମ୍ଳତା |
এচিডোফাইল,ଏସିଡୋଫାଇଲ୍ |
এচিডিফাইড ৰক ফছফেট,ଅମ୍ଳଯୁକ୍ତ ପଥର ଫସଫେଟ୍ |
এচিডিফাইড,ଅମ୍ଳଯୁକ୍ତ |
জলধাৰা,ଜଳଜଳ
অধিগ্ৰহণ,ଅଧିଗ୍ରହଣ
একৰ,ଏକର
১.ক্ষেত্ৰফল ২.ক্ষেত্ৰফল,1. କ୍ଷେତ୍ର 2. କ୍ଷେତ୍ର
শেষ বিন্দু ক্ৰম’জম,ଶେଷ ପଏଣ୍ଟ କ୍ରୋମୋଜୋମ୍ |
আগলৈ চাই থকা,ଆଗକୁ ଦେଖିବା
acrosome,ଆକ୍ରୋସୋମ୍ |
actinomycetes,ଆକ୍ଟିନୋମାଇସେଟ୍ସ |
সক্ৰিয় কোৰ,ସକ୍ରିୟ କୋର୍ |
1. উত্তেজিত 2. তীব্ৰ,1. କ୍ରୋଧିତ 2. ତୀବ୍ର
অভিযোজন ক্ষমতা,ଅନୁକୂଳତା
কাষ্টমাইজেচন,କଷ୍ଟମାଇଜେସନ୍
১.আঠাযুক্ততা ২.আঠাযুক্ততা,1. ଆଡେସିନ୍ 2. ଆଡେସିନ୍ |
তৈলাক্ত,sebaceous
সমন্বয় সমীকৰণ,ଆଡଜଷ୍ଟେସନ୍ ସମୀକରଣ
এডোব মাটি,ଆଡୋବ ମାଟି |
ব্যভিচাৰী,ବ୍ୟଭିଚାର
এক্ট&#39;পিক,ଏକ୍ଟୋପିକ୍
Isidiospore Isidium বিজাণু,Isidiospore Isidium Spore |
বায়ুগতিশীল প্ৰক্ৰিয়া,ଏରୋଡାଇନାମିକ୍ ପ୍ରକ୍ରିୟା |
ventral,ଭେଣ୍ଟ୍ରାଲ୍ |
বায়ুমণ্ডলীয় কৰা,ବିମାନକୁ
১.বায়ু ২.আকাশী,1. ବାୟୁ 2. ଆକାଶୀ |
১.এৰ’মিটাৰ ২.এৰ’মিটাৰ ৩.এৰ’মিটাৰ,1. ଏରୋମିଟର 2. ଏରୋମିଟର 3. ଏରୋମିଟର |
এৰ&#39;ছল,ଏରୋସୋଲ୍ |
১/ পুষ্পশোভিত ২) গ্ৰীষ্মকালীন নিদ্ৰা,1. ପୁଷ୍ପମାଲ୍ୟ 2. ଗ୍ରୀଷ୍ମ ଶୋଇବା |
ৰোগৰ বিজ্ঞান,ରୋଗ ବିଜ୍ଞାନ
বনানীকৰণ,ବୃକ୍ଷରୋପଣ
১.আন্দোলন ২.অস্থিৰতা,1. ଉତ୍ତେଜନା 2. ଅଶାନ୍ତିରତା |
