Gujarati,Assamese
વેસ્ટમિન્સ્ટરના એબી,ৱেষ্টমিনিষ্টাৰৰ এবে
ત્યાગી,এবডিটৰী
ગુલામી નાબૂદી,দাসত্ব বিলুপ্ত কৰা
એબોરિજિનલ,আদিবাসী
અબ્રાહમ યુગ,আব্ৰাহাম যুগ
ગેરહાજર મકાનમાલિકો,অনুপস্থিত ঘৰৰ মালিক
એકેડમી,একাডেমী
અકરા કોન્ફરન્સ,আক্ৰা সন্মিলন
સંસાધનો,এক্ৰুৱেল
સંવર્ધન,সংস্কৃতিকৰণ
એસેલડામા,এচেলডামা
અચેઅન (=અચિયન),আখিয়ান (=আচিয়ান)
આચિયન લીગ (=એચિયન લીગ),আচায়ান লীগ (=আচিয়ান লীগ)
એક્રોપોલિસ,এক্ৰ&#39;পলিছ
એક્ટા દીર્ના,এক্টা ডিউৰ্না
એક્ટા સેનાટસ,এক্টা চেনেটাছ
એક્ટ એડિશનલ,এক্টে এডিচনেল
સક્રિય રેકોર્ડ (=વર્તમાન રેકોર્ડ),সক্ৰিয় ৰেকৰ্ড (=বৰ্তমান ৰেকৰ্ড)
પ્રાપ્ત કરનારનું કાર્ય,প্ৰাপ্তিৰ কাৰ্য্য
ક્ષતિપૂર્તિ અને વિસ્મૃતિનું કાર્ય,ক্ষতিপূৰণ আৰু বিস্মৃতিৰ আইন
સમાધાનનો અધિનિયમ,বন্দোবস্তৰ আইন
જાહેરાત કરાર સીલ,এড কন্ট্ৰেক্টাছ ছীল
અદુલ્લામાઈટસ,এডুলামাইটছ
વિરોધી,বিৰোধী
વિરોધી,বিৰোধী
એઓન,ইয়ন
એરેરિયમ,এৰেৰিয়াম
હવાઈ યુદ્ધ,আকাশী যুদ্ধ
એટોલિયન લીગ,এটলিয়ান লীগ
ઉંમર,বয়স
વૃદ્ધત્વ (=વૃદ્ધત્વ),বয়স বৃদ্ধি (=বৃদ্ধাৱস্থা)
વૃદ્ધત્વ પ્રક્રિયા,বয়স বৃদ্ধিৰ প্ৰক্ৰিয়া
અગેલાઈ,আগেলাই
શૌર્યની ઉંમર,অশ্বাৰোহীৰ যুগ
જ્ઞાનની ઉંમર,এজ অৱ ইংলাইটমেণ্ট
પેરિકલ્સની ઉંમર,পেৰিক্লিছৰ বয়স
કારણની ઉંમર,যুক্তিৰ বয়স
કૃષિવાદ,কৃষিবাদ
કૃષિ આંદોલન,কৃষি আন্দোলন
એલ્બિયન,এলবিয়ন
આલ્બમ,এলবাম
એલ્ડરમેન,এলডাৰমেন
મોહક શસ્ત્રો,আলোকসজ্জা বাহু
સૌમ્યતા,এমিটি
એમ્ફિક્ટિઓનિક કાઉન્સિલ,এম্ফিক্টয়নিক কাউন্সিল
એમ્ફિક્ટિઓનિક લીગ,এম্ফিক্টয়নিক লীগ
એમ્ફીથિયેટર,এম্ফিথিয়েটাৰ
અમરી નલ જૂથ (માટીના વાસણો),অমৰি নল গোট (মৃৎশিল্পৰ)
અનાક્રોનિઝમ,এনাক্ৰ’নিজম
એનાક્રોનિસ્ટિક,এনাক্ৰ’নিষ্টিক
પૂર્વજ,পূৰ্বপুৰুষ
પૂર્વજની પૂજા,পূৰ্বপুৰুষ পূজা
વંશ,বংশ
વંશ,বংশ
વંશ,বংশ
વંશ,বংশ
પ્રાચીન શાસન,Ancien শাসন ব্যৱস্থা
પ્રાચીન,পৌৰাণিক
પ્રાચીન લોકગીત,প্ৰাচীন বেলাড
પ્રાચીન માન્યતા,প্ৰাচীন বিশ্বাস
પ્રાચીન રિવાજ,প্ৰাচীন প্ৰথা
પ્રાચીન ઇતિહાસ,প্ৰাচীন ইতিহাস
પ્રાચીન સ્મારકો,প্ৰাচীন কীৰ্তিচিহ্ন
ટુચકો,উপাখ্যান
એન્જેલોટ,এঞ্জেলট
એન્જલસ,এঞ্জেলছ
એન્જેવિન (=એન્જેવિન),এঞ্জেভিন (=anjevin)
ખૂણો,কোণ
એંગ્લિકન,এংলিকান
એંગ્લિકન કોમ્યુનિયન,এংলিকান কমিউনিয়ন
અંગ્રેજવાદ,এংলিকানিজম
એંગ્લો-ફોબ,এংলো-ফ’ব
એંગ્લો-ફોબિયા,এংলো-ফ’বিয়া
એંગ્લો-સેક્સન,এংলো-চেক্সন
એંગ્લો-સેક્સોનિઝમ,এংলো-চেক্সনবাদ
એનાલિસ્ટ,এনালিষ্ট
ઇતિહાસ,এনালছ
જોડાણ,সংলগ্নকৰণ
એન્ટિ-બેલમ,এণ্টে-বেলাম
તારીખ પહેલાં,এণ্টে তাৰিখ
ક્લેરિકલિઝમ વિરોધી,কেৰাণীবাদ বিৰোধী
કારકુની વિરોધી કાયદો,কেৰাণী বিৰোধী আইন
પ્રાચીનકાળ,প্ৰাচীনতা
વિરોધી ભાડા,ভাড়া বিৰোধী
વિરોધી ભાડા,ভাড়া বিৰোধী
વિરોધી સેમિટિઝમ,চেমিটিজম বিৰোধী
એન્ઝેક,এঞ্জেক
અપેલા,এপেলা
અરાલુ,আৰালু
