Gujarati,English
અબેકસ,abacus
અસામાન્ય સમાપ્તિ,abnormal termination
ગર્ભપાત,abort
સંપૂર્ણ,absolute
સંપૂર્ણ સરનામું,absolute address
સંપૂર્ણ સંબોધન,absolute addressing
સંપૂર્ણ એસેમ્બલર,absolute assembler
સંપૂર્ણ કોડ,absolute code
સંપૂર્ણ આદેશ,absolute command
સંપૂર્ણ ડેટા,absolute data
સંપૂર્ણ સૂચના,absolute instruction
સંપૂર્ણ મોડ,absolute mode
સંપૂર્ણ માર્ગ,absolute path
સંપૂર્ણ પ્રોગ્રામિંગ,absolute programming
અમૂર્ત વર્ગ,abstract class
અમૂર્ત ડેટા પ્રકાર,abstract data type
અમૂર્ત મશીન,abstract machine
અમૂર્ત પ્રતીક,abstract symbol
અમૂર્ત વાક્યરચના,abstract syntax
સ્વીકૃતિ પરીક્ષણ,acceptance testing
ઍક્સેસ પ્રમાણીકરણ,access authentication
ઍક્સેસ કોડ,access code
વપરાશ નિયંત્રણ,access control
એક્સેસ સ્કેન,access scan
સહાયક,accessory
એકાઉન્ટ,account
એકાઉન્ટ ID,account ID
સંચયક,accumulator
ચોકસાઈ,accuracy
ઍક્સેસ,acess
એક્સેસ કંટ્રોલ બાઈટ,acess control byte
એક્સેસ ઇન્ડેક્સ,acess index
ઍક્સેસ કી,acess key
એક્સેસ મેટ્રિક્સ,acess matrix
ઍક્સેસ મોડ,acess mode
એક્સેસ વિશેષાધિકાર,acess privilege
ઍક્સેસ સુરક્ષા,acess security
ઍક્સેસ સર્વર,acess server
ઍક્સેસ સમય,acess time
સ્વીકૃતિ,acknowledgement
ધ્વનિશાસ્ત્ર,acoustics
ટૂંકાક્ષર,acronym
ક્રિયા સંદેશ,action message
સક્રિયકરણ,activation
સક્રિય સર્વર પૃષ્ઠ (ASP),active server page (ASP)
સક્રિય સંસ્કરણ,active version
એસાયક્લિક,acyclic
એસાયક્લિક ગ્રાફ,acyclic graph
અદા ભાષા,Ada language
એડેપ્ટર,adapter
ઉમેરો,add
ફાઇલ ઉમેરો,add file
કામગીરી ઉમેરો,add operation
ઉમેરનાર,adder
સરનામું,address
સરનામું બસ,address bus
સરનામું ફાઇલ,address file
સરનામું ફોર્મેટ,address format
સરનામું જનરેટર,address generator
એડ્રેસ લાઇન,address line
સરનામું મેપિંગ,address mapping
સરનામું નિર્દેશક,address pointer
સરનામું રજીસ્ટર,address register
સરનામું રિઝોલ્યુશન,address resolution
સરનામા અનુવાદ,address translation
સંબોધિત મેમરી,addressed memory
સંબોધન,addressing
પર્યાપ્તતા માપદંડ,adequacy criteria
સંલગ્ન,adjoint
વહીવટ,administration
સંચાલક,administrator
એડોબ એક્રોબેટ,adobe acrobat
એડોબ ફોટોશોપ,adobe photoshop
એડવાન્સ બિઝનેસ એપ્લિકેશન પ્રોગ્રામિંગ (ABAP),Advance Business Application Programming (ABAP)
અદ્યતન ડેટા,advanced data
અદ્યતન માહિતી સિસ્ટમ,advanced information system
અદ્યતન ટેકનોલોજી (AT),advanced technology (AT)
એજન્ટ,agent
એકત્રીકરણ,aggregation
એરબોર્ન કમ્પ્યુટર સિસ્ટમ,airborne computer system
aldus પૃષ્ઠ નિર્માતા,aldus page maker
ચેતવણી બોક્સ,alert box
algol,algol
અલ્ગોરિધમ,algorithm
અલ્ગોરિધમ વિશ્લેષણ,algorithm analysis
અલ્ગોરિધમ કાર્યક્ષમતા,algorithm efficiency
ઉપનામ,alias
ગોઠવણી,alignment
ફાળવણી,allocation
આલ્ફાબેટીક,alphabetic
આલ્ફાન્યૂમેરિક,alphanumeric
આલ્ફાન્યૂમેરિક કી બોર્ડ,alphanumeric key board
આલ્ફા-પરીક્ષણ,alpha-test
આલ્ફા-સંસ્કરણ,alpha-version
alt કી,alt key
અલ્ટાવિસ્ટા,altavista
અસ્પષ્ટતા,ambiguity
અસ્પષ્ટ વ્યાકરણ,ambiguous grammar
અમેરિકન નેશનલ સ્ટાન્ડર્ડ ઇન્સ્ટિટ્યૂટ (ANSI),American National Standards Institute (ANSI)
અમેરિકન સ્ટાન્ડર્ડ કોડ ફોર ઇન્ફોર્મેશન ઇન્ટરચેન્જ (ASCII),American Standard Code For Information Interchange (ASCII)
એનાલોગ,analog
એનાલોગ કમ્પ્યુટર,analog computer
