Odiya,Malayalam
ଆବେଲିଆନ୍ ଗୋଷ୍ଠୀ |,അബെലിയൻ ഗ്രൂപ്പ്
ଆବେଲିଆନ୍ ସେମିଗ୍ରୁପ୍ |,അബെലിയൻ സെമിഗ്രൂപ്പ്
abscissa,abscissa
ସଂପୂର୍ଣ୍ଣ,കേവല
ସଂପୂର୍ଣ୍ଣ ସମ୍ମିଶ୍ରଣ |,കേവലമായ ഒത്തുചേരൽ
ସଂପୂର୍ଣ୍ଣ ତ୍ରୁଟି |,സമ്പൂർണ്ണ പിശക്
ସଂପୂର୍ଣ୍ଣ ସର୍ବାଧିକ,കേവല പരമാവധി
ସଂପୂର୍ଣ୍ଣ ସର୍ବନିମ୍ନ |,സമ്പൂർണ്ണ മിനിമം
ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ,യഥാർത്ഥ മൂല്യം
ସଂପୂର୍ଣ୍ଣ ବେଗ,കേവല വേഗത
ବିସ୍ତୃତ ବୀଜ ବର୍ଣ୍ଣନା |,അമൂർത്ത ബീജഗണിതം
ବିସ୍ତୃତ ଗୋଷ୍ଠୀ ସିଦ୍ଧାନ୍ତ |,അമൂർത്തമായ ഗ്രൂപ്പ് സിദ്ധാന്തം
ତ୍ୱରଣ,ത്വരണം
ମାଧ୍ୟାକର୍ଷଣ ହେତୁ ତ୍ୱରଣ |,ഗുരുത്വാകർഷണം മൂലം ത്വരണം
ଗ୍ରହଣୀୟ ପସନ୍ଦ ସେଟ୍ |,സ്വീകാര്യമായ ചോയ്സ് സെറ്റ്
ଗ୍ରହଣୀୟ ଗୁଣବତ୍ତା ସ୍ତର |,സ്വീകാര്യമായ നിലവാരം
ଗ୍ରହଣୀୟ ପରିସର |,സ്വീകാര്യമായ ശ്രേണി
ଗ୍ରହଣୀୟ ବିଶ୍ୱସନୀୟତା ସ୍ତର |,സ്വീകാര്യമായ വിശ്വാസ്യത നില
ଗ୍ରହଣୀୟ ନମୁନା,സ്വീകാര്യമായ സാമ്പിൾ
ସଂଗୃହିତ ତ୍ରୁଟି |,സഞ്ചിത പിശക്
ସଠିକତା,കൃത്യത
ଅଭିନୟ ଶକ୍ତି,പ്രവർത്തന ശക്തി
କାର୍ଯ୍ୟ,നടപടി
କାର୍ଯ୍ୟ ଏବଂ ପ୍ରତିକ୍ରିୟା,പ്രവർത്തനവും പ്രതികരണവും
ଆକ୍ଟୁରିଆଲ୍ ସାଇନ୍ସ |,യഥാർത്ഥ ശാസ്ത്രം
ତୀବ୍ର କୋଣିଆ ତ୍ରିରଙ୍ଗା |,നിശിത കോണുള്ള ത്രികോണം
acyclic,അസൈക്ലിക്
ଯୋଡନ୍ତୁ |,ചേർക്കുക
ଆଡର୍,ചേർക്കുന്നയാൾ
ଯୋଗ,കൂട്ടിച്ചേർക്കൽ
ଯୋଗ ସୂତ୍ର,കൂട്ടിച്ചേർക്കൽ സൂത്രവാക്യം
ଜଟିଳ ସଂଖ୍ୟାଗୁଡ଼ିକର ଯୋଗ |,സങ്കീർണ്ണ സംഖ്യകളുടെ കൂട്ടിച്ചേർക്കൽ
କାର୍ଯ୍ୟଗୁଡ଼ିକର ଯୋଗ,പ്രവർത്തനങ്ങളുടെ കൂട്ടിച്ചേർക്കൽ
ମାଟ୍ରିକ୍ସର ଯୋଗ,മെട്രിക്സുകളുടെ കൂട്ടിച്ചേർക്കൽ
ବହୁଭାଷୀ ଯୋଗ |,ബഹുപദങ്ങളുടെ കൂട്ടിച്ചേർക്കൽ
ସମ୍ଭାବ୍ୟତାର ଯୋଗ |,സാധ്യതകളുടെ കൂട്ടിച്ചേർക്കൽ
ଭେକ୍ଟର ଯୋଗ,വെക്റ്ററുകളുടെ കൂട്ടിച്ചേർക്കൽ
ଯୋଗ ତତ୍ତ୍ୱ,കൂട്ടിച്ചേർക്കൽ സിദ്ധാന്തം
ଯୋଗୀ ଗୋଷ୍ଠୀ |,സങ്കലന ഗ്രൂപ്പ്
ଯୋଗୀ ଓଲଟା |,വിപരീത വിപരീതം
ଯୋଗୀ ସମ୍ପତ୍ତି |,അഡിറ്റീവ് പ്രോപ്പർട്ടി
ଯୋଗୀତା |,അഡിറ്റിവിറ്റി
ସଂଲଗ୍ନ ମ୍ୟାଟ୍ରିକ୍ସ |,തൊട്ടടുത്തുള്ള മാട്രിക്സ്
ସଂଲଗ୍ନ,തൊട്ടടുത്തുള്ള
ସଂଲଗ୍ନ କୋଣ,അടുത്തുള്ള കോണുകൾ
ସଂଲଗ୍ନ ଭର୍ଟେକ୍ସ |,തൊട്ടടുത്തുള്ള ശീർഷകം
ସଂଲଗ୍ନ,ചേരുക
ସଂଲଗ୍ନ,തൊട്ടടുത്തുള്ള
ନିର୍ଣ୍ଣୟକାରୀ,അനുബന്ധ ഡിറ്റർമിനന്റ്
ଭିନ୍ନ ଭିନ୍ନ ସମୀକରଣ,അനുബന്ധ ഡിഫറൻഷ്യൽ സമവാക്യം
ସମୀକରଣ,അനുബന്ധ സമവാക്യം
ମ୍ୟାଟ୍ରିକ୍ସ ଯୋଡନ୍ତୁ |,അനുബന്ധ മാട്രിക്സ്
ମାଟ୍ରିକ୍ସର ଯୋଗ,മാട്രിക്സിന്റെ അനുബന്ധം
ମ୍ୟାଟ୍ରିକ୍ସ ଆଡୁଗେଟ୍ କରନ୍ତୁ |,അഡ്ജുഗേറ്റ് മാട്രിക്സ്
ଗ୍ରହଣୀୟ ନିଷ୍ପତ୍ତି କାର୍ଯ୍ୟ,സ്വീകാര്യമായ തീരുമാന പ്രവർത്തനം
ଗ୍ରହଣୀୟ ଅନୁମାନ,അനുവദനീയമായ അനുമാനം
ଏରୋଡାଇନାମିକ୍ ଫୋର୍ସ |,എയറോഡൈനാമിക് ശക്തി
ଏରୋଡାଇନାମିକ୍ସ |,എയറോഡൈനാമിക്സ്
ଆଫାଇନ୍ ଜ୍ୟାମିତି |,അഫൈൻ ജ്യാമിതി
