Punjabi,Kannada
ਏ ਬੀ ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ,ಎ ಬಿ ವರ್ಗದ ಆಂಪ್ಲಿಫಯರ್
ਵਿਗਾੜ,ವಿಪಥನ
ਅਸਧਾਰਨ ਸੰਚਾਰ,ಅಸಹಜ ಪ್ರಸರಣ
"ਅਣ-ਅਟੈਚਡ, ਆਮ ਤੌਰ &#39;ਤੇ, ਟੋਏ, ਕੱਟੇ ਹੋਏ, ਖੰਡਿਤ","ಜೋಡಿಸದ, ಸಾಮಾನ್ಯವಾಗಿ, ಹೊಂಡ, ಕತ್ತರಿಸಿದ, ಮುರಿತ"
ਗੁੰਮ ਸਪੈਕਟ੍ਰਮ,ಸ್ಪೆಕ್ಟ್ರಮ್ ಕಾಣೆಯಾಗಿದೆ
"ਪੂਰਨ, ਸੰਪੂਰਨ, ਨਿਰੰਤਰ, ਸੰਪੂਰਨ","ಸಂಪೂರ್ಣ, ಸಂಪೂರ್ಣ, ನಿರಂತರ, ಪರಿಪೂರ್ಣ"
ਪੂਰਨ ਨਮੀ,ಸಂಪೂರ್ಣ ಆರ್ದ್ರತೆ
ਪੂਰਨ ਗਤੀ,ಸಂಪೂರ್ಣ ವೇಗ
ਪੂਰਨ ਨਿਰੀਖਣ,ಸಂಪೂರ್ಣ ವೀಕ್ಷಣೆ
ਪੂਰਨ ਤਾਪਮਾਨ,ಸಂಪೂರ್ಣ ತಾಪಮಾನ
ਪੂਰਨ ਜ਼ੀਰੋ,ಸಂಪೂರ್ಣ ಶೂನ್ಯ
ਸੋਖਣਾ,ಹೀರಿಕೊಳ್ಳುತ್ತವೆ
"ਸੋਖਣ ਵਾਲਾ, ਸੋਖਣ ਵਾਲਾ","ಹೀರಿಕೊಳ್ಳುವ, ಹೀರಿಕೊಳ್ಳುವ"
ਸਮਾਈ ਸਮਰੱਥਾ,ಹೀರಿಕೊಳ್ಳುವ ಸಾಮರ್ಥ್ಯ
ਸਮਾਈ,ಹೀರಿಕೊಳ್ಳುವಿಕೆ
ਜਜ਼ਬ ਕਰਨ ਵਾਲਾ,ಹೀರಿಕೊಳ್ಳುವ
ਸਮਾਈ,ಹೀರಿಕೊಳ್ಳುವಿಕೆ
ਗੁਣਾ ਅਨੁਪਾਤ,ಬಹುಸಂಖ್ಯೆಯ ಅನುಪಾತ
ਤੇਜ਼ ਕਰੋ,ವೇಗವನ್ನು
ਜਲਦੀ,ಆತುರಪಟ್ಟರು
ਪ੍ਰਵੇਗ,ವೇಗವರ್ಧನೆ
ਗੰਭੀਰਤਾ ਦਾ ਪ੍ਰਵੇਗ,ಗುರುತ್ವಾಕರ್ಷಣೆಯ ವೇಗವರ್ಧನೆ
ਐਕਸਲੇਟਰ,ವೇಗವರ್ಧಕ
ਐਕਸਲੇਟਰ,ವೇಗವರ್ಧಕ
ਐਕਸਲੇਰੋਮੀਟਰ,ವೇಗವರ್ಧಕ
prestresser,ಪ್ರಿಸ್ಟ್ರೆಸರ್
ਸਵੀਕਾਰਯੋਗ ਟੈਸਟ,ಸ್ವೀಕಾರಾರ್ಹ ಪರೀಕ್ಷೆ
ਸਵੀਕਾਰ ਕਰਨ ਵਾਲਾ,ಸ್ವೀಕರಿಸುವವರು
ਦਾਨੀ ਅਣੂ,ದಾನಿ ಅಣು
"ਪਹੁੰਚ, ਉਡੀਕ, ਪਹੁੰਚਯੋਗਤਾ","ಪ್ರವೇಶ, ಕಾಯುವಿಕೆ, ಪ್ರವೇಶಿಸುವಿಕೆ"
ਪਹੁੰਚਯੋਗਤਾ,ಪ್ರವೇಶಿಸುವಿಕೆ
"ਵਾਧੂ, ਸਹਾਇਕ, ਸਹਾਇਕ (v.), ਸਹਾਇਕ ਉਪਕਰਣ (ed.)","ಹೆಚ್ಚುವರಿ, ಪರಿಕರ, ಪರಿಕರ (ವಿ.), ಪರಿಕರಗಳು (ಸಂ)"
ਪਹੁੰਚ ਦਾ ਸਮਾਂ,ಪ್ರವೇಶ ಸಮಯ
ਵਿਜ਼ਟਰ ਗਲਤੀ,ಸಂದರ್ಶಕರ ದೋಷ
ਵਿਵਸਥਾ,ಹೊಂದಾಣಿಕೆ
ਇਕੱਠਾ ਕੀਤਾ,ಸಂಗ್ರಹಿಸಲಾಗಿದೆ
"ਇਕੱਠਾ ਕਰਨਾ, ਇਕੱਠਾ ਕਰਨਾ","ಶೇಖರಣೆ, ಶೇಖರಣೆ"
ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ,ಸಂಚಯಕ
ਸ਼ੁੱਧਤਾ,ನಿಖರತೆ
ਅਸਲੀਅਤ,ರಿಯಾಲಿಟಿ
ਅਕ੍ਰੋਮੈਟਿਕ ਲੈਂਸ,ವರ್ಣರಹಿತ ಮಸೂರ
ਅਕ੍ਰੋਮੈਟਿਕ,ವರ್ಣರಹಿತ
ਰੰਗੀਨਤਾ,ವರ್ಣರಹಿತತೆ
ਧੁਨੀ,ಅಕೌಸ್ಟಿಕ್
ਸਾਊਂਡਪਰੂਫ਼,ಧ್ವನಿ ನಿರೋಧಕ
ਧੁਨੀ ਫੋਨੋਨ,ಅಕೌಸ್ಟಿಕ್ ಫೋನಾನ್
ਆਵਾਜ਼ ਯੂਨਿਟ,ಧ್ವನಿ ಘಟಕ
ਧੁਨੀ,ಅಕೌಸ್ಟಿಕ್
ਆਵਾਜ਼ ਜਨਰੇਟਰ,ಧ್ವನಿ ಜನರೇಟರ್
ਕਾਰਵਾਈ ਅਤੇ ਪ੍ਰਤੀਕਰਮ,ಕ್ರಿಯೆ ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆ
ਸਰਗਰਮੀ,ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ
ਸਰਗਰਮੀ ਊਰਜਾ,ಸಕ್ರಿಯಗೊಳಿಸುವ ಶಕ್ತಿ
"ਐਕਟੀਵੇਟਰ, ਐਕਟੀਵੇਟਰ","ಆಕ್ಟಿವೇಟರ್, ಆಕ್ಟಿವೇಟರ್"
ਕਿਰਿਆਸ਼ੀਲ,ಸಕ್ರಿಯ
ਸਰਗਰਮੀ,ಕ್ರಿಯಾಶೀಲತೆ
ਅਸਲ ਤਣਾਅ,ನಿಜವಾದ ಒತ್ತಡ
ਘੁਸਰ-ਮੁਸਰ,ಗುಸುಗುಸು
ਸੰਪੇਕਸ਼ਤ,ಒಟ್ಟುಗೂಡಿಸಲು
"ਜੋੜ, ਜੋੜ, ਕੁੱਲ (ਐਡੀ.), ਜੋੜ (v.)","ಮೊತ್ತ, ಸಂಕಲನ, ಒಟ್ಟು (ed.), ಸಂಯೋಜಕ (v.)"
"ਸੰਯੋਜਕ ਟੋਨ, ਵਾਧੂ ਸੁਰ (ਸਵਰ)","ಸಂಯೋಜಕ ಸ್ವರ, ಹೆಚ್ಚುವರಿ ಸ್ವರ (ಸ್ವರ)"
additive,ಸಂಯೋಜಕ
adhesion,ಅಂಟಿಕೊಳ್ಳುವಿಕೆ
ਚਿਪਕਣ ਵਾਲੀ ਊਰਜਾ,ಅಂಟಿಕೊಳ್ಳುವ ಶಕ್ತಿ
adiabat,ಅಡಿಯಾಬಟ್
adiabatic,ಅಡಿಯಾಬಾಟಿಕ್
ਗਰਮੀ ਇੰਸੂਲੇਟਿੰਗ,ಶಾಖ ನಿರೋಧಕ
ਲਗਾਵ,ಬಾಂಧವ್ಯ
ਵਿਵਸਥਿਤ,ಹೊಂದಾಣಿಕೆ
ਪ੍ਰਵੇਸ਼,ನುಗ್ಗುವಿಕೆ
ਸੋਸ਼ਣ,ಹೊರಹೀರುವಿಕೆ
ਅੱਗੇ,ಮುಂದೆ
ਪ੍ਰਗਤੀਸ਼ੀਲ,ಪ್ರಗತಿಪರ
