Punjabi,Assamese
ਅਬੇਲੀਅਨ ਸਮੂਹ,এবেলিয়ান গোট
ਅਬੇਲੀਅਨ ਸੈਮੀਗਰੁੱਪ,abelian অৰ্ধগোট
abscissa,abscissa
ਅਸੀਮ,নিৰপেক্ষ
ਪੂਰਨ ਕਨਵਰਜੈਂਸ,নিৰপেক্ষ অভিসৰণ
ਪੂਰਨ ਗਲਤੀ,নিৰপেক্ষ ভুল
ਪੂਰਨ ਅਧਿਕਤਮ,নিৰপেক্ষ সৰ্বোচ্চ
ਪੂਰਨ ਘੱਟੋ-ਘੱਟ,নিৰপেক্ষ নূন্যতম
ਸਹੀ ਮੁੱਲ,নিৰপেক্ষ মূল্য
ਪੂਰਨ ਗਤੀ,নিৰপেক্ষ বেগ
ਸਾਰ ਅਲਜਬਰਾ,বিমূৰ্ত বীজগণিত
ਐਬਸਟਰੈਕਟ ਗਰੁੱਪ ਥਿਊਰੀ,বিমূৰ্ত গোট তত্ত্ব
ਪ੍ਰਵੇਗ,বেগ বৃদ্ধি
ਗੰਭੀਰਤਾ ਦੇ ਕਾਰਨ ਪ੍ਰਵੇਗ,মাধ্যাকৰ্ষণৰ ফলত হোৱা ত্বৰণ
ਸਵੀਕਾਰਯੋਗ ਚੋਣ ਸੈੱਟ,গ্ৰহণযোগ্য পছন্দৰ ছেট
ਸਵੀਕਾਰਯੋਗ ਗੁਣਵੱਤਾ ਪੱਧਰ,গ্ৰহণযোগ্য গুণগত মানৰ স্তৰ
ਸਵੀਕਾਰਯੋਗ ਸੀਮਾ,গ্ৰহণযোগ্য পৰিসৰ
ਸਵੀਕਾਰਯੋਗ ਭਰੋਸੇਯੋਗਤਾ ਦਾ ਪੱਧਰ,গ্ৰহণযোগ্য নিৰ্ভৰযোগ্যতা স্তৰ
ਸਵੀਕਾਰਯੋਗ ਨਮੂਨਾ,গ্ৰহণযোগ্য নমুনা সংগ্ৰহ কৰা
ਸੰਚਿਤ ਗਲਤੀ,সঞ্চিত ভুল
ਸ਼ੁੱਧਤਾ,শুদ্ধতা
ਐਕਟਿੰਗ ਫੋਰਸ,ক্ৰিয়াশীল শক্তি
ਕਾਰਵਾਈ,কাৰ্য কৰা
ਕਾਰਵਾਈ ਅਤੇ ਪ੍ਰਤੀਕਰਮ,ক্ৰিয়া আৰু প্ৰতিক্ৰিয়া
ਅਸਲ ਵਿਗਿਆਨ,কৃষি বিজ্ঞান
ਤੀਬਰ ਕੋਣ ਵਾਲਾ ਤਿਕੋਣ,তীব্ৰ কোণীয়া ত্ৰিভুজ
acyclic,অচক্ৰীয়
ਸ਼ਾਮਲ ਕਰੋ,যোগ কৰা
ਜੋੜਨ ਵਾਲਾ,adder
ਇਸ ਤੋਂ ਇਲਾਵਾ,যোগ
ਜੋੜ ਫਾਰਮੂਲਾ,যোগ সূত্ৰ
ਗੁੰਝਲਦਾਰ ਸੰਖਿਆਵਾਂ ਦਾ ਜੋੜ,জটিল সংখ্যাৰ সংযোজন
ਫੰਕਸ਼ਨਾਂ ਦਾ ਜੋੜ,ফলনসমূহৰ সংযোজন
ਮੈਟ੍ਰਿਕਸ ਦੇ ਜੋੜ,মেট্ৰিক্সৰ সংযোজন
ਬਹੁਪਦ ਦਾ ਜੋੜ,বহুপদ যোগ কৰা
ਸੰਭਾਵਨਾਵਾਂ ਦਾ ਜੋੜ,সম্ভাৱনাৰ সংযোজন
ਵੈਕਟਰ ਦਾ ਜੋੜ,ভেক্টৰৰ সংযোজন
ਵਾਧੂ ਪ੍ਰਮੇਯ,যোগ উপপাদ্য
additive ਗਰੁੱਪ,যোগকৰণ গোট
additive ਉਲਟ,যোগকৰণৰ বিপৰীত
additive ਸੰਪਤੀ,যোগসূত্ৰৰ বৈশিষ্ট্য
additivity,যোগকৰণ
ਆਸਪਾਸ ਮੈਟ੍ਰਿਕਸ,সংলগ্নতা মেট্ৰিক্স
ਨੇੜੇ,পাৰ্শ্বৱৰ্তী
ਨੇੜੇ ਦੇ ਕੋਣ,কাষৰীয়া কোণ
ਨੇੜੇ ਦਾ ਸਿਰਾ,কাষৰীয়া শিখৰ
ਨਾਲ ਜੁੜੋ,adjoin
ਨਾਲ ਲੱਗਦੇ,সংলগ্ন
ਸੰਜੋਗ ਨਿਰਧਾਰਕ,সংযুক্ত নিৰ্ণায়ক
ਸੰਜੋਗ ਵਿਭਿੰਨ ਸਮੀਕਰਨ,সংযুক্ত অৱভেদ্য সমীকৰণ
ਸੰਜੋਗ ਸਮੀਕਰਨ,সংযুক্ত সমীকৰণ
ਸੰਜੋਗ ਮੈਟ੍ਰਿਕਸ,সংলগ্ন মেট্ৰিক্স
ਮੈਟ੍ਰਿਕਸ ਦਾ ਜੋੜ,মেট্ৰিক্সৰ সংযুক্ত
ਨਿਰਣਾਇਕ ਮੈਟ੍ਰਿਕਸ,এডজুগেট মেট্ৰিক্স
