Punjabi,English
abacus,abacus
ਅਸਧਾਰਨ ਸਮਾਪਤੀ,abnormal termination
ਅਧੂਰਾ ਛੱਡੋ,abort
ਅਸੀਮ,absolute
ਪੂਰਾ ਪਤਾ,absolute address
ਪੂਰਨ ਸੰਬੋਧਨ,absolute addressing
ਪੂਰਨ ਅਸੈਂਬਲਰ,absolute assembler
ਪੂਰਨ ਕੋਡ,absolute code
ਪੂਰਨ ਹੁਕਮ,absolute command
ਪੂਰਨ ਡਾਟਾ,absolute data
ਪੂਰਨ ਹਿਦਾਇਤ,absolute instruction
ਪੂਰਨ ਮੋਡ,absolute mode
ਪੂਰਨ ਮਾਰਗ,absolute path
ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ,absolute programming
ਐਬਸਟਰੈਕਟ ਕਲਾਸ,abstract class
ਸੰਖੇਪ ਡਾਟਾ ਕਿਸਮ,abstract data type
ਐਬਸਟਰੈਕਟ ਮਸ਼ੀਨ,abstract machine
ਸੰਖੇਪ ਚਿੰਨ੍ਹ,abstract symbol
ਸੰਖੇਪ ਸੰਟੈਕਸ,abstract syntax
ਸਵੀਕ੍ਰਿਤੀ ਟੈਸਟਿੰਗ,acceptance testing
ਪਹੁੰਚ ਪ੍ਰਮਾਣਿਕਤਾ,access authentication
ਐਕਸੈਸ ਕੋਡ,access code
ਪਹੁੰਚ ਕੰਟਰੋਲ,access control
ਐਕਸੈਸ ਸਕੈਨ,access scan
ਸਹਾਇਕ,accessory
ਖਾਤਾ,account
ਖਾਤਾ ID,account ID
ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ,accumulator
ਸ਼ੁੱਧਤਾ,accuracy
ਪਹੁੰਚ,acess
ਐਕਸੈਸ ਕੰਟਰੋਲ ਬਾਈਟ,acess control byte
ਐਕਸੈਸ ਇੰਡੈਕਸ,acess index
ਪਹੁੰਚ ਕੁੰਜੀ,acess key
ਐਕਸੈਸ ਮੈਟ੍ਰਿਕਸ,acess matrix
ਪਹੁੰਚ ਮੋਡ,acess mode
ਪਹੁੰਚ ਵਿਸ਼ੇਸ਼ਤਾ,acess privilege
ਸੁਰੱਖਿਆ ਤੱਕ ਪਹੁੰਚ,acess security
ਪਹੁੰਚ ਸਰਵਰ,acess server
ਪਹੁੰਚ ਦਾ ਸਮਾਂ,acess time
ਮਾਨਤਾ,acknowledgement
ਧੁਨੀ ਵਿਗਿਆਨ,acoustics
ਸੰਖੇਪ ਸ਼ਬਦ,acronym
ਕਾਰਵਾਈ ਸੁਨੇਹਾ,action message
ਸਰਗਰਮੀ,activation
ਐਕਟਿਵ ਸਰਵਰ ਪੇਜ (ਏਐਸਪੀ),active server page (ASP)
ਕਿਰਿਆਸ਼ੀਲ ਸੰਸਕਰਣ,active version
acyclic,acyclic
acyclic ਗ੍ਰਾਫ਼,acyclic graph
ਅਦਾ ਭਾਸ਼ਾ,Ada language
ਅਡਾਪਟਰ,adapter
ਸ਼ਾਮਲ ਕਰੋ,add
ਫਾਇਲ ਸ਼ਾਮਿਲ ਕਰੋ,add file
ਕਾਰਵਾਈ ਸ਼ਾਮਲ ਕਰੋ,add operation
ਜੋੜਨ ਵਾਲਾ,adder
ਪਤਾ,address
ਪਤਾ ਬੱਸ,address bus
ਐਡਰੈੱਸ ਫਾਈਲ,address file
ਪਤਾ ਫਾਰਮੈਟ,address format
ਪਤਾ ਜਨਰੇਟਰ,address generator
ਐਡਰੈੱਸ ਲਾਈਨ,address line
ਪਤਾ ਮੈਪਿੰਗ,address mapping
ਪਤਾ ਸੰਕੇਤਕ,address pointer
ਪਤਾ ਰਜਿਸਟਰ,address register
ਪਤਾ ਹੱਲ,address resolution
ਪਤਾ ਅਨੁਵਾਦ,address translation
ਸੰਬੋਧਿਤ ਮੈਮੋਰੀ,addressed memory
ਸੰਬੋਧਨ,addressing
ਅਨੁਕੂਲਤਾ ਦੇ ਮਾਪਦੰਡ,adequacy criteria
adjoint,adjoint
ਪ੍ਰਸ਼ਾਸਨ,administration
ਪ੍ਰਬੰਧਕ,administrator
ਅਡੋਬ ਐਕਰੋਬੈਟ,adobe acrobat
ਅਡੋਬ ਫੋਟੋਸ਼ਾਪ,adobe photoshop
ਐਡਵਾਂਸ ਬਿਜ਼ਨਸ ਐਪਲੀਕੇਸ਼ਨ ਪ੍ਰੋਗਰਾਮਿੰਗ (ABAP),Advance Business Application Programming (ABAP)
ਉੱਨਤ ਡਾਟਾ,advanced data
ਤਕਨੀਕੀ ਜਾਣਕਾਰੀ ਸਿਸਟਮ,advanced information system
ਉੱਨਤ ਤਕਨਾਲੋਜੀ (ਏ.ਟੀ.),advanced technology (AT)
ਏਜੰਟ,agent
ਏਕੀਕਰਨ,aggregation
ਏਅਰਬੋਰਨ ਕੰਪਿਊਟਰ ਸਿਸਟਮ,airborne computer system
aldus ਪੇਜ ਮੇਕਰ,aldus page maker
ਚੇਤਾਵਨੀ ਬਾਕਸ,alert box
ਐਲਗੋਲ,algol
ਐਲਗੋਰਿਦਮ,algorithm
ਐਲਗੋਰਿਦਮ ਵਿਸ਼ਲੇਸ਼ਣ,algorithm analysis
ਐਲਗੋਰਿਦਮ ਕੁਸ਼ਲਤਾ,algorithm efficiency
ਉਪਨਾਮ,alias
ਅਲਾਈਨਮੈਂਟ,alignment
ਵੰਡ,allocation
ਵਰਣਮਾਲਾ,alphabetic
ਅੱਖਰ ਅੰਕੀ,alphanumeric
ਅੱਖਰ ਅੰਕੀ ਕੁੰਜੀ ਬੋਰਡ,alphanumeric key board
ਅਲਫ਼ਾ-ਟੈਸਟ,alpha-test
ਅਲਫ਼ਾ-ਵਰਜਨ,alpha-version
alt ਕੁੰਜੀ,alt key
altavista,altavista
ਅਸਪਸ਼ਟਤਾ,ambiguity
ਅਸਪਸ਼ਟ ਵਿਆਕਰਣ,ambiguous grammar
ਅਮਰੀਕਨ ਨੈਸ਼ਨਲ ਸਟੈਂਡਰਡ ਇੰਸਟੀਚਿਊਟ (ANSI),American National Standards Institute (ANSI)
ਜਾਣਕਾਰੀ ਇੰਟਰਚੇਂਜ ਲਈ ਅਮਰੀਕੀ ਸਟੈਂਡਰਡ ਕੋਡ (ASCII),American Standard Code For Information Interchange (ASCII)
ਐਨਾਲਾਗ,analog
ਐਨਾਲਾਗ ਕੰਪਿਊਟਰ,analog computer
ਐਨਾਲਾਗ ਜੰਤਰ,analog device
ਐਨਾਲਾਗ ਮਾਡਮ,analog modem
ਐਨਾਲਾਗ ਟੂ ਡਿਜੀਟਲ ਕਨਵਰਟਰ (ADC),Analog To Digital Converter (ADC)
ਅਤੇ,AND
ਅਤੇ ਸਰਕਟ,AND circuit
ਅਤੇ ਗੇਟ,AND gate
ਅਤੇ ਕਾਰਵਾਈ ਨਹੀਂ (ਬੇਹੱਦ),AND not operation (Exclusion)
ਐਨੀਮੇਸ਼ਨ,animation
ਐਨੋਟੇਸ਼ਨ,annotation
ਅਸੰਗਤਤਾ,anomaly
