Hindi,Assamese
ए बी वर्ग प्रवर्धक,এটা B শ্ৰেণীৰ এম্প্লিফায়াৰ
"विपथन, अपेरण",বিচ্যুতি
असामान्य संचरण,অস্বাভাৱিক সংক্ৰমণ
"असंलग्न, सहसा, खड़आ, विच्छिन्न, खंडित","অসংলগ্ন, সাধাৰণতে, গাঁতযুক্ত, কাটি পেলোৱা, ভাঙি যোৱা"
लुप्त स्पेक्ट्रम,অনুপস্থিত বৰ্ণালী
"निरपेक्ष, परम, अचर, परिशुद्ध","নিৰপেক্ষ, নিৰপেক্ষ, ধ্ৰুৱক, নিখুঁত"
निरपेक्ष आर्द्रता,নিৰপেক্ষ আৰ্দ্ৰতা
निरपेक्ष गति,নিৰপেক্ষ গতি
निरपेक्ष प्रेक्षण,নিৰপেক্ষ পৰ্যবেক্ষণ
परम ताप,নিৰপেক্ষ উষ্ণতা
परम शून्य,নিৰপেক্ষ শূন্য
अवशोषण करना,শুহি লোৱা
"अवशोषक, अवशोषी","শোষক, শোষক"
अवशोषण सामर्थ्य,শোষণ ক্ষমতা
अवशोषणांश,শোষণ ক্ষমতা
अवशोषी,শোষক
अवशोषकता,শোষণ ক্ষমতা
बाहुल्य अनुपात,বহুগুণতা অনুপাত
त्वरित करना,ত্বৰান্বিত কৰক
त्वरित,খৰধৰকৈ উঠিল
त्वरण,বেগ বৃদ্ধি
गुरुत्व त्वरण,মাধ্যাকৰ্ষণৰ ত্বৰণ
त्वरक,ত্বৰণকাৰী
"त्वरित्र, त्वरक",ত্বৰণকাৰী
त्वरणमापी,এক্সিলেৰমিটাৰ
प्राक्प्रबलक,প্ৰিষ্ট্ৰেছাৰ
स्वीकारी परीक्षण,গ্ৰহণযোগ্য পৰীক্ষা
"ग्राही, स्वीकारी",গ্ৰহণকাৰী
आदाता अणु,দাতা অণু
"अभिगम, प्रतीक्षा, अभिगम्यता","প্ৰৱেশ, অপেক্ষা, অভিগম্যতা"
अभिगम्यता,অভিগম্যতা
"अतिरिक्त, सहायक, गौण (वि.), उपसाधन (सं.)","অতিৰিক্ত, আনুষংগিক, আনুষংগিক (v.), আনুষংগিক (ed.)"
अभिगम काल,প্ৰৱেশ সময়
आगन्तुक त्रुटि,দৰ্শকৰ ভুল
समंजन,সমন্বয়
संचित,সঞ্চিত কৰা হৈছে
"संचय, संचयन","সঞ্চয়, সঞ্চয়"
संचायक,এক্যুলেটৰ
यथार्थता,শুদ্ধতা
यथार्थ,বাস্তৱতা
अवर्णक लेन्स,ৰঙীন লেন্স
अवर्णक,achromatic
अवर्णकता,achromaticity
ध्वानिक,একাউষ্টিক
ध्वनिरुद्ध,শব্দ নিবাৰণ
ध्वानिक फ़ओनॉन,একাউষ্টিক ফ&#39;নন
ध्वनि-मात्रक,শব্দ একক
ध्वानिक,একাউষ্টিক
ध्वनि जनित्र,শব্দ উৎপাদক
क्रिया और प्रतिक्रिया,ক্ৰিয়া আৰু প্ৰতিক্ৰিয়া
सक्रियण,সক্ৰিয়কৰণ
सक्रियण उर्जा,সক্ৰিয়কৰণ শক্তি
"सक्रियकारक, सक्रियक","সক্ৰিয়কৰ্তা, সক্ৰিয়কৰ্তা"
सक्रिय,সক্ৰিয়
सक्रियता,সক্ৰিয়তা
वास्तविक प्रतिबल,প্ৰকৃত মানসিক চাপ
क्षिप्र उद्भासन,ফুচফুচাই কোৱা
"योग करना, जोड़ना",সামৰণিত
"योग, जोड़, संकलन (सं.), योगात्मक (वि.)","যোগ, যোগ, সমষ্টি (ed.), যোগ (v.)"
"संयोजी स्वर, अतिरिक्त टोन (स्वर)","সংযোগী সুৰ, অতিৰিক্ত সুৰ (স্বৰ)"
"योज्य, योगात्मक",যোগকৰণ
आसंजन,আঠাযুক্ততা
आसंजी ऊर्जा,আঠাযুক্ত শক্তি
ऐडियाबैट,আদিয়াবাট
रुद्धोष्म,adiabatic
उष्मा-अपार्य,তাপ নিৰোধক
संलग्न,সংলগ্ন কৰা হৈছে
समायोज्य,নিয়ন্ত্ৰণযোগ্য
प्रवेश्यता,ভেদ
अधिशोषण,শোষণ
अग्रगत,আগলৈ
प्रगामी,প্ৰগতিশীল
"आकाशी, वायव (वि.), एरियल (सं.)","আকাশী, বায়ু (v.), আকাশী (ed.)"
ऐन्टेना धारा,এন্টেনা ষ্ট্ৰিম
आकाशी सर्वेक्षण,আকাশী জৰীপ
वायव वेग,বায়ুৰ বেগ
वायुगतिक गुणांक,বায়ুগতিশীল সহগ
वायुगतिक,বায়ুগতিবিদ্যা
वायुगतिकी,বায়ুগতিবিদ্যা
वैमानिक,এৰোনটিকেল
वैमानिकी,এৰোনটিক্স
वायुस्पंद,বায়ুৰ স্পন্দন
