Assamese,Kannada
অজৈৱিক প্ৰজনন,ಅಜೀವಕ ಸಂತಾನೋತ್ಪತ್ತಿ
অস্বাভাৱিক,ಅಧಿಸಾಮಾನ್ಯ
১/ চতুৰ্থ পেট ২) ইভ’মাজম,1. ನಾಲ್ಕನೇ ಹೊಟ್ಟೆ 2. ಎವೋಮಾಸೋಮ್
ষ্টোমেটাল বৃদ্ধিৰ অংগ,ಸ್ಟೊಮಾಟಲ್ ಬೆಳವಣಿಗೆಯ ಅಂಗ
স্তব্ধ বৃদ্ধিৰ বীজ,ಕುಂಠಿತ ಬೆಳವಣಿಗೆ ಬೀಜ
১/ গৰ্ভপাত ২/ গৰ্ভপাত ৩/ বৃদ্ধি প্ৰতিৰোধ ক্ষমতা,1. ಗರ್ಭಪಾತ 2. ಗರ್ಭಪಾತ 3. ಬೆಳವಣಿಗೆಯ ಪ್ರತಿರೋಧ
১/ অবাঞ্চিত অপতৃণ ২/ সম্পূৰ্ণ অপতৃণ,1. ಅನಗತ್ಯ ಕಳೆಗಳು 2. ಸಂಪೂರ್ಣ ಕಳೆಗಳು
শোষিত কেটিয়ন,ಹೀರಿಕೊಳ್ಳಲ್ಪಟ್ಟ ಕ್ಯಾಷನ್
শোষণ,ಹೀರಿಕೊಳ್ಳುವಿಕೆ
এবিচিনিয়ান সৰিয়হ,ಅಬಿಸ್ಸಿನಿಯನ್ ಸಾಸಿವೆ
১.একেৰিচাইড,1. ಅಕಾರಿಸೈಡ್
centripetal,ಕೇಂದ್ರಾಭಿಮುಖ
বৃদ্ধি (কোষ),ವರ್ಧನೆ (ಕೋಶ)
অনুমোদিত সহনশীলতা,ಸಹಿಷ್ಣುತೆಯನ್ನು ಅನುಮೋದಿಸಲಾಗಿದೆ
1.অতিৰিক্ত 2. আনুষংগিক 3. আনুষংগিক,1.ಹೆಚ್ಚುವರಿ 2.ಪರಿಕರ 3.ಪರಿಕರ
অভিযোজন,ರೂಪಾಂತರ
সঞ্চয়,ಶೇಖರಣೆ
1.vaccuracy 2. নিখুঁততা,1.ವಾಕ್ಯುರಸಿ 2. ನಿಖರತೆ
১.এচাৰভুলাছ ২.স্প’ৰ’ফাইট,1. ಅಸೆರ್ವುಲಸ್ 2. ಸ್ಪೊರೊಫೈಟ್
১/ এচিটাইজেচন ২.ভিনেগাৰ বনোৱা ৩.এচিটাইলেন,1. ಅಸಿಟೈಸೇಶನ್ 2. ವಿನೆಗರ್ ತಯಾರಿಸುವುದು 3. ಅಸಿಟಿಲಿನ್
১.এচিডিকৰণ ২.এচিডিকৰণ,1. ಆಮ್ಲೀಕರಣ 2. ಆಮ್ಲೀಕರಣ
১.এচিডমিটাৰ ২.এচিডিমিটাৰ,1. ಆಸಿಡೋಮೀಟರ್ 2. ಆಸಿಡಿಮೀಟರ್
এচিডিটি,ಆಮ್ಲೀಯತೆ
এচিডোফাইল,ಅಸಿಡೋಫೈಲ್
এচিডিফাইড ৰক ফছফেট,ಆಮ್ಲೀಕೃತ ರಾಕ್ ಫಾಸ್ಫೇಟ್
এচিডিফাইড,ಆಮ್ಲೀಕೃತ
জলধাৰা,ಜಲಚರ
অধিগ্ৰহণ,ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವಿಕೆ
একৰ,ಎಕರೆ
১.ক্ষেত্ৰফল ২.ক্ষেত্ৰফল,1. ಪ್ರದೇಶ 2. ಪ್ರದೇಶ
শেষ বিন্দু ক্ৰম’জম,ಎಂಡ್ ಪಾಯಿಂಟ್ ಕ್ರೋಮೋಸೋಮ್
আগলৈ চাই থকা,ಮುಂದೆ ನೋಡುವ
acrosome,ಅಕ್ರೋಸೋಮ್
actinomycetes,ಆಕ್ಟಿನೊಮೈಸೆಟ್ಸ್
সক্ৰিয় কোৰ,ಸಕ್ರಿಯ ಕೋರ್
1. উত্তেজিত 2. তীব্ৰ,1. ಉಗ್ರ 2. ತೀವ್ರ
অভিযোজন ক্ষমতা,ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ
কাষ্টমাইজেচন,ಗ್ರಾಹಕೀಕರಣ
১.আঠাযুক্ততা ২.আঠাযুক্ততা,1. ಅಂಟಿಕೊಳ್ಳುವಿಕೆ 2. ಅಂಟಿಕೊಳ್ಳುವಿಕೆ
তৈলাক্ত,ಮೇದಸ್ಸಿನ
সমন্বয় সমীকৰণ,ಹೊಂದಾಣಿಕೆ ಸಮೀಕರಣ
এডোব মাটি,ಅಡೋಬ್ ಮಣ್ಣು
ব্যভিচাৰী,ಕಲಬೆರಕೆ
এক্ট&#39;পিক,ಅಪಸ್ಥಾನೀಯ
Isidiospore Isidium বিজাণু,ಇಸಿಡಿಯೋಸ್ಪೋರ್ ಐಸಿಡಿಯಮ್ ಸ್ಪೋರ್
বায়ুগতিশীল প্ৰক্ৰিয়া,ವಾಯುಬಲವೈಜ್ಞಾನಿಕ ಪ್ರಕ್ರಿಯೆ
ventral,ಕುಹರದ
বায়ুমণ্ডলীয় কৰা,ಗಾಳಿ ಹಾಕಲು
১.বায়ু ২.আকাশী,1. ಗಾಳಿ 2. ಆಕಾಶಿ
১.এৰ’মিটাৰ ২.এৰ’মিটাৰ ৩.এৰ’মিটাৰ,1. ಏರೋಮೀಟರ್ 2. ಏರೋಮೀಟರ್ 3. ಏರೋಮೀಟರ್
এৰ&#39;ছল,ಏರೋಸಾಲ್
১/ পুষ্পশোভিত ২) গ্ৰীষ্মকালীন নিদ্ৰা,1. ಹೂಗೊಂಚಲು 2. ಬೇಸಿಗೆ ಸುಪ್ತ
ৰোগৰ বিজ্ঞান,ರೋಗದ ವಿಜ್ಞಾನ
বনানীকৰণ,ಅರಣ್ಯೀಕರಣ
১.আন্দোলন ২.অস্থিৰতা,1. ತಳಮಳ 2. ಪ್ರಕ್ಷುಬ್ಧತೆ
আগমাৰ্ক,ಅಗ್ಮಾರ್ಕ್
১/ ভূমি সম্পৰ্কীয় ২/ কৃষি,1. ಭೂಮಿಗೆ ಸಂಬಂಧಿಸಿದ 2. ಕೃಷಿ
কৃষি ক্লিনিক,ಕೃಷಿ ಕ್ಲಿನಿಕ್
১/ কৃষি শ্ৰম ২) কৃষি শ্ৰম,1. ಕೃಷಿ ಕಾರ್ಮಿಕ 2. ಕೃಷಿ ಕಾರ್ಮಿಕ
কৃষি বিপণন,ಕೃಷಿ ಮಾರುಕಟ್ಟೆ
কৃষি প্ৰযুক্তি,ಕೃಷಿ ತಂತ್ರಜ್ಞಾನ
1. কৃষি 2. কৃষি 3. কৃষি বিজ্ঞান,1. ಕೃಷಿ 2. ಕೃಷಿ 3. ಕೃಷಿ ವಿಜ್ಞಾನ
কৃষি বনজ,ಕೃಷಿ ಅರಣ್ಯ
কৃষি জৈৱ বৈচিত্ৰ্য,ಕೃಷಿ ಜೀವವೈವಿಧ್ಯ
কৃষি জৈৱিক দোষ,ಕೃಷಿ ಸಾವಯವ ದೋಷಗಳು
কৃষি জীৱবিজ্ঞান,ಕೃಷಿ ಜೀವಶಾಸ್ತ್ರ
কৃষি-জলবায়ু বৈচিত্ৰ্য,ಕೃಷಿ-ಹವಾಮಾನ ವೈವಿಧ್ಯ
