Malayalam,Gujarati
അജിയോട്ടിക് പുനരുൽപാദനം,અજૈવિક પ્રજનન
അസാധാരണമായ,પેરાનોર્મલ
1. നാലാമത്തെ വയറ് 2. ഇവോമസോം,1. ચોથું પેટ 2. Evomasome
സ്റ്റോമറ്റൽ വളർച്ച അവയവം,સ્ટોમેટલ વૃદ્ધિ અંગ
വളർച്ച മുരടിച്ച വിത്ത്,રૂંધાયેલ વૃદ્ધિ બીજ
1. ഗർഭച്ഛിദ്രം 2. ഗർഭം അലസൽ 3. വളർച്ചയുടെ പ്രതിരോധം,1. ગર્ભપાત 2. કસુવાવડ 3. વૃદ્ધિ પ્રતિકાર
1. ആവശ്യമില്ലാത്ത കളകൾ 2. പൂർണ്ണമായ കളകൾ,1. અનિચ્છનીય નીંદણ 2. સંપૂર્ણ નીંદણ
ആഗിരണം ചെയ്യപ്പെട്ട കാറ്റേഷൻ,શોષિત કેશન
ആഗിരണം,શોષણ
അബിസീനിയൻ കടുക്,એબિસિનિયન મસ્ટર્ડ
1. acaricide,1. એકેરિસાઇડ
കേന്ദ്രാഭിമുഖം,કેન્દ્રબિંદુ
ആംപ്ലിഫിക്കേഷൻ (സെൽ),એમ્પ્લીફિકેશન (કોષ)
അനുവദിച്ച സഹിഷ്ണുത,મંજૂર સહનશીલતા
1.അഡീഷണൽ 2.അക്സസറി 3.അക്സസറി,1. વધારાની 2. સહાયક 3. સહાયક
പൊരുത്തപ്പെടുത്തൽ,અનુકૂલન
ശേഖരണം,સંચય
1. vaccuracy 2. കൃത്യത,1. શુષ્કતા 2. ચોકસાઇ
1. അസെർവുലസ് 2. സ്പോറോഫൈറ്റ്,1. એસેર્વ્યુલસ 2. સ્પોરોફાઇટ
1. അസറ്റൈസേഷൻ 2. വിനാഗിരി ഉണ്ടാക്കൽ 3. അസറ്റിലിൻ,1. એસિટાઈઝેશન 2. વિનેગર બનાવવું 3. એસિટિલેન
1. അസിഡിഫിക്കേഷൻ 2. അസിഡിഫിക്കേഷൻ,1. એસિડીકરણ 2. એસિડીકરણ
1. അസിഡോമീറ്റർ 2. അസിഡിമീറ്റർ,1. એસિડિમીટર 2. એસિડિમીટર
അസിഡിറ്റി,એસિડિટી
അസിഡോഫൈൽ,એસિડોફાઇલ
അസിഡിഫൈഡ് റോക്ക് ഫോസ്ഫേറ്റ്,એસિડિફાઇડ રોક ફોસ્ફેટ
അസിഡിഫൈഡ്,એસિડિફાઇડ
ജലാശയം,જલભર
കൈവശപ്പെടുത്തൽ,સંપાદન
ഏക്കർ,એકર
1. ഏരിയ 2. ഏരിയ,1. વિસ્તાર 2. વિસ્તાર
അവസാന പോയിന്റ് ക്രോമസോം,અંતિમ બિંદુ રંગસૂત્ર
മുന്നോട്ട് നോക്കുന്ന,આગળ દેખાતું
അക്രോസോം,એક્રોસમ
ആക്റ്റിനോമൈസെറ്റുകൾ,એક્ટિનોમીસેટ્સ
സജീവ കോർ,સક્રિય કોર
1. ക്രോധം 2. തീവ്രം,1. ગુસ્સે 2. તીવ્ર
പൊരുത്തപ്പെടുത്തൽ,અનુકૂલનક્ષમતા
ഇഷ്ടാനുസൃതമാക്കൽ,કસ્ટમાઇઝેશન
1. അഡീഷൻ 2. അഡീഷൻ,1. સંલગ્નતા 2. સંલગ્નતા
സെബാസിയസ്,સેબેસીયસ
ക്രമീകരിക്കൽ സമവാക്യം,ગોઠવણ સમીકરણ
അഡോബ് മണ്ണ്,એડોબ માટી
വ്യഭിചാരം,ભેળસેળ કરનાર
എക്ടോപിക്,એક્ટોપિક
ഇസിഡിയോസ്പോർ ഇസിഡിയം ബീജം,ઇસિડિયોસ્પોર ઇસિડિયમ બીજકણ
എയറോഡൈനാമിക് പ്രക്രിയ,એરોડાયનેમિક પ્રક્રિયા
വെൻട്രൽ,વેન્ટ્રલ
വായുസഞ്ചാരത്തിനായി,વાયુયુક્ત કરવું
1. വായു 2. ആകാശി,1. હવા 2. આકાશી
1. എയറോമീറ്റർ 2. എയറോമീറ്റർ 3. എയറോമീറ്റർ,1. એરોમીટર 2. એરોમીટર 3. એરોમીટર
എയറോസോൾ,એરોસોલ
1. പൂങ്കുല 2. വേനൽ സുഷുപ്തി,1. પુષ્પવૃત્તિ 2. ઉનાળાની નિષ્ક્રિયતા
രോഗ ശാസ്ത്രം,રોગનું વિજ્ઞાન
വനവൽക്കരണം,વનીકરણ
1. പ്രക്ഷോഭം 2. പ്രക്ഷുബ്ധത,1. આંદોલન 2. અશાંતિ
അഗ്മാർക്ക്,એગમાર્ક
1. ഭൂമിയുമായി ബന്ധപ്പെട്ട 2. കാർഷിക,1. જમીન સંબંધિત 2. કૃષિ
കാർഷിക ക്ലിനിക്ക്,કૃષિ ક્લિનિક
1. കാർഷിക തൊഴിലാളികൾ 2. കാർഷിക തൊഴിലാളികൾ,1. ખેત મજૂરી 2. ખેત મજૂરી
കാർഷിക വിപണനം,કૃષિ માર્કેટિંગ
കാർഷിക സാങ്കേതികവിദ്യ,કૃષિ ટેકનોલોજી
1. കൃഷി 2. കൃഷി 3. അഗ്രികൾച്ചറൽ സയൻസ്,1. કૃષિ 2. ખેતી 3. કૃષિ વિજ્ઞાન
കാർഷിക വനവൽക്കരണം,કૃષિ વનસંવર્ધન
കാർഷിക ജൈവവൈവിധ്യം,કૃષિ જૈવવિવિધતા
കാർഷിക ജൈവ വൈകല്യങ്ങൾ,કૃષિ કાર્બનિક ખામીઓ
കാർഷിക ജീവശാസ്ത്രം,કૃષિ જીવવિજ્ઞાન
കാർഷിക-കാലാവസ്ഥാ വൈവിധ്യം,કૃષિ-આબોહવાની વિવિધતા
കാർഷിക കാലാവസ്ഥാ മേഖല സൃഷ്ടിക്കൽ,એગ્રોક્લાઇમેટિક ઝોનની રચના
അഗ്രോഫോറസ്ട്രി,કૃષિ વનીકરણ
കാർഷിക ശാസ്ത്രം,કૃષિ વિજ્ઞાન
അഗ്രോണമിക്,કૃષિવિજ્ઞાન
കാർഷിക ഇടയൻ,કૃષિ પશુપાલન
വിള സംസ്കരണം,પાક પ્રક્રિયા
പുല്ല് ശാസ്ത്രം,ઘાસ વિજ્ઞાન
വിള തരം,પાકનો પ્રકાર
എപ്പിഫൈറ്റ്,એપિફાઇટ
aikiochi മണ്ണ്,aikiochi માટી
വർണ്ണാന്ധത,રંગ અંધત્વ
ആൽഫിസോൾ,આલ્ફીસોલ
ആൽഗകൾ,શેવાળ
ആൽഗ രോഗം,શેવાળ રોગ
ആൽക്കലി വെള്ളം,આલ્કલી પાણી
ആൽക്കലൈൻ,આલ્કલાઇન
ബദൽ,વૈકલ્પિક
അല്ലെലോ രസതന്ത്രം,એલેલો રસાયણશાસ્ત્ર
അല്ലീൽ,એલીલ
അല്ലെലോപ്പതി,એલોપથી
വേത്തി വിള,વેથી પાક
പൂർത്തീകരണം,પૂર્ણતા
ബീജസങ്കലനം,ગર્ભાધાન
1. ആപേക്ഷികത 2. അലോമെട്രി,1. સાપેક્ષતા 2. એલોમેટ્રી
മൾട്ടിപ്ലോയിഡി,મલ્ટીપ્લોઇડી
1. പാരാസിഗോസിറ്റി,1. પેરાઝીગોસિટી
1. ഇതര വർഷത്തെ പ്രവർത്തനം 2. ഇതര പ്രവർത്തനം,1. વૈકલ્પિક વર્ષ કાર્ય 2. વૈકલ્પિક કાર્ય
ബദൽ ഭൂമി ഉപയോഗം,વૈકલ્પિક જમીનનો ઉપયોગ
പരിസ്ഥിതി,પર્યાવરણ
പരിഷ്കർത്താവ്,સુધારક
മൈറ്റോസിസ്,મિટોસિસ
ആമീനൻ,આમીન
അമോണിയൻ,એમોનિયન
അമ്നിഫെറസ്,એમ્નિફરસ
1. ഫലപ്രദമല്ലാത്ത രൂപം 2. അരൂപി,1. બિનઅસરકારક સ્વરૂપ 2. અરૂપી
ഉഭയജീവി മിശ്രിതം,ઉભયજીવી મિશ્રણ
ആംഫോട്ടെറിക്,એમ્ફોટેરિક
സ്റ്റോക്ക്പൈലിംഗ്,સંગ્રહ
1. അനറോബിക് 2. അനറോബിക് ഓർഗാനിസംസ്,1. એનારોબિક 2. એનારોબિક સજીવો
ഹാപ്ലോയിഡ്,હેપ્લોઇડ
കോണീയ നടീൽ,કોણીય વાવેતર
മൃഗസംരക്ഷണം,પશુપાલન
മൃഗ വിസർജ്ജനം,પ્રાણીના મળમૂત્ર
ജീവനുള്ള ഊർജ്ജം,જીવંત ઊર્જા
അസാധാരണമായ,વિસંગત
ഒരു വർഷം പഴക്കമുള്ള ചെടി,એક વર્ષ જૂનો છોડ
വാർഷിക,વાર્ષિક
1. പരമാനന്ദം 2. പ്രഭ,1. પરમાનંદ 2. ઉજાસ
ആന്ത്രാക്സ്,એન્થ્રેક્સ
നരവംശ ഘടകങ്ങൾ,એન્થ્રોપોજેનિક પરિબળો
അതിജീവനം,અસ્તિત્વ
1. ആന്റിബയോട്ടിക് 2. ആന്റിബയോട്ടിക്,1. એન્ટિબાયોટિક 2. એન્ટિબાયોટિક
വെറുപ്പുളവാക്കുന്ന,પ્રતિકૂળ
ആന്റിഓക്‌സിഡന്റ്,એન્ટીઑકિસડન્ટ
ആന്റിടോക്സിൻ,એન્ટિટોક્સિન
മോതിര വിരൽ,રિંગ આંગળી
