Odiya,Marathi
ପରିତ୍ୟାଗ,गर्भपात
ଟାଇମର୍ ପରିତ୍ୟାଗ କରନ୍ତୁ |,गर्भपात टाइमर
ସଂପୂର୍ଣ୍ଣ ଠିକଣା,परिपूर्ण पत्ता
ସଂପୂର୍ଣ୍ଣ ଠିକଣା,परिपूर्ण पत्ता
ସଂପୂର୍ଣ୍ଣ ଏକତ୍ରିତ ବ୍ୟକ୍ତି |,परिपूर्ण असेंबलर
ସଂପୂର୍ଣ୍ଣ କୋଡ୍,परिपूर्ण कोड
ସଂପୂର୍ଣ୍ଣ କୋଡିଂ |,परिपूर्ण कोडिंग
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ,परिपूर्ण आज्ञा
ସଂପୂର୍ଣ୍ଣ ସଂଯୋଜନା |,परिपूर्ण समन्वय
ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |,परिपूर्ण डेटा
ସଂପୂର୍ଣ୍ଣ ତ୍ରୁଟି |,परिपूर्ण त्रुटी
ସଂପୂର୍ଣ୍ଣ ଅଭିବ୍ୟକ୍ତି |,परिपूर्ण अभिव्यक्ती
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶନାମା,परिपूर्ण सूचना
ସଂପୂର୍ଣ୍ଣ ଲୋଡର୍ |,परिपूर्ण लोडर
ସଂପୂର୍ଣ୍ଣ କ୍ରମ,परिपूर्ण ऑर्डर
ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |,परिपूर्ण प्रोग्रामिंग
ସଂପୂର୍ଣ୍ଣ ଶବ୍ଦ,परिपूर्ण संज्ञा
ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ,परिपूर्ण मूल्य
ସଂପୂର୍ଣ୍ଣ ଭେକ୍ଟର |,परिपूर्ण वेक्टर
ବିସ୍ତୃତ,गोषवारा
ବିସ୍ତୃତ,अमूर्त
ବିସ୍ତୃତ ପ୍ରତୀକ |,अमूर्त प्रतीक
ତ୍ୱରଣ ସମୟ,प्रवेग कालावधी
ତ୍ୱରାନପୂର୍ଣ୍ଣ ସମୟ |,प्रवेग वेळ
ଉଚ୍ଚାରଣ,उच्चारण
ଗ୍ରହଣ ପରୀକ୍ଷା,स्वीकृती चाचणी
ପ୍ରବେଶ,प्रवेश
ଆକ୍ସେସ୍ ବାହୁ,प्रवेश आर्म
ପ୍ରବେଶ ବ୍ୟବସ୍ଥା,प्रवेश व्यवस्था
ପ୍ରବେଶ କର ପ୍ରାଧିକରଣ,प्रवेश प्राधिकरण
ପ୍ରବେଶ ଚାର୍ଜ,प्रवेश शुल्क
ଶ୍ରେଣୀ ଶ୍ରେଣୀ,प्रवेश वर्ग
ଡାଟା ବେସ୍ ମ୍ୟାନେଜମେଣ୍ଟକୁ ପ୍ରବେଶ କରନ୍ତୁ |,प्रवेश डेटा बेस व्यवस्थापन
ପ୍ରବେଶ ପରିବେଶ ସେବା,प्रवेश वातावरण
ଫାଗ୍ ଆକ୍ସେସ୍ କରନ୍ତୁ |,प्रवेश अंतर
ପ୍ରବେଶ ସୂଚକାଙ୍କ,प्रवेश निर्देशांक
ଆକ୍ସେସ୍ ଲାଇନ୍ |,Line क्सेस लाइन
ମେକାନିଜିମ୍ ଆକ୍ସେସ୍ ଆକ୍ସେସ୍ କରନ୍ତୁ |,प्रवेश यंत्रणा
ପ୍ରବେଶ ପଦ୍ଧତି,प्रवेश पद्धत
ଆକ୍ସେସ୍ ପଦ୍ଧତି ରୁଟିନ୍ |,प्रवेश पद्धत दिनचर्या
ପ୍ରବେଶ ମୋଡ୍,प्रवेश मोड
ଅଧିକାର ପ୍ରବେଶ,प्रवेश बरोबर
ପ୍ରବେଶ ସ୍କାନ,प्रवेश स्कॅन
ସମୟ ପ୍ରବେଶ କରନ୍ତୁ |,प्रवेश वेळ
ହିସାବ,लेखा
ହିସାବ ଆର୍ଥିକ ବ୍ୟବସ୍ଥା,लेखा वित्त प्रणाली
ହିସାବ ଯନ୍ତ୍ର,लेखा मशीन
ଖାତା ସଂଖ୍ୟା,खाते क्रमांक
ପୁନର୍ବାର ଜମା କରିବା |,पुनरुत्पादक संचय
ଆକ୍ୟୁମୁଲେଟର,संचयक
ଆକ୍ୟୁମୁଲେଟର ରେଜିଷ୍ଟର |,संचयक नोंदणी
ଆକ୍ୟୁମୁଲେଟର ସିଫ୍ଟ ନିର୍ଦ୍ଦେଶ |,संचयक शिफ्ट सूचना
ସଠିକତା,अचूकता
ସଠିକତା ନିୟନ୍ତ୍ରଣ ଚରିତ୍ର |,अचूकता नियंत्रण वर्ण
ସଠିକତା ନିୟନ୍ତ୍ରଣ ବ୍ୟବସ୍ଥା |,अचूकता नियंत्रण प्रणाली
Ace ପାଇଲଟ୍ |,ऐस पायलट
ସ୍ୱୀକାର କରନ୍ତୁ ବର୍ଣ୍ଣ,चरित्र कबूल करा
ଆକାଶବାଣୀ କପତର୍ |,ध्वनिक कपलर
ଆକାଶବାଣୀ କଣ୍ଟା |,ध्वनिक कपलिंग
ଆକାଶବାଣୀ ବିଳମ୍ବ ରେଖା |,ध्वनिक विलंब रेखा
ଆକାଶବାଣୀ ସ୍ମୃତି,ध्वनिक मेमरी
ଆକାଶବାଣୀ ମୋଡେମ୍ |,ध्वनिक मॉडेम
ଆକାଶବାଣୀ ସଙ୍କେତ |,ध्वनिक सिग्नल
ଆକାଶବାଣୀ ସଂରକ୍ଷଣ |,ध्वनिक संचयन
ଆକ୍ରୋନିମ୍ |,परिवर्णी शब्द
କାର୍ଯ୍ୟ,क्रिया
କ୍ରିୟା ଚକ୍ର,कृती चक्र
କ୍ରିୟା ରେଖା,कृती ओळ
କ୍ରିୟା ବାର୍ତ୍ତା,कृती संदेश
କାର୍ଯ୍ୟ ନିର୍ଦ୍ଦିଷ୍ଟକରଣ |,कृती तपशील
ସକ୍ରିୟକରଣ,सक्रियकरण
ସକ୍ରିୟ,सक्रिय
ସକ୍ରିୟ ଫାଇଲ,सक्रिय फाईल
ସକ୍ରିୟ ରେଖା,सक्रिय ओळ
ସକ୍ରିୟ ଲିଙ୍କ୍ |,सक्रिय दुवा
ସକ୍ରିୟ ମାଷ୍ଟର ଫାଇଲ |,सक्रिय मास्टर फाइल
ସକ୍ରିୟ ମାଷ୍ଟର ଆଇଟମ୍ |,सक्रिय मास्टर आयटम
ସକ୍ରିୟ ଉପଗ୍ରହ |,सक्रिय उपग्रह
ସକ୍ରିୟ ଷ୍ଟେସନ,सक्रिय स्टेशन
ସକ୍ରିୟ ସଂରକ୍ଷଣ,सक्रिय संचयन
କାର୍ଯ୍ୟକଳାପ,क्रियाकलाप
କାର୍ଯ୍ୟକଳାପ ସ୍ତର,क्रियाकलाप पातळी
କାର୍ଯ୍ୟକଳାପ ଲୋଡିଂ,क्रियाकलाप लोडिंग
