Odiya,Marathi
ଆବେଲିଆନ୍ ଗୋଷ୍ଠୀ |,अबेलियन गट
ଆବେଲିଆନ୍ ସେମିଗ୍ରୁପ୍ |,अबेलियन अर्धसमूह
abscissa,abscissa
ସଂପୂର୍ଣ୍ଣ,निरपेक्ष
ସଂପୂର୍ଣ୍ଣ ସମ୍ମିଶ୍ରଣ |,परिपूर्ण अभिसरण
ସଂପୂର୍ଣ୍ଣ ତ୍ରୁଟି |,पूर्ण त्रुटी
ସଂପୂର୍ଣ୍ଣ ସର୍ବାଧିକ,परिपूर्ण कमाल
ସଂପୂର୍ଣ୍ଣ ସର୍ବନିମ୍ନ |,परिपूर्ण किमान
ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ,परिपूर्ण मूल्य
ସଂପୂର୍ଣ୍ଣ ବେଗ,परिपूर्ण वेग
ବିସ୍ତୃତ ବୀଜ ବର୍ଣ୍ଣନା |,अमूर्त बीजगणित
ବିସ୍ତୃତ ଗୋଷ୍ଠୀ ସିଦ୍ଧାନ୍ତ |,अमूर्त गट सिद्धांत
ତ୍ୱରଣ,प्रवेग
ମାଧ୍ୟାକର୍ଷଣ ହେତୁ ତ୍ୱରଣ |,गुरुत्वाकर्षणामुळे प्रवेग
ଗ୍ରହଣୀୟ ପସନ୍ଦ ସେଟ୍ |,स्वीकार्य निवड संच
ଗ୍ରହଣୀୟ ଗୁଣବତ୍ତା ସ୍ତର |,स्वीकार्य गुणवत्ता पातळी
ଗ୍ରହଣୀୟ ପରିସର |,स्वीकार्य श्रेणी
ଗ୍ରହଣୀୟ ବିଶ୍ୱସନୀୟତା ସ୍ତର |,स्वीकार्य विश्वसनीयता पातळी
ଗ୍ରହଣୀୟ ନମୁନା,स्वीकार्य नमुना
ସଂଗୃହିତ ତ୍ରୁଟି |,संचित त्रुटी
ସଠିକତା,अचूकता
ଅଭିନୟ ଶକ୍ତି,अभिनय शक्ती
କାର୍ଯ୍ୟ,क्रिया
କାର୍ଯ୍ୟ ଏବଂ ପ୍ରତିକ୍ରିୟା,क्रिया आणि प्रतिक्रिया
ଆକ୍ଟୁରିଆଲ୍ ସାଇନ୍ସ |,वास्तविक विज्ञान
ତୀବ୍ର କୋଣିଆ ତ୍ରିରଙ୍ଗା |,तीव्र कोन त्रिकोण
acyclic,अॅसायक्लिक
ଯୋଡନ୍ତୁ |,जोडा
ଆଡର୍,जोडणारा
ଯୋଗ,या व्यतिरिक्त
ଯୋଗ ସୂତ୍ର,जोड सूत्र
