Bengali,Assamese
অ্যাবাকাস,abacus
অস্বাভাবিক সমাপ্তি,অস্বাভাৱিক সমাপ্তি
গর্ভপাত,abort
পরম,নিৰপেক্ষ
পরম ঠিকানা,নিৰপেক্ষ ঠিকনা
পরম ঠিকানা,নিৰপেক্ষ সম্বোধন
পরম সংযোজনকারী,নিৰপেক্ষ এছেম্বলাৰ
পরম কোড,নিৰপেক্ষ ক&#39;ড
পরম আদেশ,নিৰপেক্ষ আদেশ
পরম তথ্য,নিৰপেক্ষ তথ্য
পরম নির্দেশ,নিৰপেক্ষ নিৰ্দেশনা
পরম মোড,নিৰপেক্ষ ধৰণ
পরম পথ,নিৰপেক্ষ পথ
পরম প্রোগ্রামিং,নিৰপেক্ষ প্ৰগ্ৰেমিং
বিমূর্ত ক্লাস,বিমূৰ্ত শ্ৰেণী
বিমূর্ত তথ্য প্রকার,বিমূৰ্ত তথ্যৰ ধৰণ
বিমূর্ত মেশিন,বিমূৰ্ত মেচিন
বিমূর্ত প্রতীক,বিমূৰ্ত চিহ্ন
বিমূর্ত বাক্য গঠন,বিমূৰ্ত বাক্যবিন্যাস
স্বীকৃতি যাচাইকরণ,গ্ৰহণযোগ্যতা পৰীক্ষা
অ্যাক্সেস প্রমাণীকরণ,প্ৰৱেশ প্ৰমাণীকৰণ
প্রবেশাধিকার কোড,প্ৰৱেশ ক&#39;ড
প্রবেশাধিকার নিয়ন্ত্রণ,প্ৰৱেশ নিয়ন্ত্ৰণ
অ্যাক্সেস স্ক্যান,এক্সেছ স্কেন
আনুষঙ্গিক,আনুষংগিক বস্তু
অ্যাকাউন্ট,একাউণ্ট
অ্যাকাউন্ট আইডি,একাউণ্ট আইডি
সঞ্চয়কারী,এক্যুলেটৰ
সঠিকতা,শুদ্ধতা
অ্যাক্সেস,acess
অ্যাক্সেস নিয়ন্ত্রণ বাইট,প্ৰৱেশ নিয়ন্ত্ৰণ বাইট
অ্যাক্সেস সূচক,acess index
অ্যাক্সেস কী,acess key
অ্যাক্সেস ম্যাট্রিক্স,acess মেট্ৰিক্স
অ্যাক্সেস মোড,প্ৰৱেশ ধৰণ
প্রবেশাধিকার,acess বিশেষাধিকাৰ
অ্যাক্সেস নিরাপত্তা,acess security
অ্যাক্সেস সার্ভার,এচেছ চাৰ্ভাৰ
অ্যাক্সেস সময়,acess সময়
স্বীকৃতি,স্বীকৃতি
ধ্বনিবিদ্যা,শব্দবিজ্ঞান
সংক্ষিপ্ত রূপ,সংক্ষিপ্ত ৰূপ
কর্ম বার্তা,কাৰ্য্য বাৰ্তা
সক্রিয়করণ,সক্ৰিয়কৰণ
সক্রিয় সার্ভার পৃষ্ঠা (এএসপি),সক্ৰিয় চাৰ্ভাৰ পৃষ্ঠা (ASP)
সক্রিয় সংস্করণ,সক্ৰিয় সংস্কৰণ
অ্যাসাইক্লিক,অচক্ৰীয়
অ্যাসাইক্লিক গ্রাফ,অচক্ৰীয় গ্ৰাফ
অ্যাডা ভাষা,আদা ভাষা
অ্যাডাপ্টার,এডাপ্টাৰ
যোগ করুন,যোগ কৰা
ফাইল যুক্ত কর,ফাইল যোগ কৰক
অপারেশন যোগ করুন,অপাৰেচন যোগ কৰক
যোগকারী,adder
ঠিকানা,ঠিকনা
ঠিকানা বাস,ঠিকনা বাছ
ঠিকানা ফাইল,ঠিকনা নথিপত্ৰ
ঠিকানা বিন্যাস,ঠিকনা বিন্যাস
