Tamil,Marathi
அபாகஸ்,अॅबॅकस
அசாதாரண நிறுத்தம்,असामान्य समाप्ती
கருக்கலைப்பு,गर्भपात
அறுதி,निरपेक्ष
முழுமையான முகவரி,परिपूर्ण पत्ता
முழுமையான முகவரி,निरपेक्ष संबोधन
முழுமையான அசெம்பிளர்,परिपूर्ण असेंबलर
முழுமையான குறியீடு,परिपूर्ण कोड
முழுமையான கட்டளை,निरपेक्ष आज्ञा
முழுமையான தரவு,परिपूर्ण डेटा
முழுமையான அறிவுறுத்தல்,परिपूर्ण सूचना
முழுமையான பயன்முறை,परिपूर्ण मोड
முழுமையான பாதை,परिपूर्ण मार्ग
முழுமையான நிரலாக்கம்,परिपूर्ण प्रोग्रामिंग
சுருக்க வர்க்கம்,अमूर्त वर्ग
சுருக்க தரவு வகை,अमूर्त डेटा प्रकार
சுருக்க இயந்திரம்,अमूर्त मशीन
சுருக்க சின்னம்,अमूर्त चिन्ह
சுருக்க தொடரியல்,अमूर्त वाक्यरचना
ஏற்றுக்கொள்ளும் சோதனை,स्वीकृती चाचणी
அணுகல் அங்கீகாரம்,प्रवेश प्रमाणीकरण
அணுகல் குறியீடு,प्रवेश कोड
நுழைவு கட்டுப்பாடு,प्रवेश नियंत्रण
அணுகல் ஸ்கேன்,प्रवेश स्कॅन
துணை,ऍक्सेसरी
கணக்கு,खाते
கணக்கு ஐடி,खाते आयडी
திரட்டி,संचयक
துல்லியம்,अचूकता
அணுகல்,प्रवेश
அணுகல் கட்டுப்பாட்டு பைட்,ऍक्सेस कंट्रोल बाइट
அணுகல் குறியீடு,प्रवेश निर्देशांक
அணுகல் விசை,प्रवेश की
அணுகல் அணி,ऍक्सेस मॅट्रिक्स
அணுகல் முறை,प्रवेश मोड
அணுகல் சலுகை,प्रवेश विशेषाधिकार
அணுகல் பாதுகாப்பு,प्रवेश सुरक्षा
அணுகல் சேவையகம்,ऍक्सेस सर्व्हर
அணுகல் நேரம்,प्रवेश वेळ
ஒப்புகை,पोचपावती
ஒலியியல்,ध्वनीशास्त्र
சுருக்கம்,परिवर्णी शब्द
செயல் செய்தி,क्रिया संदेश
செயல்படுத்துதல்,सक्रियकरण
செயலில் உள்ள சர்வர் பக்கம் (ASP),सक्रिय सर्व्हर पृष्ठ (एएसपी)
செயலில் உள்ள பதிப்பு,सक्रिय आवृत्ती
அசைக்ளிக்,अॅसायक्लिक
அசைக்ளிக் வரைபடம்,अॅसायक्लिक आलेख
அட மொழி,अडा भाषा
அடாப்டர்,अडॅप्टर
கூட்டு,जोडा
கோப்பை சேர்க்க,फाइल जोडा
செயல்பாட்டைச் சேர்க்கவும்,ऑपरेशन जोडा
சேர்ப்பான்,जोडणारा
முகவரி,पत्ता
முகவரி பேருந்து,पत्ता बस
முகவரி கோப்பு,पत्ता फाइल
முகவரி வடிவம்,पत्त्याचे स्वरूप
முகவரி ஜெனரேட்டர்,पत्ता जनरेटर
முகவரி வரி,पत्ता ओळ
முகவரி மேப்பிங்,पत्ता मॅपिंग
முகவரி சுட்டி,पत्ता सूचक
முகவரி பதிவு,पत्ता नोंदवही
முகவரி தீர்மானம்,पत्ता ठराव
முகவரி மொழிபெயர்ப்பு,पत्ता अनुवाद
நினைவாற்றலை உரையாற்றினார்,संबोधित मेमरी
உரையாற்றுவது,संबोधित करणे
போதுமான அளவுகோல்கள்,पर्याप्तता निकष
இணைந்த,संलग्न
நிர்வாகம்,प्रशासन
நிர்வாகி,प्रशासक
அடோப் அக்ரோபேட்,adobe acrobat
அடோ போட்டோஷாப்,अडोब फोटोशाॅप
அட்வான்ஸ் பிசினஸ் அப்ளிகேஷன் புரோகிராமிங் (ஏபிஏபி),अॅडव्हान्स बिझनेस अॅप्लिकेशन प्रोग्रामिंग (ABAP)
மேம்பட்ட தரவு,प्रगत डेटा
மேம்பட்ட தகவல் அமைப்பு,प्रगत माहिती प्रणाली
மேம்பட்ட தொழில்நுட்பம் (AT),प्रगत तंत्रज्ञान (AT)
முகவர்,एजंट
திரட்டுதல்,एकत्रीकरण
வான்வழி கணினி அமைப்பு,एअरबोर्न संगणक प्रणाली
அல்டஸ் பக்க தயாரிப்பாளர்,aldus पृष्ठ निर्माता
எச்சரிக்கை பெட்டி,इशारा बॉक्स
அல்கோல்,अल्गोल
