Tamil,Marathi
A B வகுப்பு பெருக்கி,A B वर्ग अॅम्प्लीफायर
பிறழ்வு,विकृती
அசாதாரண பரிமாற்றம்,असामान्य प्रसार
"இணைக்கப்படாத, பொதுவாக, குழி, துண்டிக்கப்பட்ட, எலும்பு முறிவு","जोडलेले, सहसा, खड्डे पडलेले, विच्छेदन केलेले, फ्रॅक्चर केलेले"
ஸ்பெக்ட்ரம் காணவில்லை,गहाळ स्पेक्ट्रम
"முழுமையான, முழுமையான, நிலையான, சரியான","निरपेक्ष, निरपेक्ष, स्थिर, परिपूर्ण"
முழுமையான ஈரப்பதம்,परिपूर्ण आर्द्रता
முழுமையான வேகம்,परिपूर्ण गती
முழுமையான கவனிப்பு,परिपूर्ण निरीक्षण
முழுமையான வெப்பநிலை,परिपूर्ण तापमान
முழுமையான பூஜ்ஜியம்,पूर्ण शून्य
உறிஞ்சி,शोषून घेणे
"உறிஞ்சும், உறிஞ்சும்","शोषक, शोषक"
உறிஞ்சும் திறன்,शोषण क्षमता
உறிஞ்சுதல்,शोषण
உறிஞ்சக்கூடியது,शोषक
உறிஞ்சும் தன்மை,शोषकता
பன்மடங்கு விகிதம்,गुणोत्तर गुणोत्तर
முடுக்கி,गती वाढवणे
விரைந்தார்,घाई केली
முடுக்கம்,प्रवेग
ஈர்ப்பு முடுக்கம்,गुरुत्वाकर्षणाचा प्रवेग
முடுக்கி,प्रवेगक
முடுக்கி,प्रवेगक
முடுக்கமானி,प्रवेगमापक
முன் அழுத்தம் கொடுப்பவர்,prestresser
ஏற்றுக்கொள்ளக்கூடிய சோதனை,स्वीकार्य चाचणी
ஏற்பவர்,स्वीकारणारा
நன்கொடையாளர் மூலக்கூறு,दाता रेणू
"அணுகல், காத்திருப்பு, அணுகல்","प्रवेश, प्रतीक्षा, प्रवेशयोग्यता"
அணுகல்,प्रवेशयोग्यता
"கூடுதல், துணை, துணை (v.), துணைக்கருவிகள் (ed.)","सुटे, ऍक्सेसरी, ऍक्सेसरी (v.), ऍक्सेसरी (सं.)"
அணுகல் நேரம்,प्रवेश वेळ
பார்வையாளர் பிழை,अभ्यागत त्रुटी
சரிசெய்தல்,समायोजन
திரட்டப்பட்டது,जमा
"திரட்சி, குவிப்பு","जमा करणे, जमा करणे"
திரட்டி,संचयक
துல்லியம்,अचूकता
யதார்த்தம்,वास्तव
நிறமற்ற லென்ஸ்,अॅक्रोमॅटिक लेन्स
வண்ணமயமான,अक्रोमॅटिक
வண்ணமயமான தன்மை,अक्रोमॅटिकता
ஒலியியல்,ध्वनिक
ஒலி எதிர்ப்பு,ध्वनीरोधक
ஒலி ஃபோனான்,ध्वनिक फोनन
ஒலி அலகு,ध्वनी युनिट
ஒலியியல்,ध्वनिक
ஒலி ஜெனரேட்டர்,ध्वनी जनरेटर
செயல் மற்றும் எதிர்வினை,क्रिया आणि प्रतिक्रिया
செயல்படுத்துதல்,सक्रियकरण
செயல்படுத்தும் ஆற்றல்,सक्रियता ऊर्जा
"செயல்படுத்துபவர், செயல்படுத்துபவர்","सक्रिय करणारा, सक्रिय करणारा"
செயலில்,सक्रिय
செயற்பாடு,सक्रियता
உண்மையான மன அழுத்தம்,वास्तविक ताण
கிசுகிசுத்தல்,कुजबुजणे
மொத்தத்தில்,बेरीज करणे
"தொகை, கூட்டல், மொத்த (பதிப்பு), சேர்க்கை (v.)","बेरीज, बेरीज, एकत्रित (सं.), बेरीज (v.)"
"இணைந்த தொனி, கூடுதல் தொனி (உயிர்)","संयुक्त स्वर, अतिरिक्त स्वर (स्वर)"
சேர்க்கை,additive
ஒட்டுதல்,आसंजन
