Kannada,English
ಎಸಿ ಸಮಾನ ಸರ್ಕ್ಯೂಟ್,A C equivalent circuit
ಸಂಖ್ಯಾ ಪರಿವರ್ತಕಕ್ಕೆ ಅನಲಾಗ್,A to D converter
ಸಂಪೂರ್ಣ ಶೂನ್ಯ,Absolute zero
ಹೀರಿಕೊಳ್ಳುವ ಗುಣಾಂಕ,Absorption coefficient
ಹೀರಿಕೊಳ್ಳುವ ವರ್ಣಪಟಲ,Absorption spectrum
ಗ್ರಾಹಕ ಪರಮಾಣು,Acceptor atom
ಪರ್ಯಾಯ ವಿದ್ಯುತ್ ಜೋಡಣೆ,A C coupling
ಎಲೆಕ್ಟ್ರಾನ್ ಕೊಯ್ಲು,Accumulation of electron
ರಂಧ್ರ ಸಂಗ್ರಹಣೆ,Accumulation of holes
ಸಕ್ರಿಯಗೊಳಿಸುವ ಶಕ್ತಿ,Activation energy
ಸಕ್ರಿಯ ಆಂಪ್ಲಿಫಯರ್,Active amplifier
ಸಕ್ರಿಯ ಡಯೋಡ್ ಸರ್ಕ್ಯೂಟ್,Active diode circuit
ಸಕ್ರಿಯ ಫಿಲ್ಟರ್,Active filter
ಸಕ್ರಿಯ ಹೈ ಫ್ರೀಕ್ವೆನ್ಸಿ ಪ್ಯಾರ್ಕ್ವೆಟ್ ಫಿಲ್ಟರ್,Active high pass filter
ಸಕ್ರಿಯ ಲೋಡ್,Active load
ಸಕ್ರಿಯ ಕಡಿಮೆ ಆವರ್ತನ ಪಾರ್ಸ್ ಫಿಲ್ಟರ್,Active low pass filter
ಸಕ್ರಿಯ ಪ್ರದೇಶ,Active region
ಹೊಂದಾಣಿಕೆಯ ಎಲೆಕ್ಟ್ರಾನಿಕ್ಸ್,Adaptive electronics
ಸೇರಿಸುವವನು,Adder
ಹೊಂದಾಣಿಕೆ ಬ್ಯಾಂಡ್ ವಿಸ್ತರಣೆ,Adjustable band width
ನುಗ್ಗುವಿಕೆ,Admittance
ಏರಿಯಲ್,Aerial
ಪೆಪ್ ಆವರ್ತನ,Agility frequency
ಹವಾ ನಿಯಂತ್ರಣ ಯಂತ್ರ,Air conditioner
ಜೋಡಣೆ,Alignment
ಅಲ್ಗಾರಿದಮ್,Algorithm
ಎಲ್ಲಾ ಪಾಸ್ ಫಿಲ್ಟರ್,All pass filter
ಮಿಶ್ರಲೋಹ ಜಂಕ್ಷನ್,Alloy junction
ಕ್ಷೀಣತೆ,Attenuation
ಪರ್ಯಾಯ ಪ್ರವಾಹ,Alternating current (AC)
ಹೊರಗಿನ ತಾಪಮಾನ,Ambient temperature
ಬೈಪೋಲಾರ್,Ambipolar
ವರ್ಧನೆ,Amplification
ಆಂಪ್ಲಿಫಯರ್,Amplifier
ಆಂಪ್ಲಿಫಯರ್ ದಕ್ಷತೆ,Amplifier efficiency
ಆಯಾಮಗಳು,Amplitude
ವೈಶಾಲ್ಯ ಕ್ಷೀಣತೆ,Amplitude altenuation
ಆಂಪ್ಲಿಟ್ಯೂಡ್ ಮಾಡ್ಯುಲೇಟೆಡ್ AM ಆಂದೋಲಕ,Amplitude modulated oscillator
ವೈಶಾಲ್ಯ ಮಾಡ್ಯುಲೇಶನ್,Amplitude modulation
ವೈಶಾಲ್ಯ ಮಾಡ್ಯುಲೇಟರ್,Amplitude modulator
ಆಂಗ್ಸ್ಟ್ರಾಮ್ ಘಟಕ,Angstrom unit
ಅನಲಾಗ್ ಸರ್ಕ್ಯೂಟ್,Analog circuit
ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್,Analog computer
ಅನಲಾಗ್ ಫಿಲ್ಟರ್,Analog filter
ಅನಲಾಗ್ ಮಲ್ಟಿಮೀಟರ್,Analog multimeter
ಅನಲಾಗ್ ಸ್ವಿಚ್,Analog switch
