Assamese,Malayalam
অজৈৱিক প্ৰজনন,അജിയോട്ടിക് പുനരുൽപാദനം
অস্বাভাৱিক,അസാധാരണമായ
১/ চতুৰ্থ পেট ২) ইভ’মাজম,1. നാലാമത്തെ വയറ് 2. ഇവോമസോം
ষ্টোমেটাল বৃদ্ধিৰ অংগ,സ്റ്റോമറ്റൽ വളർച്ച അവയവം
স্তব্ধ বৃদ্ধিৰ বীজ,വളർച്ച മുരടിച്ച വിത്ത്
১/ গৰ্ভপাত ২/ গৰ্ভপাত ৩/ বৃদ্ধি প্ৰতিৰোধ ক্ষমতা,1. ഗർഭച്ഛിദ്രം 2. ഗർഭം അലസൽ 3. വളർച്ചയുടെ പ്രതിരോധം
১/ অবাঞ্চিত অপতৃণ ২/ সম্পূৰ্ণ অপতৃণ,1. ആവശ്യമില്ലാത്ത കളകൾ 2. പൂർണ്ണമായ കളകൾ
শোষিত কেটিয়ন,ആഗിരണം ചെയ്യപ്പെട്ട കാറ്റേഷൻ
শোষণ,ആഗിരണം
এবিচিনিয়ান সৰিয়হ,അബിസീനിയൻ കടുക്
১.একেৰিচাইড,1. acaricide
centripetal,കേന്ദ്രാഭിമുഖം
বৃদ্ধি (কোষ),ആംപ്ലിഫിക്കേഷൻ (സെൽ)
অনুমোদিত সহনশীলতা,അനുവദിച്ച സഹിഷ്ണുത
1.অতিৰিক্ত 2. আনুষংগিক 3. আনুষংগিক,1.അഡീഷണൽ 2.അക്സസറി 3.അക്സസറി
অভিযোজন,പൊരുത്തപ്പെടുത്തൽ
সঞ্চয়,ശേഖരണം
1.vaccuracy 2. নিখুঁততা,1. vaccuracy 2. കൃത്യത
১.এচাৰভুলাছ ২.স্প’ৰ’ফাইট,1. അസെർവുലസ് 2. സ്പോറോഫൈറ്റ്
১/ এচিটাইজেচন ২.ভিনেগাৰ বনোৱা ৩.এচিটাইলেন,1. അസറ്റൈസേഷൻ 2. വിനാഗിരി ഉണ്ടാക്കൽ 3. അസറ്റിലിൻ
১.এচিডিকৰণ ২.এচিডিকৰণ,1. അസിഡിഫിക്കേഷൻ 2. അസിഡിഫിക്കേഷൻ
১.এচিডমিটাৰ ২.এচিডিমিটাৰ,1. അസിഡോമീറ്റർ 2. അസിഡിമീറ്റർ
এচিডিটি,അസിഡിറ്റി
এচিডোফাইল,അസിഡോഫൈൽ
এচিডিফাইড ৰক ফছফেট,അസിഡിഫൈഡ് റോക്ക് ഫോസ്ഫേറ്റ്
এচিডিফাইড,അസിഡിഫൈഡ്
জলধাৰা,ജലാശയം
অধিগ্ৰহণ,കൈവശപ്പെടുത്തൽ
একৰ,ഏക്കർ
১.ক্ষেত্ৰফল ২.ক্ষেত্ৰফল,1. ഏരിയ 2. ഏരിയ
শেষ বিন্দু ক্ৰম’জম,അവസാന പോയിന്റ് ക്രോമസോം
আগলৈ চাই থকা,മുന്നോട്ട് നോക്കുന്ന
acrosome,അക്രോസോം
actinomycetes,ആക്റ്റിനോമൈസെറ്റുകൾ
সক্ৰিয় কোৰ,സജീവ കോർ
1. উত্তেজিত 2. তীব্ৰ,1. ക്രോധം 2. തീവ്രം
অভিযোজন ক্ষমতা,പൊരുത്തപ്പെടുത്തൽ
কাষ্টমাইজেচন,ഇഷ്ടാനുസൃതമാക്കൽ
১.আঠাযুক্ততা ২.আঠাযুক্ততা,1. അഡീഷൻ 2. അഡീഷൻ
তৈলাক্ত,സെബാസിയസ്
সমন্বয় সমীকৰণ,ക്രമീകരിക്കൽ സമവാക്യം
এডোব মাটি,അഡോബ് മണ്ണ്
ব্যভিচাৰী,വ്യഭിചാരം
এক্ট&#39;পিক,എക്ടോപിക്
Isidiospore Isidium বিজাণু,ഇസിഡിയോസ്പോർ ഇസിഡിയം ബീജം
বায়ুগতিশীল প্ৰক্ৰিয়া,എയറോഡൈനാമിക് പ്രക്രിയ
ventral,വെൻട്രൽ
বায়ুমণ্ডলীয় কৰা,വായുസഞ്ചാരത്തിനായി
১.বায়ু ২.আকাশী,1. വായു 2. ആകാശി
১.এৰ’মিটাৰ ২.এৰ’মিটাৰ ৩.এৰ’মিটাৰ,1. എയറോമീറ്റർ 2. എയറോമീറ്റർ 3. എയറോമീറ്റർ
এৰ&#39;ছল,എയറോസോൾ
১/ পুষ্পশোভিত ২) গ্ৰীষ্মকালীন নিদ্ৰা,1. പൂങ്കുല 2. വേനൽ സുഷുപ്തി
ৰোগৰ বিজ্ঞান,രോഗ ശാസ്ത്രം
বনানীকৰণ,വനവൽക്കരണം
১.আন্দোলন ২.অস্থিৰতা,1. പ്രക്ഷോഭം 2. പ്രക്ഷുബ്ധത
আগমাৰ্ক,അഗ്മാർക്ക്
১/ ভূমি সম্পৰ্কীয় ২/ কৃষি,1. ഭൂമിയുമായി ബന്ധപ്പെട്ട 2. കാർഷിക
কৃষি ক্লিনিক,കാർഷിക ക്ലിനിക്ക്
১/ কৃষি শ্ৰম ২) কৃষি শ্ৰম,1. കാർഷിക തൊഴിലാളികൾ 2. കാർഷിക തൊഴിലാളികൾ
কৃষি বিপণন,കാർഷിക വിപണനം
কৃষি প্ৰযুক্তি,കാർഷിക സാങ്കേതികവിദ്യ
1. কৃষি 2. কৃষি 3. কৃষি বিজ্ঞান,1. കൃഷി 2. കൃഷി 3. അഗ്രികൾച്ചറൽ സയൻസ്
কৃষি বনজ,കാർഷിക വനവൽക്കരണം
কৃষি জৈৱ বৈচিত্ৰ্য,കാർഷിക ജൈവവൈവിധ്യം
কৃষি জৈৱিক দোষ,കാർഷിക ജൈവ വൈകല്യങ്ങൾ
কৃষি জীৱবিজ্ঞান,കാർഷിക ജീവശാസ്ത്രം
কৃষি-জলবায়ু বৈচিত্ৰ্য,കാർഷിക-കാലാവസ്ഥാ വൈവിധ്യം
কৃষি জলবায়ু মণ্ডল সৃষ্টি,കാർഷിക കാലാവസ്ഥാ മേഖല സൃഷ്ടിക്കൽ
কৃষি বনানীকৰণ,അഗ്രോഫോറസ്ട്രി
কৃষি বিজ্ঞান,കാർഷിക ശാസ്ത്രം
কৃষিভিত্তিক,അഗ്രോണമിക്
কৃষি পশুপালন,കാർഷിക ഇടയൻ
শস্য প্ৰক্ৰিয়াকৰণ,വിള സംസ്കരണം
ঘাঁহ বিজ্ঞান,പുല്ല് ശാസ്ത്രം
শস্যৰ প্ৰকাৰ,വിള തരം
এপিফাইট,എപ്പിഫൈറ്റ്
আইকিওচি মাটি,aikiochi മണ്ണ്
ৰঙৰ অন্ধতা,വർണ്ണാന്ധത
আলফিছল,ആൽഫിസോൾ
শেলাই,ആൽഗകൾ
শেলাইৰ ৰোগ,ആൽഗ രോഗം
ক্ষাৰকীয় পানী,ആൽക്കലി വെള്ളം
ক্ষাৰকীয়,ആൽക്കലൈൻ
বিকল্প,ബദൽ
allelo ৰসায়ন বিজ্ঞান,അല്ലെലോ രസതന്ത്രം
এলিল,അല്ലീൽ
এলেল&#39;পেথী,അല്ലെലോപ്പതി
ভেঠী শস্য,വേത്തി വിള
consummation,പൂർത്തീകരണം
নিষেচন কৰা,ബീജസങ്കലനം
১.আপেক্ষিকতা ২.এলোমেট্ৰি,1. ആപേക്ഷികത 2. അലോമെട്രി
multiploidy,മൾട്ടിപ്ലോയിഡി
১/ পেৰাজাইগোচিটি,1. പാരാസിഗോസിറ്റി
1. বিকল্প বছৰৰ ফলন 2. বিকল্প ফলন,1. ഇതര വർഷത്തെ പ്രവർത്തനം 2. ഇതര പ്രവർത്തനം
বিকল্প ভূমি ব্যৱহাৰ,ബദൽ ഭൂമി ഉപയോഗം
পৰিৱেশ,പരിസ്ഥിതി
সংস্কাৰক,പരിഷ്കർത്താവ്
মাইট’ছিছ,മൈറ്റോസിസ്
আমিনন,ആമീനൻ
এমোনিয়ন,അമോണിയൻ
amniferous,അമ്നിഫെറസ്
১.অকাৰ্যকৰী ৰূপ ২.অৰূপী,1. ഫലപ്രദമല്ലാത്ത രൂപം 2. അരൂപി
উভচৰ মিশ্ৰণ,ഉഭയജീവി മിശ്രിതം
এম্ফোটেৰিক,ആംഫോട്ടെറിക്
ষ্টকপাইলিং,സ്റ്റോക്ക്പൈലിംഗ്
১/ এনাৰোবিক ২.এনাৰোবিক জীৱ,1. അനറോബിക് 2. അനറോബിക് ഓർഗാനിസംസ്
হেপ্লয়ড,ഹാപ്ലോയിഡ്
কৌণিক ৰোপণ,കോണീയ നടീൽ
পশুপালন,മൃഗസംരക്ഷണം
পশুৰ মল-মূত্ৰ,മൃഗ വിസർജ്ജനം
জীৱন্ত শক্তি,ജീവനുള്ള ഊർജ്ജം
অস্বাভাৱিক,അസാധാരണമായ
এবছৰীয়া উদ্ভিদ,ഒരു വർഷം പഴക്കമുള്ള ചെടി
বছেৰেকীয়া,വാർഷിക
1. আনন্দ 2. উজ্জ্বলতা,1. പരമാനന്ദം 2. പ്രഭ
এন্থ্ৰেক্স,ആന്ത്രാക്സ്
মানৱজনিত কাৰকসমূহ,നരവംശ ഘടകങ്ങൾ
জীয়াই থকা,അതിജീവനം
