Kannada,Hindi
ಎಸಿ ಸಮಾನ ಸರ್ಕ್ಯೂಟ್,ए.सी. समतुल्य परिपथ
ಸಂಖ್ಯಾ ಪರಿವರ್ತಕಕ್ಕೆ ಅನಲಾಗ್,अनुरूप से अंकीय परिवर्तक
ಸಂಪೂರ್ಣ ಶೂನ್ಯ,परम शून्य
ಹೀರಿಕೊಳ್ಳುವ ಗುಣಾಂಕ,अवशोषण गुणांक
ಹೀರಿಕೊಳ್ಳುವ ವರ್ಣಪಟಲ,अवशोषण स्पेक्ट्रम
ಗ್ರಾಹಕ ಪರಮಾಣು,ग्राही परमाणु
ಪರ್ಯಾಯ ವಿದ್ಯುತ್ ಜೋಡಣೆ,प्रत्यावर्ती धारा युग्मन
ಎಲೆಕ್ಟ್ರಾನ್ ಕೊಯ್ಲು,इलेक्ट्रॉन संचयन
ರಂಧ್ರ ಸಂಗ್ರಹಣೆ,होल संचयन
ಸಕ್ರಿಯಗೊಳಿಸುವ ಶಕ್ತಿ,सक्रियण ऊर्जा
ಸಕ್ರಿಯ ಆಂಪ್ಲಿಫಯರ್,सक्रिय प्रवर्धक
ಸಕ್ರಿಯ ಡಯೋಡ್ ಸರ್ಕ್ಯೂಟ್,सक्रिय डायोड परिपथ
ಸಕ್ರಿಯ ಫಿಲ್ಟರ್,सक्रिय फिल्टर
ಸಕ್ರಿಯ ಹೈ ಫ್ರೀಕ್ವೆನ್ಸಿ ಪ್ಯಾರ್ಕ್ವೆಟ್ ಫಿಲ್ಟರ್,सक्रिय उच्च आवृत्ति पारक फिल्टर
ಸಕ್ರಿಯ ಲೋಡ್,सक्रिय लोड
ಸಕ್ರಿಯ ಕಡಿಮೆ ಆವರ್ತನ ಪಾರ್ಸ್ ಫಿಲ್ಟರ್,सक्रिय निमन आवृत्ति पारक फिल्टर
ಸಕ್ರಿಯ ಪ್ರದೇಶ,सक्रिय क्षेत्र
ಹೊಂದಾಣಿಕೆಯ ಎಲೆಕ್ಟ್ರಾನಿಕ್ಸ್,अनुकूली इलेक्ट्रॉनिकी
ಸೇರಿಸುವವನು,योजक
