Tamil,Gujarati
அபாகஸ்,અબેકસ
அசாதாரண நிறுத்தம்,અસામાન્ય સમાપ્તિ
கருக்கலைப்பு,ગર્ભપાત
அறுதி,સંપૂર્ણ
முழுமையான முகவரி,સંપૂર્ણ સરનામું
முழுமையான முகவரி,સંપૂર્ણ સંબોધન
முழுமையான அசெம்பிளர்,સંપૂર્ણ એસેમ્બલર
முழுமையான குறியீடு,સંપૂર્ણ કોડ
முழுமையான கட்டளை,સંપૂર્ણ આદેશ
முழுமையான தரவு,સંપૂર્ણ ડેટા
முழுமையான அறிவுறுத்தல்,સંપૂર્ણ સૂચના
முழுமையான பயன்முறை,સંપૂર્ણ મોડ
முழுமையான பாதை,સંપૂર્ણ માર્ગ
முழுமையான நிரலாக்கம்,સંપૂર્ણ પ્રોગ્રામિંગ
சுருக்க வர்க்கம்,અમૂર્ત વર્ગ
சுருக்க தரவு வகை,અમૂર્ત ડેટા પ્રકાર
சுருக்க இயந்திரம்,અમૂર્ત મશીન
சுருக்க சின்னம்,અમૂર્ત પ્રતીક
சுருக்க தொடரியல்,અમૂર્ત વાક્યરચના
ஏற்றுக்கொள்ளும் சோதனை,સ્વીકૃતિ પરીક્ષણ
அணுகல் அங்கீகாரம்,ઍક્સેસ પ્રમાણીકરણ
அணுகல் குறியீடு,ઍક્સેસ કોડ
நுழைவு கட்டுப்பாடு,વપરાશ નિયંત્રણ
அணுகல் ஸ்கேன்,એક્સેસ સ્કેન
துணை,સહાયક
கணக்கு,એકાઉન્ટ
கணக்கு ஐடி,એકાઉન્ટ ID
திரட்டி,સંચયક
துல்லியம்,ચોકસાઈ
அணுகல்,ઍક્સેસ
அணுகல் கட்டுப்பாட்டு பைட்,એક્સેસ કંટ્રોલ બાઈટ
அணுகல் குறியீடு,એક્સેસ ઇન્ડેક્સ
அணுகல் விசை,ઍક્સેસ કી
அணுகல் அணி,એક્સેસ મેટ્રિક્સ
அணுகல் முறை,ઍક્સેસ મોડ
அணுகல் சலுகை,એક્સેસ વિશેષાધિકાર
அணுகல் பாதுகாப்பு,ઍક્સેસ સુરક્ષા
அணுகல் சேவையகம்,ઍક્સેસ સર્વર
அணுகல் நேரம்,ઍક્સેસ સમય
ஒப்புகை,સ્વીકૃતિ
ஒலியியல்,ધ્વનિશાસ્ત્ર
சுருக்கம்,ટૂંકાક્ષર
செயல் செய்தி,ક્રિયા સંદેશ
செயல்படுத்துதல்,સક્રિયકરણ
செயலில் உள்ள சர்வர் பக்கம் (ASP),સક્રિય સર્વર પૃષ્ઠ (ASP)
செயலில் உள்ள பதிப்பு,સક્રિય સંસ્કરણ
அசைக்ளிக்,એસાયક્લિક
அசைக்ளிக் வரைபடம்,એસાયક્લિક ગ્રાફ
அட மொழி,અદા ભાષા
அடாப்டர்,એડેપ્ટર
கூட்டு,ઉમેરો
கோப்பை சேர்க்க,ફાઇલ ઉમેરો
செயல்பாட்டைச் சேர்க்கவும்,કામગીરી ઉમેરો
சேர்ப்பான்,ઉમેરનાર
முகவரி,સરનામું
முகவரி பேருந்து,સરનામું બસ
முகவரி கோப்பு,સરનામું ફાઇલ
முகவரி வடிவம்,સરનામું ફોર્મેટ
முகவரி ஜெனரேட்டர்,સરનામું જનરેટર
முகவரி வரி,એડ્રેસ લાઇન
முகவரி மேப்பிங்,સરનામું મેપિંગ
முகவரி சுட்டி,સરનામું નિર્દેશક
முகவரி பதிவு,સરનામું રજીસ્ટર
முகவரி தீர்மானம்,સરનામું રિઝોલ્યુશન
முகவரி மொழிபெயர்ப்பு,સરનામા અનુવાદ
நினைவாற்றலை உரையாற்றினார்,સંબોધિત મેમરી
உரையாற்றுவது,સંબોધન
போதுமான அளவுகோல்கள்,પર્યાપ્તતા માપદંડ
இணைந்த,સંલગ્ન
நிர்வாகம்,વહીવટ
நிர்வாகி,સંચાલક
அடோப் அக்ரோபேட்,એડોબ એક્રોબેટ
அடோ போட்டோஷாப்,એડોબ ફોટોશોપ
