Punjabi,Marathi
ਐਂਪੀਅਰ (ਯੂਨਿਟ),अँपिअर (युनिट)
angstrum,angstrum
ਏ-ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ,ए-क्लास अॅम्प्लिफायर
ਏਐਨ ਰੇਡੀਓ ਸਹਾਏ,एएन रेडिओ सहाय
ਇੱਕ-ਸਕੈਨਿੰਗ ਪੇਸ਼ਕਾਰੀ,एक-स्कॅनिंग सादरीकरण
a-ਦਰਸ਼,a-darsh
ਏ-ਸਕੋਪ ਪ੍ਰਦਰਸ਼ਨ,ए-स्कोप कामगिरी
A-T ਕਰਵਡ ਕ੍ਰਿਸਟਲ,A-T वक्र क्रिस्टल
"AC-DC ਲਾਭ, ਏ. ਸੀ.ਡੀ. ਸੀ.ਲਾਭੀ, ਏ. ਸੀ.ਡੀ. c. ਪ੍ਰਸਾਰਣ","एसी डीसी फायदे, ए. सीडी. सी.लाभी, ए. सीडी. c. प्रवर्धन"
am,आहे
ਏ.ਐੱਮ.ਯੂ (ਪਰਮਾਣੂ ਪੁੰਜ ਯੂਨਿਟ),AMU (अणु वस्तुमान एकक)
ਆਰਡ-ਵਰਕ*,आर्ड-वार्क*
ਐਬ-ਐਂਪੀਅਰ,ab-ampere
ਏ-ਬੀ ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ,A-B वर्ग अॅम्प्लिफायर
adah,adah
ਏ-ਬੀ ਸ਼ਕਤੀ ਪਿਟਕ,A-B शक्ती पिटक
abc = ਅਲਾਈਨਮੈਂਟ ਚਾਰਟ = ਨਾਮੋਗ੍ਰਾਫ,abc = संरेखन चार्ट = nomograph
ਅਬੇ ਨੰਬਰ (ਆਬੇ ਸਥਿਰ),अबे क्रमांक (अबे स्थिरांक)
abe refractometer,abe refractometer
ਅਬੇ ਸਾਈਨ ਸਟੇਟ,अबे साइन राज्य
ਆਟੋਮੈਟਿਕ ਪੱਖਪਾਤ ਮੁਆਵਜ਼ਾ,स्वयंचलित पूर्वाग्रह भरपाई
abcoulom,abcoulom
ਵਿਗਾੜ,विकृती
ਵਿਗਾੜ ਠੀਕ ਕਰਨ ਵਾਲਾ ਲੈਂਸ,विकृती सुधारक लेन्स
ਅਸਮਾਨ ਵਿਕਾਰ,आकाश विकृती
abfarad,abfarad
