English,Odiya
A (Ampere unit of current),ଆମ୍ପେର୍ (ୟୁନିଟ୍)
A (angstrom),ଆଙ୍ଗଷ୍ଟ୍ରମ୍ |
A amplifier,ଏକ ଶ୍ରେଣୀ ଏମ୍ପ୍ଲିଫାୟର୍ |
A-N radio range,ଏକ ରେଡିଓ ସାହା |
A-scan presentation,ଏକ ସ୍କାନିଂ ଉପସ୍ଥାପନା |
A-scope,a-darsh
A-scope display,ଏକ ପରିସର କାର୍ଯ୍ୟଦକ୍ଷତା |
A-T Cut crystal,A-T ବକ୍ର ସ୍ଫଟିକ୍ |
A.c-d.c. gain,"ଏସି ଡିସି ଲାଭ, a। CD C. Labhi, A. CD ଗ"
A.M. (ante meridiem),ମୁଁ
A.m.u. (atomic mass unit),AMU (ପରମାଣୁ ମାସ ଏକକ)
Aard-vark,aard-vark *
Ab ampere,ab-ampere
AB amplifier,A-B ଶ୍ରେଣୀ ଏମ୍ପ୍ଲିଫାୟର୍ |
Ab initio,ଆଦା
AB power pack,A-B ଶକ୍ତି ପିଟାକା |
Abac=alignment chart=nomograph,abc = ଆଲାଇନ୍ମେଣ୍ଟ ଚାର୍ଟ = ନାମୋଗ୍ରାଫ୍ |
Abbe number (=Abbe constant),ଆବେ ସଂଖ୍ୟା (ଆବେ ସ୍ଥିର)
ABBE refractometer,abe refractometer
Abbe sine condition,ଆବେ ସାଇନ ଅବସ୍ଥା |
Abc (automatic bias compensation),ସ୍ୱୟଂଚାଳିତ ପକ୍ଷପାତ କ୍ଷତିପୂରଣ |
Abcoulomb,abcoulom
Aberration,"ଘୃଣ୍ୟତା, ଅବକ୍ଷୟ |"
Aberration corrector lens,ଅବରାଟେସନ୍ ସଂଶୋଧନକାରୀ ଲେନ୍ସ |
Aberration of light,ଆକାଶ ଅବକ୍ଷୟ |
Abfarad,abfarad
Abhenry,ଏବେନେରୀ |
Abney effect (=Abney law),ଇବୋନି ପ୍ରଭାବ |
Abnormal polarisation,ଅସ୍ୱାଭାବିକ ପୋଲାରାଇଜେସନ୍ |
Abnormal propagation,ଅସ୍ୱାଭାବିକ ସଂକ୍ରମଣ
Abnormal reflection,ପରମାନନ୍ଦ ପ୍ରତିଫଳନ |
