Marathi,Punjabi
A B वर्ग अॅम्प्लीफायर,ਏ ਬੀ ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ
विकृती,ਵਿਗਾੜ
असामान्य प्रसार,ਅਸਧਾਰਨ ਸੰਚਾਰ
"जोडलेले, सहसा, खड्डे पडलेले, विच्छेदन केलेले, फ्रॅक्चर केलेले","ਅਣ-ਅਟੈਚਡ, ਆਮ ਤੌਰ &#39;ਤੇ, ਟੋਏ, ਕੱਟੇ ਹੋਏ, ਖੰਡਿਤ"
गहाळ स्पेक्ट्रम,ਗੁੰਮ ਸਪੈਕਟ੍ਰਮ
"निरपेक्ष, निरपेक्ष, स्थिर, परिपूर्ण","ਪੂਰਨ, ਸੰਪੂਰਨ, ਨਿਰੰਤਰ, ਸੰਪੂਰਨ"
परिपूर्ण आर्द्रता,ਪੂਰਨ ਨਮੀ
परिपूर्ण गती,ਪੂਰਨ ਗਤੀ
परिपूर्ण निरीक्षण,ਪੂਰਨ ਨਿਰੀਖਣ
परिपूर्ण तापमान,ਪੂਰਨ ਤਾਪਮਾਨ
पूर्ण शून्य,ਪੂਰਨ ਜ਼ੀਰੋ
शोषून घेणे,ਸੋਖਣਾ
"शोषक, शोषक","ਸੋਖਣ ਵਾਲਾ, ਸੋਖਣ ਵਾਲਾ"
शोषण क्षमता,ਸਮਾਈ ਸਮਰੱਥਾ
शोषण,ਸਮਾਈ
शोषक,ਜਜ਼ਬ ਕਰਨ ਵਾਲਾ
शोषकता,ਸਮਾਈ
गुणोत्तर गुणोत्तर,ਗੁਣਾ ਅਨੁਪਾਤ
गती वाढवणे,ਤੇਜ਼ ਕਰੋ
घाई केली,ਜਲਦੀ
प्रवेग,ਪ੍ਰਵੇਗ
गुरुत्वाकर्षणाचा प्रवेग,ਗੰਭੀਰਤਾ ਦਾ ਪ੍ਰਵੇਗ
प्रवेगक,ਐਕਸਲੇਟਰ
प्रवेगक,ਐਕਸਲੇਟਰ
प्रवेगमापक,ਐਕਸਲੇਰੋਮੀਟਰ
prestresser,prestresser
स्वीकार्य चाचणी,ਸਵੀਕਾਰਯੋਗ ਟੈਸਟ
स्वीकारणारा,ਸਵੀਕਾਰ ਕਰਨ ਵਾਲਾ
दाता रेणू,ਦਾਨੀ ਅਣੂ
"प्रवेश, प्रतीक्षा, प्रवेशयोग्यता","ਪਹੁੰਚ, ਉਡੀਕ, ਪਹੁੰਚਯੋਗਤਾ"
प्रवेशयोग्यता,ਪਹੁੰਚਯੋਗਤਾ
"सुटे, ऍक्सेसरी, ऍक्सेसरी (v.), ऍक्सेसरी (सं.)","ਵਾਧੂ, ਸਹਾਇਕ, ਸਹਾਇਕ (v.), ਸਹਾਇਕ ਉਪਕਰਣ (ed.)"
प्रवेश वेळ,ਪਹੁੰਚ ਦਾ ਸਮਾਂ
अभ्यागत त्रुटी,ਵਿਜ਼ਟਰ ਗਲਤੀ
समायोजन,ਵਿਵਸਥਾ
जमा,ਇਕੱਠਾ ਕੀਤਾ
"जमा करणे, जमा करणे","ਇਕੱਠਾ ਕਰਨਾ, ਇਕੱਠਾ ਕਰਨਾ"
संचयक,ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ
अचूकता,ਸ਼ੁੱਧਤਾ
वास्तव,ਅਸਲੀਅਤ
अॅक्रोमॅटिक लेन्स,ਅਕ੍ਰੋਮੈਟਿਕ ਲੈਂਸ
अक्रोमॅटिक,ਅਕ੍ਰੋਮੈਟਿਕ
अक्रोमॅटिकता,ਰੰਗੀਨਤਾ
ध्वनिक,ਧੁਨੀ
ध्वनीरोधक,ਸਾਊਂਡਪਰੂਫ਼
ध्वनिक फोनन,ਧੁਨੀ ਫੋਨੋਨ
ध्वनी युनिट,ਆਵਾਜ਼ ਯੂਨਿਟ
ध्वनिक,ਧੁਨੀ
ध्वनी जनरेटर,ਆਵਾਜ਼ ਜਨਰੇਟਰ
क्रिया आणि प्रतिक्रिया,ਕਾਰਵਾਈ ਅਤੇ ਪ੍ਰਤੀਕਰਮ
सक्रियकरण,ਸਰਗਰਮੀ
सक्रियता ऊर्जा,ਸਰਗਰਮੀ ਊਰਜਾ
"सक्रिय करणारा, सक्रिय करणारा","ਐਕਟੀਵੇਟਰ, ਐਕਟੀਵੇਟਰ"
सक्रिय,ਕਿਰਿਆਸ਼ੀਲ
सक्रियता,ਸਰਗਰਮੀ
वास्तविक ताण,ਅਸਲ ਤਣਾਅ
कुजबुजणे,ਘੁਸਰ-ਮੁਸਰ
बेरीज करणे,ਸੰਪੇਕਸ਼ਤ
"बेरीज, बेरीज, एकत्रित (सं.), बेरीज (v.)","ਜੋੜ, ਜੋੜ, ਕੁੱਲ (ਐਡੀ.), ਜੋੜ (v.)"
"संयुक्त स्वर, अतिरिक्त स्वर (स्वर)","ਸੰਯੋਜਕ ਟੋਨ, ਵਾਧੂ ਸੁਰ (ਸਵਰ)"
additive,additive
आसंजन,adhesion
चिकट ऊर्जा,ਚਿਪਕਣ ਵਾਲੀ ਊਰਜਾ
adiabat,adiabat
adiabatic,adiabatic
उष्णता इन्सुलेट,ਗਰਮੀ ਇੰਸੂਲੇਟਿੰਗ
संलग्नक,ਲਗਾਵ
बदलानुकारी,ਵਿਵਸਥਿਤ
प्रवेश,ਪ੍ਰਵੇਸ਼
शोषण,ਸੋਸ਼ਣ
पुढे,ਅੱਗੇ
प्रगतीशील,ਪ੍ਰਗਤੀਸ਼ੀਲ
"आकाशी, वायु (वि.), हवाई (सं.)","ਆਕਾਸ਼ੀ, ਹਵਾ (ਵੀ.), ਏਰੀਅਲ (ਐਡੀ.)"
अँटेना प्रवाह,ਐਂਟੀਨਾ ਸਟ੍ਰੀਮ
हवाई सर्वेक्षण,ਹਵਾਈ ਸਰਵੇਖਣ
हवेचा वेग,ਹਵਾ ਦੀ ਗਤੀ
वायुगतिकीय गुणांक,ਐਰੋਡਾਇਨਾਮਿਕ ਗੁਣਾਂਕ
वायुगतिकीय,ਐਰੋਡਾਇਨਾਮਿਕ
वायुगतिकी,ਐਰੋਡਾਇਨਾਮਿਕਸ
वैमानिक,ਏਅਰੋਨੌਟਿਕਲ
वैमानिक,ਐਰੋਨਾਟਿਕਸ
हवेची नाडी,ਹਵਾ ਦੀ ਨਬਜ਼
"वातावरण, वायूमंडल","ਵਾਯੂਮੰਡਲ, ਗੈਸੋਸਫੀਅਰ"
फोकस सिस्टम,ਫੋਕਸ ਸਿਸਟਮ
परत प्रज्वलन,ਵਾਪਸ ਇਗਨੀਸ਼ਨ
परत प्रकाश,ਵਾਪਸ ਰੋਸ਼ਨੀ
आघात,ਉਲਝਣ
"वय, वय, वय, युग (सं.), वेळेवर परिणाम करणे (व्हेर.), वेळ, काळाने प्रभावित होणे","ਉਮਰ, ਉਮਰ, ਉਮਰ, ਯੁੱਗ (ਐਡੀ.), ਸਮੇਂ ਨੂੰ ਪ੍ਰਭਾਵਿਤ ਕਰਨ ਲਈ (ਵਰਤ.), ਸਮਾਂ, ਸਮੇਂ ਦੁਆਰਾ ਪ੍ਰਭਾਵਿਤ ਹੋਣ ਲਈ"
वेळ प्रभावित,ਸਮਾਂ ਪ੍ਰਭਾਵਿਤ ਹੋਇਆ
"वृद्धत्व, वृद्धत्व","ਬੁਢਾਪਾ, ਬੁਢਾਪਾ"
वेळेचा प्रभाव,ਸਮਾਂ ਪ੍ਰਭਾਵ
वेळ प्रभाव चाचणी,ਸਮਾਂ ਪ੍ਰਭਾਵ ਟੈਸਟ
गुरुत्वाकर्षणरहित,ਗੰਭੀਰਤਾ ਰਹਿਤ
समेट,ਸੁਲ੍ਹਾ
"हवाई रडार, हवाई रडार","ਏਅਰਬੋਰਨ ਰਾਡਾਰ, ਏਰੀਅਲ ਰਾਡਾਰ"
"हवाई लक्ष्य, हवाई लक्ष्य","ਏਰੀਅਲ ਟੀਚਾ, ਏਰੀਅਲ ਟੀਚਾ"
हवा श्वसन यंत्र,ਹਵਾ ਸਾਹ ਲੈਣ ਵਾਲਾ
वातानुकुलीत,ਏਅਰ ਕੰਡੀਸ਼ਨਿੰਗ
विंडप्रूफ ट्रान्सफॉर्मर,ਏਅਰਕ੍ਰੂ ਟ੍ਰਾਂਸਫਾਰਮਰ
विमान,ਜਹਾਜ਼
संरेखन,ਅਲਾਈਨਮੈਂਟ
संरेखन त्रुटी,ਅਲਾਈਨਮੈਂਟ ਗਲਤੀ
थेट सर्किट,ਲਾਈਵ ਸਰਕਟ
पूर्ण काचेची ट्यूब,ਪੂਰੀ ਕੱਚ ਦੀ ਟਿਊਬ
संपूर्ण धातूची नळी,ਸਾਰੀ ਧਾਤ ਦੀ ਟਿਊਬ
निराकरण,ਠੀਕ ਕਰਨ ਲਈ
"मिश्रातु (सं.), मिश्रत्व (क्र.)","ਮਿਸਰਤੁ (ਸੰਪਾਦਕ), ਮਿਸ਼ਰਤਵਨ (ਸੀ.ਆਰ.)"
मिश्रत्व,ਮਿਸ਼ਰਤਵਨ
सर्वव्यापी माध्यम,ਸਰਵ ਵਿਆਪਕ ਮਾਧਿਅਮ
सर्व अँटेना,ਓਮਨੀ ਐਂਟੀਨਾ
पंचांग,ਅਲਮੈਨਕ
अल्फा,ਅਲਫ਼ਾ
अल्फा क्रियाकलाप,ਅਲਫ਼ਾ-ਗਤੀਵਿਧੀ
अल्फान्यूमेरिक,ਅੱਖਰ ਅੰਕੀ
अल्फा किरण,ਅਲਫ਼ਾ ਰੇ
बदला,ਬਦਲੋ
"पर्यायी, पर्यायी","ਬਦਲਵਾਂ, ਬਦਲਵਾਂ"
अल्टरनेटर,ਅਲਟਰਨੇਟਰ
अल्टिमीटर,ਅਲਟੀਮੀਟਰ
अल्टिमीटर,ਅਲਟੀਮੀਟਰ
altimetry,ਅਲਟਾਈਮੇਟਰੀ
"उंची, उंची, उंची, उंची","ਉਚਾਈ, ਉਚਾਈ, ਉਚਾਈ, ਉਚਾਈ"
अंकगणित तर्क युनिट (ALU),ਅੰਕਗਣਿਤ ਤਰਕ ਇਕਾਈ (ALU)
amaget नियम,amaget ਨਿਯਮ
वातावरण,ਵਾਤਾਵਰਣ
amicron,amicron
ammeter,ammeter
अँपिअर,ਐਂਪੀਅਰ
अँपिअर-लॉ,ਐਂਪੀਅਰ-ਲਾਅ
उभयचर आयन,amphibian ion
प्रवर्धन,ਵਾਧਾ
अॅम्प्लीफायर,ਐਂਪਲੀਫਾਇਰ
"कोन, परिमाण","ਕੋਣ, ਮਾਪ"
a एम. यू. (अणु वस्तुमान एकक),a ਐਮ.ਯੂ. (ਪਰਮਾਣੂ ਪੁੰਜ ਯੂਨਿਟ)
सुसंगत,ਅਨੁਕੂਲ
साधर्म्य,ਸਮਾਨਤਾ
विश्लेषक,ਵਿਸ਼ਲੇਸ਼ਕ
विश्लेषण,ਵਿਸ਼ਲੇਸ਼ਣ
विश्लेषणात्मक,ਵਿਸ਼ਲੇਸ਼ਣੀ
नॉन पॉइंट,ਗੈਰ-ਪੁਆਇੰਟ
विसंगत,ਅਸਧਾਰਨ
आणि दरवाजा,ਅਤੇ ਦਰਵਾਜ਼ਾ
गैर-ध्वनी,ਗੈਰ-ਧੁਨੀ
विसंगत लवचिकता,ਅਸਧਾਰਨ ਲਚਕਤਾ
निर्जल,ਨਿਹਾਈਡ੍ਰਸ
कोन,ਕੋਣ
अँग्स्ट्रोम युनिट,ਐਂਗਸਟ੍ਰੋਮ ਯੂਨਿਟ
टोकदार,ਕੋਣੀ
protractor vernier,protractor vernier
विवादास्पद,ਵਿਵਾਦਪੂਰਨ
अनादर,ਬੇਇੱਜ਼ਤੀ
अक्रोमॅटिक चुंबकीकरण,ਅਕ੍ਰੋਮੈਟਿਕ ਚੁੰਬਕੀਕਰਨ
सुस्त,ਢਿੱਲੀ
anion,anion
असममित,ਅਸਮਿਤ
समस्थानिक,ਆਈਸੋਟ੍ਰੋਪਿਕ
isotropism,isotropism
हटवणे,ਮਿਟਾਉਣਾ
कटकारस्थान,ਸਾਜ਼ਿਸ਼ਕਰਤਾ
एनोड,ਐਨੋਡ
anodization,anodization
विसंगत,ਅਸੰਗਤ
ऑप्टिकल प्रणाली,ਆਪਟੀਕਲ ਸਿਸਟਮ
अँटेना,ਐਂਟੀਨਾ
अँटीबेरियन,ਐਂਟੀਬੇਰੀਅਨ
अँटी-बॉन्डिंग गुणधर्म,ਵਿਰੋਧੀ ਬੰਧਨ ਜਾਇਦਾਦ
काउंटर बाँड,ਵਿਰੋਧੀ ਬਾਂਡ
उलट शक्ती,ਉਲਟ ਸ਼ਕਤੀ
डायमॅग्नेटिक,ਡਾਇਮੈਗਨੈਟਿਕ
डायमॅग्नेटिक सामग्री,ਡਾਇਮੈਗਨੈਟਿਕ ਸਮੱਗਰੀ
विरोधी दाहक,ਸਾੜ ਵਿਰੋਧੀ
गुरुत्वाकर्षण,ਐਂਟੀਗ੍ਰੈਵਿਟੀ
antilamda कण,antilamda ਕਣ
ऍलेलेप्टन,ਐਲੇਲੈਪਟਨ
डायमॅग्नेटिक,ਡਾਇਮੈਗਨੈਟਿਕ
प्रतिपदार्थ,ਐਂਟੀਮੈਟਰ
क्षेपणास्त्र विरोधी,ਵਿਰੋਧੀ ਮਿਜ਼ਾਈਲ
अँटीन्यूट्रॉन,antineutron
pulsating,pulsating
अँटीन्यूक्लिओन,antinucleon
प्रतिकण,ਵਿਰੋਧੀ ਕਣ
अँटीप्रोटॉन,ਐਂਟੀਪ੍ਰੋਟੋਨ
परावर्तक,ਪ੍ਰਤੀਬਿੰਬ ਵਿਰੋਧੀ
विषमताविरोधी,ਵਿਰੋਧੀ ਸਮਰੂਪ
आवर्ती नाही,ਗੈਰ-ਆਵਰਤੀ
अनाक्रोनिझम,anachronism
छिद्रित स्कॅनिंग डिस्क,perforated ਸਕੈਨਿੰਗ ਡਿਸਕ
द्वारक,ਦੁਆਰਕ
"वर, वर, समोर","ਸਿਖਰ, ਸਿਖਰ, ਸਾਹਮਣੇ"
"उच्च सूर्य, उच्च सूर्य","ਉੱਚਾ ਸੂਰਜ, ਉੱਚਾ ਸੂਰਜ"
उदासीन लेस,ਉਦਾਸੀਨ ਕਿਨਾਰੀ
गैर-दयनीय,ਗੈਰ ਤਰਸਯੋਗ
अपंगत्व नसणे,ਗੈਰ-ਅਯੋਗਤਾ
अतिशय वर्णवर्धक,ਬਹੁਤ ਅਕ੍ਰੋਮੈਟਿਕ
"जमीन-उंच, apogee","ਜ਼ਮੀਨ-ਉੱਚਾ, apogee"
"nonpolar, circumpolar","ਗੈਰ-ਧਰੁਵੀ, ਚੱਕਰੀ"
parapolarity,parapolarity
साधन,ਡਿਵਾਈਸ
"आभासी, दृश्य","ਵਰਚੁਅਲ, ਵਿਜ਼ੂਅਲ"
दृश्यमान सूर्य,ਦਿਖਾਈ ਦੇਣ ਵਾਲਾ ਸੂਰਜ
दृश्य वेळ,ਵਿਜ਼ੂਅਲ ਸਮਾਂ
उदयोन्मुख देखावा,ਉਭਰਦੀ ਦਿੱਖ
अर्ज,ਐਪਲੀਕੇਸ਼ਨ
लागू,ਲਾਗੂ ਹੋਣ
लागू,ਲਾਗੂ ਕੀਤਾ
निरीक्षण करण्यायोग्य,ਦੇਖਣਯੋਗ
दृष्टीकोन,ਪਹੁੰਚ
"जवळ, अंदाजे","ਨੇੜੇ, ਲਗਭਗ"
अंदाजे,ਲਗਭਗ
बाष्प दाब,ਭਾਫ਼ ਦਾ ਦਬਾਅ
ऐच्छिक,ਸਵੈ-ਇੱਛਤ
"चाप भट्टी, चाप भट्टी","ਚਾਪ ਭੱਠੀ, ਚਾਪ ਭੱਠੀ"
आर्किमिडीजचा कायदा,ਆਰਕੀਮੀਡੀਜ਼ ਦਾ ਕਾਨੂੰਨ
आर्किटेक्चरल ध्वनीशास्त्र,ਆਰਕੀਟੈਕਚਰਲ ਧੁਨੀ ਵਿਗਿਆਨ
चाप दिवा,ਚਾਪ ਲੈਂਪ
आर्क-स्पेक्ट्रम,ਚਾਪ-ਸਪੈਕਟ੍ਰਮ
"क्षेत्र, क्षेत्र","ਖੇਤਰ, ਖੇਤਰ"
"प्रादेशिक, प्रादेशिक","ਖੇਤਰੀ, ਖੇਤਰੀ"
"हात, हात, शाखा","ਬਾਂਹ, ਬਾਂਹ, ਸ਼ਾਖਾ"
हौशी,ਸ਼ੁਕੀਨ
"अॅरे, अॅरे","ਐਰੇ, ਐਰੇ"
प्राप्तकर्ता,ਪ੍ਰਾਪਤਕਰਤਾ
उच्चार स्पष्टता,ਉਚਾਰਨ ਸਪਸ਼ਟਤਾ
सिंथेटिक,ਸਿੰਥੈਟਿਕ
कृत्रिम संक्रमण,ਨਕਲੀ ਤਬਦੀਲੀ
चढत्या,ਚੜ੍ਹਦਾ
आरोहण,ਚੜ੍ਹਾਈ
चढणे,ਚੜ੍ਹਨਾ
अगोली,ਅਗੋਲੀ
एकत्रीकरण,ਏਕੀਕਰਨ
संच,ਦਾ ਸੈੱਟ
