Telugu,English
తగ్గింపు,Abatement
సంక్షిప్తీకరణ,Abbreviation
అపహరణ,Abduction
Abeyance,Abeyance
సామర్థ్యం,Ability
అబ్ ఇనిషియో,Ab initio
సామర్థ్యం,Able
అసాధారణ,Abnormal
రద్దు,Abolition
నిర్మూలన పోస్ట్,Abolitionof post
పైన పేర్కొన్నారు,Above mentioned
పైన కోట్ చేయబడింది,Above quoted
పైన చెప్పారు,Above said
లేకపోవడం,Absence
హాజరుకాని,Absentee
హాజరుకానితనం,Absenteeism
హాజరుకాని ప్రకటన,Absentee statement
సంపూర్ణ,Absolute
సంపూర్ణ గుత్తాధిపత్యం,Absolute monopoly
సంపూర్ణ యాజమాన్యం,Absolute ownership
శోషణ,Absorption
నైరూప్య,Abstract
అబ్స్ట్రాక్ట్ స్టేట్మెంట్,Abstractstatement
అసంబద్ధం,Absurd
సమృద్ధి,Abundance
అధికార దుర్వినియోగం,Abuse of power
దుర్వినియోగ భాష,Abusive language
విద్యావేత్త,Academic
విద్యా చర్చ,Academic discussion
విద్యా సెలవు,Academic leave
విద్యా అర్హత,Academic qualification
విద్యా రికార్డు,Academic record
ACCEDE,Accede
అంగీకరించండి,Accept
అంగీకారం,Acceptance
కార్యాలయం అంగీకారం,Acceptance of office
టెండర్ అంగీకారం,Acceptance of tender
యాక్సెస్,Access
ప్రవేశం,Accession
అనుబంధ,Accessory
ప్రమాదం,Accident
అలవాటు,Acclimatization
వసతి,Accommodation
తోడు,Accompanist
ఒప్పందం,Accord
అనుగుణంగా,Accordance
దీని ప్రకారం,Accordingly
ఖాతా,Account
జవాబుదారీతనం,Accountability
జవాబుదారీతనం,Accountable
అకౌంటెన్సీ,Accountancy
అకౌంటెంట్,Accountant
ఖాతా,Account for
ఖాతా హెడ్,Account head
సేకరించిన ప్రయోజనం,Accrued benefit
పెన్షన్ పెన్షన్,Accrued pension
చేరడం,Accumulation
ఖచ్చితత్వం,Accuracy
ఖచ్చితమైనది,Accurate
నిందించండి,Accuse
ఆరోపణలు,Accused
సాధన,Achievement
గుర్తింపు,Acknowledgement
రసీదు గడువు,Acknowledgement due
పరిచయము,Acquaintance
సముపార్జన,Acquisition
సముపార్జన,Acquittance
చట్టం,Act
నటన భత్యం,Acting allowance
చర్య,Action
కార్య ప్రణాళిక,Action plan
క్రియాశీల,Active
చురుకుగా,Actively
కార్యకర్త,Activist
దైవఘటన,Act of God
దుష్ప్రవర్తన చర్య,Act of misconduct
కమీషన్ మరియు కమీషన్,Act of commission and omission
అసలు,Actual
వాస్తవాలు,Actuals
అనుసరణ,Adaptation
అదనంగా,Addition
అదనపు ఛార్జ్,Additional charge
అదనపు ఫండ్,Additional fund
అదనపు గ్రాంట్,Additional grant
అదనపు సమాచారం,Additional information
అదనపు వేతనం,Additional pay
అదనంగా మరియు మార్పు,Addition and alteration
చిరునామా,Address
చిరునామా,Addressee
స్వాగత చిరునామా,Address of welcome
తగినంత,Adequate
కట్టుబడి,Adhere to
తాత్కాలిక హాక్,Ad hoc
తాత్కాలిక దావా,Ad hoc claim
తాత్కాలిక కమిటీ,Ad hoc committee
తాత్కాలిక పెరుగుదల,Ad hoc increase
తాత్కాలిక చెల్లింపు,Ad hoc payment
ప్రక్కనే,Adjacent
ప్రక్కనే (= పరస్పర),Adjoining (=contiguous)
వాయిదా,Adjournment
వాయిదా చలన,Adjournment motion
అనుబంధం,Adjudge
తీర్పు,Adjudicate
తీర్పు,Adjudication
న్యాయాధికారి,Adjudicator
సర్దుబాటు,Adjustment
నిర్వహించండి,Administer
ప్రమాణం చేయండి,Administer oath
పరిపాలన,Administration
న్యాయం యొక్క పరిపాలన,Administration of justice
పరిపాలనా,Administrative
పరిపాలనా చర్య,Administrative action
అడ్మినిస్ట్రేటివ్ అప్రైసల్,Administrative appraisal
పరిపాలనా ఆమోదం,Administrative approval
పరిపాలనా అధికారం,Administrative authority
పరిపాలనా నియంత్రణ,Administrative control
పరిపాలనా నిర్ణయం,Administrative decision
పరిపాలనా విభాగం,Administrative department
అడ్మినిస్ట్రేటివ్ హెడ్,Administrative head
పరిపాలనా ప్రధాన కార్యాలయం,Administrative headquarters
పరిపాలనా చర్యలు,Administrative measures
పరిపాలనా శక్తి,Administrative power
పరిపాలనా అనుమతి,Administrative sanction
పరిపాలనా సాంకేతికత,Administrative technique
అడ్మినిస్ట్రేటివ్ ట్రిబ్యునల్,Administrative tribunal
ప్రవేశం,Admissibility
ఆమోదయోగ్యమైన వ్యయం,Admissible expenditure
అంగీకరించండి,Admit
అడ్మిట్ కార్డ్,Admit card
అంగీకరించారు,Admitted
సలహా,Admonish
దత్తత తీసుకున్న వ్యక్తి,Adoptee
దత్తత,Adoptor
దత్తత,Adoption
వయోజన,Adult
కల్తీ,Adulteration
వ్యభిచారం,Adultery
వయోజన ఫ్రాంచైజ్,Adult franchise
ప్రకటన విలువ,Ad valorem duty
అడ్వాన్స్,Advance
అడ్వాన్స్ బుకింగ్,Advance booking
ముందస్తు కాపీ,Advance copy
ముందస్తు పెరుగుదల,Advance increment
ముందస్తు చెల్లింపు,Advance payment
ప్రతికూల ప్రవేశం,Adverse entry
ప్రతికూల వ్యాఖ్యలు,Adverse remarks
ప్రతికూల నివేదిక,Adverse report
ప్రకటన,Advertisement
సలహా,Advice
చెల్లింపు సలహా,Advice of payment
సలహా సమితి,Advisory committee
సలహా మండలి,Advisory council
న్యాయవాది,Advocate
వ్యవహారాలు,Affairs
అఫిడవిట్,Affidavit
అనుబంధం,Affiliation
ధృవీకరణ,Affirmation
ధృవీకరించేది,Affirmative
స్థోమత,Afford
పైన పేర్కొన్నది,Aforesaid
అఫ్రెష్,Afresh
వ్యతిరేకంగా,Against
వయస్సు,Age
వయస్సు ధృవీకరణ పత్రం,Age certificate
ఓటు హక్కు కోసం వయస్సు,Age for suffrage
వయో పరిమితి,Age limit
ఏజెన్సీ,Agency
ఎజెండా,Agenda
పదవీ విరమణ వయస్సు,Age of retirement
పర్యవేక్షణ వయస్సు,Age of superannuation
సమూహనం,Aggregation
బాధపడ్డాడు,Aggrieved
ఆందోళన,Agitation
AGM,AGM
ఒప్పందం,Agreement
ఒప్పంద ఫారం,Agreement form
వ్యవసాయం,Agriculture
అగ్రో-ఇండస్ట్రీ,Agro-industry
సహాయం,Aid
అలారం,Alarm
అప్రమత్తత,Alertness
అలియాస్,Alias
ఆరోపణ,Allegation
విధేయత,Allegiance
కూటమి,Alliance
అనుబంధ సేవలు,Allied services
అన్ని కలుపుకొని ఖర్చు,All inclusive cost
ఆల్ ఇండియా సర్వీసెస్,All India Services
కేటాయింపు,Allocation
కేటాయింపు,Allotment
కేటాయింపు లేఖ,Allotment letter
కేటాయింపు,Allottee
అనుమతించదగినది,Allowable
అనుమతించదగిన ఖర్చులు,Allowable expenses
అప్పీల్‌ను అనుమతించండి,Allow an appeal
భత్యం,Allowance
అన్ని హక్కులూ ప్రత్యేకించుకోవడమైనది,All rights reserved
అక్షర క్రమం,Alphabetic order
వాగ్వాదం,Altercation
ప్రత్యామ్నాయ,Alternate
ప్రత్యామ్నాయం,Alternative
సమ్మేళనం,Amalgamation
సవరించిన చిత్తుప్రతి,Amended draft
సవరణ,Amendment
సౌకర్యం,Amenity
స్నేహపూర్వక,Amicable
మందుగుండు సామగ్రి,Ammunition
రుణ రుణమాఫీ,Amortization of debt
మొత్తం,Amount
పెన్షన్ మొత్తం,Amount of pension
సారూప్య పోస్ట్,Analogous post
విశ్లేషణ,Analysis
విశ్లేషణాత్మక అధ్యయనం,Analytical study
పూర్వీకుడు,Ancestor
సహాయక పరిశ్రమ,Ancillary industry
శత్రుత్వం,Animosity
అనుబంధం,Annexure
వార్షికోత్సవం,Anniversary
ప్రకటన,Announcement
కోపం,Annoyance
వార్షిక ఆర్థిక ప్రకటన,Annual financial statement
వార్షిక నివేదిక,Annual report
యాన్యుటీ,Annuity
అనామక,Anonymous
అనామక ఫిర్యాదు,Anonymous complaint
జవాబుదారీతనం,Answerability
జవాబు పత్రం,Answer sheet
విరోధి,Antagonist
పూర్వజన్మలు,Antecedents
Bean హించిన ఖర్చు,Anticipated expenditure
Ntic హించిన ఆదాయం,Anticipated income
Ntic హించడం,Anticipation
ముందస్తు బెయిల్,Anticipatory bail
అవినీతి నిరోధక కొలత,Anti-corruption measure
యాంటీ డంపింగ్,Anti-dumping
పురాతన,Antique
వర్ణవివక్ష,Apartheid
ఉదాసీనత,Apathy
అపెక్స్ బాడీ,Apex body
