Punjabi,Bengali
ਐਬੈਕਸਿਅਲ ਸਤਹ,অ্যাব্যাক্সিয়াল পৃষ্ঠ
ਪੇਟ,পেট
ਪੇਟ AORTA,পেটের মহাধমনী
ਪੇਟ ਗੰਗਾਲੀਆ,পেটের গ্যাংলিয়া
ਅਬੈਲਮੋਸਚਸ ਐਸਕੂਲਟਸ,আবেলমোসচাস এসকুলেন্টাস
ਅਸਧਾਰਨ,অবসন্নতা
ਅੱਛਾ,Abies
ਅਬਿੰਗਡਨ ਕਛੂਆ,অ্যাবিংডন কচ্ছপ
ਅਬੀਓਜੀਨੇਸਿਸ,অ্যাবোজেনেসিস
ਅਬੀਓਟਿਕ,অ্যাবায়োটিক
ਅਬੀਓਟਿਕ ਕਾਰਕ,জীবক্রিয়া ফ্যাক্টর
ਅਸਧਾਰਨ ਪਿਸ਼ਾਬ,অস্বাভাবিক প্রস্রাব
ਅਬੋ ਬਲੱਡ ਗਰੁੱਪ,আবো ব্লাড গ্রুপ
Abscisic ਐਸਿਡ,অ্যাবসিসিক অ্যাসিড
ਵਿਵੇਕ,অ্যাবসিশন
ਸੋਖਣਾ,শোষণ
ਸਮਾਈ ਪੀਕ,শোষণ শিখর
ਸਮਾਈ,শোষণ
ਅੱਕੀਆ ਕੈਟੂਯੂ,বাবলা ক্যাটেকু
ਅਕਾਰੀਆ ਅਰਬੀ,অ্যাকারিয়া আরবিকা
ਐਕਾਪ੍ਰਿਨ,অ্যাকাপ্রিন
ਮੰਨਣਯੋਗ ਜਿਨਸੀ ਵਿਵਹਾਰ,গ্রহণযোগ্য যৌন আচরণ
ਐਕਸੈਸਰੀ ਗਲੈਂਡ,আনুষঙ্গিক গ্রন্থি
ਐਕਸੈਸਰੀ ਗਲੈਂਡ,আনুষঙ্গিক গ্রন্থি
ਸਹਾਇਕ ਅੰਗ,আনুষঙ্গিক অঙ্গ
ਅਨੁਕੂਲਤਾ,প্রশংসাপত্র
ਅਹਿਮ,প্রশংসিত
ਰਿਹਾਇਸ਼ (ਫੋਕਸ ਕਰਨਾ),আবাসন (ফোকাসিং)
ਅੱਖ ਦੀ ਰਿਹਾਇਸ਼,চোখের থাকার ব্যবস্থা
ਅਦਭੁਤ ਵਾਧਾ,স্বীকৃত বৃদ্ধি
ਇਕੱਠਾ,জমা
ਜੈਵਿਕ ਪਦਾਰਥ ਦਾ ਇਕੱਠਾ ਹੋਣਾ,জৈব পদার্থ জমে
ਮਿੱਟੀ ਦਾ ਇਕੱਠਾ ਹੋਣਾ,মাটি জমে
ਐਸੀਲੂਲਰ,অ্যাসেলুলার
ਐਸੀਲੂਲਰ ਜੀਵ,অ্যাসেলুলার জীব
ਐਸੀਟੌਮੂਲਮ,অ্যাসিটাবুলাম
ਐਸੀਟਲਾਈਡਾਈਡ,অ্যাসিটালডিহাইড
ਐਸੀਟੇਲ ਰੀਜ਼ਨ,এসিটাইল কোএনজাইম
ਅਮੀਥਿਨਾ,আছাটিনা
ਅੱਕੇ,অ্যাকিন টাইপ
ਅਕੇਸ਼ੀ,আচিন
AchlamyDosporeae,Achlamydosporye
ਐਸਿਡ ਬਾਰਸ਼,এসিড বৃষ্টি
ਤੇਜਾਬ,অ্যাসিডিক
ਤੇਜ਼ਾਬ ਗੈਸ,অ্যাসিডিক গ্যাস
ਐਸਿਡਿਟੀ,অম্লতা
ਐਕਸੀਨਰ ਸੈੱਲ,অ্যাকিনার সেল
ਆਕੋਲੀਓਮੈਟ,অ্যাকোলোমেট
