Bengali,Punjabi
ওয়েস্টমিনস্টারের অ্যাবে,ਵੈਸਟਮਿੰਸਟਰ ਦੇ ਅਬੇ
বর্জনীয়,ਨਿਮਰਤਾ
দাসত্বের সমাপ্তি,ਗੁਲਾਮੀ ਦਾ ਖਾਤਮਾ
আদিবাসী,ਆਦਿਵਾਸੀ
আব্রাহাম যুগ,ਅਬਰਾਹਮ ਯੁੱਗ
অনুপস্থিত জমির মালিক,ਗੈਰਹਾਜ਼ਰ ਮਕਾਨ ਮਾਲਕ
একাডেমী,ਅਕੈਡਮੀ
আকরা সম্মেলন,ਅਕਰਾ ਕਾਨਫਰੰਸ
সঞ্চয়,ਪ੍ਰਾਪਤੀ
সংগ্রহ,ਐਕਲਚਰੇਸ਼ਨ
অ্যাসেলডামা,ਐਸੇਲਡਾਮਾ
আচিয়ান (=আচিয়ান),ਅਚੀਅਨ (=ਅਚੀਅਨ)
আচিয়ান লীগ (=আচিয়ান লীগ),ਅਚੀਅਨ ਲੀਗ (=ਅਚੀਅਨ ਲੀਗ)
অ্যাক্রোপলিস,ਐਕ੍ਰੋਪੋਲਿਸ
Acta Diurna,ਐਕਟਾ ਦਿਉਰਨਾ
Acta Senatus,ਐਕਟਾ ਸੇਨੇਟਸ
অ্যাক্ট অ্যাডিশনেল,ਐਕਟ ਐਡੀਸ਼ਨਲ
সক্রিয় রেকর্ড (=বর্তমান রেকর্ড),ਕਿਰਿਆਸ਼ੀਲ ਰਿਕਾਰਡ (=ਮੌਜੂਦਾ ਰਿਕਾਰਡ)
প্রাপ্তির কাজ,ਪ੍ਰਾਪਤ ਕਰਨ ਵਾਲੇ ਦਾ ਕੰਮ
ক্ষতিপূরণ এবং বিস্মৃতির আইন,ਮੁਆਵਜ਼ੇ ਅਤੇ ਭੁੱਲ ਦਾ ਕੰਮ
নিষ্পত্তির আইন,ਸੈਟਲਮੈਂਟ ਦਾ ਐਕਟ
বিজ্ঞাপন চুক্তি সীল,ਵਿਗਿਆਪਨ ਇਕਰਾਰਨਾਮੇ ਦੀ ਮੋਹਰ
আদুল্লামাইটস,ਅਦੁਲਾਮਾਈਟਸ
প্রতিপক্ষ,ਵਿਰੋਧੀ
প্রতিপক্ষ,ਵਿਰੋਧੀ
Aeon,ਏਯੋਨ
এরারিয়াম,ਏਰੈਰੀਅਮ
বায়বীয় যুদ্ধ,ਹਵਾਈ ਜੰਗ
এটোলিয়ান লীগ,ਏਟੋਲੀਅਨ ਲੀਗ
বয়স,ਉਮਰ
বার্ধক্য (=বার্ধক্য),ਬੁਢਾਪਾ (=ਬੁਢਾਪਾ)
বার্ধক্য প্রক্রিয়া,ਬੁਢਾਪੇ ਦੀ ਪ੍ਰਕਿਰਿਆ
এগেলাই,ਅਗੇਲੈ
বীরত্বের বয়স,ਬਹਾਦਰੀ ਦੀ ਉਮਰ
এনলাইটমেন্টের বয়স,ਗਿਆਨ ਦੀ ਉਮਰ
পেরিক্লেসের বয়স,ਪੇਰੀਕਲਸ ਦੀ ਉਮਰ
কারণ বয়স,ਕਾਰਨ ਦੀ ਉਮਰ
কৃষিবাদ,ਖੇਤੀਵਾਦ
কৃষি আন্দোলন,ਖੇਤੀ ਅੰਦੋਲਨ
অ্যালবিয়ন,ਐਲਬੀਅਨ
অ্যালবাম,ਐਲਬਮ
অল্ডারম্যান,ਐਲਡਰਮੈਨ
লোভনীয় অস্ত্র,ਲੁਭਾਉਣੇ ਹਥਿਆਰ
বন্ধুত্ব,ਦੋਸਤੀ
অ্যাম্ফিক্টোনিক কাউন্সিল,Amphictyonic ਕੌਂਸਲ
Amphictyonic লীগ,ਐਮਫਿਕਟੋਨਿਕ ਲੀਗ
অ্যাম্ফিথিয়েটার,ਅਖਾੜਾ
আমরি নল দল (মৃৎপাত্রের),ਅਮਰੀ ਨਲ ਸਮੂਹ (ਮਿੱਟੀ ਦੇ ਭਾਂਡਿਆਂ ਦਾ)
অ্যানাক্রোনিজম,ਐਨਾਕ੍ਰੋਨਿਜ਼ਮ
অ্যানাক্রোনিস্টিক,ਐਨਾਕ੍ਰੋਨਿਸਟਿਕ
পূর্বপুরুষ,ਪੂਰਵਜ
পূর্ব পুরুষের পুজা,ਪੂਰਵਜ ਦੀ ਪੂਜਾ
বংশ,ਵੰਸ਼
বংশ,ਵੰਸ਼
বংশ,ਵੰਸ਼
বংশ,ਵੰਸ਼
প্রাচীন শাসন,ਪ੍ਰਾਚੀਨ ਸ਼ਾਸਨ
প্রাচীন,ਪ੍ਰਾਚੀਨ
প্রাচীন গীতিনাট্য,ਪ੍ਰਾਚੀਨ ਗੀਤ
প্রাচীন বিশ্বাস,ਪ੍ਰਾਚੀਨ ਵਿਸ਼ਵਾਸ
প্রাচীন রীতি,ਪ੍ਰਾਚੀਨ ਰਿਵਾਜ
প্রাচীন ইতিহাস,ਪ੍ਰਾਚੀਨ ਇਤਿਹਾਸ
