Assamese,Odiya
এ চি সমতুল্য বৰ্তনী,AC ସମାନ ସର୍କିଟ |
এনালগ টু সংখ্যাগত ৰূপান্তৰক,ସାଂଖ୍ୟିକ ରୂପାନ୍ତରକାରୀ ସହିତ ଅନୁରୂପ |
নিৰপেক্ষ শূন্য,ସଂପୂର୍ଣ୍ଣ ଶୂନ
শোষণ সহগ,ଶୋଷଣ ଗୁଣବତ୍ତା
শোষণ বৰ্ণালী,ଅବଶୋଷଣ ସ୍ପେକ୍ଟ୍ରମ୍ |
ৰিচেপ্টৰ পৰমাণু,ରିସେପ୍ଟର ପରମାଣୁ |
বিকল্প বিদ্যুৎ প্ৰবাহ সংযোজন,ବ current କଳ୍ପିକ ସାମ୍ପ୍ରତିକ ଯୋଡି |
ইলেক্ট্ৰন সংগ্ৰহ কৰা,ଇଲେକ୍ଟ୍ରନ୍ ଅମଳ
ফুটা সংৰক্ষণ,ଗର୍ତ୍ତ ସଂରକ୍ଷଣ
সক্ৰিয়কৰণ শক্তি,ସକ୍ରିୟ ଶକ୍ତି
সক্ৰিয় পৰিবৰ্ধক,ସକ୍ରିୟ ଏମ୍ପ୍ଲିଫାୟର୍ |
সক্ৰিয় ডাইঅ&#39;ড বৰ্তনী,ସକ୍ରିୟ ଡାୟୋଡ୍ ସର୍କିଟ୍ |
সক্ৰিয় ফিল্টাৰ,ସକ୍ରିୟ ଫିଲ୍ଟର୍ |
সক্ৰিয় উচ্চ কম্পাঙ্ক পাৰ্কেট ফিল্টাৰ,ସକ୍ରିୟ ହାଇ ଫ୍ରିକ୍ୱେନ୍ସି ପାର୍କେଟ୍ ଫିଲ୍ଟର୍ |
সক্ৰিয় লোড,ସକ୍ରିୟ ଭାର
সক্ৰিয় কম কম্পাঙ্ক বিশ্লেষণ ফিল্টাৰ,ସକ୍ରିୟ ନିମ୍ନ ଫ୍ରିକ୍ୱେନ୍ସି ପାର୍ସ ଫିଲ୍ଟର୍ |
সক্ৰিয় অঞ্চল,ସକ୍ରିୟ କ୍ଷେତ୍ର |
অভিযোজিত ইলেক্ট্ৰনিক্স,ଆଡାପ୍ଟିଭ୍ ଇଲେକ୍ଟ୍ରୋନିକ୍ସ |
adder,ଆଡର୍
এডজাষ্টেবল বেণ্ড এক্সটেনচন,ଆଡଜଷ୍ଟେବଲ୍ ବ୍ୟାଣ୍ଡ ଏକ୍ସଟେନ୍ସନ୍ |
ভেদ,ଅନୁପ୍ରବେଶ
এৰিয়েল,ଆରିଏଲ
pep কম্পাঙ্ক,ପେପ୍ ଫ୍ରିକ୍ୱେନ୍ସି |
এয়াৰ কণ্ডিচনাৰ,ଶିତତାପ ନିୟନ୍ତ୍ରଣକାରି
প্ৰান্তিককৰণ,ଶ୍ରେଣୀବଦ୍ଧତା |
এলগৰিদম,ଆଲଗୋରିଦମ |
সকলো পাছ ফিল্টাৰ,ସମସ୍ତ ପାସ୍ ଫିଲ୍ଟର୍ |
মিশ্ৰণ সংযোগ,ମିଶ୍ରିତ ଜଙ୍କସନ |
ক্ষীণকৰণ,ଆଘାତ
বিকল্প বিদ্যুৎ প্ৰবাহ,ବ current କଳ୍ପିକ କରେଣ୍ଟ୍ |
পৰিৱেশৰ উষ্ণতা,ପରିବେଶର ତାପମାତ୍ରା |
বাইপোলাৰ,ଦ୍ୱିପାକ୍ଷିକ
এম্প্লিফিকেশন,ବୃଦ୍ଧି
এম্প্লিফায়াৰ,ଏମ୍ପ୍ଲିଫାୟର୍
এম্প্লিফায়াৰৰ কাৰ্যক্ষমতা,ଏମ୍ପ୍ଲିଫାୟର୍ ଦକ୍ଷତା |
মাত্ৰাসমূহ,ପରିମାପ
প্ৰসাৰণ ক্ষীণকৰণ,ପ୍ରଶସ୍ତତା ଆଘାତ
প্ৰসাৰণ মডুলেটেড AM দোলক,ବିସ୍ତାର ମଡ୍ୟୁଲେଡ୍ ଏମ୍ ଓସିଲେଟର
প্ৰসাৰণ মডুলেচন,ପ୍ରଶସ୍ତିକରଣ ମୋଡ୍ୟୁଲେସନ
প্ৰসাৰণ মডুলেটৰ,ପ୍ରଶସ୍ତିକରଣ ମଡ୍ୟୁଲେଟର
angstrom একক,ଆଙ୍ଗଷ୍ଟ୍ରମ୍ ୟୁନିଟ୍ |
এনালগ বৰ্তনী,ଆନାଗଲ୍ ସର୍କିଟ୍ |
এনালগ কম্পিউটাৰ,ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର |
এনালগ ফিল্টাৰ,ଆନାଲଗ୍ ଫିଲ୍ଟର୍ |
এনালগ মাল্টিমিটাৰ,ଆନାଗଲ୍ ମଲ୍ଟିମିଟର |
এনালগ চুইচ,ଆନାଗଲ୍ ସୁଇଚ୍ |
AND গেট,ଏବଂ ଫାଟକ |
কৌণিক কম্পাঙ্ক,କୋଣ ଅନୁକୋଣ
"এনিয়ন, এনিয়ন","ଆୟନ, ଆୟନ"
এনিয়েলিং উষ্ণতা,ଆନ୍ନାଲିଙ୍ଗ୍ ତାପମାତ୍ରା |
এনোড,anode
এনোড এম্প্লিফায়াৰ,ଆନାଡ୍ ଏମ୍ପ୍ଲିଫାୟର୍ |
এনোডাইন,anodyne
এন্টেনা,ଆଣ୍ଟେନା |
এন্টেনা উপাদান,ଆଣ୍ଟେନା ଉପାଦାନ |
এন্টি-ৰিফ্লেক্টিভ আৱৰণ,ଆଣ୍ଟି-ପ୍ରତିଫଳିତ ଆବରଣ |
এন্টিলগিন এম্প্লিফায়াৰ,ଆଣ୍ଟିଲୋଜିନ ଏମ୍ପ୍ଲିଫାୟର୍ |
এন্টিৰেজোনেণ্ট চাৰ্কিট,ଆଣ୍ଟିରେସୋନାଣ୍ଟ ସର୍କିଟ |
দ্বাৰক যুগ,ଦ୍ୱାରକ ଅବଧି |
ভাৰ্চুৱেল শক্তি,ଭର୍ଚୁଆଲ୍ ଶକ୍ତି |
তাঁৰৰ সংযোগ,ତାର ସଂଯୋଗ
আনুমানিক ভোল্টেজ লাভ,ଆନୁମାନିକ ଭୋଲଟେଜ୍ ଲାଭ |
আৰ্মষ্ট্ৰং মডুলেটৰ,ବାହୁବଳୀ ମଡ୍ୟୁଲେଟର
এন্টেনা এৰে,ଆଣ୍ଟେନା ଆରେ |
"আকাৰৰ অনুপাত, দৃষ্টি অনুপাত","ଆକାର ଅନୁପାତ, ଆସପେକ୍ଟ ଅନୁପାତ |"
ভাসমান বৰ্তনী (মুক্ত অপাৰেটিং বৰ্তনী),ଭାସମାନ ସର୍କିଟ (ମାଗଣା ଅପରେଟିଂ ସର୍କିଟ)
স্বয়ংক্ৰিয় মাল্টিভাইব্ৰেটৰ,ସ୍ୱୟଂଚାଳିତ ମଲ୍ଟିଭାଇବ୍ରେଟର |
ভাসমান মাল্টিভাইব্ৰেটৰ,ଭାସମାନ ମଲ୍ଟିଭାଇବ୍ରେଟର |
অসমতাপূৰ্ণ সংযোগস্থল,ଅସୀମିତ ଜଙ୍କସନ
এচিনক্ৰ&#39;নাছ কেলকুলেটৰ,ଅସନ୍ତୁଳିତ କାଲକୁଲେଟର |
পাৰমাণৱিক,ପରମାଣୁ
পাৰমাণৱিক সংখ্যা,ପରମାଣୁ ସଂଖ୍ୟା
পাৰমাণৱিক গঠন,ପରମାଣୁ ଗଠନ
অডিঅ&#39; এম্প্লিফায়াৰ,ଅଡିଓ ଏମ୍ପ୍ଲିଫାୟର୍ |
অডিঅ&#39; এম্প্লিফায়াৰ,ଅଡିଓ ଏମ୍ପ୍ଲିଫାୟର୍ |
অডিঅ&#39; কেছেট,ଅଡିଓ କ୍ୟାସେଟ୍ |
অডিঅ&#39; বৰ্তনী,ଅଡିଓ ସର୍କିଟ |
শ্ৰৱণযোগ্য কম্পাঙ্ক,ଶ୍ରବଣ ଫ୍ରିକ୍ୱେନ୍ସି |
স্বয়ংক্ৰিয় ভল্টেজ নিয়ন্ত্ৰণ,ସ୍ୱୟଂଚାଳିତ ଭୋଲଟେଜ୍ ନିୟନ୍ତ୍ରଣ |
হিমস্খলন,ବାଘ
গড় ডিটেক্টৰ,ହାରାହାରି ଡିଟେକ୍ଟର |
অক্ষীয় ধৰণ,ଅକ୍ଷୀୟ ମୋଡ୍ |
অক্ষীয় অনুপাত,ଅକ୍ଷୀୟ ଅନୁପାତ |
এন্টেনা,ଆଣ୍ଟେନା |
পিছলৈ ইলেক্ট্ৰ&#39;ম&#39;টিভ বল,ପଛକୁ ଇଲେକ୍ଟ୍ରୋମୋଟିଭ୍ ଫୋର୍ସ |
পিছফালৰ অঞ্চল,ପଛ କ୍ଷେତ୍ର
পিছলৈ বিক্ষিপ্ততা,ପଛ ବିଛାଇବା |
পটভূমি চাৰ্জ,ପୃଷ୍ଠଭୂମି ଚାର୍ଜ |
কাষৰ শব্দ,ପାର୍ଶ୍ୱ ଶବ୍ଦ |
ৰেট্ৰ&#39;গ্ৰেছন,ପ୍ରତ୍ୟାବର୍ତ୍ତନ
পশ্চাৎ বিকিৰণ,ପରବର୍ତ୍ତୀ ବିକିରଣ |
বেকৱাৰ্ড ডাইঅ&#39;ড / বেকৱাৰ্ড ডাইঅ&#39;ড,ପଛୁଆ ଡାୟୋଡ୍ / ପଛୁଆ ଡାୟୋଡ୍ |
পিছলৈ তৰংগ দোলক,ପଛୁଆ ତରଙ୍ଗ ଓସିଲେଟର |
"বাধা, বাধা","ବାଧା, ବାଧା"
বাধাগ্ৰস্ততা,ବାଧା
সুষম দলং,ସନ୍ତୁଳିତ ସେତୁ |
সুষম মডুলেটৰ,ସନ୍ତୁଳିତ ମଡ୍ୟୁଲେଟର
সুষম মডুলেটৰ,ସନ୍ତୁଳିତ ମଡ୍ୟୁଲେଟର
সুষম বৰ্তনী,ସନ୍ତୁଳିତ ସର୍କିଟ |
ভাৰসাম্যপূৰ্ণ গ্ৰেডিয়েণ্ট ডিটেক্টৰ,ସନ୍ତୁଳିତ ଗ୍ରେଡିଏଣ୍ଟ ଡିଟେକ୍ଟର |
কাৰেণ্ট ষ্টেবিলাইজাৰ ৰেজিষ্টেন্স,ସାମ୍ପ୍ରତିକ ଷ୍ଟାବିଲାଇଜର୍ ପ୍ରତିରୋଧ |
বলোমিটাৰ,ବୋଲୋମିଟର |
বলোমিটাৰ দলং,ବୋଲୋମିଟର ବ୍ରିଜ୍ |
বেলুন,ବେଲୁନ୍ |
কল জেক,ବାନା ଜ୍ୟାକ୍ |
কল প্লাগ,ବାନା ପ୍ଲଗ୍ |
"বেণ্ড, বেণ্ডেজ","ବ୍ୟାଣ୍ଡ, ବ୍ୟାଣ୍ଡେଜ୍ |"
বেণ্ড ড্ৰাইভাৰ,ବ୍ୟାଣ୍ଡ ଡ୍ରାଇଭର |
বেণ্ড শক্তি,ବ୍ୟାଣ୍ଡ ଶକ୍ତି
বেণ্ড গেপ,ବ୍ୟାଣ୍ଡ ଫାଙ୍କ |
badpark এম্প্লিফায়াৰ,ବ୍ୟାଡପାର୍କ ଏମ୍ପ୍ଲିଫାୟର୍ |
বেণ্ড পাছ ফিল্টাৰ,ବ୍ୟାଣ୍ଡ ପାସ୍ ଫିଲ୍ଟର୍ |
বড হাৰ জেনেৰেটৰ,ବାଉଡ୍ ରେଟ୍ ଜେନେରେଟର |
banddispersion,ବ୍ୟାଣ୍ଡଡିସପର୍ସନ |
বেণ্ড ৰেজিষ্টৰ,ବ୍ୟାଣ୍ଡ ପ୍ରତିରୋଧକ |
বেণ্ড ব্ৰেকাৰ ফিল্টাৰ,ବ୍ୟାଣ୍ଡ ବ୍ରେକର୍ ଫିଲ୍ଟର୍ |
বেণ্ড সম্প্ৰসাৰণ,ବ୍ୟାଣ୍ଡ ବିସ୍ତାର
বেণ্ড আঁতৰোৱা ফিল্টাৰ,ବ୍ୟାଣ୍ଡ ରିମୁଭର୍ ଫିଲ୍ଟର୍ |
বেণ্ড এক্সপান্সন ডিফ্লেকচন মাল্টিপ্লাইয়াৰ,ବ୍ୟାଣ୍ଡ ବିସ୍ତାର ଡିଫ୍ଲେକ୍ସନ୍ ମଲ୍ଟିପ୍ଲାଏର୍ |
বেণ্ড সম্প্ৰসাৰণ দূৰত্ব বহুগুণক,ବ୍ୟାଣ୍ଡ ବିସ୍ତାର ଦୂରତା ଗୁଣକର୍ତ୍ତା |
"ৰশ্মি কেপাচিটৰ, বেংক কেপাচিটৰ","ବିମ୍ କ୍ୟାପେସିଟର, ବ୍ୟାଙ୍କ କ୍ୟାପେସିଟର |"
"বাৰ্কাৰ কোড, বাৰ্কাৰ কোড","ବାର୍କର୍ କୋଡ୍, ବାର୍କର୍ କୋଡ୍ |"
barravaugen মাপকাঠী,ବାରଭାଉଗେନ୍ ମାନଦଣ୍ଡ |
