Malayalam,Hindi
നിബാക്സിയൽ ഉപരിതലം,अपाक्ष पृष्ठ
അടിവയറ്,उदर
വയറുവേദന അയോട്ടോ,उदर महाधमनी
വയറിലെ ഗാംഗ്ലിയ,उदर गुच्छिका
Abelmoschus എസ്സുലന്റസ്,अबेलमॉस्कस एस्कुलेन्टस
വെറുക്കല്,विपथन
അബി),ऐबीज (बलूत)
അബിങ്ഡൺ ആമ,ऐबिंग्डन कछुआ
അബിയോജെനിസിസ്,अजीवात्जनन
അബിയോട്ടിക്,अजीवीय
അശുഭാപ്തി ഘടകം,"अजीवीय कारक, अजैव कारक"
അസാധാരണമായ മൂത്രം,अपसामानय मूत्र
അബോ രക്തം ഗ്രൂപ്പ്,ए.बी.ओ. रुधिर वर्ग
അബ്സിസിക് ആസിഡ്,एब्सिसिक अम्ल
നിര്വഹണം,विलगन
ഉള്ക്കൊള്ളുക,अवशोषण करना
ആഗിരണം കൊടുമുടി,अवशोषण शिखर
ആഗിരണം,अवशोषण
അക്കേഷ്യ കാറ്റെച്ചു,अकेशिया कैटेच्यू
അക്കാര്യ അറബിക്ക,अकेशिया अरेबिका (बबूल)
അകാപ്രിൻ,ऐकैप्रिन
സ്വീകാര്യമായ ലൈംഗിക പെരുമാറ്റം,स्वीकार्य लैंगिक व्यवहार
ആക്സസറി ഗ്രന്ഥി,सहायक ग्रंथि
ആക്സസറി ഗ്രന്ഥി,अतिरिक्त ग्रंथि
ആക്സസറി അവയവം,सहायक अंग
ACCLIMATIES,"पर्यनुकूलन, दशानुकूलन"
അക്ലിമിലൈസ്,"पर्यनुकूलित करना, दशानुकूलित करना"
താമസം (ഫോക്കസിംഗ്),समंजन (फोकसन)
കണ്ണിന്റെ താമസം,नेत्र की समंजन क्षमता
പ്രകടിപ്പിക്കുന്ന വളർച്ച,अभिवर्धी वृद्धि
കൂന്വാരം,"संचय, संचयन"
ജൈവവസ്തുക്കളുടെ ശേഖരണം,कार्बनिक पदार्थों का एकत्रीकरण
മണ്ണിന്റെ ശേഖരണം,मृदा संचयन
അസെലുലാർ,अकोशिकीय
അസെല്ലുലാർ ജീവികൾ,अकोशिकीय जीव
Aecetabulum,"श्रोणिउलूखल, ऐसीटैबुलम"
അസെറ്റൽഡിഹൈഡ്,ऐसीटेल्डिहाइड
അസെറ്റി കൊവെൻസിഎംഇ,ऐसीटिल सह-ऐंजाइम
അച്ചാതിന,ऐकेटाइना
