Malayalam,Gujarati
അബാക്കസ്,અબેકસ
അസാധാരണമായ അവസാനിപ്പിക്കൽ,અસામાન્ય સમાપ્તિ
ഉപേക്ഷിക്കുക,ગર્ભપાત
കേവല,સંપૂર્ણ
സമ്പൂർണ്ണ വിലാസം,સંપૂર્ણ સરનામું
സമ്പൂർണ്ണ അഭിസംബോധന,સંપૂર્ણ સંબોધન
കേവല അസംബ്ലർ,સંપૂર્ણ એસેમ્બલર
കേവല കോഡ്,સંપૂર્ણ કોડ
സമ്പൂർണ്ണ കമാൻഡ്,સંપૂર્ણ આદેશ
സമ്പൂർണ്ണ ഡാറ്റ,સંપૂર્ણ ડેટા
സമ്പൂർണ്ണ നിർദ്ദേശം,સંપૂર્ણ સૂચના
കേവല മോഡ്,સંપૂર્ણ મોડ
കേവല പാത,સંપૂર્ણ માર્ગ
സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്,સંપૂર્ણ પ્રોગ્રામિંગ
അമൂർത്ത ക്ലാസ്,અમૂર્ત વર્ગ
അമൂർത്ത ഡാറ്റ തരം,અમૂર્ત ડેટા પ્રકાર
അമൂർത്ത യന്ത്രം,અમૂર્ત મશીન
അമൂർത്ത ചിഹ്നം,અમૂર્ત પ્રતીક
അമൂർത്തമായ വാക്യഘടന,અમૂર્ત વાક્યરચના
സ്വീകാര്യത പരിശോധന,સ્વીકૃતિ પરીક્ષણ
ആക്സസ് പ്രാമാണീകരണം,ઍક્સેસ પ્રમાણીકરણ
പ്രവേശന കോഡ്,ઍક્સેસ કોડ
പ്രവേശന നിയന്ത്രണം,વપરાશ નિયંત્રણ
ആക്സസ് സ്കാൻ,એક્સેસ સ્કેન
ഉപസാധനം,સહાયક
അക്കൗണ്ട്,એકાઉન્ટ
അക്കൗണ്ട് ID,એકાઉન્ટ ID
ശേഖരണം,સંચયક
കൃത്യത,ચોકસાઈ
പ്രവേശനം,ઍક્સેસ
ആക്സസ് കൺട്രോൾ ബൈറ്റ്,એક્સેસ કંટ્રોલ બાઈટ
പ്രവേശന സൂചിക,એક્સેસ ઇન્ડેક્સ
ആക്സസ് കീ,ઍક્સેસ કી
ആക്സസ് മാട്രിക്സ്,એક્સેસ મેટ્રિક્સ
ആക്സസ് മോഡ്,ઍક્સેસ મોડ
ആക്സസ് പ്രിവിലേജ്,એક્સેસ વિશેષાધિકાર
ആക്സസ് സുരക്ഷ,ઍક્સેસ સુરક્ષા
ആക്സസ് സെർവർ,ઍક્સેસ સર્વર
പ്രവേശന സമയം,ઍક્સેસ સમય
അംഗീകാരം,સ્વીકૃતિ
ശബ്ദശാസ്ത്രം,ધ્વનિશાસ્ત્ર
സംക്ഷേപം,ટૂંકાક્ષર
പ്രവർത്തന സന്ദേശം,ક્રિયા સંદેશ
സജീവമാക്കൽ,સક્રિયકરણ
സജീവ സെർവർ പേജ് (ASP),સક્રિય સર્વર પૃષ્ઠ (ASP)
സജീവ പതിപ്പ്,સક્રિય સંસ્કરણ
അസൈക്ലിക്,એસાયક્લિક
അസൈക്ലിക് ഗ്രാഫ്,એસાયક્લિક ગ્રાફ
അഡാ ഭാഷ,અદા ભાષા
അഡാപ്റ്റർ,એડેપ્ટર
ചേർക്കുക,ઉમેરો
ഫയൽ ചേർക്കുക,ફાઇલ ઉમેરો
പ്രവർത്തനം ചേർക്കുക,કામગીરી ઉમેરો
ചേർക്കുന്നയാൾ,ઉમેરનાર
വിലാസം,સરનામું
വിലാസം ബസ്,સરનામું બસ
