Hindi,English
एसीडायड,Acidoid
जलोढ़ मृदा,Aeolian soil
समुच्चय,Aggregate
समुच्चयन,Aggregation
सस्य मृदा विज्ञान,Agrology
सस्य विज्ञान,Agronomy
"A-संस्तर, A-होराइजन",A-horizon
Ao-संस्तर/Ao-होराइजन,Ao-horizon 
Aoo-संस्तर/होराइजन,Aoo-horizon
मृदा की वायु धारिता,Air capacity of soil
मृदा का वायु अंग,Air content of soil
वायु पिक्नोमीटर,Air picnometer
एलीटिक मृदा,Allitic soil
जलोढ़ मृदा,Alluvial soil
एम्फोलीटायड,Ampholytoid
ऋणायन,Anion
आभासी आपेक्षिक घनत्व आयतन भार या आयतन आपेक्षित घनत्व,"Apparent specific gravity volume weight or bulk specific gravity,"""
कोर,Arris
बारीक वराश्म चिनाई,Ashlar fine masonry
वराश्म चिनाई,Ashlar masonry
अस्तरीय मृदा/अक्षेत्रीय मृदा,Azonal soil
कर्ष खनित्र,Back acter 
पश्च डाट,Back arch
पश्च पट्ट,Back band
उपटा प्रलेप,Back brush
पश्च रोधक,Back check
पश्च पटल,Back counter
पश्च कर्तन,Back cutting
उपटा झोंका अवमंदक,Back draft damper
पश्च नली,Back drain
पश्च पट,Back drop
पृष्ठ भरण,Back fill
पश्च पट्टिका,Back fillet
पृष्ठ पल्ला कब्जा,Back flap hinge
प्रतीप प्रवाह संयोजन,Back flow connection
प्रतीप प्रवाह निरोधक,Back flow preventer
पश्चांतर,Back gauge 
पश्च नली,Back gutter 
अग्निस्थान पृष्ठ,Back hearth
पीठ/पृष्ठ भाग,Backing
पिछला तख्ता,Backing board
पश्च दाब,Back pressure
पश्च टेक,Back prop
पश्चावलोकन,Back sight 
पश्चजल,Back water
व्यारोध,Baffle
थैला पुशताबंदो,Bagwork 
गिट्टी,Ballast
बॉल मृत्तिका,Ball clay
बॉल शंकुआकार शिकंजा,Ball cone clamp
काँटेदार तार,Barbed wire
छड़ कुत्ता,Bar dog
त्रयंकी पार्श्व फलक,Barge board
बेरियम सल्फेट परीक्षण,Barium sulphate test
बैराज,Barrage
बरेट,Barrett
क्षार,Base
बेस विनिमय,Base exchange
आधार रेखा,Base line 
तहखाना/अधोभवन,Basement
अधोगृह भित्ति,Basement wall
आधार पट्टिका,Base plate
समायोज्य आधार पट्टिका,"Base plate, adjustable"
क्षार संतृप्ति,Base saturation
बेसाइड,Basoid
रोड़ा,Bat
स्नानागर व शौच कुण्ड,Bath and W.C.
सलामी खूँटी,Batter peg
सलामी पाया,Batter pier
सलामी नियम,Batter rule
बॉक,Baulk (balk)
खंडक,Bay
धारक,Bearer
धारण क्षमता,Bearing capacity
धारक पाइल,Bearing pile
धारक स्तर,Bearing stratum
आधार तल,Bed
संस्तरण तल,Bedding plane
पड़ी दरज,Bed joint
अश्माधार,Bed rock
शयन कक्ष,Bed room
मधुमोम,Beeswax
बैल बॉक्स,Bell box
बैलिंग बकेट,Belling bucket
बैलोफ्राम,Bellofram
पैड़ीदार नींव,Benched foundation
पैड़ी बनाना,Benching
निदेश तलचिह्न,Bench mark
हितलाभ लागत विश्लेषण,Benefit cost analysis
उपतट,Berm
ढालू डेली,Bevelled closure
संस्तर/B-होराइजन,"B-horizon,""B-"
बीएट,Biat
बंधक,Binder
बंधक पदार्थ,Binding material
बायोट का सिद्धांत,Biot's theory
बीटूमन,Bitumen
काली मृदा,Black cotton soil
काली मिट्टी,Black earth 
काली शाब्दल मृदा,Black turf soil
फलक,Blade
वात्या भट्टी धातुमल सीमेंट,Blast furnace slag cement
खंडीय संरचना,Blocky structure
बोगी संचलन प्रतिरोध,Bogie resistance
दलदल लोह खनित्र,Bog-iron ore
चाल (चिनाई की),Bond
बद्ध अवयव,Bonded member
बद्ध प्रत्ययित तनन,Bonded post tensioning
बंधक पत्थर,Bond stone
बद्ध जल,Bound water
पेटिकाकार नाली,Box gutter
बंधनी,Brace
खड़ी ईंट,Brick-on-edge
ब्राइडल,Bridle
द्युति,Brightness
भूरी मृदा,Brown soil
भवन,Building
भवन सर्वेक्षक,Building surveyor
बफर (रोधक),Buffer
रोधनवक या अनुपामन वक,Buffer curve
रोधन,Buffering
रोधन क्षमता,Buffering capacity
बन्दर,Bunder
पुश्ता,Buttress
c-संस्तर/c-होराइजन,C-horizon
तार/केबल,Cable
तारगढ़ाई,Cable moulding
केबिल तंत्र,Cabling
केबिन,Cabin
केबिन अंकुश,Cabin hook
मंजूषा,Cabinet
ध्वनि शोषण चादर,Cabolt's quit
कैफेटेरिया,Cafeteria
पिंजरा,Cage
पिंजरानुमा निर्माण,Cage construction
केनसूत्र,Cain's formula
कैसन (या कॉफर),Caisson
कैसन रोग,Caisson disease
केसन नींव,Caisson foundation
कैसन पाइल,Caisson pile
चूनेदार ईंट,Calcareous brick
चूनेदार मिट्टी,Calcareous clay
चूनेदार पपड़ी,Calcareous crust
केल्सीकरण,Calcification
निस्तापन,Calcination
कैलसाइन,Calcine 
कैल्साइट,Calcite
कैल्शियम एल्यूमिनेट सीमेंट,Calcium-aluminate cement
कैल्शियम सिलीकेट ईंट,Calcium-silicate brick
कैल्शियम सिलिकेट हाईड्रेट,Calcium-silicate hydrate
कालीचे,Caliche
कैलिफोर्निया असर अनुपात,California bearing ratio
केलिपर,Caliper
कैलोरीमीटर,Calorimeter
न्युब्ज़ता/कैम्बर,Camber
नहर,Canal
कैनॉपी,Canopy
बहुधारन पद,Cantilever footing
टोपी,Cap
धारिता,Capacity
रेल पथ क्षमता,Capacity of ail track
टोपी कंडरा,Cap cable
केशिकत्व,Capillarity
केशिका विच्छेद,Capillary break
केशिका प्रवाह,Capillary flow
केशिका आर्द्रता या केशिका जल,Capillary moisture or capillary water
केशिका रंध्र अवकाश,Capillary pore space
केशिका रंध्रता,Capillary porosity
केशिका अवकाश,Capillary space
प्रग्रहण वेग,Capture velocity
कार्बोनेशन,Carbonation
कार्बन काजल,Carbon black
ढलने योग्य उच्च तापसह,Castble refractory
स्वस्थान ढली,Cast-in-place or cast-in-situ
यथास्थान बनाई पाइल,Cast-in-place pile
कैस्टर,Castor
ढला पत्थर,Cast stone
उत्प्रेरक,Catalyst
मृदा श्रृंखला,Catena
विडाल मुख,Cat face
कैट हैड,Cat head
धनायन,Cation
कैट बॉक,Cat walk
कोटरन क्षति,Cavitation damage
सेलाइट,Celite
कोशिकीय कंक्रीट,Cellular concrete
कोशिकीय निर्माण,Cellular construction
सीमेंट,Cement
बिटुमनी सीमेंट,"Cement, bituminous"
शीघ्र सामर्थ्य सीमेंट,"Cement, high strength"
जलीय सीमेंट,"Cement, hydraulic"
न्यून ऊष्मा सीमेंट,"Cement, low heat"
चिनाई सीमेंट,"Cement, masonary"
प्राकृतिक सीमेंट,"Cement, natural"
पोर्टलैंड सीमेंट,"Cement, portland"
पोर्टलैंड वात्या-भट्टी धातुमल सीमेंट,"Cement, portland blast furnace slag"
पोर्टलैंड पोजोलॉन सीमेंट,"Cement, portland pozzolan"
सीमेंट धातुमल,"Cement, slag"
सल्फेट प्रतिरोधी सीमेंट,"Cement, sulphate resistant"
सुपरसल्फेटेड सीमेंट,"Cement, super sulphated"
श्वेत सीमेंट,"Cement, white"
सीमेंट मिलावा अनुपात,Cement-aggregate ratio
सीमेंट अंश,Cement content
सेमेंट जेल,Cement gel
सीमेंट गन,Cement gun
सीमेंट भट्टी,Cement kiln
सीमेंट प्रलेप,Cement paint
सीमेंट प्लास्टर,Cement plaster
सीमेंट शैल,Cement rock
सीमेंट घोल,Cement slurry
सीमेंट भंडारण,Cement storage
सीमेंटीकरण प्रक्रम,Cementation process
ढूला,Centering
ढूला बनाना,Centering and shuttering
केन्द्रीय मिश्रित कंक्रीट,Central mixed concrete
केन्द्रीय मिश्रक,Central mixer
अपकेन्द्री पंखा,Centrifugal fan
खड़िया,Chalk
शैम्फर,Chamfer
निष्कोणन पत्ती,Chamfer strip
चैनल धरन,Channel beam
अभिलाक्षणिक भार,Characteristic load
अभिलाक्षणिक सामर्थ्य,Characteristic strength
शुल्क माफी,Charge off
भरण,Charging
तरेड़न,Checking
रासायनिक आबंध,Chemical bond
चर्नोजेम,Chernozem
चैस्टनट मृदा,Chestnut soil
धुआरा पनाली,Chimney gutter
अपखण्ड फलक,Chip board
छीलना,Chipping
दाना,Chips
ढलवा नाली,Chute
श्रेणी (कंक्रीट की),Class (of concrete)
मृत्तिका,Clay
मृत्तिका अंश,Clay content
मृत्तिका दृढ़ पटल,Clay pan
सफाई द्वार,Cleanout
निर्वात सुधार,Clean up
गुटका,Cleat
क्लिंकर,Clinker
क्लिप,Clip
स्कंदन,Coagulation
स्थूल समुच्चय/मोटा मिलावा,Coarse aggregate
स्थूल कणीय मृदा,Coarse grained soil
कोट,Coat
कॉफर बाँध,Coffer dam
ससंजन,Cohesion
कोलाइड,Colloid
कोलाइडी-आर्द्रता तुल्यांक अनुपात,Colloidal moisture equivalent ratio
कोलाइडी प्रणाली या कोलाइडी सम्मिश्रण,Colloidal system
मिश्रोढ़ मृदा,Colluvial soil
स्तम्भ/टेक/संपीडांग,Column
कंकतित परिष्कृति,Combed finish
