English,Malayalam
Ab ampere,അബ് ആമ്പിയർ
AB power pack,എബി പവർ പാക്ക്
Abating,കുറയുന്നു
Abaxial,അബാക്സിയൽ
Abbe-refractometer,അബെ-റിഫ്രാക്റ്റോമീറ്റർ
Abbot Cox process,അബോട്ട് കോക്സ് പ്രക്രിയ
Abbreviation,ചുരുക്കെഴുത്ത്
Abdomen,ഉദരം
Abdominal respirator,ഉദര ശ്വസന ഉപകരണം
Abel average,ആബേൽ ശരാശരി
Abel-Pensky tester,ആബെൽ-പെൻസ്കി ടെസ്റ്റർ
Aberration,അപഭ്രംശം
Aberration corrector lens,വ്യതിയാനം തിരുത്തുന്ന ലെൻസ്
Aberration of light,പ്രകാശത്തിന്റെ വ്യതിയാനം
Abfarad,അബ്ഫറദ്
Abietate,ഒഴിവാക്കുക
Abietic acid,അബിറ്റിക് ആസിഡ്
Abietolene,അബിറ്റോലീൻ
Ability,കഴിവ്
Abiotic element,അജിയോട്ടിക് മൂലകം
Abiotoxin,അബിയോടോക്സിൻ
Abitol,അബിറ്റോൾ
Ablata,അബ്ലാറ്റ
Ablation,അബ്ലേഷൻ
Ablative plastic,അബ്ലേറ്റീവ് പ്ലാസ്റ്റിക്
Ablative system,അബ്ലേറ്റീവ് സിസ്റ്റം
Abnormal,അസാധാരണം
Abnormal density,അസാധാരണ സാന്ദ്രത
Abnormal polarisation,അസാധാരണമായ ധ്രുവീകരണം
Abnormal propagation,അസാധാരണമായ പ്രചരണം
Abnormal reflection,അസാധാരണമായ പ്രതിഫലനം
Abnormal refraction,അസാധാരണമായ അപവർത്തനം
Abnormal resistance,അസാധാരണമായ പ്രതിരോധം
Abnormal series,അസാധാരണമായ പരമ്പര
Abnormality,അസാധാരണത്വം
Abopan,അബോപൻ
Abortive,ഗർഭച്ഛിദ്രം
Above par,സമത്തിന് മുകളിൽ
Abracol,അബ്രാക്കോൾ
Abradant,അബ്രാഡന്റ്
Abrade,അബ്രാഡ്
Abraded,ക്ഷയിച്ചു
Abraded yarn,ഉരഞ്ഞ നൂൽ
Abrader (abraser),അബ്രാഡർ (അബ്രസർ)
Abrading test,അബ്രഡിംഗ് ടെസ്റ്റ്
Abradum,അബ്രാഡം
Abraham consistometer,അബ്രഹാം കൺസിസോമീറ്റർ
Abraser,അബ്രാസർ
Abrasion,അബ്രേഷൻ
Abrasion electrode,അബ്രഷൻ ഇലക്ട്രോഡ്
Abrasion index,അബ്രഷൻ സൂചിക
Abrasion plane,അബ്രഷൻ വിമാനം
Abrasion platform,അബ്രഷൻ പ്ലാറ്റ്ഫോം
Abrasion resistance,ഉരച്ചിലിന്റെ പ്രതിരോധം
Abrasion resistant,അബ്രഷൻ പ്രതിരോധം
Abrasion streak and scratch,ഉരച്ചിലുകളും പോറലും
Abrasion test,അബ്രഷൻ ടെസ്റ്റ്
Abrasive,ഉരച്ചിലുകൾ
Abrasive forming,ഉരച്ചിലിന്റെ രൂപീകരണം
Abrasive resistance,ഉരച്ചിലുകൾ പ്രതിരോധം
Abrasive sand,ഉരച്ചിലിന്റെ മണൽ
Abrasiveness,ഉരച്ചിലുകൾ
Abraum salt,അബ്രാം ഉപ്പ്
Abreuvage,ചുരുക്കി
Abridged notation,ചുരുക്കിയ നൊട്ടേഷൻ
Abridged spectrophotometry,സംക്ഷിപ്ത സ്പെക്ട്രോഫോട്ടോമെട്രി
Abridgement,സംഗ്രഹം
