Hindi,Marathi
"1.एबेकस ,2. गिनतारा",अॅबॅकस
असामान्य समापन,असामान्य समाप्ती
अवरोधन,गर्भपात
"1. निरपेक्ष ,2. परम",निरपेक्ष
निरपेक्ष पता,परिपूर्ण पत्ता
निरपेक्ष पताभिगमन,निरपेक्ष संबोधन
निरपेक्ष कोडांतरक,परिपूर्ण असेंबलर
"1. निरपेक्ष कूट ,2. निरपेक्ष कोड",परिपूर्ण कोड
निरपेक्ष समादेश,निरपेक्ष आज्ञा
"1.निरपेक्ष आंकडे ,2. निरपेक्ष डाटा",परिपूर्ण डेटा
निरपेक्ष अनुदेश,परिपूर्ण सूचना
निरपेक्ष विधा,परिपूर्ण मोड
निरपेक्ष पथ,परिपूर्ण मार्ग
"1. निरपेक्ष क्रमादेशन ,2. निरपेक्ष प्रोग्रामन",परिपूर्ण प्रोग्रामिंग
अमूर्त वर्ग,अमूर्त वर्ग
अमूर्त आंकड़ा प्रकार,अमूर्त डेटा प्रकार
अमूर्त मशीन,अमूर्त मशीन
अमूर्त प्रतीक,अमूर्त चिन्ह
अमूर्त वाक्य विन्यास,अमूर्त वाक्यरचना
स्वीकृति परीक्षण,स्वीकृती चाचणी
अभिगम प्रमाणन,प्रवेश प्रमाणीकरण
"1. अभिगम कूट ,2. अभिगम कोड",प्रवेश कोड
अभिगम नियंत्रण,प्रवेश नियंत्रण
अभिगम क्रमवीक्षण,प्रवेश स्कॅन
सहयंत्र,ऍक्सेसरी
लेखा,खाते
"1. एकाउंट आई डी ,2. लेखा पहचान",खाते आयडी
संचायक,संचयक
"1. विशुद्धता ,2. यर्थाथता",अचूकता
अभिगम,प्रवेश
अभिगम नियंत्रण बाइट,ऍक्सेस कंट्रोल बाइट
अभिगम सूचक,प्रवेश निर्देशांक
अभिगम कुंजी,प्रवेश की
"1.अभिगम आव्यूह ,2. अभिगम मैट्रिक्स",ऍक्सेस मॅट्रिक्स
अभिगम विधा,प्रवेश मोड
अभिगम विशेषाधिकार,प्रवेश विशेषाधिकार
अभिगम सुरक्षा,प्रवेश सुरक्षा
"1. अभिगम परिसेवक ,2. अभिगम सर्वर",ऍक्सेस सर्व्हर
अभिगम काल,प्रवेश वेळ
अभिस्वीकृति,पोचपावती
ध्वनिकी,ध्वनीशास्त्र
"1. परिवर्णी शब्द, 2. संक्षिप्त रूप ,3. लघु रूप",परिवर्णी शब्द
क्रिया संदेश,क्रिया संदेश
सक्रियण,सक्रियकरण
सक्रिय सर्वर पृष्ठ,सक्रिय सर्व्हर पृष्ठ (एएसपी)
सक्रिय वर्जन,सक्रिय आवृत्ती
अचक्रीय,अॅसायक्लिक
"1. अचक्रीय आलेख ,2. अचक्रीय ग्राफ",अॅसायक्लिक आलेख
एडा कंप्यूटर भाषा,अडा भाषा
"1. अनुकूलक ,2. अनुकूलित्र",अडॅप्टर
योग (करना),जोडा
योग संचिका,फाइल जोडा
"1. जोड़ संक्रिया ,2. योग संक्रिया",ऑपरेशन जोडा
योजक,जोडणारा
पता,पत्ता
पता बस,पत्ता बस
पता संचिका,पत्ता फाइल
पता आरूप,पत्त्याचे स्वरूप
पता जनक,पत्ता जनरेटर
पता पंक्ति,पत्ता ओळ
पता प्रतिचित्रण,पत्ता मॅपिंग
पता संकेतक,पत्ता सूचक
पता पंजी,पत्ता नोंदवही
पता विघटन,पत्ता ठराव
पता अनुवाद,पत्ता अनुवाद
"1. पतायुक्त स्मृति ,2. पतायुक्त मेमोरी",संबोधित मेमरी
पताभिगमन,संबोधित करणे
"1. पर्याप्तता निकष ,2. पर्याप्तता कसौटी",पर्याप्तता निकष
संलग्न,संलग्न
"1. प्रबंधन ,2. नियंत्रण",प्रशासन
"1. प्रबंधक ,2. नियंत्रक",प्रशासक
ऐडोब एक्रोबेट,adobe acrobat
ऐडोब फोटोशोप,अडोब फोटोशाॅप
ए बी ए पी (उन्नत व्यवसाय प्रोग्रामन),अॅडव्हान्स बिझनेस अॅप्लिकेशन प्रोग्रामिंग (ABAP)
