Tamil,Malayalam
அபாகஸ்,അബാക്കസ്
அசாதாரண நிறுத்தம்,അസാധാരണമായ അവസാനിപ്പിക്കൽ
கருக்கலைப்பு,ഉപേക്ഷിക്കുക
அறுதி,കേവല
முழுமையான முகவரி,സമ്പൂർണ്ണ വിലാസം
முழுமையான முகவரி,സമ്പൂർണ്ണ അഭിസംബോധന
முழுமையான அசெம்பிளர்,കേവല അസംബ്ലർ
முழுமையான குறியீடு,കേവല കോഡ്
முழுமையான கட்டளை,സമ്പൂർണ്ണ കമാൻഡ്
முழுமையான தரவு,സമ്പൂർണ്ണ ഡാറ്റ
முழுமையான அறிவுறுத்தல்,സമ്പൂർണ്ണ നിർദ്ദേശം
முழுமையான பயன்முறை,കേവല മോഡ്
முழுமையான பாதை,കേവല പാത
முழுமையான நிரலாக்கம்,സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്
சுருக்க வர்க்கம்,അമൂർത്ത ക്ലാസ്
சுருக்க தரவு வகை,അമൂർത്ത ഡാറ്റ തരം
சுருக்க இயந்திரம்,അമൂർത്ത യന്ത്രം
சுருக்க சின்னம்,അമൂർത്ത ചിഹ്നം
சுருக்க தொடரியல்,അമൂർത്തമായ വാക്യഘടന
ஏற்றுக்கொள்ளும் சோதனை,സ്വീകാര്യത പരിശോധന
அணுகல் அங்கீகாரம்,ആക്സസ് പ്രാമാണീകരണം
அணுகல் குறியீடு,പ്രവേശന കോഡ്
நுழைவு கட்டுப்பாடு,പ്രവേശന നിയന്ത്രണം
அணுகல் ஸ்கேன்,ആക്സസ് സ്കാൻ
துணை,ഉപസാധനം
கணக்கு,അക്കൗണ്ട്
கணக்கு ஐடி,അക്കൗണ്ട് ID
திரட்டி,ശേഖരണം
துல்லியம்,കൃത്യത
அணுகல்,പ്രവേശനം
அணுகல் கட்டுப்பாட்டு பைட்,ആക്സസ് കൺട്രോൾ ബൈറ്റ്
அணுகல் குறியீடு,പ്രവേശന സൂചിക
அணுகல் விசை,ആക്സസ് കീ
அணுகல் அணி,ആക്സസ് മാട്രിക്സ്
அணுகல் முறை,ആക്സസ് മോഡ്
அணுகல் சலுகை,ആക്സസ് പ്രിവിലേജ്
அணுகல் பாதுகாப்பு,ആക്സസ് സുരക്ഷ
அணுகல் சேவையகம்,ആക്സസ് സെർവർ
அணுகல் நேரம்,പ്രവേശന സമയം
ஒப்புகை,അംഗീകാരം
ஒலியியல்,ശബ്ദശാസ്ത്രം
சுருக்கம்,സംക്ഷേപം
செயல் செய்தி,പ്രവർത്തന സന്ദേശം
செயல்படுத்துதல்,സജീവമാക്കൽ
செயலில் உள்ள சர்வர் பக்கம் (ASP),സജീവ സെർവർ പേജ് (ASP)
செயலில் உள்ள பதிப்பு,സജീവ പതിപ്പ്
அசைக்ளிக்,അസൈക്ലിക്
அசைக்ளிக் வரைபடம்,അസൈക്ലിക് ഗ്രാഫ്
அட மொழி,അഡാ ഭാഷ
அடாப்டர்,അഡാപ്റ്റർ
கூட்டு,ചേർക്കുക
கோப்பை சேர்க்க,ഫയൽ ചേർക്കുക
செயல்பாட்டைச் சேர்க்கவும்,പ്രവർത്തനം ചേർക്കുക
சேர்ப்பான்,ചേർക്കുന്നയാൾ
முகவரி,വിലാസം
முகவரி பேருந்து,വിലാസം ബസ്
முகவரி கோப்பு,വിലാസ ഫയൽ
முகவரி வடிவம்,വിലാസ ഫോർമാറ്റ്
முகவரி ஜெனரேட்டர்,വിലാസ ജനറേറ്റർ
முகவரி வரி,വിലാസ ലൈൻ
முகவரி மேப்பிங்,വിലാസ മാപ്പിംഗ്
முகவரி சுட்டி,വിലാസ സൂചിക
முகவரி பதிவு,വിലാസ രജിസ്റ്റർ
முகவரி தீர்மானம்,വിലാസം റെസലൂഷൻ
முகவரி மொழிபெயர்ப்பு,വിലാസ വിവർത്തനം
நினைவாற்றலை உரையாற்றினார்,അഭിസംബോധന ചെയ്ത മെമ്മറി
உரையாற்றுவது,അഭിസംബോധന
போதுமான அளவுகோல்கள்,പര്യാപ്തത മാനദണ്ഡം
இணைந்த,അനുബന്ധം
நிர்வாகம்,ഭരണകൂടം
நிர்வாகி,കാര്യനിർവാഹകൻ
அடோப் அக்ரோபேட்,അഡോബ് അക്രോബാറ്റ്
அடோ போட்டோஷாப்,അഡോബ് ഫോട്ടോഷോപ്പ്
அட்வான்ஸ் பிசினஸ் அப்ளிகேஷன் புரோகிராமிங் (ஏபிஏபி),അഡ്വാൻസ് ബിസിനസ് ആപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ് (ABAP)
மேம்பட்ட தரவு,വിപുലമായ ഡാറ്റ
மேம்பட்ட தகவல் அமைப்பு,വിപുലമായ വിവര സംവിധാനം
மேம்பட்ட தொழில்நுட்பம் (AT),നൂതന സാങ്കേതികവിദ്യ (AT)
முகவர்,ഏജന്റ്
திரட்டுதல்,സമാഹരണം
வான்வழி கணினி அமைப்பு,വായുവിലൂടെയുള്ള കമ്പ്യൂട്ടർ സംവിധാനം
அல்டஸ் பக்க தயாரிப்பாளர்,ആൽഡസ് പേജ് മേക്കർ
எச்சரிக்கை பெட்டி,മുന്നറിയിപ്പ് ബോക്സ്
அல்கோல்,ആൽഗോൾ
அல்காரிதம்,അൽഗോരിതം
அல்காரிதம் பகுப்பாய்வு,അൽഗോരിതം വിശകലനം
அல்காரிதம் திறன்,അൽഗോരിതം കാര്യക്ഷമത
மாற்றுப்பெயர்,അപരനാമം
சீரமைப்பு,വിന്യാസം
ஒதுக்கீடு,വിഹിതം
அகரவரிசை,അക്ഷരമാലാക്രമം
எண்ணெழுத்து,ആൽഫാന്യൂമെറിക്
எண்ணெழுத்து விசைப்பலகை,ആൽഫാന്യൂമെറിക് കീ ബോർഡ്
ஆல்பா-சோதனை,ആൽഫ-ടെസ്റ്റ്
ஆல்பா பதிப்பு,ആൽഫ പതിപ്പ്
alt விசை,alt കീ
அல்டாவிஸ்டா,അൾട്ടാവിസ്റ്റ
தெளிவின்மை,അവ്യക്തത
தெளிவற்ற இலக்கணம்,അവ്യക്തമായ വ്യാകരണം
அமெரிக்க தேசிய தரநிலை நிறுவனம் (ANSI),അമേരിക്കൻ നാഷണൽ സ്റ്റാൻഡേർഡ് ഇൻസ്റ്റിറ്റ്യൂട്ട് (ANSI)
தகவல் பரிமாற்றத்திற்கான அமெரிக்க தரநிலை குறியீடு (ASCII),അമേരിക്കൻ സ്റ്റാൻഡേർഡ് കോഡ് ഫോർ ഇൻഫർമേഷൻ ഇന്റർചേഞ്ച് (ASCII)
அனலாக்,അനലോഗ്
அனலாக் கணினி,അനലോഗ് കമ്പ്യൂട്ടർ
அனலாக் சாதனம்,അനലോഗ് ഉപകരണം
அனலாக் மோடம்,അനലോഗ് മോഡം
அனலாக் டு டிஜிட்டல் மாற்றி (ADC),അനലോഗ് ടു ഡിജിറ്റൽ കൺവെർട്ടർ (ADC)
மற்றும்,ഒപ്പം
மற்றும் சுற்று,കൂടാതെ സർക്യൂട്ട്
மற்றும் வாயில்,ഒപ്പം ഗേറ്റും
மற்றும் செயல்பாடு அல்ல (விலக்கு),കൂടാതെ പ്രവർത്തനമല്ല (ഒഴിവാക്കൽ)
இயங்குபடம்,ആനിമേഷൻ
சிறுகுறிப்பு,വ്യാഖ്യാനം
ஒழுங்கின்மை,അപാകത
முன்னோடி,മുൻഗാമി
முன்கூட்டிய பேஜிங்,മുൻകൂർ പേജിംഗ്
எதிர்ப்பு சமச்சீர்,വിരുദ്ധ സമമിതി
வைரஸ் தடுப்பு நிரல்,ആന്റിവൈറസ് പ്രോഗ്രാം
ஆப்லெட்,ആപ്ലെറ്റ്
பயன்பாட்டு டெவலப்பர்,ആപ്ലിക്കേഷൻ ഡെവലപ്പർ
பயன்பாட்டு நிரலாக்கம்,ആപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ്
பயன்பாட்டு நிரலாக்க இடைமுகம் (API),ആപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ് ഇന്റർഫേസ് (API)
பயன்பாட்டு மென்பொருள்,ആപ്ലിക്കേഷൻ സോഫ്റ്റ്വെയർ
பயன்பாட்டு மொழி,ബാധകമായ ഭാഷ
தோராயக் கோட்பாடு,ഏകദേശ സിദ്ധാന്തം
கட்டிடக்கலை,വാസ്തുവിദ്യ
பகுதி பரிமாற்றம்,ഏരിയ കൈമാറ്റം
வாதம்,വാദം
எண்கணித மற்றும் தர்க்க அலகு,"ഗണിത, യുക്തി യൂണിറ്റ്"
