Tamil,Marathi
அபாக்ஸியல் மேற்பரப்பு,अ‍ॅबॅक्सियल पृष्ठभाग
அடிவயிறு,ओटीपोट
வயிற்று பெருநாடி,ओटीपोटात महाधमनी
வயிற்று கேங்க்லியா,ओटीपोटात गॅंग्लिया
அபெல்மோஷஸ் எஸ்குலெண்டஸ்,एबेलमोशस एस्क्युल्टस
மாறுபாடு,विकृती
அபிஸ்,अबीज
அபிங்டன் ஆமை,अबिंगडॉन कासव
அபியோஜெனெஸிஸ்,अ‍ॅबिओजेनेसिस
அஜியோடிக்,अ‍ॅबिओटिक
அஜியோடிக் காரணி,अ‍ॅबिओटिक फॅक्टर
அசாதாரண சிறுநீர்,असामान्य मूत्र
ABO இரத்தக் குழு,अबो ब्लड ग्रुप
அப்சிசிக் அமிலம்,अ‍ॅबसिसिक acid सिड
கஷ்டம்,फलंदाजी
உறிஞ்சும்,शोषून घ्या
உறிஞ்சுதல் உச்சம்,शोषण शिखर
உறிஞ்சுதல்,शोषण
அகாசியா கேடெச்சு,बाभूळ कॅटेचू
அகாரியா அரபிகா,अकारिया अरबीका
அகப்ரின்,अकाप्रिन
ஏற்றுக்கொள்ளக்கூடிய பாலியல் நடத்தை,स्वीकार्य लैंगिक वर्तन
துணை சுரப்பி,Ory क्सेसरी ग्रंथी
துணை சுரப்பி,Ory क्सेसरी ग्रंथी
துணை உறுப்பு,Ory क्सेसरीसाठी अवयव
பழக்கவழக்கமயமாக்கல்,सहनशीलता
பழக்கப்படுத்துங்கள்,अनुकूलित करा
தங்குமிடம் (கவனம் செலுத்துதல்),निवास (लक्ष केंद्रित करणे)
கண் தங்குமிடம்,डोळ्याची निवासस्थान
திரட்டல் வளர்ச்சி,संवर्धन वाढ
குவிப்பு,संचय
கரிமப் பொருட்களின் குவிப்பு,सेंद्रिय पदार्थाचे संचय
மண்ணின் குவிப்பு,मातीचे संचय
அசெல்லுலர்,सेल्युलर
அசெல்லுலர் உயிரினம்,एसेल्युलर जीव
அசிடபூலம்,एसीटाबुलम
அசிடால்டிஹைட்,एसीटाल्डिहाइड
அசிடைல் கோஎன்சைம்,एसिटिल कोएन्झाइम
அச்சாடினா,अकॅटिना
அச்சீன் வகை,अचेने प्रकार
அச்சீன்,अचेने
அச்ச்சைடோஸ்போரே,अक्लमिडोस्पोरिया
அமில மழை,आम्ल वर्षा
அமிலத்தன்மை,अम्लीय
அமில வாயு,अम्लीय वायू
அமிலத்தன்மை,आंबटपणा
அசிநார் செல்,एसीनार सेल
அகோலோமேட்,एकोलोमेट
அகோனிட்டம்,On कोनिटम
ஏகோர்ன் புழு,अ‍ॅकॉर्न वर्म
ஒலி மண்டலம்,ध्वनिक झोनिंग
வாங்கிய எழுத்து,अधिग्रहित वर्ण
நோய் எதிர்ப்பு சக்தி,वसूल केलेली प्रतिकारशक्ती
வாங்கிய இம்யூனோ குறைபாடு நோய்க்குறி (எய்ட்ஸ்),अधिग्रहित इम्युनो कमतरता सिंड्रोम (एड्स)
அக்னியா,एकरानिया
அக்ரிடைன் சாயம்,Rid सिडिन डाई
அக்ரோஷென்ட்ரிக்,अ‍ॅक्रोसेन्ट्रिक
அக்ரோமியன்,अ‍ॅक्रोमियन
அக்ரோபெட்டல் வரிசை,अ‍ॅक्रोपेटल सीक्वेन्स
அக்ரோபெட்டல் ஆர்டர்,अ‍ॅक्रोपेटल ऑर्डर
அக்ரோசின்,अ‍ॅक्रोसिन
ஆக்டின்,अ‍ॅक्टिन
ஆக்டின் போன்ற புரதம்,अ‍ॅक्टिन-सारखी प्रथिने
ஆக்டினோமார்பிக்,अ‍ॅक्टिनोमॉर्फिक
ஆக்டினோமைசீட்கள்,अ‍ॅक्टिनोमाइसेट्स
செயல்பாட்டு திறன்,कृती संभाव्यता
செயல்படுத்தப்பட்ட கசடு,सक्रिय गाळ
செயல்படுத்தப்பட்ட கசடு மிதவை,सक्रिय गाळ फ्लॉक
செயல்படுத்தும் ஆற்றல்,सक्रियता ऊर्जा
செயலில் உறிஞ்சுதல்,सक्रिय शोषण
செயலில் நோய் எதிர்ப்பு சக்தி,सक्रिय प्रतिकारशक्ती
செயலில் கதிர்வீச்சு,सक्रिय रेडिएशन
செயலில் உள்ள தளம்,सक्रिय साइट
ஆக்டிவின்,अ‍ॅक्टिव्हिन
அக்யூமினேட்,Umicate
ஆடம்ஸியா,अ‍ॅडम्सिया
தகவமைப்பு,अनुकूलता
தழுவல்,रुपांतर
ஒளி ஆட்சிக்கு தழுவல்,हलकी व्यवस्थेशी जुळवून घेणे
நீர் பற்றாக்குறைக்கு தழுவல்,पाण्याची कमतरता रुपांतर
தகவமைப்பு பண்புகள்,अनुकूली वैशिष्ट्ये
தகவமைப்பு நோய் எதிர்ப்பு சக்தி,अनुकूली प्रतिकारशक्ती
தகவமைப்பு கதிர்வீச்சு,अनुकूली रेडिएशन
