Kannada,Punjabi
ಅಬಾಕ್ಸಿಯಲ್ ಮೇಲ್ಮೈ,ਐਬੈਕਸਿਅਲ ਸਤਹ
ಹೊಟ್ಟೆ,ਪੇਟ
ಕಿಬ್ಬೊಟ್ಟೆಯ ಮಹಾಪಧಮ,ਪੇਟ AORTA
ಕಿಬ್ಬೊಟ್ಟೆಯ ಗ್ಯಾಂಗ್ಲಿಯಾ,ਪੇਟ ਗੰਗਾਲੀਆ
ಅಬೆಲ್ಮೋಸ್ಕಸ್ ಎಸ್ಕುಲೆಂಟಸ್,ਅਬੈਲਮੋਸਚਸ ਐਸਕੂਲਟਸ
ವಿರೂಪಗೊಳಿಸುವಿಕೆ,ਅਸਧਾਰਨ
ಅಬ್ಬರ,ਅੱਛਾ
ಅಬಿಂಗ್ಡನ್ ಆಮೆ,ਅਬਿੰਗਡਨ ਕਛੂਆ
ಕ್ಷು ತನ್ನತೆ,ਅਬੀਓਜੀਨੇਸਿਸ
ಅಸಹ್ಯವಾದ,ਅਬੀਓਟਿਕ
ಉದಾಸೀಯ ಅಂಶ,ਅਬੀਓਟਿਕ ਕਾਰਕ
ಅಸಹಜ ಮೂತ್ರ,ਅਸਧਾਰਨ ਪਿਸ਼ਾਬ
ಅಬೊ ಬ್ಲಡ್ ಗ್ರೂಪ್,ਅਬੋ ਬਲੱਡ ਗਰੁੱਪ
ಅಬ್ಸಿಸಿಕ್ ಆಮ್ಲ,Abscisic ਐਸਿਡ
ಕಂದಿಸುವುದು,ਵਿਵੇਕ
ಹೀರಿಕೊಳ್ಳಿ,ਸੋਖਣਾ
ಹೀರಿಕೊಳ್ಳುವ ಶಿಖರ,ਸਮਾਈ ਪੀਕ
ಹೀರುವಿಕೆ,ਸਮਾਈ
ಅಕಿಯಾ ಕ್ಯಾಟೆಚು,ਅੱਕੀਆ ਕੈਟੂਯੂ
ಅಕ್ಯಾಬಿಕಾ,ਅਕਾਰੀਆ ਅਰਬੀ
ಅಣಕಾದ,ਐਕਾਪ੍ਰਿਨ
ಸ್ವೀಕಾರಾರ್ಹ ಲೈಂಗಿಕ ನಡವಳಿಕೆ,ਮੰਨਣਯੋਗ ਜਿਨਸੀ ਵਿਵਹਾਰ
ಪರಿಕರ ಗ್ರಂಥಿ,ਐਕਸੈਸਰੀ ਗਲੈਂਡ
ಪರಿಕರ ಗ್ರಂಥಿ,ਐਕਸੈਸਰੀ ਗਲੈਂਡ
ಪರಿಕರ ಅಂಗ,ਸਹਾਇਕ ਅੰਗ
ಒಗ್ಗೂಡಿಸುವಿಕೆ,ਅਨੁਕੂਲਤਾ
ಒಗ್ಗಿಸು,ਅਹਿਮ
ವಸತಿ (ಕೇಂದ್ರೀಕರಿಸುವುದು),ਰਿਹਾਇਸ਼ (ਫੋਕਸ ਕਰਨਾ)
ಕಣ್ಣಿನ ವಸತಿ,ਅੱਖ ਦੀ ਰਿਹਾਇਸ਼
ಸನ್ಯಾಸಿಗಳ ಬೆಳವಣಿಗೆ,ਅਦਭੁਤ ਵਾਧਾ
ಸಂಗ್ರಹಣೆ,ਇਕੱਠਾ
ಸಾವಯವ ವಸ್ತುಗಳ ಸಂಗ್ರಹ,ਜੈਵਿਕ ਪਦਾਰਥ ਦਾ ਇਕੱਠਾ ਹੋਣਾ
ಮಣ್ಣಿನ ಸಂಗ್ರಹ,ਮਿੱਟੀ ਦਾ ਇਕੱਠਾ ਹੋਣਾ
ಉಭಯಾಕಾರದ,ਐਸੀਲੂਲਰ
ಅಸೆಲ್ಯುಲಾರ್ ಜೀವಿ,ਐਸੀਲੂਲਰ ਜੀਵ
ಅಸೆಟಾಬುಮ್,ਐਸੀਟੌਮੂਲਮ
ಅಸೆಟಾಲ್ಡಿಹೈಡ್,ਐਸੀਟਲਾਈਡਾਈਡ
