Odiya,Kannada
ପରିତ୍ୟାଗ,ಸ್ಥಗಿತಗೊಳಿಸು
ଟାଇମର୍ ପରିତ୍ୟାଗ କରନ୍ତୁ |,ಟೈಮರ್ ಅನ್ನು ಸ್ಥಗಿತಗೊಳಿಸಿ
ସଂପୂର୍ଣ୍ଣ ଠିକଣା,ಸಂಪೂರ್ಣ ವಿಳಾಸ
ସଂପୂର୍ଣ୍ଣ ଠିକଣା,ಸಂಪೂರ್ಣ ವಿಳಾಸ
ସଂପୂର୍ଣ୍ଣ ଏକତ୍ରିତ ବ୍ୟକ୍ତି |,ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್
ସଂପୂର୍ଣ୍ଣ କୋଡ୍,ಸಂಪೂರ್ಣ ಕೋಡ್
ସଂପୂର୍ଣ୍ଣ କୋଡିଂ |,ಸಂಪೂರ್ಣ ಕೋಡಿಂಗ್
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ,ಸಂಪೂರ್ಣ ಆಜ್ಞೆ
ସଂପୂର୍ଣ୍ଣ ସଂଯୋଜନା |,ಸಂಪೂರ್ಣ ಸಮನ್ವಯ
ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |,ಸಂಪೂರ್ಣ ಡೇಟಾ
ସଂପୂର୍ଣ୍ଣ ତ୍ରୁଟି |,ಸಂಪೂರ್ಣ ದೋಷ
ସଂପୂର୍ଣ୍ଣ ଅଭିବ୍ୟକ୍ତି |,ಸಂಪೂರ್ಣ ಅಭಿವ್ಯಕ್ತಿ
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶନାମା,ಸಂಪೂರ್ಣ ಸೂಚನೆ
ସଂପୂର୍ଣ୍ଣ ଲୋଡର୍ |,ಸಂಪೂರ್ಣ ಲೋಡರ್
ସଂପୂର୍ଣ୍ଣ କ୍ରମ,ಸಂಪೂರ್ಣ ಕ್ರಮ
ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |,ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್
ସଂପୂର୍ଣ୍ଣ ଶବ୍ଦ,ಸಂಪೂರ್ಣ ಪದ
ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ,ಸಂಪೂರ್ಣ ಮೌಲ್ಯ
ସଂପୂର୍ଣ୍ଣ ଭେକ୍ଟର |,ಸಂಪೂರ್ಣ ವೆಕ್ಟರ್
ବିସ୍ତୃତ,ಅಮೂರ್ತ
ବିସ୍ତୃତ,ಅಮೂರ್ತಗೊಳಿಸುವ
