Punjabi,Marathi
ਅਧੂਰਾ ਹਿੱਸਾ ਅਧੂਰਾ ਛੱਡ ਦਿੱਤਾ,गर्भपात केलेला अवयव
ਅਧੂਰਾ,गर्भपात बियाणे
ਗਰਭਪਾਤ,गर्भपात
ਸੰਪੂਰਨ ਬੂਟੀ,परिपूर्ण तण
ਸਮਾਈ,शोषून घेतलेले केशन
ਸਮਾਈ,शोषण
ਅਬੀਸਨੀਅਨ ਰਾਈ,अ‍ॅबिसिनियन मोहरी
ਅਚੰਭੇ,एकरिसाइड
ਰਾਜਕੁਮਾਰੀ,उच्चारण
ਲਹਿਜ਼ਾ (ਸੈੱਲ),उच्चारण (सेल)
ਸਹਿਣਸ਼ੀਲਤਾ ਸਵੀਕਾਰ ਕੀਤੀ,स्वीकारलेले सहिष्णुता
ਸਹਾਇਕ,Ory क्सेसरी
ਅਨੁਕੂਲਤਾ,सहनशीलता
ਇਕੱਠਾ,संचय
ਸ਼ੁੱਧਤਾ,अचूकता
ਏਸਰਵੂਲਸ,अ‍ॅसर्व्हुलस
ਐਸੀਟਿਫਿਕੇਸ਼ਨ,एसीटिफिकेशन
ਐਸਿਡਿਫਿਕੇਸ਼ਨ,आम्लता
ਐਸਿਡਮੀਟਰ,अ‍ॅसिडिमीटर
ਐਸਿਡਿਟੀ,आंबटपणा
ਐਸਿਡੋਫਿਲਿਕ,अ‍ॅसिडोफिलिक
ਤੇਜ਼ਾਬ ਵਾਲੀ ਰਾਜ਼ ਫਾਸਫੇਟ,अ‍ॅसिड्युलेटेड रॉक फॉस्फेट
ਐਸਿਡੁਰਿਕ,अ‍ॅसिड्यूरिक
ਐਕੁਇਫਰ,जलचर
ਗ੍ਰਹਿਣ,संपादन
ਏਕੜ,एकर
ਰਕਬੇ,एकर क्षेत्र
ਐਕਰੋਸੀਐਸਟ੍ਰਿਕ ਕ੍ਰੋਮੋਸੋਮ,अ‍ॅक्रोसेन्ट्रिक गुणसूत्र
ਐਕਰੋਪੇਟਲ,अ‍ॅक्रोपेटल
ਐਸ਼੍ਰੋਸੋਮ,अ‍ॅक्रोसोम
ਐਕਟਿਨੋਮਾਈਸਾਈਟਸ,अ‍ॅक्टिनोमाइसेट्स
ਐਕਟਿਵ ਰੂਟ ਜ਼ੋਨ,सक्रिय रूट झोन
ਗੰਭੀਰ,तीव्र
ਅਨੁਕੂਲਤਾ,अनुकूलता
ਅਨੁਕੂਲਤਾ,रुपांतर
ਚਿਪਕਿਆ,आसंजन
ADPIPOSE,Ip डिपोज
ਵਿਵਸਥ ਸਮੀਕਰਨ,समायोजन समीकरण
ਅਡੋਬ ਮਿੱਟੀ,अ‍ॅडोब माती
ਮਨਜ਼ੂਰ,व्यभिचारी
ਸਾਹਸੀ,साहसी
ਏਸੀਡਿਓਸਪੋਰ,एसीडिओस्पोर
ਏਓਲੀਅਨ ਪ੍ਰਕਿਰਿਆ,आयओलियन प्रक्रिया
ਏਓਲੀਅਨ,आयओलियन
Aeate,वायुवीजन
ਏਰੀਅਲ,हवाई
ਐਰੋਮੀਟਰ,एरोमीटर
ਐਰੋਸੋਲ,एरोसोल
ਖਰਾਸ਼,एस्टिवेशन
ਏਟੀਓਲੋਜੀ (ਐਟਾਇਜੀੋਲੋਜੀ),एटिओलॉजी (एटिओलॉजी)
ਕਥਾ,वनीकरण
ਅੰਦੋਲਨ,आंदोलन
ਆਕਮਾਰਕ,अ‍ॅगमार्क
ਅਗਰਾਰੀਅਨ,कृषी
ਖੇਤੀਬਾੜੀ ਕਲੀਨਿਕ,कृषी क्लिनिक
ਖੇਤੀਬਾੜੀ ਕਿਰਤ,कृषी कामगार
ਖੇਤੀਬਾੜੀ ਮਾਰਕੀਟਿੰਗ,कृषी विपणन
ਖੇਤੀਬਾੜੀ ਤਕਨਾਲੋਜੀ,कृषी तंत्रज्ञान
ਖੇਤੀ ਬਾੜੀ,शेती
ਐਗਰੀਸਿਲਵੀਕਲਚਰ,कृषी सांस्कृतिक
ਖੇਰਤ,अ‍ॅग्रोबायोडिव्हर्सिटी
