Malayalam,Odiya
അബാക്കസ്,ଆବାକସ୍ |
അസാധാരണമായ അവസാനിപ്പിക്കൽ,ଅସ୍ୱାଭାବିକ ସମାପ୍ତି |
ഉപേക്ഷിക്കുക,ପରିତ୍ୟାଗ
കേവല,ସଂପୂର୍ଣ୍ଣ
സമ്പൂർണ്ണ വിലാസം,ସଂପୂର୍ଣ୍ଣ ଠିକଣା
സമ്പൂർണ്ണ അഭിസംബോധന,ସଂପୂର୍ଣ୍ଣ ଠିକଣା
കേവല അസംബ്ലർ,ସଂପୂର୍ଣ୍ଣ ସମାବେଶକାରୀ |
കേവല കോഡ്,ସଂପୂର୍ଣ୍ଣ କୋଡ୍
സമ്പൂർണ്ണ കമാൻഡ്,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ |
സമ്പൂർണ്ണ ഡാറ്റ,ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |
സമ്പൂർണ്ണ നിർദ്ദേശം,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ
കേവല മോഡ്,ସଂପୂର୍ଣ୍ଣ ମୋଡ୍ |
കേവല പാത,ସଂପୂର୍ଣ୍ଣ ପଥ
സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്,ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |
അമൂർത്ത ക്ലാസ്,ବିସ୍ତୃତ ଶ୍ରେଣୀ |
അമൂർത്ത ഡാറ്റ തരം,ବିସ୍ତୃତ ତଥ୍ୟ ପ୍ରକାର |
അമൂർത്ത യന്ത്രം,ବିସ୍ତୃତ ମେସିନ୍ |
അമൂർത്ത ചിഹ്നം,ବିସ୍ତୃତ ପ୍ରତୀକ |
അമൂർത്തമായ വാക്യഘടന,ବିସ୍ତୃତ ବାକ୍ୟବିନ୍ୟାସ |
സ്വീകാര്യത പരിശോധന,ଗ୍ରହଣ ପରୀକ୍ଷା
ആക്സസ് പ്രാമാണീകരണം,ପ୍ରାମାଣିକିକରଣକୁ ପ୍ରବେଶ କରନ୍ତୁ |
പ്രവേശന കോഡ്,ପ୍ରବେଶ କୋଡ୍
പ്രവേശന നിയന്ത്രണം,ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ
ആക്സസ് സ്കാൻ,ଆକ୍ସେସ୍ ସ୍କାନ୍ |
ഉപസാധനം,ଆନୁଷଙ୍ଗିକ
അക്കൗണ്ട്,ଖାତା
അക്കൗണ്ട് ID,ଖାତା ID
ശേഖരണം,ଜମାକାରୀ
കൃത്യത,ସଠିକତା
പ്രവേശനം,acess
ആക്സസ് കൺട്രോൾ ബൈറ്റ്,ଏସିସ୍ ନିୟନ୍ତ୍ରଣ ବାଇଟ୍ |
പ്രവേശന സൂചിക,acess index
ആക്സസ് കീ,acess କି
ആക്സസ് മാട്രിക്സ്,acess matrix
ആക്സസ് മോഡ്,acess ମୋଡ୍ |
ആക്സസ് പ്രിവിലേജ്,acess ଅଧିକାର
ആക്സസ് സുരക്ഷ,acess ସୁରକ୍ଷା |
ആക്സസ് സെർവർ,acess ସର୍ଭର |
പ്രവേശന സമയം,ଆକସେସ୍ ସମୟ |
അംഗീകാരം,ସ୍ୱୀକୃତି
ശബ്ദശാസ്ത്രം,ଆକାଶବାଣୀ
സംക്ഷേപം,ସଂକ୍ଷିପ୍ତ ଶବ୍ଦ
പ്രവർത്തന സന്ദേശം,କାର୍ଯ୍ୟ ବାର୍ତ୍ତା |
സജീവമാക്കൽ,ସକ୍ରିୟ
സജീവ സെർവർ പേജ് (ASP),ସକ୍ରିୟ ସର୍ଭର ପୃଷ୍ଠା (ASP)
സജീവ പതിപ്പ്,ସକ୍ରିୟ ସଂସ୍କରଣ |
അസൈക്ലിക്,acyclic
അസൈക്ലിക് ഗ്രാഫ്,acyclic ଗ୍ରାଫ୍ |
അഡാ ഭാഷ,ଅଦା ଭାଷା |
അഡാപ്റ്റർ,ଆଡାପ୍ଟର
ചേർക്കുക,ଯୋଡନ୍ତୁ |
ഫയൽ ചേർക്കുക,ଫାଇଲ୍ ଯୋଡନ୍ତୁ |
പ്രവർത്തനം ചേർക്കുക,ଅପରେସନ୍ ଯୋଡନ୍ତୁ |
ചേർക്കുന്നയാൾ,ଆଡର୍
വിലാസം,ଠିକଣା
വിലാസം ബസ്,ଠିକଣା ବସ୍
വിലാസ ഫയൽ,ଠିକଣା ଫାଇଲ୍ |
വിലാസ ഫോർമാറ്റ്,ଠିକଣା ଫର୍ମାଟ୍
വിലാസ ജനറേറ്റർ,ଠିକଣା ଜେନେରେଟର
വിലാസ ലൈൻ,ଠିକଣା ରେଖା
വിലാസ മാപ്പിംഗ്,ଠିକଣା ମ୍ୟାପିଂ
വിലാസ സൂചിക,ଠିକଣା ସୂଚକ
വിലാസ രജിസ്റ്റർ,ଠିକଣା ରେଜିଷ୍ଟର
വിലാസം റെസലൂഷൻ,ଠିକଣା ରେଜୋଲୁସନ
വിലാസ വിവർത്തനം,ଠିକଣା ଅନୁବାଦ
