Punjabi,Marathi
ਅਬਾਇਓਟਿਕ ਪ੍ਰਜਨਨ,अजैविक पुनरुत्पादन
ਅਲੌਕਿਕ,अलौकिक
1. ਚੌਥਾ ਪੇਟ 2. ਈਵੋਮਾਸੋਮ,1. चौथे पोट 2. इवोमासोम
ਸਟੋਮੈਟਲ ਵਿਕਾਸ ਅੰਗ,रंध्र वाढीचा अवयव
ਰੁਕਿਆ ਹੋਇਆ ਵਾਧਾ ਬੀਜ,वाढ खुंटलेले बीज
1. ਗਰਭਪਾਤ 2. ਗਰਭਪਾਤ 3. ਵਿਕਾਸ ਪ੍ਰਤੀਰੋਧ,1. गर्भपात 2. गर्भपात 3. वाढीचा प्रतिकार
1. ਅਣਚਾਹੇ ਜੰਗਲੀ ਬੂਟੀ 2. ਮੁਕੰਮਲ ਨਦੀਨ,1. अवांछित तण 2. पूर्ण तण
ਲੀਨ cation,शोषलेले केशन
ਸਮਾਈ,शोषण
ਐਬੀਸੀਨੀਅਨ ਸਰ੍ਹੋਂ,Abyssinian मोहरी
1. ਐਕਰੀਸਾਈਡ,1. ऍकेरिसाइड
centripetal,केंद्राभिमुख
ਪ੍ਰਸਾਰਨ (ਸੈੱਲ),प्रवर्धन (सेल)
ਮਨਜ਼ੂਰ ਸਹਿਣਸ਼ੀਲਤਾ,मंजूर सहिष्णुता
1. ਵਾਧੂ 2. ਐਕਸੈਸਰੀ 3. ਐਕਸੈਸਰੀ,1.अतिरिक्त 2.अॅक्सेसरी 3.अॅक्सेसरी
ਅਨੁਕੂਲਨ,रुपांतर
ਇਕੱਠਾ ਕਰਨਾ,जमा
1. ਸ਼ੁੱਧਤਾ 2. ਸ਼ੁੱਧਤਾ,1. अचूकता 2. अचूकता
1. ਏਸਰਵੁਲਸ 2. ਸਪੋਰੋਫਾਈਟ,1. एसरव्हुलस 2. स्पोरोफाइट
1. ਐਸੀਟਾਈਜ਼ੇਸ਼ਨ 2. ਸਿਰਕਾ ਬਣਾਉਣਾ 3. ਐਸੀਟਿਲੇਨ,1. एसिटायझेशन 2. व्हिनेगर बनवणे 3. एसिटिलीन
1. ਤੇਜ਼ਾਬੀਕਰਨ 2. ਤੇਜ਼ਾਬੀਕਰਨ,1. आम्लीकरण 2. आम्लीकरण
1. ਐਸੀਡੋਮੀਟਰ 2. ਐਸਿਡਮੀਟਰ,1. ऍसिडोमीटर 2. ऍसिडीमीटर
ਐਸਿਡਿਟੀ,आंबटपणा
ਐਸਿਡੋਫਾਈਲ,ऍसिडोफाइल
ਤੇਜ਼ਾਬ ਚੱਟਾਨ ਫਾਸਫੇਟ,ऍसिडिफाइड रॉक फॉस्फेट
ਤੇਜ਼ਾਬ,आम्लीकृत
aquifer,जलचर
ਪ੍ਰਾਪਤੀ,संपादन
ਏਕੜ,एकर
1. ਖੇਤਰ 2. ਖੇਤਰ,1. क्षेत्रफळ 2. क्षेत्रफळ
ਅੰਤ ਬਿੰਦੂ ਕ੍ਰੋਮੋਸੋਮ,अंतिम बिंदू गुणसूत्र
ਅਗਾਂਹਵਧੂ,पुढे दिसणारा
acrosome,acrosome
ਐਕਟਿਨੋਮਾਈਸੀਟਸ,actinomycetes
ਸਰਗਰਮ ਕੋਰ,सक्रिय कोर
1. ਗੁੱਸੇ ਵਾਲਾ 2. ਤੀਬਰ,1. उग्र 2. तीव्र
ਅਨੁਕੂਲਤਾ,अनुकूलता
ਕਸਟਮਾਈਜ਼ੇਸ਼ਨ,सानुकूलन
1. ਅਡੈਸ਼ਨ 2. ਅਡੈਸ਼ਨ,1. आसंजन 2. आसंजन
sebaceous,सेबेशियस
ਸਮਾਯੋਜਨ ਸਮੀਕਰਨ,समायोजन समीकरण
ਅਡੋਬ ਮਿੱਟੀ,adobe माती
ਮਿਲਾਵਟ ਕਰਨ ਵਾਲਾ,भेसळ करणारा
ਐਕਟੋਪਿਕ,एक्टोपिक
ਆਈਸੀਡਿਓਸਪੋਰ ਆਈਸੀਡੀਅਮ ਸਪੋਰ,Isidiospore Isidium बीजाणू
ਐਰੋਡਾਇਨਾਮਿਕ ਪ੍ਰਕਿਰਿਆ,वायुगतिकीय प्रक्रिया
ਵੈਂਟ੍ਰਲ,वेंट्रल
ਹਵਾ ਦੇਣ ਲਈ,वायुवीजन करणे
1. ਹਵਾ 2. ਆਕਾਸ਼ੀ,1. हवा 2. आकाशी
1. ਐਰੋਮੀਟਰ 2. ਐਰੋਮੀਟਰ 3. ਐਰੋਮੀਟਰ,1. एरोमीटर 2. एरोमीटर 3. एरोमीटर
ਐਰੋਸੋਲ,एरोसोल
1. ਫੁੱਲ 2. ਗਰਮੀਆਂ ਦੀ ਸੁਸਤਤਾ,1. फुलणे 2. उन्हाळी सुप्तता
ਬਿਮਾਰੀ ਦਾ ਵਿਗਿਆਨ,रोग विज्ञान
ਜੰਗਲਾਤ,वनीकरण
1. ਅੰਦੋਲਨ 2. ਗੜਬੜ,1. आंदोलन 2. अशांतता
ਐਗਮਾਰਕ,Agmark
1. ਜ਼ਮੀਨ ਨਾਲ ਸਬੰਧਤ 2. ਖੇਤੀਬਾੜੀ,1. जमिनीशी संबंधित 2. कृषी
ਖੇਤੀਬਾੜੀ ਕਲੀਨਿਕ,कृषी चिकित्सालय
