Gujarati,Marathi
એબેલિયન જૂથ,अबेलियन गट
અબેલીયન સેમીગ્રુપ,अबेलियन अर्धसमूह
એબ્સીસા,abscissa
સંપૂર્ણ,निरपेक्ष
સંપૂર્ણ સંકલન,परिपूर्ण अभिसरण
સંપૂર્ણ ભૂલ,पूर्ण त्रुटी
સંપૂર્ણ મહત્તમ,परिपूर्ण कमाल
સંપૂર્ણ લઘુત્તમ,परिपूर्ण किमान
સંપૂર્ણ મૂલ્ય,परिपूर्ण मूल्य
સંપૂર્ણ વેગ,परिपूर्ण वेग
અમૂર્ત બીજગણિત,अमूर्त बीजगणित
અમૂર્ત જૂથ સિદ્ધાંત,अमूर्त गट सिद्धांत
પ્રવેગ,प्रवेग
ગુરુત્વાકર્ષણને કારણે પ્રવેગક,गुरुत्वाकर्षणामुळे प्रवेग
સ્વીકાર્ય પસંદગી સમૂહ,स्वीकार्य निवड संच
સ્વીકાર્ય ગુણવત્તા સ્તર,स्वीकार्य गुणवत्ता पातळी
સ્વીકાર્ય શ્રેણી,स्वीकार्य श्रेणी
સ્વીકાર્ય વિશ્વસનીયતા સ્તર,स्वीकार्य विश्वसनीयता पातळी
સ્વીકાર્ય નમૂના,स्वीकार्य नमुना
સંચિત ભૂલ,संचित त्रुटी
ચોકસાઈ,अचूकता
અભિનય બળ,अभिनय शक्ती
ક્રિયા,क्रिया
ક્રિયા અને પ્રતિક્રિયા,क्रिया आणि प्रतिक्रिया
વાસ્તવિક વિજ્ઞાન,वास्तविक विज्ञान
તીવ્ર કોણીય ત્રિકોણ,तीव्र कोन त्रिकोण
એસાયક્લિક,अॅसायक्लिक
ઉમેરો,जोडा
ઉમેરનાર,जोडणारा
વધુમાં,या व्यतिरिक्त
વધારાનું સૂત્ર,जोड सूत्र
જટિલ સંખ્યાઓનો ઉમેરો,जटिल संख्यांची बेरीज
કાર્યોનો ઉમેરો,कार्ये जोडणे
મેટ્રિસિસનો ઉમેરો,मॅट्रिक्स जोडणे
બહુપદીનો ઉમેરો,बहुपदी जोडणे
સંભાવનાઓનો ઉમેરો,संभाव्यता जोडणे
વેક્ટરનો ઉમેરો,वेक्टर जोडणे
વધારાનું પ્રમેય,अतिरिक्त प्रमेय
ઉમેરણ જૂથ,मिश्रित गट
ઉમેરણ વ્યસ્ત,additive inverse
ઉમેરણ મિલકત,अतिरिक्त गुणधर्म
ઉમેરણ,जोड
સંલગ્નતા મેટ્રિક્સ,संलग्नता मॅट्रिक्स
અડીને,समीप
અડીને આવેલા ખૂણા,समीप कोन
અડીને શિરોબિંદુ,समीप शिरोबिंदू
સંલગ્ન,संलग्न
સંલગ્ન,शेजारील
સંલગ્ન નિર્ણાયક,संलग्न निर्धारक
સંલગ્ન વિભેદક સમીકરણ,संलग्न विभेदक समीकरण
સંલગ્ન સમીકરણ,संलग्न समीकरण
સંલગ્ન મેટ્રિક્સ,संलग्न मॅट्रिक्स
મેટ્રિક્સનો સંલગ્ન ભાગ,मॅट्रिक्सचा संलग्न
એડજ્યુગેટ મેટ્રિક્સ,मॅट्रिक्स समायोजित करा
સ્વીકાર્ય નિર્ણય કાર્ય,स्वीकार्य निर्णय कार्य
સ્વીકાર્ય પૂર્વધારણા,स्वीकार्य गृहीतक
એરોડાયનેમિક બળ,वायुगतिकीय शक्ती
એરોડાયનેમિક્સ,वायुगतिकी
