Malayalam,English
അബാക്കസ്,abacus
അസാധാരണമായ അവസാനിപ്പിക്കൽ,abnormal termination
ഉപേക്ഷിക്കുക,abort
കേവല,absolute
സമ്പൂർണ്ണ വിലാസം,absolute address
സമ്പൂർണ്ണ അഭിസംബോധന,absolute addressing
കേവല അസംബ്ലർ,absolute assembler
കേവല കോഡ്,absolute code
സമ്പൂർണ്ണ കമാൻഡ്,absolute command
സമ്പൂർണ്ണ ഡാറ്റ,absolute data
സമ്പൂർണ്ണ നിർദ്ദേശം,absolute instruction
കേവല മോഡ്,absolute mode
കേവല പാത,absolute path
സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്,absolute programming
അമൂർത്ത ക്ലാസ്,abstract class
അമൂർത്ത ഡാറ്റ തരം,abstract data type
അമൂർത്ത യന്ത്രം,abstract machine
അമൂർത്ത ചിഹ്നം,abstract symbol
അമൂർത്തമായ വാക്യഘടന,abstract syntax
സ്വീകാര്യത പരിശോധന,acceptance testing
ആക്സസ് പ്രാമാണീകരണം,access authentication
പ്രവേശന കോഡ്,access code
പ്രവേശന നിയന്ത്രണം,access control
ആക്സസ് സ്കാൻ,access scan
ഉപസാധനം,accessory
അക്കൗണ്ട്,account
അക്കൗണ്ട് ID,account ID
ശേഖരണം,accumulator
കൃത്യത,accuracy
പ്രവേശനം,acess
ആക്സസ് കൺട്രോൾ ബൈറ്റ്,acess control byte
പ്രവേശന സൂചിക,acess index
ആക്സസ് കീ,acess key
ആക്സസ് മാട്രിക്സ്,acess matrix
ആക്സസ് മോഡ്,acess mode
ആക്സസ് പ്രിവിലേജ്,acess privilege
ആക്സസ് സുരക്ഷ,acess security
ആക്സസ് സെർവർ,acess server
പ്രവേശന സമയം,acess time
അംഗീകാരം,acknowledgement
ശബ്ദശാസ്ത്രം,acoustics
സംക്ഷേപം,acronym
പ്രവർത്തന സന്ദേശം,action message
സജീവമാക്കൽ,activation
സജീവ സെർവർ പേജ് (ASP),active server page (ASP)
സജീവ പതിപ്പ്,active version
അസൈക്ലിക്,acyclic
അസൈക്ലിക് ഗ്രാഫ്,acyclic graph
അഡാ ഭാഷ,Ada language
അഡാപ്റ്റർ,adapter
ചേർക്കുക,add
ഫയൽ ചേർക്കുക,add file
പ്രവർത്തനം ചേർക്കുക,add operation
ചേർക്കുന്നയാൾ,adder
വിലാസം,address
വിലാസം ബസ്,address bus
വിലാസ ഫയൽ,address file
വിലാസ ഫോർമാറ്റ്,address format
വിലാസ ജനറേറ്റർ,address generator
വിലാസ ലൈൻ,address line
വിലാസ മാപ്പിംഗ്,address mapping
വിലാസ സൂചിക,address pointer
വിലാസ രജിസ്റ്റർ,address register
വിലാസം റെസലൂഷൻ,address resolution
വിലാസ വിവർത്തനം,address translation
അഭിസംബോധന ചെയ്ത മെമ്മറി,addressed memory
അഭിസംബോധന,addressing
പര്യാപ്തത മാനദണ്ഡം,adequacy criteria
അനുബന്ധം,adjoint
ഭരണകൂടം,administration
കാര്യനിർവാഹകൻ,administrator
അഡോബ് അക്രോബാറ്റ്,adobe acrobat
അഡോബ് ഫോട്ടോഷോപ്പ്,adobe photoshop
അഡ്വാൻസ് ബിസിനസ് ആപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ് (ABAP),Advance Business Application Programming (ABAP)
വിപുലമായ ഡാറ്റ,advanced data
വിപുലമായ വിവര സംവിധാനം,advanced information system
നൂതന സാങ്കേതികവിദ്യ (AT),advanced technology (AT)
ഏജന്റ്,agent
സമാഹരണം,aggregation
വായുവിലൂടെയുള്ള കമ്പ്യൂട്ടർ സംവിധാനം,airborne computer system
ആൽഡസ് പേജ് മേക്കർ,aldus page maker
മുന്നറിയിപ്പ് ബോക്സ്,alert box
ആൽഗോൾ,algol
അൽഗോരിതം,algorithm
അൽഗോരിതം വിശകലനം,algorithm analysis
അൽഗോരിതം കാര്യക്ഷമത,algorithm efficiency
അപരനാമം,alias
വിന്യാസം,alignment
വിഹിതം,allocation
അക്ഷരമാലാക്രമം,alphabetic
ആൽഫാന്യൂമെറിക്,alphanumeric
ആൽഫാന്യൂമെറിക് കീ ബോർഡ്,alphanumeric key board
ആൽഫ-ടെസ്റ്റ്,alpha-test
ആൽഫ പതിപ്പ്,alpha-version
alt കീ,alt key
അൾട്ടാവിസ്റ്റ,altavista
അവ്യക്തത,ambiguity
അവ്യക്തമായ വ്യാകരണം,ambiguous grammar
അമേരിക്കൻ നാഷണൽ സ്റ്റാൻഡേർഡ് ഇൻസ്റ്റിറ്റ്യൂട്ട് (ANSI),American National Standards Institute (ANSI)
അമേരിക്കൻ സ്റ്റാൻഡേർഡ് കോഡ് ഫോർ ഇൻഫർമേഷൻ ഇന്റർചേഞ്ച് (ASCII),American Standard Code For Information Interchange (ASCII)
അനലോഗ്,analog
അനലോഗ് കമ്പ്യൂട്ടർ,analog computer
അനലോഗ് ഉപകരണം,analog device
അനലോഗ് മോഡം,analog modem
അനലോഗ് ടു ഡിജിറ്റൽ കൺവെർട്ടർ (ADC),Analog To Digital Converter (ADC)
ഒപ്പം,AND
കൂടാതെ സർക്യൂട്ട്,AND circuit
ഒപ്പം ഗേറ്റും,AND gate
കൂടാതെ പ്രവർത്തനമല്ല (ഒഴിവാക്കൽ),AND not operation (Exclusion)
ആനിമേഷൻ,animation
വ്യാഖ്യാനം,annotation
അപാകത,anomaly
മുൻഗാമി,antecedent
മുൻകൂർ പേജിംഗ്,anticipatory paging
വിരുദ്ധ സമമിതി,anti-symmetric
ആന്റിവൈറസ് പ്രോഗ്രാം,antivirus program
ആപ്ലെറ്റ്,applet
ആപ്ലിക്കേഷൻ ഡെവലപ്പർ,application developer
ആപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ്,application programming
ആപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ് ഇന്റർഫേസ് (API),application programming interface (API)
ആപ്ലിക്കേഷൻ സോഫ്റ്റ്വെയർ,application software
ബാധകമായ ഭാഷ,applicative language
ഏകദേശ സിദ്ധാന്തം,approximation theory
വാസ്തുവിദ്യ,architecture
ഏരിയ കൈമാറ്റം,area transfer
വാദം,argument
"ഗണിത, യുക്തി യൂണിറ്റ്",arithmatic and logic unit
ഗണിത പരിശോധന,arithmatic check
ഗണിത സ്ഥിരാങ്കം,arithmatic constant
ഗണിത ഡാറ്റ,arithmatic data
ഗണിത നിർദ്ദേശം,arithmatical instruction
ഗണിതവും യുക്തിയും യൂണിറ്റ് (ALU),arithmetic and logic unit (ALU)
അർപാനെറ്റ്,ARPANET
അറേ,array
അറേ കാഷെ,array cache
അറേ കമ്പ്യൂട്ടർ,array computer
അറേ ഘടകം,array element
അറേ പേര്,array name
അറേ പ്രോസസർ,array processor
അമ്പടയാള കീകൾ,arrow keys
ഉച്ചാരണം,articulation
ആർട്ടിക്കുലേഷൻ പോയിന്റ്,articulation point
കൃത്രിമ കോംപാക്ഷൻ,artificial compaction
കൃത്രിമ നിയന്ത്രണം,artificial control
നിർമ്മിത ബുദ്ധി,artificial intelligence
ആരോഹണം,ascender
ആരോഹണ തരം,ascending sort
ASCII ബെറ്റിക്കൽ ഓർഡർ,ASCII betical order
ASCII നിയന്ത്രണ പ്രതീകം,ASCII control character
ASCII ഫയൽ,ASCII file
ASCII ഫോണ്ട്,ASCII font
ASCII കൈമാറ്റം,ASCII transfer
വീക്ഷണാനുപാതം,aspect ratio
എ.എസ്.പി.ഐ,ASPI
ASR ടൈമർ,ASR timer
കൂട്ടിച്ചേർക്കുക,assemble
അസംബ്ലർ,assembler
അസംബ്ലി,assembly
അസംബ്ലി ഭാഷ,assembly language
അവകാശവാദം,assertion
നിയമനം,assignment
അസോസിയേഷൻ,association
അനുബന്ധ വിലാസം,associative address
അനുബന്ധ മെമ്മറി,associative memory
ആസ്റ്ററിക്,asteric
അസമമായ,asymmetric
അസമന്വിത,asynchronous
അസിൻക്രണസ് ഡിജിറ്റൽ സബ്സ്ക്രൈബർ ലൈൻ (ADSL),asynchronous Digital Subscriber Line (ADSL)
അസിൻക്രണസ് ടൈം ഡിവിഷൻ മൾട്ടിപ്ലെക്സിംഗ് (ATDM),asynchronous Time Division Multiplexing (ATDM)
അസമന്വിത കൈമാറ്റം,asynchronous transfer
അസിൻക്രണസ് ട്രാൻസ്ഫർ മോഡ് (എടിഎം),asynchronous Transfer Mode (ATM)
ആറ്റം,atom
അറ്റാച്ചുചെയ്ത പ്രമാണം,attached document
അറ്റാച്ചുചെയ്ത ഫയൽ,attached file
ബന്ധം,attachment
ആട്രിബ്യൂട്ട്,attribute
ഓഡിയോ,audio
ഓഡിറ്റ് പ്രോഗ്രാമിംഗ്,audit programming
ഓഡിറ്റ് ട്രയൽ,audit trail
വർദ്ധിപ്പിക്കൽ,augmentation
പ്രാമാണീകരണ പ്രോട്ടോക്കോൾ,authentication protocol
എഴുത്ത് സംവിധാനം,authoring system
അംഗീകാരം,authorization
