English,Assamese
Abbey of Westminster,ৱেষ্টমিনিষ্টাৰৰ এবে
Abditory,এবডিটৰী
Abolition of slavery,দাসত্ব বিলুপ্ত কৰা
Aboriginal,আদিবাসী
Abraham Era,আব্ৰাহাম যুগ
Absentee landlords,অনুপস্থিত ঘৰৰ মালিক
Academy,একাডেমী
Accra conference,আক্ৰা সন্মিলন
Accruals,এক্ৰুৱেল
Acculturation,সংস্কৃতিকৰণ
Aceldama,এচেলডামা
Achaean (=Achian),আখিয়ান (=আচিয়ান)
Achaean League (=Achian League),আচায়ান লীগ (=আচিয়ান লীগ)
Acropolis,এক্ৰ&#39;পলিছ
Acta Diurna,এক্টা ডিউৰ্না
Acta Senatus,এক্টা চেনেটাছ
Acte Additionel,এক্টে এডিচনেল
Active record (=current record),সক্ৰিয় ৰেকৰ্ড (=বৰ্তমান ৰেকৰ্ড)
Act of attainder,প্ৰাপ্তিৰ কাৰ্য্য
Act of Indemnity and oblivion,ক্ষতিপূৰণ আৰু বিস্মৃতিৰ আইন
Act of Settlement,বন্দোবস্তৰ আইন
Ad contractus seal,এড কন্ট্ৰেক্টাছ ছীল
Adullamites,এডুলামাইটছ
Adversary,বিৰোধী
Adversary,বিৰোধী
Aeon,ইয়ন
Aerarium,এৰেৰিয়াম
Aerial warfare,আকাশী যুদ্ধ
Aetolian League,এটলিয়ান লীগ
Age,বয়স
Ageing (=aging),বয়স বৃদ্ধি (=বৃদ্ধাৱস্থা)
Ageing process,বয়স বৃদ্ধিৰ প্ৰক্ৰিয়া
Agelai,আগেলাই
Age of chivalry,অশ্বাৰোহীৰ যুগ
Age of Englightment,এজ অৱ ইংলাইটমেণ্ট
Age of Pericles,পেৰিক্লিছৰ বয়স
Age of reason,যুক্তিৰ বয়স
Agrarianism,কৃষিবাদ
Agrarian movement,কৃষি আন্দোলন
Albion,এলবিয়ন
Album,এলবাম
Alderman,এলডাৰমেন
Allusive arms,আলোকসজ্জা বাহু
Amity,এমিটি
Amphictyonic Council,এম্ফিক্টয়নিক কাউন্সিল
Amphictyonic League,এম্ফিক্টয়নিক লীগ
Amphitheatre,এম্ফিথিয়েটাৰ
Amri Nal group (of pottery),অমৰি নল গোট (মৃৎশিল্পৰ)
Anachronism,এনাক্ৰ’নিজম
Anachronistic,এনাক্ৰ’নিষ্টিক
Ancestor,পূৰ্বপুৰুষ
Ancestor Worship,পূৰ্বপুৰুষ পূজা
Ancestry,বংশ
Ancestry,বংশ
Ancestry,বংশ
Ancestry,বংশ
Ancien regime,Ancien শাসন ব্যৱস্থা
Ancient,পৌৰাণিক
Ancient ballad,প্ৰাচীন বেলাড
Ancient belief,প্ৰাচীন বিশ্বাস
Ancient custom,প্ৰাচীন প্ৰথা
Ancient history,প্ৰাচীন ইতিহাস
Ancient monuments,প্ৰাচীন কীৰ্তিচিহ্ন
Anecdote,উপাখ্যান
Angelot,এঞ্জেলট
Angelus,এঞ্জেলছ
Angevin (=anjevin),এঞ্জেভিন (=anjevin)
Angles,কোণ
