Odiya,Hindi
ପରିତ୍ୟାଗ ଅଙ୍ଗ |,रुद्ध-वृद्धि अंग
ପରିତ୍ୟାଗ,रुद्ध वृद्धि बीज
ଗର୍ଭପାତ,"गर्भपात, गर्भस्राव, वृद्धि विरोध"
ସଂପୂର୍ଣ୍ଣ ତୃଣ,"अवांछित अपतृण, पूर्ण खरपतवार"
ଅବଶୋଷିତ କେସନ,अवशोषित धनायन
ଶୋଷଣ,अवशोषण
Abayssinian mystard |,ऐबिसिनी सरसों
ଅରିକାଇଡ୍ |,"एकेरेसनाशी, चिचड़ीनाशी"
ଉଚ୍ଚାରଣ,अकेंद्री
ଉଚ୍ଚାରଣ (ସେଲ୍),प्रवर्धन (कोशिका)
ଗ୍ରହଣ କରାଯାଇଥିବା ସହନଶୀଳତା |,स्वीकृत सहायता
ଆନୁଷଙ୍ଗିକ,"अतिरिक्त, सहायक, गौण"
ସୁକମ୍ଲାଇଜେସନ୍,पर्यनुकूलन
ଜମା,संचय
ସଠିକତା,"यथार्थता, परिशुद्धता"
Acervulus,"एसर्वुलस, बीजाणुपात्र"
ଯୁକ୍ତିଯୁକ୍ତିକ,"ऐसीटीकरण, सिरका बनाना"
ଅମ୍ଳଗତ,"अम्लीकरण, अम्लन"
ଏସିଡିମିଟର,"अम्लतामापी, एसिडीमीटर"
ଅମ୍ଳତା,अम्लता
ଏସିଡୋଫିଲିକ୍ |,अम्लरागी
ACIDUCED ROX FHSHATE |,अम्लीकृत रॉक फॉस्फेट
ଅସିଡିଆରି |,अम्लसह
ଜଳଜଳ |,जलभृत
ଅଧିଗ୍ରହଣ,अधिग्रहण
ଏକର,एकड़
ଏକରାଗେଜ୍,"क्षेत्रफल, रकबा"
ଆକ୍ରୋଣ୍ଟ୍ରିକ୍ କ୍ରୋମୋଜୋମ୍ |,उपांत बिंदु क्रोमोसोम
ଆଖୋପ୍ଟାଲ୍ |,अग्राभिसारी
ଆନୋକୋମ୍,ऐक्रोसोम
ଆକ୍ଟିନୋମିସେସିସ୍ |,एक्टिनोमाइसिटीज
ସକ୍ରିୟ ମୂଳ କ୍ଷେତ୍ର,सक्रिय मूलक्षेत्र
ତୀବ୍ର,"उग्र, तीव्र"
ଅନୁକେତ,अनुकूलनशीलता
ଆଡାପ୍ଟେସନ୍,अनुकूलन
ଆଡେସନ୍,"आसंजन, अभिलाग, बन्ध"
ଆଦିବ,वसामय
ଆଡଜଷ୍ଟମେଣ୍ଟ ସମୀକରଣ |,समायोजन समीकरण
ଆଡୋବ ମାଟି |,ऐडोब मृदा
ବ୍ୟଭିଚାର,अपमिश्रक
ବିଶ୍ୱସ୍ତତା,अपस्थानिक
Aechidispor,"एसीडियोस्पोर, एसीडियम बीजाणु"
ଏଓଲ୍ସିଆସ୍ ପ୍ରକ୍ରିୟା |,वातोढ़ प्रक्रिया
ଆଦାମୀ,वातोढ़
ଆରେଟ୍,वातन करना
ବାୟୁ,"वायव, आकाशी"
ଏରୋମିଟର |,"ऐरोमीटर, वायुमापी, वायुघनत्वमाप"
ଏରୋସୋଲ୍ |,ऐरोसॉल
ବାୟେ,"पुष्पदलविन्यास, ग्रीष्मनिष्क्रियता"
ଆୟନୋଜି (ଇଟିଓଲୋଜି),"रोग हेतु विज्ञान, व्याधिनिदान विज्ञान"
ଆଗ ଶତ୍ରୁମାନଙ୍କର,वनरोपण
ଆଗ୍ରିଲେସନ୍,"विलोडन, प्रक्षोभन"
Awarmark,"ऐगमार्क, कृष्यंक"
କୃଷି,"भूमी संबंधी, कृषि संबंधी"
କୃଷି କ୍ଲିନିକ୍ |,कृषि निदानालय
