Tamil,English
A B வகுப்பு பெருக்கி,A B amplifier
பிறழ்வு,aberration
அசாதாரண பரிமாற்றம்,abnormal propagation
"இணைக்கப்படாத, பொதுவாக, குழி, துண்டிக்கப்பட்ட, எலும்பு முறிவு",abrupt
ஸ்பெக்ட்ரம் காணவில்லை,absent spectrum
"முழுமையான, முழுமையான, நிலையான, சரியான",absolute
முழுமையான ஈரப்பதம்,absolute humidity
முழுமையான வேகம்,absolute motion
முழுமையான கவனிப்பு,absolute observation
முழுமையான வெப்பநிலை,absolute temperature
முழுமையான பூஜ்ஜியம்,absolute zero
உறிஞ்சி,absorb
"உறிஞ்சும், உறிஞ்சும்",absorber
உறிஞ்சும் திறன்,absorbing power
உறிஞ்சுதல்,absorptance
உறிஞ்சக்கூடியது,absorptive
உறிஞ்சும் தன்மை,absorptivity
பன்மடங்கு விகிதம்,abundance ratio
முடுக்கி,accelerate
விரைந்தார்,accelerated
முடுக்கம்,acceleration
ஈர்ப்பு முடுக்கம்,acceleration of gravity
முடுக்கி,accelerative
முடுக்கி,accelerator
முடுக்கமானி,accelerometer
முன் அழுத்தம் கொடுப்பவர்,accentuator
ஏற்றுக்கொள்ளக்கூடிய சோதனை,acceptance test
ஏற்பவர்,acceptor
நன்கொடையாளர் மூலக்கூறு,acceptor molecule
"அணுகல், காத்திருப்பு, அணுகல்",access
அணுகல்,accessibility
"கூடுதல், துணை, துணை (v.), துணைக்கருவிகள் (ed.)",accessory
அணுகல் நேரம்,access time
பார்வையாளர் பிழை,accidental error
சரிசெய்தல்,accommodation
திரட்டப்பட்டது,accumulated
"திரட்சி, குவிப்பு",accumulation
திரட்டி,accumulator
துல்லியம்,accuracy
யதார்த்தம்,accurate
நிறமற்ற லென்ஸ்,achromat
வண்ணமயமான,achromatic
வண்ணமயமான தன்மை,achromatism
ஒலியியல்,acoustical
ஒலி எதிர்ப்பு,acoustically insulated
ஒலி ஃபோனான்,acoustical phonon
ஒலி அலகு,acoustical unit
ஒலியியல்,acoustic
ஒலி ஜெனரேட்டர்,acoustic generator
செயல் மற்றும் எதிர்வினை,action and reaction
செயல்படுத்துதல்,activation
செயல்படுத்தும் ஆற்றல்,"activation, energy"
"செயல்படுத்துபவர், செயல்படுத்துபவர்",activator
செயலில்,active
செயற்பாடு,activity
உண்மையான மன அழுத்தம்,actual stress
கிசுகிசுத்தல்,acute exposure
மொத்தத்தில்,add
"தொகை, கூட்டல், மொத்த (பதிப்பு), சேர்க்கை (v.)",addition
"இணைந்த தொனி, கூடுதல் தொனி (உயிர்)",additional tone
சேர்க்கை,additive
ஒட்டுதல்,adhesion
பிசின் ஆற்றல்,adhesional energy
அடியாபட்,adiabat
அடியாபாடிக்,adiabatic
வெப்ப காப்பு,adiathermanous
இணைப்பு,adjacent
அனுசரிப்பு,adjustable
ஊடுருவல்,admittance
உறிஞ்சுதல்,adsorption
முன்னோக்கி,advanced
முற்போக்கானது,advancing
