Malayalam,Tamil
അബെലിയൻ ഗ്രൂപ്പ്,அபெலியன் குழு
അബെലിയൻ സെമിഗ്രൂപ്പ്,அபிலியன் அரைகுழு
abscissa,abscissa
കേവല,அறுதி
കേവലമായ ഒത്തുചേരൽ,முழுமையான ஒருங்கிணைப்பு
സമ്പൂർണ്ണ പിശക്,முழுமையான பிழை
കേവല പരമാവധി,முழுமையான அதிகபட்சம்
സമ്പൂർണ്ണ മിനിമം,முழுமையான குறைந்தபட்சம்
യഥാർത്ഥ മൂല്യം,துல்லியமான மதிப்பு
കേവല വേഗത,முழுமையான வேகம்
അമൂർത്ത ബീജഗണിതം,சுருக்க இயற்கணிதம்
അമൂർത്തമായ ഗ്രൂപ്പ് സിദ്ധാന്തം,சுருக்க குழு கோட்பாடு
ത്വരണം,முடுக்கம்
ഗുരുത്വാകർഷണം മൂലം ത്വരണം,புவியீர்ப்பு காரணமாக முடுக்கம்
സ്വീകാര്യമായ ചോയ്സ് സെറ്റ്,ஏற்றுக்கொள்ளக்கூடிய தேர்வு தொகுப்பு
സ്വീകാര്യമായ നിലവാരം,ஏற்றுக்கொள்ளக்கூடிய தர நிலை
സ്വീകാര്യമായ ശ്രേണി,ஏற்றுக்கொள்ளக்கூடிய வரம்பு
സ്വീകാര്യമായ വിശ്വാസ്യത നില,ஏற்றுக்கொள்ளக்கூடிய நம்பகத்தன்மை நிலை
സ്വീകാര്യമായ സാമ്പിൾ,ஏற்றுக்கொள்ளக்கூடிய மாதிரி
സഞ്ചിത പിശക്,திரட்டப்பட்ட பிழை
കൃത്യത,துல்லியம்
പ്രവർത്തന ശക്തി,செயல்படும் சக்தி
നടപടി,நடவடிக்கை
പ്രവർത്തനവും പ്രതികരണവും,செயல் மற்றும் எதிர்வினை
യഥാർത്ഥ ശാസ്ത്രം,உண்மையான அறிவியல்
നിശിത കോണുള്ള ത്രികോണം,கடுமையான கோண முக்கோணம்
അസൈക്ലിക്,அசைக்ளிக்
ചേർക്കുക,கூட்டு
ചേർക്കുന്നയാൾ,சேர்ப்பான்
കൂട്ടിച്ചേർക്കൽ,கூடுதலாக
കൂട്ടിച്ചേർക്കൽ സൂത്രവാക്യം,கூட்டல் சூத்திரம்
സങ്കീർണ്ണ സംഖ്യകളുടെ കൂട്ടിച്ചേർക്കൽ,சிக்கலான எண்களைச் சேர்த்தல்
പ്രവർത്തനങ്ങളുടെ കൂട്ടിച്ചേർക്കൽ,செயல்பாடுகளைச் சேர்த்தல்
മെട്രിക്സുകളുടെ കൂട്ടിച്ചേർക്കൽ,மெட்ரிக்குகள் சேர்த்தல்
ബഹുപദങ്ങളുടെ കൂട്ടിച്ചേർക്കൽ,பல்லுறுப்புக்கோவைகள் சேர்த்தல்
സാധ്യതകളുടെ കൂട്ടിച്ചേർക്കൽ,நிகழ்தகவுகளைச் சேர்த்தல்
വെക്റ്ററുകളുടെ കൂട്ടിച്ചേർക്കൽ,திசையன்கள் சேர்த்தல்
കൂട്ടിച്ചേർക്കൽ സിദ്ധാന്തം,கூட்டல் தேற்றம்
