English,Bengali
Abaxial surface,অ্যাব্যাক্সিয়াল পৃষ্ঠ
Abdomen,পেট
Abdominal aorta,পেটের মহাধমনী
Abdominal ganglia,পেটের গ্যাংলিয়া
Abelmoschus esculentus,আবেলমোসচাস এসকুলেন্টাস
Aberration,অবসন্নতা
Abies,Abies
Abingdon tortoise,অ্যাবিংডন কচ্ছপ
Abiogenesis,অ্যাবোজেনেসিস
Abiotic,অ্যাবায়োটিক
Abiotic factor,জীবক্রিয়া ফ্যাক্টর
Abnormal urine,অস্বাভাবিক প্রস্রাব
ABO blood group,আবো ব্লাড গ্রুপ
Abscisic acid,অ্যাবসিসিক অ্যাসিড
Abscission,অ্যাবসিশন
Absorb,শোষণ
Absorption peak,শোষণ শিখর
Absorption,শোষণ
Acacia catechu,বাবলা ক্যাটেকু
Acaria arabica,অ্যাকারিয়া আরবিকা
Acaprin,অ্যাকাপ্রিন
Acceptable sexual behaviour,গ্রহণযোগ্য যৌন আচরণ
Accessory gland,আনুষঙ্গিক গ্রন্থি
Accessory gland,আনুষঙ্গিক গ্রন্থি
Accessory organ,আনুষঙ্গিক অঙ্গ
Acclimatization,প্রশংসাপত্র
Acclimatize,প্রশংসিত
Accommodation (focusing),আবাসন (ফোকাসিং)
Accommodation of eye,চোখের থাকার ব্যবস্থা
Accretionary growth,স্বীকৃত বৃদ্ধি
Accumulation,জমা
Accumulation of organic matter,জৈব পদার্থ জমে
Accumulation of soil,মাটি জমে
Acellular,অ্যাসেলুলার
Acellular organism,অ্যাসেলুলার জীব
Acetabulum,অ্যাসিটাবুলাম
Acetaldehyde,অ্যাসিটালডিহাইড
Acetyl coenzyme,এসিটাইল কোএনজাইম
Achatina,আছাটিনা
Achene type,অ্যাকিন টাইপ
Achene,আচিন
Achlamydosporeae,Achlamydosporye
Acid rain,এসিড বৃষ্টি
Acidic,অ্যাসিডিক
Acidic gas,অ্যাসিডিক গ্যাস
Acidity,অম্লতা
Acinar cell,অ্যাকিনার সেল
Acoelomate,অ্যাকোলোমেট
Aconitum,অ্যাকোনিটাম
Acorn worm,অ্যাকর্ন কৃমি
Acoustic zoning,অ্যাকোস্টিক জোনিং
Acquired character,অর্জিত চরিত্র
Acquired immunity,অনাক্রম্যতা অর্জিত
Acquired immuno deficiency syndrome (AIDS),অর্জিত ইমিউনো ঘাটতি সিন্ড্রোম (এইডস)
Acrania,অ্যাক্রানিয়া
Acridine dye,অ্যাক্রিডিন ডাই
Acrocentric,অ্যাক্রোসেন্ট্রিক
Acromion,অ্যাক্রোমিয়ন
Acropetal sequence,অ্যাক্রোপেটাল সিকোয়েন্স
Acropetal order,অ্যাক্রোপেটাল অর্ডার
Acrosin,অ্যাক্রোসিন
Actin,অ্যাক্টিন
Actin-like protein,অ্যাক্টিনের মতো প্রোটিন
Actinomorphic,অ্যাক্টিনোমর্ফিক
Actinomycetes,অ্যাক্টিনোমাইসেটস
Action potential,কর্ম সম্ভাব্য
Activated sludge,সক্রিয় কর্দম
Activated sludge floc,সক্রিয় স্ল্যাজ ফ্লক
Activation energy,অ্যাক্টিভেশন শক্তি
Active absorption,সক্রিয় শোষণ
Active immunity,সক্রিয় অনাক্রম্যতা
Active radiation,সক্রিয় বিকিরণ
Active site,সক্রিয় সাইট
Activin,অ্যাক্টিভিন
Acuminate,একুমিনেট
Adamsia,অ্যাডামসিয়া
Adaptability,অভিযোজনযোগ্যতা
Adaptation,অভিযোজন
Adaptation to light regime,হালকা শাসনের সাথে অভিযোজন
Adaptation to water scarcity,জলের ঘাটতির সাথে অভিযোজন
Adaptive characteristics,অভিযোজিত বৈশিষ্ট্য
Adaptive immunity,অভিযোজিত অনাক্রম্যতা
Adaptive radiation,অভিযোজিত বিকিরণ
Adaptive trait,অভিযোজিত বৈশিষ্ট্য
Adaxial surface,অ্যাড্যাক্সিয়াল পৃষ্ঠ
Addictive disorder,আসক্তিজনিত ব্যাধি
Adenine,অ্যাডেনিন
Adenocorticotropin,অ্যাডেনোকোর্টিকোট্রপিন
Adenohypophysis,অ্যাডেনোহাইপোফাইসিস
Adenosin diphosphate,অ্যাডেনোসিন ডিফোসফেট
Adenosine deaminase,অ্যাডেনোসিন ডায়ামিনেজ
Adenosine monophosphate,অ্যাডেনোসিন মনোফসফেট
Adenosine triphosphate (ATP),অ্যাডেনোসিন ট্রাইফোসফেট (এটিপি)
Adenylate cyclase,অ্যাডিনলেট সাইক্লাস
Adhesive force,আঠালো শক্তি
Adipate,Adipate
Adipocyte (fat cell),অ্যাডিপোকাইট (ফ্যাট সেল)
Adipose tissue,মেদ কলা
Adnate,অ্যাডনেট
Adjoining community,সংলগ্ন সম্প্রদায়
Adrenal,অ্যাড্রিনাল
Adrenal gland,অ্যাড্রিনাল গ্রন্থি
Adrenocorticotropic hormone (ACTH),অ্যাড্রেনোকোর্টিকোট্রপিক হরমোন (এসিটিএইচ)
Adrenocorticotropic releasing hormone (ACTRH),অ্যাড্রেনোকোর্টিকোট্রপিক রিলিজিং হরমোন (ACTRH)
Adsorbent,Adsorbent
Adsorption,শোষণ
Advanced chordate,উন্নত কর্ডেট
Advantageous mutation,সুবিধাজনক মিউটেশন
Adventitial,অ্যাডভেন্টিয়াল
Adventitious root,অ্যাডভেনটিয়াস রুট
Adverse effect,বিরূপ প্রভাব
Aedes,এডেস
Aeration of culture,সংস্কৃতি বায়ুচালনা
Aerenchyma,এরিচাইমা
Aerial,এরিয়াল
Aerial root,বায়বীয় মূল
Aerial shoot,এরিয়াল শ্যুট
Aerobic respiration,বায়ুজীবী শ্বসন
Aerobic respiration,বায়ুজীবী শ্বসন
Aesthetics,নান্দনিকতা
Aestivation,এ্যাস্টিভেশন
Aestivation,এ্যাস্টিভেশন
Afferent,Afferent
Affinity chromatography,অ্যাফিনিটি ক্রোমাটোগ্রাফি
Afflicted organ,ক্ষতিগ্রস্থ অঙ্গ
Afforestation,Afforastation
Agamospermy,আগামোস্পার্মি
Agar,আগর
Agarose,আগারোজ
Agarose gel eletrophoresis,আগারোজ জেল এ্যালেট্রোফোরেসিস
Agarose polymer gel,আগারোজ পলিমার জেল
Agast,আগস্ট
Agave,আগাভা
Age distribution,বয়স বিতরণ
Age pyramid,বয়স পিরামিড
Agglutination,আগ্রাসন
Aggregate,সমষ্টি
Aggregate of follicle,ফলিকেলের সমষ্টি
Aggregate of follicle,ফলিকেলের সমষ্টি
Aggregation,সমষ্টি
Aggressiveness,আগ্রাসন
Agitator system,আন্দোলনকারী সিস্টেম
Agnatha,অগ্নিথা
Agouti,আগৌটি
Agranal chloroplast,অ্যাগ্রানাল ক্লোরোপ্লাস্ট
Agranular,অ্যাগ্রানুলার
Agranulocyte,অ্যাগ্রানুলোকাইট
Agriculture,কৃষি
Agroforestry,কৃষি
Agrobacterium mediated,অ্যাগ্রোব্যাক্টেরিয়াম মধ্যস্থতা
Agrobacterium tumefaciens,অ্যাগ্রোব্যাক্টেরিয়াম টিউফেসিয়েনস
Agrochemical,এগ্রোকেমিক্যাল
Agrochemical,এগ্রোকেমিক্যাল
Agroclimatic zone,অ্যাগ্রোক্লিম্যাটিক জোন
Agronomic trait,কৃষি বৈশিষ্ট্য
Agronomy,কৃষি
AIDS,এইডস
Air bladder,বায়ুকোষ
Air conditioner,এয়ার কন্ডিশনার
Air passage,বাতাস চলাচলের স্থান বা গলি
Air pollution,বায়ু দূষণ
Air sac,এয়ার স্যাক
Air vacuole,এয়ার ভ্যাকুওল
Air-breathing,বায়ু শ্বাস প্রশ্বাস
Alain,আলাইন
Alary muscle,অ্যালারি পেশী
Alaskan brown bear,আলাস্কান ব্রাউন বিয়ার
Albino,আলবিনো
Albugo,আলবুগো
Albumin,অ্যালবামিন
Albuminous seed,অ্যালবামিনাস বীজ
Albuminuria,অ্যালবামিনুরিয়া
Alburnum,অ্যালবার্নাম
Alcedae,আলসিডে
Aldehyede,আলডিহেড
Aldosterone system,অ্যালডোস্টেরন সিস্টেম
Aldosterone,অ্যালডোস্টেরন
Aleurone layer,আলেউরোন স্তর
Aleuroplast,আলেউরোপ্লাস্ট
Alfalfa,আলফালফা
Algal bloom,অ্যালগাল ব্লুম
Algin,অ্যালগিন
Alien DNA,এলিয়েন ডিএনএ
Alien species,এলিয়েন প্রজাতি
Alignment,প্রান্তিককরণ
Alignment,প্রান্তিককরণ
Alimentary canal,খাদ্যনালী
Alimentary system,অ্যালিমেন্টারি সিস্টেম
Alismaceace,আলিসম্যাসেস
Alkaloid,ক্ষারীয়
Alkaline,ক্ষারীয়
Alkaptonuria,অ্যালকাপ্টোনুরিয়া
Allantois,অ্যালান্টোইস
Allele frequency,অ্যালিল ফ্রিকোয়েন্সি
Allele,অ্যালিল
Allelomorphic pair,Allelomorphic জুটি
Allergen,অ্যালার্জেন
Alligator,অলিগেটর
Allium cepa,অ্যালিয়াম সিইপিএ
Allogamy,অ্যালোগ্যামি
Allograft,অলোগ্রাফ্ট
Allopatric speciation,অ্যালোপ্যাট্রিক স্পেসিফিকেশন
Allopolyploid,অ্যালোপলিপ্লয়েড
Allosteric effect,অ্যালোস্টেরিক প্রভাব
Allosteric enzyme,অ্যালোস্টেরিক এনজাইম
Allosteric inhibitor,অ্যালোস্টেরিক ইনহিবিটার
Allosteric modulation,অ্যালোস্টেরিক মড্যুলেশন
Allosteric site,অ্যালোস্টেরিক সাইট
Allosteric inhibition,অ্যালোস্টেরিক বাধা
Allotetraploid,Allotetraploid
Alnus,অ্যালাস
Aloe,অ্যালো
Along the axon,অ্যাক্সন বরাবর
Alpha-antitrypsin,আলফা-অ্যান্টিট্রিপসিন
Alpha-lactalbumin,আলফা-ল্যাকটালবুমিন
Alpine climate condition,আলপাইন জলবায়ু অবস্থা
Alpine meadow,আল্পাইন মেডো
Alpine zone,আলপাইন জোন
Alstonia,অ্যালস্টোনিয়া
Alternaria,বিকল্প
Alternate,বিকল্প
Alternation of generation,প্রজন্মের বিকল্প
Altitude sickness,উচ্চতায় অসুস্থতা
Altitude,উচ্চতা
Alveolar duct,অ্যালভোলার নালী
Alytes,অ্যালাইটেস
Alzheimer's disease,আলঝেইমার রোগ
Amacrine cell,আমাক্রাইন সেল
Amaranthaceae,অমরান্থেসি
Amaranthus,অমরান্থাস
Ambient osmotic concentration,পরিবেষ্টিত ওসমোটিক ঘনত্ব
Ambystoma,অ্যাম্বিস্টোমা
Amide,অ্যামাইড
Amino acid,অ্যামিনো অ্যাসিড
Amino acid acceptor,অ্যামিনো অ্যাসিড গ্রহণকারী
Aminoacyl t RNA synthetase,অ্যামিনোসিল টি আরএনএ সিনথেটিজ
Aminoacylation,অ্যামিনোসিলেশন
Amitosis,অ্যামিটোসিস
Ammonia,অ্যামোনিয়া
Ammonification,অ্যামোনিফিকেশন
Ammonotelism,অ্যামোনোটেলিজম
Amniocentesis,অ্যামনিওসেন্টেসিস
Amniocentesis technique,অ্যামনিওসেন্টেসিস কৌশল
Amniocyte,অ্যামনিওসাইট
Amnion,অ্যামনিয়ন
Amniotic fluid,অ্যামনিয়োটিক তরল
Amniotic membrane,অ্যামনিয়োটিক ঝিল্লি
Amniotic sac,Amniotic কোষ
Amoeba,অ্যামিবা
Amoebocyte,অ্যামিবোসাইট
Amoeboid,অ্যামোবয়েড
Amoeboid lymphocyte,অ্যামোবয়েড লিম্ফোসাইট
Amoeboid movement,অ্যামোবয়েড আন্দোলন
Amorphous,নিরাকার
Amount,পরিমাণ
Amphetamine,অ্যাম্ফিটামিন
Amphibia,উভচর
Amphibian,উভচর
Amphibian,উভচর
Amphioxus,অ্যাম্ফিওক্সাস
Amphioxus lanceolatus,অ্যাম্ফিওক্সাস ল্যানসোল্যাটাস
Amphipathic,অ্যাম্পিপ্যাথিক
Amphipathic lipid,অ্যাম্পিপ্যাথিক লিপিড
Amphisarca,অ্যাম্ফিসারকা
Ampicillin,অ্যাম্পিসিলিন
Ampulla,আম্পুল্লা
Ampullary gland,অ্যাম্পুলারি গ্রন্থি
Amygdal,অ্যামিগডাল
Amygdale,অ্যামিগডেল
Amygdalin,অ্যামিগডালিন
Amylase,অ্যামাইলেস
Amyloplast,অ্যামাইলোপ্লাস্ট
Anabaena,আনাবেনা
Anabas,আনাবাস
Anabolic pathways,অ্যানাবোলিক পথ
Anabolism,অ্যানাবোলিজম
Anacardiaceae,Anacardiaceae
Anaemia,রক্তাল্পতা
Anaerobe,অ্যানেরোব
Anaerobic fuel,অ্যানেরোবিক জ্বালানী
Anaerobic respiration,অ্যানেরোবিক শ্বাস প্রশ্বাস
