Punjabi,Bengali
ਪਰੇਸ਼ਾਨੀ,অবসান
ਸੰਖੇਪ,সংক্ষেপণ
ਅਗਵਾ,অপহরণ
ਧਾਰਨਾ,অবসান
ਯੋਗਤਾ,ক্ষমতা
ਏਬੀ ਦੀ ਸ਼ੁਰੂਆਤ,অ্যাব initio
ਯੋਗ,সক্ষম
ਅਸਧਾਰਨ,অস্বাভাবিক
ਖਤਮ,বিলুপ্তি
ਅਬੋਲੋਜੀਫ ਪੋਸਟ,বিলোপ পোস্ট
ਉੱਪਰ ਦੱਸਿਆ ਗਿਆ,উপর্যুক্ত
ਉੱਪਰ ਹਵਾਲਾ ਦਿੱਤਾ,উপরে উদ্ধৃত
ਉਪਰੋਕਤ ਕਿਹਾ,উপরে বলেছেন
ਗੈਰਹਾਜ਼ਰੀ,অনুপস্থিতি
ਗੈਰਹਾਜ਼ਰ,অনুপস্থিত
ਗੈਰਹਾਜ਼ਰ,অনুপস্থিতি
ਗੈਰਹਾਜ਼ਰ ਬਿਆਨ,অনুপস্থিত বিবৃতি
ਅਸੀਮ,পরম
ਪੂਰੀ ਏਕਾਅਧਿਕਾਰ,পরম একচেটিয়া
ਸੰਪੂਰਨ ਮਾਲਕੀ,পরম মালিকানা
ਸਮਾਈ,শোষণ
ਸਾਰ,বিমূর্ত
ਸੰਖੇਪ,অ্যাবস্ট্রাক্টস্টেটমেন্ট
ਬੇਹੂਦਾ,অযৌক্তিক
ਬਹੁਤਾਤ,প্রাচুর্য
ਸ਼ਕਤੀ ਦੀ ਦੁਰਵਰਤੋਂ,ক্ষমতার অপব্যবহার
ਗਾਲਾਂ ਕੱ .ਣ ਵਾਲੀ ਭਾਸ਼ਾ,অবমাননাকর ভাষা
ਅਕਾਦਮਿਕ,একাডেমিক
ਅਕਾਦਮਿਕ ਵਿਚਾਰ ਵਟਾਂਦਰੇ,একাডেমিক আলোচনা
ਅਕਾਦਮਿਕ ਛੁੱਟੀ,একাডেমিক ছুটি
ਅਕਾਦਮਿਕ ਯੋਗਤਾ,শিক্ষাগত যোগ্যতা
ਅਕਾਦਮਿਕ ਰਿਕਾਰਡ,একাডেমিক রেকর্ড
ਐੱਸ,প্রশংসা
ਸਵੀਕਾਰ ਕਰੋ,গ্রহণ
ਮਨਜ਼ੂਰ,গ্রহণযোগ্যতা
ਦਫਤਰ ਦੀ ਪ੍ਰਵਾਨਗੀ,অফিস গ্রহণ
ਟੈਂਡਰ ਦੀ ਪ੍ਰਵਾਨਗੀ,দরপত্র গ্রহণ
ਪਹੁੰਚ,অ্যাক্সেস
