Malayalam,Marathi
അബെലിയൻ ഗ്രൂപ്പ്,अबेलियन गट
അബെലിയൻ സെമിഗ്രൂപ്പ്,अबेलियन अर्धसमूह
abscissa,abscissa
കേവല,निरपेक्ष
കേവലമായ ഒത്തുചേരൽ,परिपूर्ण अभिसरण
സമ്പൂർണ്ണ പിശക്,पूर्ण त्रुटी
കേവല പരമാവധി,परिपूर्ण कमाल
സമ്പൂർണ്ണ മിനിമം,परिपूर्ण किमान
യഥാർത്ഥ മൂല്യം,परिपूर्ण मूल्य
കേവല വേഗത,परिपूर्ण वेग
അമൂർത്ത ബീജഗണിതം,अमूर्त बीजगणित
അമൂർത്തമായ ഗ്രൂപ്പ് സിദ്ധാന്തം,अमूर्त गट सिद्धांत
ത്വരണം,प्रवेग
ഗുരുത്വാകർഷണം മൂലം ത്വരണം,गुरुत्वाकर्षणामुळे प्रवेग
സ്വീകാര്യമായ ചോയ്സ് സെറ്റ്,स्वीकार्य निवड संच
സ്വീകാര്യമായ നിലവാരം,स्वीकार्य गुणवत्ता पातळी
സ്വീകാര്യമായ ശ്രേണി,स्वीकार्य श्रेणी
സ്വീകാര്യമായ വിശ്വാസ്യത നില,स्वीकार्य विश्वसनीयता पातळी
സ്വീകാര്യമായ സാമ്പിൾ,स्वीकार्य नमुना
സഞ്ചിത പിശക്,संचित त्रुटी
കൃത്യത,अचूकता
പ്രവർത്തന ശക്തി,अभिनय शक्ती
നടപടി,क्रिया
പ്രവർത്തനവും പ്രതികരണവും,क्रिया आणि प्रतिक्रिया
യഥാർത്ഥ ശാസ്ത്രം,वास्तविक विज्ञान
നിശിത കോണുള്ള ത്രികോണം,तीव्र कोन त्रिकोण
അസൈക്ലിക്,अॅसायक्लिक
ചേർക്കുക,जोडा
ചേർക്കുന്നയാൾ,जोडणारा
കൂട്ടിച്ചേർക്കൽ,या व्यतिरिक्त
കൂട്ടിച്ചേർക്കൽ സൂത്രവാക്യം,जोड सूत्र
സങ്കീർണ്ണ സംഖ്യകളുടെ കൂട്ടിച്ചേർക്കൽ,जटिल संख्यांची बेरीज
പ്രവർത്തനങ്ങളുടെ കൂട്ടിച്ചേർക്കൽ,कार्ये जोडणे
മെട്രിക്സുകളുടെ കൂട്ടിച്ചേർക്കൽ,मॅट्रिक्स जोडणे
ബഹുപദങ്ങളുടെ കൂട്ടിച്ചേർക്കൽ,बहुपदी जोडणे
സാധ്യതകളുടെ കൂട്ടിച്ചേർക്കൽ,संभाव्यता जोडणे
വെക്റ്ററുകളുടെ കൂട്ടിച്ചേർക്കൽ,वेक्टर जोडणे
കൂട്ടിച്ചേർക്കൽ സിദ്ധാന്തം,अतिरिक्त प्रमेय
സങ്കലന ഗ്രൂപ്പ്,मिश्रित गट
വിപരീത വിപരീതം,additive inverse
അഡിറ്റീവ് പ്രോപ്പർട്ടി,अतिरिक्त गुणधर्म
അഡിറ്റിവിറ്റി,जोड
തൊട്ടടുത്തുള്ള മാട്രിക്സ്,संलग्नता मॅट्रिक्स
തൊട്ടടുത്തുള്ള,समीप
അടുത്തുള്ള കോണുകൾ,समीप कोन
തൊട്ടടുത്തുള്ള ശീർഷകം,समीप शिरोबिंदू
ചേരുക,संलग्न
തൊട്ടടുത്തുള്ള,शेजारील
അനുബന്ധ ഡിറ്റർമിനന്റ്,संलग्न निर्धारक
അനുബന്ധ ഡിഫറൻഷ്യൽ സമവാക്യം,संलग्न विभेदक समीकरण
അനുബന്ധ സമവാക്യം,संलग्न समीकरण
അനുബന്ധ മാട്രിക്സ്,संलग्न मॅट्रिक्स
മാട്രിക്സിന്റെ അനുബന്ധം,मॅट्रिक्सचा संलग्न
