Tamil,Odiya
வெஸ்ட்மின்ஸ்டர் அபே,ୱେଷ୍ଟମିନିଷ୍ଟରର ଆବି |
துறவு,ଅବକ୍ଷୟ
அடிமைத்தனத்தை ஒழித்தல்,ଦାସତ୍ୱ ରଦ୍ଦ
பழங்குடியினர்,ଆଦିବାସୀ
ஆபிரகாம் சகாப்தம்,ଅବ୍ରହାମ ଏରା
இல்லாத நில உரிமையாளர்கள்,ଅନୁପସ୍ଥିତ ଜମିଦାରମାନେ |
கலைக்கூடம்,ଏକାଡେମୀ |
அக்ரா மாநாடு,ଆକ୍ରା ସମ୍ମିଳନୀ |
திரட்டல்கள்,ଆକ୍ରୁଏଲ୍ |
வளர்ப்பு,ଆକଲଚ୍ୟୁଚର୍
அசெல்டாமா,ଆକେଲଡାମା |
அச்சேயன் (=ஆச்சியன்),ଆଖିଆନ୍ (= ଆଚିଆନ୍)
அச்சேயன் லீக் (=ஆச்சியன் லீக்),ଆଚିଆନ୍ ଲିଗ୍ (= ଆଚିଆନ୍ ଲିଗ୍)
அக்ரோபோலிஸ்,ଆକ୍ରୋପଲିସ୍ |
ஆக்டா டைர்னா,ଆକ୍ଟା ଡିଆର୍ନା |
ஆக்டா செனடஸ்,ଆକ୍ଟା ସେନାଟସ୍ |
Acte Additionel,ଆକ୍ଟ ଆଡେଲ୍ |
செயலில் உள்ள பதிவு (=தற்போதைய பதிவு),ସକ୍ରିୟ ରେକର୍ଡ (= ସାମ୍ପ୍ରତିକ ରେକର୍ଡ)
அடையும் செயல்,ଆଟେଣ୍ଡର୍ ଆକ୍ଟ |
இழப்பீடு மற்றும் மறதியின் செயல்,କ୍ଷତିପୂରଣ ଏବଂ ବିସ୍ମୟର ନିୟମ |
தீர்வு சட்டம்,ସମାଧାନ ନିୟମ
விளம்பர ஒப்பந்த முத்திரை,ବିଜ୍ଞାପନ ଚୁକ୍ତି ସିଲ୍ |
அதுலமைட்டுகள்,ଆଡୁଲାମାଇଟ୍ସ |
எதிரி,ଶତ୍ରୁ
எதிரி,ଶତ୍ରୁ
ஏயோன்,ଆଓନ୍
ஏரேரியம்,ଏରାରିୟମ୍ |
வான்வழிப் போர்,ବାୟୁ ଯୁଦ୍ଧ |
ஏட்டோலியன் லீக்,ଆଟୋଲିଆନ୍ ଲିଗ୍ |
வயது,ବୟସ
முதுமை (=வயதான),ବାର୍ଦ୍ଧକ୍ୟ (= ବାର୍ଦ୍ଧକ୍ୟ)
வயதான செயல்முறை,ବାର୍ଦ୍ଧକ୍ୟ ପ୍ରକ୍ରିୟା |
அகெலாய்,ଆଗେଲାଇ |
வீரத்தின் வயது,Ival ିଭାଲିର ବୟସ |
அறிவாற்றல் வயது,ଜ୍ଞାନର ବୟସ |
பெரிக்கிள்ஸ் வயது,ପେରିକଲ୍ସର ବୟସ |
பகுத்தறிவு வயது,କାରଣର ବୟସ |
விவசாயம்,କୃଷିବାଦ
விவசாய இயக்கம்,କୃଷି ଆନ୍ଦୋଳନ |
அல்பியன்,ଆଲବିଅନ୍ |
ஆல்பம்,ଆଲବମ୍
ஆல்டர்மேன்,ଆଲଡରମ୍ୟାନ୍ |
கவர்ச்சியான ஆயுதங்கள்,ଭ୍ରାନ୍ତ ବାହୁ |
அமிட்டி,ବନ୍ଧୁତା
ஆம்ஃபிக்டியோனிக் கவுன்சில்,ଆମ୍ଫିକ୍ଟୋନିକ୍ ପରିଷଦ |
ஆம்ஃபிக்டியோனிக் லீக்,ଆମ୍ଫିକ୍ଟୋନିକ୍ ଲିଗ୍ |
ஆம்பிதியேட்டர்,ଆମ୍ଫିଥେଟର
அம்ரி நல் குழு (மட்பாண்டங்கள்),ଅମ୍ରି ନାଲ୍ ଗୋଷ୍ଠୀ (କୁମ୍ଭାରର)
அனாக்ரோனிசம்,ଆନାକ୍ରୋନିଜିମ୍ |
காலமற்ற,ଆନାକ୍ରୋନିଷ୍ଟିକ୍ |
மூதாதையர்,ପୂର୍ବପୁରୁଷ
முன்னோர் வழிபாடு,ପୂର୍ବପୁରୁଷ ପୂଜା |
பரம்பரை,ପିତୃପୁରୁଷ
பரம்பரை,ପିତୃପୁରୁଷ
பரம்பரை,ପିତୃପୁରୁଷ
பரம்பரை,ପିତୃପୁରୁଷ
பண்டைய ஆட்சி,ପ୍ରାଚୀନ ଶାସନ
பண்டைய,ପ୍ରାଚୀନ
பழங்கால பாலாட்,ପ୍ରାଚୀନ ବାଲାଡ୍ |
பண்டைய நம்பிக்கை,ପ୍ରାଚୀନ ବିଶ୍ୱାସ
பண்டைய வழக்கம்,ପ୍ରାଚୀନ ପ୍ରଥା
பண்டைய வரலாறு,ପ୍ରାଚୀନ ଇତିହାସ
பழங்கால நினைவுச்சின்னங்கள்,ପ୍ରାଚୀନ ସ୍ମାରକୀ
