Hindi,Marathi
अपाक्ष पृष्ठ,अ‍ॅबॅक्सियल पृष्ठभाग
उदर,ओटीपोट
उदर महाधमनी,ओटीपोटात महाधमनी
उदर गुच्छिका,ओटीपोटात गॅंग्लिया
अबेलमॉस्कस एस्कुलेन्टस,एबेलमोशस एस्क्युल्टस
विपथन,विकृती
ऐबीज (बलूत),अबीज
ऐबिंग्डन कछुआ,अबिंगडॉन कासव
अजीवात्जनन,अ‍ॅबिओजेनेसिस
अजीवीय,अ‍ॅबिओटिक
"अजीवीय कारक, अजैव कारक",अ‍ॅबिओटिक फॅक्टर
अपसामानय मूत्र,असामान्य मूत्र
ए.बी.ओ. रुधिर वर्ग,अबो ब्लड ग्रुप
एब्सिसिक अम्ल,अ‍ॅबसिसिक acid सिड
विलगन,फलंदाजी
अवशोषण करना,शोषून घ्या
अवशोषण शिखर,शोषण शिखर
अवशोषण,शोषण
अकेशिया कैटेच्यू,बाभूळ कॅटेचू
अकेशिया अरेबिका (बबूल),अकारिया अरबीका
ऐकैप्रिन,अकाप्रिन
स्वीकार्य लैंगिक व्यवहार,स्वीकार्य लैंगिक वर्तन
सहायक ग्रंथि,Ory क्सेसरी ग्रंथी
अतिरिक्त ग्रंथि,Ory क्सेसरी ग्रंथी
सहायक अंग,Ory क्सेसरीसाठी अवयव
"पर्यनुकूलन, दशानुकूलन",सहनशीलता
"पर्यनुकूलित करना, दशानुकूलित करना",अनुकूलित करा
समंजन (फोकसन),निवास (लक्ष केंद्रित करणे)
नेत्र की समंजन क्षमता,डोळ्याची निवासस्थान
अभिवर्धी वृद्धि,संवर्धन वाढ
"संचय, संचयन",संचय
कार्बनिक पदार्थों का एकत्रीकरण,सेंद्रिय पदार्थाचे संचय
मृदा संचयन,मातीचे संचय
अकोशिकीय,सेल्युलर
अकोशिकीय जीव,एसेल्युलर जीव
"श्रोणिउलूखल, ऐसीटैबुलम",एसीटाबुलम
ऐसीटेल्डिहाइड,एसीटाल्डिहाइड
ऐसीटिल सह-ऐंजाइम,एसिटिल कोएन्झाइम
ऐकेटाइना,अकॅटिना
ऐकीन प्रकार,अचेने प्रकार
ऐकीन,अचेने
ऐक्लेमाइडोस्पोरी,अक्लमिडोस्पोरिया
अम्ल वर्षा,आम्ल वर्षा
अम्लीय,अम्लीय
अम्लीय गैस,अम्लीय वायू
अम्लता,आंबटपणा
गुच्छकोष्ठक कोशिका,एसीनार सेल
अगुहिक,एकोलोमेट
ऐकोनिटम,On कोनिटम
"एकॉर्न कृमि, बंजुक कृमि",अ‍ॅकॉर्न वर्म
"ध्वानिक मंडलन, ध्वानिक जोननिर्माण",ध्वनिक झोनिंग
उपार्जित लक्षण,अधिग्रहित वर्ण
उपार्जित प्रतिरक्षा,वसूल केलेली प्रतिकारशक्ती
उपार्जित प्रतिरक्षा न्यूनता संलक्षण (एड्स),अधिग्रहित इम्युनो कमतरता सिंड्रोम (एड्स)
ऐक्रैनिया,एकरानिया
एक्रिडीन रंजक,Rid सिडिन डाई
अग्रकेंद्री,अ‍ॅक्रोसेन्ट्रिक
अंसकूट,अ‍ॅक्रोमियन
अग्राभिसारी अनुक्रम,अ‍ॅक्रोपेटल सीक्वेन्स
अग्राभिसारी क्रम,अ‍ॅक्रोपेटल ऑर्डर
एक्रोसिन,अ‍ॅक्रोसिन
ऐक्टिन,अ‍ॅक्टिन
ऐक्टिन-सम प्रोटीन,अ‍ॅक्टिन-सारखी प्रथिने
त्रिज्यासममित,अ‍ॅक्टिनोमॉर्फिक
एक्टिनोमाइसिटीज,अ‍ॅक्टिनोमाइसेट्स
क्रिया विभव,कृती संभाव्यता
सक्रियित आपंक,सक्रिय गाळ
सक्रियित आपंक फ्लॉक,सक्रिय गाळ फ्लॉक
सक्रियण ऊर्जा,सक्रियता ऊर्जा
सक्रिय अवशोषण,सक्रिय शोषण
सक्रिय प्रतिरक्षा,सक्रिय प्रतिकारशक्ती
सक्रिय विकिरण,सक्रिय रेडिएशन
सक्रिय स्थल,सक्रिय साइट
ऐक्टिविन,अ‍ॅक्टिव्हिन
लंबाग्र,Umicate
ऐडैम्सिया,अ‍ॅडम्सिया
अनुकूलनशीलता,अनुकूलता
अनुकूलन,रुपांतर
प्रकाश प्रवृत्ति के प्रति अनुकूलन,हलकी व्यवस्थेशी जुळवून घेणे
जलाभाव के प्रति अनुकूलन,पाण्याची कमतरता रुपांतर
अनुकूली (अभि) लक्षण,अनुकूली वैशिष्ट्ये
अनुकूली प्रतिरक्षा,अनुकूली प्रतिकारशक्ती
अनुकूली विकिरण,अनुकूली रेडिएशन
अनुकूली विशेषक,अनुकूली गुण
अभ्यक्ष पृष्ठ,अ‍ॅडॅक्सियल पृष्ठभाग
व्यसनी विकार,व्यसनाधीन डिसऑर्डर
ऐडेनीन,En डेनिन
ऐडिनोकॉर्टिकोट्रॉपिन,En डेनोकोर्टिकोट्रोपिन
ऐडेनोहाइपोफाइसिस,En डेनोहायपोफिसिस
ऐडेनोसिन डाइफास्फेट,En डेनोसिन डायफॉस्फेट
ऐडेनोसिन डीएमीनेज,En डेनोसिन डिमिनेस
ऐडेनोसिन मोनोफॉस्फेट,En डेनोसाइन मोनोफॉस्फेट
ऐडेनोसिन ट्राइफॉस्फेट,En डेनोसाइन ट्रायफॉस्फेट (एटीपी)
एडेनिलेट साइक्लेज,En डेनिलेट सायक्लेज
आसंजी बल,चिकट शक्ती
ऐडिपेट,अ‍ॅडिपेट
वसाणु (वसा कोशिका),अ‍ॅडिपोसाइट (चरबी सेल)
वसा ऊतक,अ‍ॅडिपोज टिशू
संलग्न,Nednate
संलग्न समुदाय,लगतचा समुदाय
अधिवृक्क,Ren ड्रेनल
अधिवृक्क ग्रंथि,Ren ड्रेनल ग्रंथी
एड्रिनोकॉर्टिकोट्रॉपिक हॉर्मोन,एड्रेनोकोर्टिकोट्रॉपिक हार्मोन (एसीटीएच)
एड्रिनोकॉर्टिकोट्रॉपिक निर्मोचक हार्मोन,Ren ड्रेनोकोर्टिकोट्रॉपिक रिलीझिंग हार्मोन (एसीटीआरएच)
अधिशोषक,Or सॉर्बेंट
अधिशोषण,शोषण
उन्नत कशेरुकी,प्रगत Chordate
लाभकारी उत्परिवर्तन,फायदेशीर उत्परिवर्तन
बाह्य कंचुक,अ‍ॅडव्हेंटिशियल
अपस्थानिक जड़,साहसी मूळ
प्रतिकूल प्रभाव,प्रतिकूल परिणाम
ईडीज,एडीज
संवर्ध-वातन,संस्कृतीचे वायुवीजन
वायूतक,एरेन्चायमा
"वायव (वि.), एरियल (सं.)",हवाई
वायव जड़,एरियल रूट
वायव प्ररोह,एरियल शूट
वायु श्वसन,एरोबिक श्वसन
ऑक्सी श्वसन,एरोबिक श्वसन
सौंदर्यबोध,सौंदर्यशास्त्र
पुष्पदल विन्यास,एस्टिवेशन
ग्रीष्मनिष्क्रियता,एस्टिवेशन
अभिवाही,Efferent
बंधुता वर्णलेखन,आत्मीयता क्रोमॅटोग्राफी
ग्रसित अंग,पीडित अवयव
वनरोपण,वनीकरण
अनिषेकबीजता,अ‍ॅगामोस्पर्मी
ऐगार,अगर
ऐगेरोस,आगरोस
ऐगेरोस जेल वैद्युतकण संचलन,अगरोस जेल इलेट्रोफोरेसीस
एगेरोस बहुलक जेल,अ‍ॅगारोज पॉलिमर जेल
एगास्ट,Agast
अगेव,अ‍ॅगेव्ह
आयु अनुसार वितरण,वय वितरण
आयु पिरैमिड,वय पिरॅमिड
आश्लेषण,एकत्रित
पुंज,एकूण
पुटक पुंज,कूपांचे एकूण
पुटक समुच्चय,कूपांचे एकूण
"समुच्चय, समुच्चयन",एकत्रिकरण
आक्रामकता,आक्रमकता
प्रक्षोभक तंत्र,आंदोलन प्रणाली
ऐग्नेथा,अग्नथ
