Telugu,Punjabi
అబాక్సియల్ ఉపరితలం,ਐਬੈਕਸਿਅਲ ਸਤਹ
ఉదరం,ਪੇਟ
ఉదర బృహద్ధమని,ਪੇਟ AORTA
ఉదర గాంగ్లియా,ਪੇਟ ਗੰਗਾਲੀਆ
అబెల్మోస్చస్ ఎస్కులెంటస్,ਅਬੈਲਮੋਸਚਸ ਐਸਕੂਲਟਸ
అబెర్రేషన్,ਅਸਧਾਰਨ
అబీస్,ਅੱਛਾ
అబింగ్డన్ తాబేలు,ਅਬਿੰਗਡਨ ਕਛੂਆ
అబియోజెనిసిస్,ਅਬੀਓਜੀਨੇਸਿਸ
అబియోటిక్,ਅਬੀਓਟਿਕ
అబియోటిక్ కారకం,ਅਬੀਓਟਿਕ ਕਾਰਕ
అసాధారణ మూత్రం,ਅਸਧਾਰਨ ਪਿਸ਼ਾਬ
అబో బ్లడ్ గ్రూప్,ਅਬੋ ਬਲੱਡ ਗਰੁੱਪ
అబ్సిసిక్ ఆమ్లం,Abscisic ਐਸਿਡ
అబ్సిసిషన్,ਵਿਵੇਕ
గ్రహించండి,ਸੋਖਣਾ
శోషణ శిఖరం,ਸਮਾਈ ਪੀਕ
శోషణ,ਸਮਾਈ
అకాసియా కాటెచు,ਅੱਕੀਆ ਕੈਟੂਯੂ
అకారియా అరబికా,ਅਕਾਰੀਆ ਅਰਬੀ
అకాప్రిన్,ਐਕਾਪ੍ਰਿਨ
ఆమోదయోగ్యమైన లైంగిక ప్రవర్తన,ਮੰਨਣਯੋਗ ਜਿਨਸੀ ਵਿਵਹਾਰ
అనుబంధ గ్రంథి,ਐਕਸੈਸਰੀ ਗਲੈਂਡ
అనుబంధ గ్రంథి,ਐਕਸੈਸਰੀ ਗਲੈਂਡ
అనుబంధ అవయవం,ਸਹਾਇਕ ਅੰਗ
అలవాటు,ਅਨੁਕੂਲਤਾ
అలవాటు,ਅਹਿਮ
వసతి,ਰਿਹਾਇਸ਼ (ਫੋਕਸ ਕਰਨਾ)
కంటి వసతి,ਅੱਖ ਦੀ ਰਿਹਾਇਸ਼
అక్రెషన్ పెరుగుదల,ਅਦਭੁਤ ਵਾਧਾ
చేరడం,ਇਕੱਠਾ
సేంద్రీయ పదార్థాలు చేరడం,ਜੈਵਿਕ ਪਦਾਰਥ ਦਾ ਇਕੱਠਾ ਹੋਣਾ
నేల చేరడం,ਮਿੱਟੀ ਦਾ ਇਕੱਠਾ ਹੋਣਾ
ఎసిల్యులర్,ਐਸੀਲੂਲਰ
ఎసెల్యులర్ జీవి,ਐਸੀਲੂਲਰ ਜੀਵ
ఎసిటాబులం,ਐਸੀਟੌਮੂਲਮ
ఎసిటాల్డిహైడ్,ਐਸੀਟਲਾਈਡਾਈਡ
ఎసిటైల్ కోఎంజైమ్,ਐਸੀਟੇਲ ਰੀਜ਼ਨ
అచతినా,ਅਮੀਥਿਨਾ
అచెనే రకం,ਅੱਕੇ
అచెన్,ਅਕੇਸ਼ੀ
అచ్లామిడోస్పోరే,AchlamyDosporeae
ఆమ్ల వర్షము,ਐਸਿਡ ਬਾਰਸ਼
ఆమ్ల,ਤੇਜਾਬ
ఆమ్ల వాయువు,ਤੇਜ਼ਾਬ ਗੈਸ
ఆమ్లత్వం,ਐਸਿਡਿਟੀ
అసినార్ సెల్,ਐਕਸੀਨਰ ਸੈੱਲ
Acoelomate,ਆਕੋਲੀਓਮੈਟ
అకోనిటమ్,ਐਕੋਨਿਟਮ
ఎకార్న్ పురుగు,ਐਕੋਰਨ ਕੀੜਾ
ఎకౌస్టిక్ జోనింగ్,ਧੁਨੀ ਜ਼ੋਨਿੰਗ
సంపాదించిన పాత్ర,ਪਾਤਰ ਪਾਤਰ
రోగనిరోధక శక్తిని సంపాదించింది,ਸੀਮਤ ਸੀਮਤ
ఇమ్యునో లోపం (AIDS),ਐਕੁਆਇਰਡ ਇਮੂਨੋ ਦੀ ਘਾਟ ਸਿੰਡਰੋਮ (ਏਡਜ਼)
అక్రినియా,ਅਰੇਂੀਆ
యాక్రిడిన్ డై,ਐਸੀਰੇਸਾਈਨ ਡਾਇ
అక్రోసెంట్రిక్,ਐਕਰੋਸੀਐਸਟ੍ਰਿਕ
అక్రోమియన్,ਐਕਰੋਮਰ
అక్రోపెటల్ సీక్వెన్స్,ਅਸ਼ੋਕਲ ਤਰਤੀਬ
అక్రోపెటల్ ఆర్డర్,ਐਕਰੋਪੇਟਲ ਆਰਡਰ
అక్రోసిన్,ਐਕਰੋਸਿਨ
ఆక్టిన్,ਐਕਟਿਨ
ఆక్టిన్ లాంటి ప్రోటీన్,ਐਕਟਿਨ ਵਰਗੇ ਪ੍ਰੋਟੀਨ
ఆక్టినోమోర్ఫిక్,ਐਕਟਿਨੀਮੋਰਿਕ
ఆక్టినోమైసెట్స్,ਐਕਟਿਨੋਮਾਈਸਾਈਟਸ
చర్య సామర్థ్యం,ਕਾਰਵਾਈ ਸੰਭਾਵਨਾ
సక్రియం చేయబడిన బురద,ਸਰਗਰਮ ਸਲੱਜ
సక్రియం చేయబడిన బురద ఫ్లోక్,ਸਰਗਰਮ ਸਲੈਮ ਫਾਸਟ
యాక్టివేషన్ ఎనర్జీ,ਐਕਟੀਵੇਸ਼ਨ Energy ਰਜਾ
క్రియాశీల శోషణ,ਐਕਟਿਵ ਸਮਾਈ
క్రియాశీల రోగనిరోధక శక్తి,ਕਿਰਿਆਸ਼ੀਲ ਛੋਟ
క్రియాశీల రేడియేషన్,ਸਰਗਰਮ ਰੇਡੀਏਸ਼ਨ
క్రియాశీల సైట్,ਐਕਟਿਵ ਸਾਈਟ
