English,Marathi
Acidoid,ऍसिडॉइड
Aeolian soil,एओलियन माती
Aggregate,एकूण
Aggregation,एकत्रीकरण
Agrology,कृषीशास्त्र
Agronomy,कृषीशास्त्र
A-horizon,A-क्षितिज
Ao-horizon ,Ao-क्षितिज
Aoo-horizon,Aoo-क्षितिज
Air capacity of soil,मातीची हवेची क्षमता
Air content of soil,मातीतील हवेचे प्रमाण
Air picnometer,एअर पिकनोमीटर
Allitic soil,ऍलिटिक माती
Alluvial soil,गाळाची माती
Ampholytoid,अॅम्फोलायटॉइड
Anion,आयन
"Apparent specific gravity volume weight or bulk specific gravity,""","स्पष्ट विशिष्ट गुरुत्व खंड वजन किंवा मोठ्या प्रमाणात विशिष्ट गुरुत्व,&quot;"
Arris,ऍरिस
Ashlar fine masonry,Ashlar दंड दगडी बांधकाम
Ashlar masonry,Ashlar दगडी बांधकाम
Azonal soil,अझोनल माती
Back acter ,मागचा अभिनेता
Back arch,मागची कमान
Back band,बॅक बँड
Back brush,मागे ब्रश
Back check,परत तपासणी
Back counter,मागे काउंटर
Back cutting,परत कटिंग
Back draft damper,बॅक ड्राफ्ट डँपर
Back drain,मागे निचरा
Back drop,बॅक ड्रॉप
Back fill,परत भरा
Back fillet,बॅक फिलेट
Back flap hinge,बॅक फ्लॅप बिजागर
Back flow connection,परत प्रवाह कनेक्शन
Back flow preventer,परत प्रवाह प्रतिबंधक
Back gauge ,बॅक गेज
Back gutter ,मागे गटार
Back hearth,मागे चूल
Backing,पाठीराखा
Backing board,बॅकिंग बोर्ड
Back pressure,पाठीचा दाब
Back prop,बॅक प्रोप
Back sight ,मागची दृष्टी
Back water,परत पाणी
Baffle,गोंधळ
Bagwork ,बॅगवर्क
Ballast,गिट्टी
Ball clay,बॉल क्ले
Ball cone clamp,बॉल कोन क्लॅम्प
Barbed wire,काटेरी तार
Bar dog,बार कुत्रा
Barge board,बार्ज बोर्ड
Barium sulphate test,बेरियम सल्फेट चाचणी
Barrage,बॅरेज
Barrett,बॅरेट
Base,पाया
Base exchange,बेस एक्सचेंज
Base line ,बेस लाइन
Basement,तळघर
Basement wall,तळघर भिंत
Base plate,तळपट्टी
"Base plate, adjustable","बेस प्लेट, समायोज्य"
Base saturation,बेस संपृक्तता
Basoid,बेसॉइड
Bat,वटवाघूळ
Bath and W.C.,बाथ आणि WC
Batter peg,पिठात पेग
Batter pier,पिठात घाट
Batter rule,पिठात नियम
Baulk (balk),बल्क (बाल्क)
Bay,खाडी
Bearer,वाहक
Bearing capacity,सहन करण्याची क्षमता
Bearing pile,पत्करणे ब्लॉकला
Bearing stratum,बेअरिंग स्ट्रॅटम
Bed,पलंग
Bedding plane,बेडिंग विमान
Bed joint,बेड संयुक्त
Bed rock,बेड रॉक
Bed room,बेड रूम
Beeswax,मेण
Bell box,बेल बॉक्स
Belling bucket,बेलिंग बादली
Bellofram,बेलोफ्राम
Benched foundation,बेंच केलेला पाया
Benching,बेंचिंग
Bench mark,बेंच मार्क
Benefit cost analysis,लाभ खर्चाचे विश्लेषण
Berm,बर्म
