Tamil,Punjabi
அமிலத்தன்மை,ਐਸਿਡੌਇਡ
அயோலியன் மண்,ਏਓਲੀਅਨ ਮਿੱਟੀ
மதிப்பீட்டு,ਕੁੱਲ
திரட்டுதல்,ਐਗਰੀਗੇਸ਼ਨ
வேளாண்மை,ਖੇਤੀ ਵਿਗਿਆਨ
வேளாண்மை,ਖੇਤੀ ਵਿਗਿਆਨ
A- அடிவானம்,ਏ-ਹੋਰੀਜ਼ਨ
Ao- அடிவானம்,ਆਉ-ਦਿਮਾਗ
Aoo- அடிவானம்,ਆਉ—ਅੰਦਾਜ਼
மண்ணின் காற்று திறன்,ਮਿੱਟੀ ਦੀ ਹਵਾ ਦੀ ਸਮਰੱਥਾ
மண்ணின் காற்றின் உள்ளடக்கம்,ਮਿੱਟੀ ਦੀ ਹਵਾ ਸਮੱਗਰੀ
காற்று பிக்னோமீட்டர்,ਏਅਰ ਪਿਕਨੋਮੀਟਰ
அல்லிடிக் மண்,ਐਲੀਟਿਕ ਮਿੱਟੀ
வண்டல் மண்,ਐਲਵੀਅਲ ਮਿੱਟੀ
ஆம்போலிடாய்டு,ਐਮਫੋਲੀਟੋਇਡ
அயன்,ਐਨੀਅਨ
"வெளிப்படையான குறிப்பிட்ட ஈர்ப்பு அளவு எடை அல்லது மொத்த குறிப்பிட்ட ஈர்ப்பு,&quot;","ਸਪੱਸ਼ਟ ਖਾਸ ਗਰੈਵਿਟੀ ਵਾਲੀਅਮ ਭਾਰ ਜਾਂ ਬਲਕ ਖਾਸ ਗਰੈਵਿਟੀ,&quot;"
அரிஸ்,ਅਰਿਸ
Ashlar நன்றாக கொத்து,ਐਸ਼ਲਰ ਵਧੀਆ ਚਿਣਾਈ
ஆஷ்லர் கொத்து,ਐਸ਼ਲਰ ਚਿਣਾਈ
அசோனல் மண்,ਅਜੋਨਲ ਮਿੱਟੀ
பின் நடிகர்,ਪਿਛਲਾ ਅਦਾਕਾਰ
பின் வளைவு,ਪਿਛਲਾ arch
பின் இசைக்குழு,ਬੈਕ ਬੈਂਡ
பின் தூரிகை,ਪਿੱਛੇ ਬੁਰਸ਼
மீண்டும் சரிபார்க்கவும்,ਵਾਪਸ ਜਾਂਚ
பின் கவுண்டர்,ਪਿੱਛੇ ਕਾਊਂਟਰ
முதுகு வெட்டுதல்,ਵਾਪਸ ਕੱਟਣਾ
பின் வரைவு damper,ਬੈਕ ਡਰਾਫਟ ਡੈਂਪਰ
பின் வடிகால்,ਬੈਕ ਡਰੇਨ
பின் துளி,ਬੈਕ ਡਰਾਪ
பின் நிரப்பவும்,ਵਾਪਸ ਭਰੋ
