Odiya,Telugu
ପରିତ୍ୟାଗ,అబార్ట్
ଟାଇମର୍ ପରିତ୍ୟାଗ କରନ୍ତୁ |,అబార్ట్ టైమర్
ସଂପୂର୍ଣ୍ଣ ଠିକଣା,సంపూర్ణ చిరునామా
ସଂପୂର୍ଣ୍ଣ ଠିକଣା,సంపూర్ణ చిరునామా
ସଂପୂର୍ଣ୍ଣ ଏକତ୍ରିତ ବ୍ୟକ୍ତି |,సంపూర్ణ సమీకరించేవాడు
ସଂପୂର୍ଣ୍ଣ କୋଡ୍,సంపూర్ణ కోడ్
ସଂପୂର୍ଣ୍ଣ କୋଡିଂ |,సంపూర్ణ కోడింగ్
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ,సంపూర్ణ ఆదేశం
ସଂପୂର୍ଣ୍ଣ ସଂଯୋଜନା |,సంపూర్ణ కోఆర్డినేట్
ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |,సంపూర్ణ డేటా
ସଂପୂର୍ଣ୍ଣ ତ୍ରୁଟି |,సంపూర్ణ లోపం
ସଂପୂର୍ଣ୍ଣ ଅଭିବ୍ୟକ୍ତି |,సంపూర్ణ వ్యక్తీకరణ
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶନାମା,సంపూర్ణ సూచన
ସଂପୂର୍ଣ୍ଣ ଲୋଡର୍ |,సంపూర్ణ లోడర్
ସଂପୂର୍ଣ୍ଣ କ୍ରମ,సంపూర్ణ క్రమం
ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |,సంపూర్ణ ప్రోగ్రామింగ్
ସଂପୂର୍ଣ୍ଣ ଶବ୍ଦ,సంపూర్ణ పదం
ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ,సంపూర్ణ విలువ
ସଂପୂର୍ଣ୍ଣ ଭେକ୍ଟର |,సంపూర్ణ వెక్టర్
ବିସ୍ତୃତ,నైరూప్య
ବିସ୍ତୃତ,సంగ్రహించడం
ବିସ୍ତୃତ ପ୍ରତୀକ |,నైరూప్య చిహ్నం
ତ୍ୱରଣ ସମୟ,త్వరణం కాలం
ତ୍ୱରାନପୂର୍ଣ୍ଣ ସମୟ |,త్వరణం సమయం
ଉଚ୍ଚାରଣ,యాస
ଗ୍ରହଣ ପରୀକ୍ଷା,అంగీకార పరీక్ష
ପ୍ରବେଶ,యాక్సెస్
ଆକ୍ସେସ୍ ବାହୁ,యాక్సెస్ ఆర్మ్
ପ୍ରବେଶ ବ୍ୟବସ୍ଥା,యాక్సెస్ అమరిక
ପ୍ରବେଶ କର ପ୍ରାଧିକରଣ,యాక్సెస్ అథారిటీ
ପ୍ରବେଶ ଚାର୍ଜ,యాక్సెస్ ఛార్జ్
ଶ୍ରେଣୀ ଶ୍ରେଣୀ,యాక్సెస్ క్లాస్
ଡାଟା ବେସ୍ ମ୍ୟାନେଜମେଣ୍ଟକୁ ପ୍ରବେଶ କରନ୍ତୁ |,డేటా బేస్ మేనేజ్‌మెంట్ యాక్సెస్
ପ୍ରବେଶ ପରିବେଶ ସେବା,యాక్సెస్ ఎన్విరాన్మెంట్
ଫାଗ୍ ଆକ୍ସେସ୍ କରନ୍ତୁ |,యాక్సెస్ గ్యాప్
ପ୍ରବେଶ ସୂଚକାଙ୍କ,ప్రాప్యత సూచిక
ଆକ୍ସେସ୍ ଲାଇନ୍ |,యాక్సెస్ లైన్
ମେକାନିଜିମ୍ ଆକ୍ସେସ୍ ଆକ୍ସେସ୍ କରନ୍ତୁ |,యాక్సెస్ మెకానిజం
ପ୍ରବେଶ ପଦ୍ଧତି,యాక్సెస్ పద్ధతి
ଆକ୍ସେସ୍ ପଦ୍ଧତି ରୁଟିନ୍ |,యాక్సెస్ పద్ధతి దినచర్య
ପ୍ରବେଶ ମୋଡ୍,యాక్సెస్ మోడ్
ଅଧିକାର ପ୍ରବେଶ,హక్కును యాక్సెస్ చేయండి
ପ୍ରବେଶ ସ୍କାନ,యాక్సెస్ స్కాన్
ସମୟ ପ୍ରବେଶ କରନ୍ତୁ |,ప్రాప్యత సమయం
ହିସାବ,అకౌంటింగ్
ହିସାବ ଆର୍ଥିକ ବ୍ୟବସ୍ଥା,అకౌంటింగ్ ఫైనాన్స్ సిస్టమ్
ହିସାବ ଯନ୍ତ୍ର,అకౌంటింగ్ మెషిన్
ଖାତା ସଂଖ୍ୟା,ఖాతా సంఖ్య
ପୁନର୍ବାର ଜମା କରିବା |,పునరుత్పత్తిదారుని కూడబెట్టుకోవడం
ଆକ୍ୟୁମୁଲେଟର,సంచితం
ଆକ୍ୟୁମୁଲେଟର ରେଜିଷ୍ଟର |,సంచిత రిజిస్టర్
