Kannada,Marathi
ಆಸಿಡಾಯ್ಡ್,ऍसिडॉइड
ಅಯೋಲಿಯನ್ ಮಣ್ಣು,एओलियन माती
ಒಟ್ಟು,एकूण
ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ,एकत्रीकरण
ಕೃಷಿಶಾಸ್ತ್ರ,कृषीशास्त्र
ಕೃಷಿಶಾಸ್ತ್ರ,कृषीशास्त्र
ಎ-ಹಾರಿಜಾನ್,A-क्षितिज
Ao-ಹಾರಿಜಾನ್,Ao-क्षितिज
Aoo-ಹಾರಿಜಾನ್,Aoo-क्षितिज
ಮಣ್ಣಿನ ಗಾಳಿಯ ಸಾಮರ್ಥ್ಯ,मातीची हवेची क्षमता
ಮಣ್ಣಿನ ಗಾಳಿಯ ಅಂಶ,मातीतील हवेचे प्रमाण
ಏರ್ ಪಿಕ್ನೋಮೀಟರ್,एअर पिकनोमीटर
ಆಲಿಟಿಕ್ ಮಣ್ಣು,ऍलिटिक माती
ಮೆಕ್ಕಲು ಮಣ್ಣು,गाळाची माती
ಆಂಫೋಲಿಟಾಯ್ಡ್,अॅम्फोलायटॉइड
ಅಯಾನ್,आयन
"ಸ್ಪಷ್ಟವಾದ ನಿರ್ದಿಷ್ಟ ಗುರುತ್ವಾಕರ್ಷಣೆಯ ಪರಿಮಾಣದ ತೂಕ ಅಥವಾ ಬೃಹತ್ ನಿರ್ದಿಷ್ಟ ಗುರುತ್ವಾಕರ್ಷಣೆ,&quot;","स्पष्ट विशिष्ट गुरुत्व खंड वजन किंवा मोठ्या प्रमाणात विशिष्ट गुरुत्व,&quot;"
ಅರ್ರಿಸ್,ऍरिस
ಆಶ್ಲರ್ ಉತ್ತಮವಾದ ಕಲ್ಲು,Ashlar दंड दगडी बांधकाम
ಆಶ್ಲರ್ ಕಲ್ಲು,Ashlar दगडी बांधकाम
ಅಜೋನಲ್ ಮಣ್ಣು,अझोनल माती
ಹಿಂದೆ ನಟ,मागचा अभिनेता
ಹಿಂದಿನ ಕಮಾನು,मागची कमान
ಬ್ಯಾಕ್ ಬ್ಯಾಂಡ್,बॅक बँड
ಬ್ಯಾಕ್ ಬ್ರಷ್,मागे ब्रश
ಹಿಂತಿರುಗಿ ಪರಿಶೀಲಿಸಿ,परत तपासणी
ಹಿಂದಿನ ಕೌಂಟರ್,मागे काउंटर
ಬೆನ್ನು ಕತ್ತರಿಸುವುದು,परत कटिंग
ಬ್ಯಾಕ್ ಡ್ರಾಫ್ಟ್ ಡ್ಯಾಂಪರ್,बॅक ड्राफ्ट डँपर
ಬ್ಯಾಕ್ ಡ್ರೈನ್,मागे निचरा
ಬ್ಯಾಕ್ ಡ್ರಾಪ್,बॅक ड्रॉप
ಹಿಂದೆ ಭರ್ತಿ,परत भरा
ಬ್ಯಾಕ್ ಫಿಲೆಟ್,बॅक फिलेट
ಬ್ಯಾಕ್ ಫ್ಲಾಪ್ ಹಿಂಜ್,बॅक फ्लॅप बिजागर
ಬ್ಯಾಕ್ ಫ್ಲೋ ಸಂಪರ್ಕ,परत प्रवाह कनेक्शन
ಬ್ಯಾಕ್ ಫ್ಲೋ ತಡೆಗಟ್ಟುವಿಕೆ,परत प्रवाह प्रतिबंधक
ಬ್ಯಾಕ್ ಗೇಜ್,बॅक गेज
ಹಿಂಭಾಗದ ಗಟಾರ,मागे गटार
ಹಿಂಬದಿ ಒಲೆ,मागे चूल
ಹಿಮ್ಮೇಳ,पाठीराखा
ಬ್ಯಾಕಿಂಗ್ ಬೋರ್ಡ್,बॅकिंग बोर्ड
ಬೆನ್ನಿನ ಒತ್ತಡ,पाठीचा दाब
ಬ್ಯಾಕ್ ಪ್ರಾಪ್,बॅक प्रोप
ಹಿಂದಿನ ದೃಷ್ಟಿ,मागची दृष्टी
ಹಿಂಬದಿ ನೀರು,परत पाणी
ಅಡ್ಡಿಪಡಿಸು,गोंधळ
ಬ್ಯಾಗ್ವರ್ಕ್,बॅगवर्क
ನಿಲುಭಾರ,गिट्टी
ಬಾಲ್ ಕ್ಲೇ,बॉल क्ले
ಬಾಲ್ ಕೋನ್ ಕ್ಲಾಂಪ್,बॉल कोन क्लॅम्प
ಮುಳ್ಳುತಂತಿ,काटेरी तार
ಬಾರ್ ನಾಯಿ,बार कुत्रा
ಬಾರ್ಜ್ ಬೋರ್ಡ್,बार्ज बोर्ड
ಬೇರಿಯಮ್ ಸಲ್ಫೇಟ್ ಪರೀಕ್ಷೆ,बेरियम सल्फेट चाचणी
ಬ್ಯಾರೇಜ್,बॅरेज
ಬ್ಯಾರೆಟ್,बॅरेट
ಬೇಸ್,पाया
ಮೂಲ ವಿನಿಮಯ,बेस एक्सचेंज
ಬೇಸ್ ಲೈನ್,बेस लाइन
ನೆಲಮಾಳಿಗೆ,तळघर
ನೆಲಮಾಳಿಗೆಯ ಗೋಡೆ,तळघर भिंत
ಬೇಸ್ ಪ್ಲೇಟ್,तळपट्टी
