Marathi,Tamil
गर्भपात केलेला अवयव,கைவிடப்பட்ட உறுப்பு
गर्भपात बियाणे,நிறுத்தப்பட்ட விதை
गर्भपात,கருக்கலைப்பு
परिपूर्ण तण,முழுமையான களை
शोषून घेतलेले केशन,உறிஞ்சப்பட்ட கேஷன்
शोषण,உறிஞ்சுதல்
अ‍ॅबिसिनियन मोहरी,அபிசீனிய கடுகு
एकरिसाइड,அகரைடு
उच्चारण,உச்சரிப்பு
उच्चारण (सेल),உச்சநிலை (செல்)
स्वीकारलेले सहिष्णुता,ஏற்றுக்கொள்ளப்பட்ட சகிப்புத்தன்மை
Ory क्सेसरी,துணை
सहनशीलता,பழக்கவழக்கமயமாக்கல்
संचय,குவிப்பு
अचूकता,துல்லியம்
अ‍ॅसर्व्हुलस,அசெருலஸ்
एसीटिफिकेशन,அசிடிபிகேஷன்
आम्लता,அமிலமயமாக்கல்
अ‍ॅसिडिमीटर,அமிலமீட்டர்
आंबटपणा,அமிலத்தன்மை
अ‍ॅसिडोफिलिक,அமிலத்தன்மை கொண்ட
अ‍ॅसिड्युलेटेड रॉक फॉस्फेट,அமிலப்படுத்தப்பட்ட ராக் பாஸ்பேட்
अ‍ॅसिड्यूरिक,அமிலத்தன்மை
जलचर,நீர்வாழ்
संपादन,கையகப்படுத்தல்
एकर,ஏக்கர்
एकर क्षेत्र,ஏக்கர் தூரம்
अ‍ॅक्रोसेन्ट्रिक गुणसूत्र,அக்ரோசென்ட்ரிக் குரோமோசோம்
अ‍ॅक्रोपेटल,அக்ரோபெட்டல்
अ‍ॅक्रोसोम,சக்ரோசோம்
अ‍ॅक्टिनोमाइसेट्स,ஆக்டினோமைசீட்கள்
सक्रिय रूट झोन,செயலில் ரூட் மண்டலம்
तीव्र,கடுமையான
अनुकूलता,தகவமைப்பு
रुपांतर,தழுவல்
आसंजन,ஒட்டுதல்
Ip डिपोज,கொழுப்பு
समायोजन समीकरण,சரிசெய்தல் சமன்பாடு
अ‍ॅडोब माती,அடோப் மண்
व्यभिचारी,கலப்படம்
साहसी,சாகச
एसीडिओस्पोर,Aecidiospore
आयओलियन प्रक्रिया,ஏலியன் செயல்முறை
आयओलियन,ஏயோலியன்
वायुवीजन,காற்றோட்டம்
हवाई,வான்வழி
एरोमीटर,ஏரோமானி
एरोसोल,ஏரோசோல்
एस्टिवेशन,அவதூறு
एटिओलॉजी (एटिओलॉजी),ஏட்டாலஜி (நோயியல்
वनीकरण,காடு வளர்ப்பு
आंदोलन,கிளர்ச்சி
अ‍ॅगमार्क,அக்மார்க்
कृषी,விவசாய
कृषी क्लिनिक,வேளாண் மருத்துவமனை
कृषी कामगार,விவசாய உழைப்பு
कृषी विपणन,விவசாய சந்தைப்படுத்தல்
कृषी तंत्रज्ञान,விவசாய தொழில்நுட்பம்
शेती,வேளாண்மை
कृषी सांस्कृतिक,வேளாண் வளர்ப்பை
अ‍ॅग्रोबायोडिव्हर्सिटी,வேளாண் பன்முகத்தன்மை
अ‍ॅग्रोबायोलॉजिकल दोष,வேளாண் வியாபார குறைபாடுகள்
कृषीशास्त्र,வேளாண்வியல்
अ‍ॅग्रोक्लिमॅटिक विविधता,வேளாண் பன்முகத்தன்மை
अ‍ॅग्रोक्लिमॅटिक झोनिंग,வேளாண் மண்டல
अ‍ॅग्रोफोरेस्ट्री,வளர்ப்பு
कृषीशास्त्र,விவசாயவியல்
अ‍ॅग्रोनॉमी,வேளாண்
अ‍ॅग्रोपास्टोरल,அக்ரோபாஸ்டோரல்
अ‍ॅग्रोप्रोसेसिंग,அக்ரோபிராசெசிங்
अ‍ॅग्रोस्टोलॉजी,அக்ரோஸ்டாலஜி
अ‍ॅग्रोटाइप,வேளாண் வகை
एअर प्लांट,விமான ஆலை
अकिओची माती,அகியோச்சி மண்
अल्बिनिझम,ஆல்பினிசம்
अल्फिसोल,அல்பிசோல்ஸ்
एकपेशीय वनस्पती,பாசி
अल्गल रोग,பாசி நோய்
अल्कली पाणी,கார நீர்
अल्कधर्मी,கார
अ‍ॅलेल,அல்லீல்
Lel लोकेमिकल्स,அல்லீல கெமிக்கல்ஸ்
Lel लोमॉर्फ,அல்லீலோமார்ப்
Lel लेलोपॅथी,அலெலோபதி
गल्ली पीक,சந்து பயிர்
