Hindi,Tamil
वैस्‍टम‍िन्‍स्‍टर मठ,வெஸ்ட்மின்ஸ்டர் அபே
मालखाना,துறவு
दासता का उन्मूलन,அடிமைத்தனத்தை ஒழித்தல்
आदिवासी,பழங்குடியினர்
अब्राहम काल,ஆபிரகாம் சகாப்தம்
प्रवासी ज़मींदार,இல்லாத நில உரிமையாளர்கள்
अकादमी; विद्वत्परिषद,கலைக்கூடம்
अक्रा सम्मेलन,அக்ரா மாநாடு
"प्रोद्भूत सामग्री, उपचित सामग्री",திரட்டல்கள்
"परसंस्कृति-ग्रहण, उत्संस्करण",வளர்ப்பு
एसेलडामा,அசெல்டாமா
एकियायी,அச்சேயன் (=ஆச்சியன்)
एकीयायी लीग,அச்சேயன் லீக் (=ஆச்சியன் லீக்)
एक्रोपोलिस,அக்ரோபோலிஸ்
"शाही रोज़नामचा, दैनिक समाचार",ஆக்டா டைர்னா
सीनेट का कार्यवृत्त,ஆக்டா செனடஸ்
"अपर प्रपत्र, एक्टे एडिशनेल",Acte Additionel
सक्रिय रिकार्ड,செயலில் உள்ள பதிவு (=தற்போதைய பதிவு)
अपकीर्त्ति अधिनियम,அடையும் செயல்
दंड विमुक्ति एवं विस्मरण अधिनियम,இழப்பீடு மற்றும் மறதியின் செயல்
"राज्य-व्यवस्था अधिनियम, एक्ट ऑफ सेटिलमेंट",தீர்வு சட்டம்
संविदा मुद्रा,விளம்பர ஒப்பந்த முத்திரை
आडुलम गुटवादी,அதுலமைட்டுகள்
विपक्षी,எதிரி
2. शत्रु,எதிரி
युग,ஏயோன்
इरेरियम,ஏரேரியம்
"आकाशी युद्ध, हवाई लड़ाई",வான்வழிப் போர்
"एटोलियन लीग, एटोलियायी संघ",ஏட்டோலியன் லீக்
"काल, युग",வயது
"काल-प्रभावन, जीर्णन",முதுமை (=வயதான)
जीर्णन-प्रक्रिया,வயதான செயல்முறை
एजिलायी,அகெலாய்
शौर्य युग,வீரத்தின் வயது
"प्रबोध युग, ज्ञानोदय युग",அறிவாற்றல் வயது
पेरीक्लीज़ युग,பெரிக்கிள்ஸ் வயது
तर्क प्रधान युग,பகுத்தறிவு வயது
भूमि सुधारवाद,விவசாயம்
भूमि सुधारवादी आंदोलन,விவசாய இயக்கம்
एलबियन,அல்பியன்
अलबम,ஆல்பம்
"पौर मुख्य, विशिष्ट पौर, आल्‍डर्मन",ஆல்டர்மேன்
कुलांकित आयुध,கவர்ச்சியான ஆயுதங்கள்
मैत्री,அமிட்டி
एम्फिकटिआनी परिषद,ஆம்ஃபிக்டியோனிக் கவுன்சில்
ऊपर देo : Amphictyonic Council,ஆம்ஃபிக்டியோனிக் லீக்
"रंगवाट, रंगभूमि, अखाड़ा",ஆம்பிதியேட்டர்
(मृद्भांडों का) अमरीनाल वर्ग,அம்ரி நல் குழு (மட்பாண்டங்கள்)
"काल-वैषम्य, काल-दोष",அனாக்ரோனிசம்
काल-वैषम्ययुक्त,காலமற்ற
पूर्वज,மூதாதையர்
पितृ-पूजा,முன்னோர் வழிபாடு
कुल-परंपरा,பரம்பரை
2. वंश,பரம்பரை
3. वंश-क्रम,பரம்பரை
4. उच्च कुल,பரம்பரை
"प्राचीन शासन-व्यवस्था, क्रांति पूर्व शासन-व्यवस्था",பண்டைய ஆட்சி
"पुरातन, प्राचीन",பண்டைய
प्राचीन गाथा,பழங்கால பாலாட்
प्राचीन मत,பண்டைய நம்பிக்கை
प्राचीन प्रथा,பண்டைய வழக்கம்
प्राचीन हतिहास,பண்டைய வரலாறு
प्राचीन स्मारक,பழங்கால நினைவுச்சின்னங்கள்
उपाख्यान,சிறுகதை
एन्जिलोट,ஏஞ்சலோட்
देवदूत पूजा,ஏஞ்சலஸ்
आन्जवै,ஆஞ்செவின் (=அஞ்செவின்)
ऐन्गल्स,கோணங்கள்
