Marathi,Tamil
एसी समतुल्य सर्किट,ஏசி சமமான சுற்று
एनालॉग ते अंकीय कनवर्टर,எண் மாற்றிக்கு ஒப்புமை
पूर्ण शून्य,முழுமையான பூஜ்ஜியம்
शोषण गुणांक,உறிஞ்சுதல் குணகம்
शोषण स्पेक्ट्रम,உறிஞ்சுதல் நிறமாலை
रिसेप्टर अणू,ஏற்பி அணு
पर्यायी वर्तमान जोडणी,மாற்று மின்னோட்ட இணைப்பு
इलेक्ट्रॉन कापणी,எலக்ட்ரான் அறுவடை
भोक संचयन,துளை சேமிப்பு
सक्रियता ऊर्जा,செயல்படுத்தும் ஆற்றல்
सक्रिय अॅम्प्लीफायर,செயலில் பெருக்கி
सक्रिय डायोड सर्किट,செயலில் உள்ள டையோடு சுற்று
सक्रिय फिल्टर,செயலில் வடிகட்டி
सक्रिय उच्च वारंवारता पर्केट फिल्टर,செயலில் உள்ள உயர் அதிர்வெண் பார்க்வெட் வடிகட்டி
सक्रिय भार,செயலில் சுமை
सक्रिय कमी वारंवारता पार्स फिल्टर,செயலில் குறைந்த அதிர்வெண் பாகுபடுத்தும் வடிகட்டி
सक्रिय क्षेत्र,செயலில் உள்ள பகுதி
अनुकूली इलेक्ट्रॉनिक्स,தகவமைப்பு மின்னணுவியல்
जोडणारा,சேர்ப்பான்
समायोज्य बँड विस्तार,சரிசெய்யக்கூடிய இசைக்குழு நீட்டிப்பு
प्रवेश,ஊடுருவல்
एरियल,ஏரியல்
pep वारंवारता,பெப் அதிர்வெண்
एअर कंडिशनर,காற்றுச்சீரமைப்பி
संरेखन,சீரமைப்பு
अल्गोरिदम,அல்காரிதம்
सर्व पास फिल्टर,அனைத்து பாஸ் வடிகட்டி
मिश्र धातु जंक्शन,அலாய் சந்திப்பு
क्षीणन,தணிவு
पर्यायी प्रवाह,மாறுதிசை மின்னோட்டம்
वातावरणीय तापमान,சுற்றுப்புற வெப்பநிலை
द्विध्रुवीय,இருமுனை
प्रवर्धन,பெருக்கம்
अॅम्प्लिफायर,பெருக்கி
एम्पलीफायर कार्यक्षमता,பெருக்கி செயல்திறன்
परिमाण,பரிமாணங்கள்
मोठेपणा क्षीणन,வீச்சு குறைதல்
अॅम्प्लिट्यूड मॉड्युलेटेड एएम ऑसिलेटर,அலைவீச்சு மாடுலேட்டட் AM ஆஸிலேட்டர்
मोठेपणा मॉड्यूलेशन,வீச்சு பண்பேற்றம்
मोठेपणा मॉड्युलेटर,வீச்சு மாடுலேட்டர்
अँग्स्ट्रोम युनिट,angstrom அலகு
अॅनालॉग सर्किट,அனலாக் சுற்று
अॅनालॉग संगणक,அனலாக் கணினி
अॅनालॉग फिल्टर,அனலாக் வடிகட்டி
अॅनालॉग मल्टीमीटर,அனலாக் மல்டிமீட்டர்
अॅनालॉग स्विच,அனலாக் சுவிட்ச்
आणि गेट,மற்றும் வாயில்
कोनीय वारंवारता,கோண அதிர்வெண்
"anion, anion","அயனி, அயனி"
एनीलिंग तापमान,அனீலிங் வெப்பநிலை
एनोड,நேர்மின்முனை
एनोड अॅम्प्लिफायर,அனோட் பெருக்கி
anodyne,அனோடைன்
अँटेना,ஆண்டெனா
अँटेना घटक,ஆண்டெனா கூறு
विरोधी परावर्तक कोटिंग,எதிர்ப்பு பிரதிபலிப்பு பூச்சு
अँटिलॉगिन अॅम्प्लिफायर,ஆன்டிலோகின் பெருக்கி
अँटीरेझोनंट सर्किट,எதிரொலி சுற்று
द्वारक काळ,துவாரகர் காலம்
आभासी शक्ती,மெய்நிகர் சக்தி
वायर कनेक्शन,கம்பி இணைப்பு
अंदाजे व्होल्टेज वाढ,தோராயமான மின்னழுத்த ஆதாயம்
आर्मस्ट्राँग मॉड्युलेटर,ஆர்ம்ஸ்ட்ராங் மாடுலேட்டர்
अँटेना अॅरे,ஆண்டெனா வரிசை
