English,Marathi
A (Ampere unit of current),अँपिअर (युनिट)
A (angstrom),angstrum
A amplifier,ए-क्लास अॅम्प्लिफायर
A-N radio range,एएन रेडिओ सहाय
A-scan presentation,एक-स्कॅनिंग सादरीकरण
A-scope,a-darsh
A-scope display,ए-स्कोप कामगिरी
A-T Cut crystal,A-T वक्र क्रिस्टल
A.c-d.c. gain,"एसी डीसी फायदे, ए. सीडी. सी.लाभी, ए. सीडी. c. प्रवर्धन"
A.M. (ante meridiem),आहे
A.m.u. (atomic mass unit),AMU (अणु वस्तुमान एकक)
Aard-vark,आर्ड-वार्क*
Ab ampere,ab-ampere
AB amplifier,A-B वर्ग अॅम्प्लिफायर
Ab initio,adah
AB power pack,A-B शक्ती पिटक
Abac=alignment chart=nomograph,abc = संरेखन चार्ट = nomograph
Abbe number (=Abbe constant),अबे क्रमांक (अबे स्थिरांक)
ABBE refractometer,abe refractometer
Abbe sine condition,अबे साइन राज्य
Abc (automatic bias compensation),स्वयंचलित पूर्वाग्रह भरपाई
Abcoulomb,abcoulom
Aberration,विकृती
Aberration corrector lens,विकृती सुधारक लेन्स
Aberration of light,आकाश विकृती
Abfarad,abfarad
Abhenry,एबेनरी
Abney effect (=Abney law),इबोनी प्रभाव
Abnormal polarisation,असामान्य ध्रुवीकरण
Abnormal propagation,असामान्य प्रसार
Abnormal reflection,अलौकिक प्रतिबिंब
Abnormal refraction,असामान्य अपवर्तन*
Abnormal resistance,अलौकिक प्रतिकार
Abohm,ab-om
Abortion,"प्राबल्य, अपयश"
Abrupt,"संलग्न, सहसा, उभे, विभक्त, खंडित"
Abrupt jump,अनेकदा उडी मारते
Abscissa,हात*
Absent reflection,हरवलेले प्रतिबिंब
Absent spectrum,गहाळ स्पेक्ट्रम
Absolute,"निरपेक्ष, निरपेक्ष, स्थिर, परिपूर्ण"
Absolute acceleration,परिपूर्ण प्रवेग
Absolute accuracy,परिपूर्ण वास्तव
Absolute address-specific address,परिपूर्ण पत्ता
Absolute altimeter,भौगोलिक उच्चांक
Absolute altitude,भौगोलिक उंची
Absolute ampere,परिपूर्ण अँपिअर
Absolute boilling point,परिपूर्ण उकळत्या बिंदू
Absolute bolometric luminosity,परिपूर्ण प्रकाश
Absolute capacity,परिपूर्ण क्षमता
Absolute ceiling,परिपूर्ण उंची
Absolute colour index,परिपूर्ण रंगद्रव्य
Absolute configuration,"परिपूर्ण कॉन्फिगरेशन, अस्पष्ट कॉन्फिगरेशन"
Absolute coulomb,परिपूर्ण कूलॉम्ब
Absolute darkness,पूर्ण अंधार
Absolute dating,परिपूर्ण वेळापत्रक
Absolute density,परिपूर्ण घनता*
Absolute drift,पूर्ण निचरा
Absolute e.m.u.,संपूर्ण EMU (विद्युत चुंबकीय एकक)
Absolute e.s.u.,संपूर्ण ESU (स्थिर एकक)
Absolute efficiency,परिपूर्ण कार्यक्षमता
Absolute electrometer,परिपूर्ण इलेक्ट्रोमीटर
Absolute frequency,परिपूर्ण वारंवारता परिपूर्ण वारंवारता
Absolute humidity,परिपूर्ण आर्द्रता
Absolute incidence,परिपूर्ण घटना
Absolute index of refraction,परिपूर्ण अपवर्तक निर्देशांक
Absolute instability,पूर्ण अस्थिरता
Absolute intensity,पूर्ण अस्थिरता
Absolute length,"परिपूर्ण तीव्रता, परिपूर्ण तीव्रता"
Absolute limit of hysteresis,अस्थेनियाची परिपूर्ण मर्यादा
Absolute luminance threshold,परिपूर्ण प्रदीपन खिडकीच्या चौकटीचा खालचा आडवा
Absolute luminosity curve,परिपूर्ण प्रकाश वक्र
Absolute magnitude,परिपूर्ण परिमाण
Absolute manometer,परिपूर्ण बॅरोमीटर
Absolute maximum,सर्वोच्च सर्वोच्च
Absolute maximum rating,पूर्ण टोक
Absolute minimum,परिपूर्ण सर्वात कमी
Absolute momentum,परिपूर्ण गती
Absolute motion,परिपूर्ण गती
Absolute music=pure music,परिपूर्ण संगीत
Absolute observation,परिपूर्ण निरीक्षण
Absolute ohm,परिपूर्ण ओम
Absolute orientation,परिपूर्ण अभिमुखता
Absolute permittivity,परिपूर्ण विद्युत ऋणात्मकता
Absolute pitch,परिपूर्ण गुरुत्व
Absolute pressure = true pressure,परिपूर्ण दबाव
Absolute property,परिपूर्ण मालमत्ता
Absolute scalar,परिपूर्ण स्केलर
Absolute scale of temperature,तापमानाचे अंतिम प्रमाण*
Absolute simultancity,"परिपूर्ण समक्रमण, परिपूर्ण समक्रमण"
Absolute stress,पूर्ण ताण
Absolute symmetry,परिपूर्ण सममिती
Absolute system of motion,परिपूर्ण गती शरीर
Absolute system of units,परिपूर्ण एकक प्रणाली
Absolute temperature,परिपूर्ण तापमान
Absolute time,परिपूर्ण वेळ
Absolute unit,निरपेक्ष एकके
Absolute value,परिपूर्ण मूल्य
Absolute value computer,पूर्णांक कॅल्क्युलेटर
Absolute velocity,परिपूर्ण वेग
Absolute viscosity,परिपूर्ण चिकटपणा
Absolute weight,परिपूर्ण वजन
Absolute zero,पूर्ण शून्य*
Absolute zero devisor,शून्याचा पूर्ण विभाजक
Absorb,शोषून घेणे
Absorbance,शोषक निर्देशांक*
Absorbed energy,शोषलेली ऊर्जा
Absorber,"शोषक, शोषक"
Absorbing medium,शोषक माध्यम*
Absorbing power,शोषण क्षमता
Absorptance,शोषण
Absorptiometer,शोषणमापक*
Absorptiometry,शोषणमापन*
Absorption,शोषण
Absorption band,शोषण - बँड*
Absorption circuit,शोषण सर्किट
Absorption coeffieient,शोषण गुणांक
Absorption column,शोषण स्तंभ
Absorption constant,अवशोषण स्थिर
Absorption continua,शोषण सातत्य
Absorption cross section,शोषण क्षेत्र
Absorption current,शोषण प्रवाह
Absorption curve (=transmission curve),शोषण वक्र*
Absorption discontinuity,शोषण फ्रॅक्चर
Absorption edge,शोषण कोर
Absorption factor,शोषण घटक
Absorption filter,शोषण फिल्टर
Absorption flame photometry,शोषण फ्लेम फोटोमेट्री*
Absorption hygrometer,शोषण हायग्रोमीटर
Absorption index,शोषण घातांक
Absorption limit,शोषण सीमांत
Absorption line,शोषण रेखा
Absorption loss,शोषण नुकसान
Absorption modulation=loss modulation,शोषण मॉड्यूलेशन
Absorption of light,प्रकाश शोषण
Absorption of radiant energy,रेडिएशन उर्जेचे शोषण
Absorption peak,शोषण शिखर
Absorption photometry,शोषण फोटोमेट्री
Absorption ratio,शोषण प्रमाण
Absorption series,शोषण श्रेणी*
Absorption spectro photometry,शोषण स्पेक्ट्रम फोटोमेट्री*
Absorption spectrum,शोषण स्पेक्ट्रम*
Absorption tube,"शोषक नळी, शोषक नळी"
Absorption vavemeter,शोषण हायग्रोमीटर
Absorptive,शोषक*
Absorptive attenuator,शोषक बाष्पीभवक
Absorptive law,शोषण कायदा*
Absorptive medium,शोषण माध्यम
Absorptive power,"शोषक क्षमता, शोषकता*"
Absorptivity,शोषण*
Abstract set=studio decoration,स्टुडिओ सजावट
Abundance ratio,गुणोत्तर गुणोत्तर
Abvolt,उद्धटपणा
Abwatt,बद्दल
Accelerate,गती वाढवणे
Accelerate-stop distance,प्रवेग-थांबा अंतर
Accelerated,घाई केली
Accelerated ageing test,द्रुत वेळ प्रभाव चाचणी
Accelerated flow,जलद प्रवाह
Accelerated motion,जलद गती
Accelerated system,द्रुत शरीर
Accelerating balance,प्रवेगक तोलणारा
Accelerating electrode,प्रवेगक इलेक्ट्रोड*
Accelerating period,प्रवेगक वेळ*
Accelerating phase,प्रवेगक टप्पा
Accelerating rate,प्रवेगक दर
Accelerating voltage,प्रवेगक व्होल्टेज*
Acceleration,प्रवेग
Acceleration blowout=rich extinction=flame out,प्रवेगक ज्वलन
Acceleration coefficient,प्रवेग गुणांक
Acceleration component,प्रवेग घटक
Acceleration due to gravity,गुरुत्वाकर्षणामुळे प्रवेग
Acceleration factor,प्रवेग घटक
Acceleration feedback,प्रवेगक शुल्क
Acceleration of gravity,गुरुत्वाकर्षणाचा प्रवेग
Acceleration potential,प्रवेग क्षमता
Acceleration principle,प्रवेग कायदा
Acceleration process,प्रवेग प्रक्रिया
Acceleration space,प्रवेग क्षेत्र
Acceleration technique,प्रवेग पद्धत
Acceleration tolerance,"प्रवेग सहिष्णुता, प्रवेग सहिष्णुता"
Acceleration vector,प्रवेग वेक्टर
Acceleration voltage,प्रवेग-व्होल्टेज
Acceleration wave,प्रवेग लहर
Accelerative,प्रवेगक
Accelerator,"प्रवेग, प्रवेगक*"
Accelerator equation,प्रवेगक समीकरण
Accelerograph,प्रवेगक*
Accelerometer,प्रवेगमापक
Accelerometer matching,एक्सीलरोमीटर जुळणी
Accentuator,prestresser
Acceptable character,वैध वर्ण
Acceptance angle,स्वीकृती कोन
Acceptance specifications,स्वीकृती तपशील
Acceptance test,स्वीकार्य चाचणी
Acceptor,"स्वीकारणारा*, स्वीकारणारा"
Acceptor atom,रिसेप्टर अणू
Acceptor bond,रिसेप्टर बाँड
Acceptor circuit,रिसीव्हर सर्किट
Acceptor level,रिसेप्टर पातळी
Acceptor molecule,दाता रेणू
Acceptor property,रिसेप्टर गुणधर्म
Acceptor property level,रिसेप्टर गुणधर्म पातळी
Accererating tube,प्रवेगक नळी
Access,"प्रवेश, प्रतीक्षा, प्रवेश"
Access arm,भुज प्रवेश
Access mechanism,प्रवेश प्रणाली
Access time,प्रवेश वेळ
Accessibility,प्रवेशयोग्यता
Accessory,"अतिरिक्त, सहाय्यक, सहायक (v, ), उपकरणे"
Accessory condition,अतिरिक्त निर्बंध
Accidental coincidence,संधी योगायोग
Accidental correction,अपघाती सुधारणा
Accidental degeneracy,अपघाती बायोजेनेसिस
Accidental double refraction,अपघाती वळवणे
Accidental error,अभ्यागत त्रुटी
Accidental jamming,"अचानक थांबणे, अचानक पकडणे"
Accidental transmission,अपघाती प्रेषण
